<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALE,D,20201012,000000,65,72.1,60,70,59867551,0
ALE,D,20201013,000000,72,80,71.08,80,18452974,0
ALE,D,20201014,000000,84,90.3,71.25,75.96,16731591,0
ALE,D,20201015,000000,76,80,71.52,79.22,6235974,0
ALE,D,20201016,000000,80,85.44,79.25,81.45,15480831,0
ALE,D,20201019,000000,81.45,83.62,79.8,83.4,3205087,0
ALE,D,20201020,000000,83.45,85.6,83.33,85,3048042,0
ALE,D,20201021,000000,85.99,85.99,82.12,84.17,2734889,0
ALE,D,20201022,000000,83.84,89,83.72,85.37,5133134,0
ALE,D,20201023,000000,86.37,89,85.43,89,30874654,0
