<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRF,D,20070614,000000,12.519,12.594,11.833,11.833,388823,0
PRF,D,20070615,000000,11.655,12.043,11.17,11.585,154659,0
PRF,D,20070618,000000,11.683,11.992,11.576,11.58,51100,0
PRF,D,20070619,000000,11.562,11.609,11.399,11.599,66078,0
PRF,D,20070620,000000,11.935,11.935,11.501,11.678,25301,0
PRF,D,20070621,000000,11.669,11.669,11.141,11.342,38736,0
PRF,D,20070622,000000,11.566,11.669,11.383,11.383,39735,0
PRF,D,20070625,000000,11.342,11.529,11.211,11.352,9202,0
PRF,D,20070626,000000,11.24,11.487,11.217,11.24,17131,0
PRF,D,20070627,000000,11.407,11.407,10.277,10.875,38282,0
PRF,D,20070628,000000,10.88,11.211,10.571,10.978,39966,0
PRF,D,20070629,000000,10.782,10.978,10.558,10.651,21335,0
PRF,D,20070702,000000,10.651,10.651,10.286,10.441,14551,0
PRF,D,20070703,000000,10.291,10.511,9.997,10.277,23655,0
PRF,D,20070704,000000,10.259,10.604,10.259,10.604,24230,0
PRF,D,20070705,000000,10.558,10.735,10.558,10.646,9893,0
PRF,D,20070706,000000,10.674,10.744,10.488,10.535,10309,0
PRF,D,20070709,000000,10.376,10.464,10.324,10.333,18013,0
PRF,D,20070710,000000,10.296,10.296,10.146,10.183,7696,0
PRF,D,20070711,000000,10.183,10.183,9.904,9.997,15470,0
PRF,D,20070712,000000,9.814,9.992,9.814,9.833,21875,0
PRF,D,20070713,000000,9.829,10.459,9.829,10.272,18006,0
PRF,D,20070716,000000,10.272,10.459,10.067,10.286,23307,0
PRF,D,20070717,000000,10.286,10.286,9.4372,10.259,23630,0
PRF,D,20070718,000000,10.183,10.229,10.043,10.18,9501,0
PRF,D,20070719,000000,10.02,10.277,10.02,10.277,13256,0
PRF,D,20070720,000000,10.277,10.277,10.043,10.229,14418,0
PRF,D,20070723,000000,10.235,10.235,10.048,10.221,7723,0
PRF,D,20070724,000000,10.183,10.272,10.057,10.077,13840,0
PRF,D,20070725,000000,10.067,10.071,9.809,9.997,15553,0
PRF,D,20070726,000000,9.997,10.043,9.908,9.908,10884,0
PRF,D,20070727,000000,9.576,9.997,9.445,9.786,14239,0
PRF,D,20070730,000000,9.67,9.875,9.67,9.875,3546,0
PRF,D,20070731,000000,9.875,10.183,9.763,10.183,7938,0
PRF,D,20070801,000000,9.959,10.277,9.809,10.277,23960,0
PRF,D,20070802,000000,10.277,10.277,10.067,10.272,1570,0
PRF,D,20070803,000000,10.235,10.235,10.169,10.169,6293,0
PRF,D,20070806,000000,10.09,10.183,10.067,10.067,6850,0
PRF,D,20070807,000000,10.206,10.371,10.165,10.165,8602,0
PRF,D,20070808,000000,10.1,10.3,10.1,10.137,362,0
PRF,D,20070809,000000,10.254,10.277,10.043,10.043,4562,0
PRF,D,20070810,000000,10.043,10.043,9.109,9.109,20540,0
PRF,D,20070813,000000,9.1142,9.3427,9.109,9.3427,10543,0
PRF,D,20070814,000000,9.3427,9.3427,9.2018,9.3427,5385,0
PRF,D,20070816,000000,9.2018,9.2018,8.3898,8.6424,26631,0
PRF,D,20070817,000000,7.9971,8.6132,7.9228,8.4001,46333,0
PRF,D,20070820,000000,8.5393,8.596,8.2076,8.596,16356,0
PRF,D,20070821,000000,8.4319,8.59,8.2678,8.4319,8962,0
PRF,D,20070822,000000,8.4319,9.0343,8.4319,9.0343,20162,0
PRF,D,20070823,000000,9.2955,9.39,8.9689,9.3427,23731,0
PRF,D,20070824,000000,9.3659,10.229,9.3659,10.183,12975,0
PRF,D,20070827,000000,10.254,10.254,9.833,9.927,5291,0
PRF,D,20070828,000000,9.4871,9.927,9.4871,9.927,4618,0
PRF,D,20070829,000000,9.88,10.039,9.809,10.039,12469,0
PRF,D,20070830,000000,9.623,9.904,9.623,9.763,9701,0
PRF,D,20070831,000000,9.623,10.09,9.623,10.09,15640,0
PRF,D,20070903,000000,9.861,10.744,9.861,10.744,365,0
PRF,D,20070904,000000,10.277,10.449,10.272,10.277,11459,0
PRF,D,20070905,000000,10.141,10.146,9.904,9.904,3285,0
PRF,D,20070906,000000,9.927,9.927,9.623,9.623,4869,0
PRF,D,20070907,000000,9.646,10.206,9.623,10.039,4143,0
PRF,D,20070910,000000,9.806,9.806,9.623,9.646,6136,0
PRF,D,20070911,000000,9.646,9.806,9.623,9.717,5102,0
PRF,D,20070912,000000,10.039,10.039,9.67,9.997,7875,0
PRF,D,20070913,000000,9.857,9.857,9.809,9.809,5604,0
PRF,D,20070914,000000,9.67,9.67,9.67,9.67,2781,0
PRF,D,20070917,000000,9.67,9.67,9.4836,9.67,168,0
PRF,D,20070918,000000,9.3427,9.623,9.3427,9.623,20340,0
PRF,D,20070919,000000,9.67,9.95,9.576,9.88,6258,0
PRF,D,20070920,000000,9.67,9.67,9.67,9.67,588,0
PRF,D,20070921,000000,9.623,9.809,9.4836,9.809,5456,0
PRF,D,20070924,000000,9.576,10.03,9.53,9.809,4304,0
PRF,D,20070925,000000,9.53,9.809,9.507,9.809,668,0
PRF,D,20070926,000000,9.507,10.043,9.507,10.043,2779,0
PRF,D,20070927,000000,10.09,10.09,9.65,9.809,1187,0
PRF,D,20070928,000000,9.717,9.809,9.717,9.809,21406,0
PRF,D,20071001,000000,9.507,9.801,9.507,9.801,1599,0
PRF,D,20071002,000000,9.544,9.544,9.521,9.521,3356,0
PRF,D,20071003,000000,9.809,10.039,9.534,9.904,6591,0
PRF,D,20071004,000000,9.717,9.88,9.717,9.857,3365,0
PRF,D,20071005,000000,9.904,10.505,9.809,10.043,18988,0
PRF,D,20071008,000000,10.043,10.043,9.809,9.95,2946,0
PRF,D,20071009,000000,9.809,10.604,9.809,10.604,78610,0
PRF,D,20071010,000000,10.684,10.744,10.324,10.744,42975,0
PRF,D,20071011,000000,10.464,10.604,10.418,10.604,2672,0
PRF,D,20071012,000000,10.674,10.674,10.347,10.646,389,0
PRF,D,20071015,000000,10.441,10.651,10.328,10.651,3012,0
PRF,D,20071016,000000,10.641,10.641,10.371,10.604,1087,0
PRF,D,20071017,000000,10.558,10.558,10.286,10.553,1014,0
PRF,D,20071018,000000,10.558,10.558,10.342,10.342,1614,0
PRF,D,20071019,000000,10.183,10.488,10.183,10.418,520,0
PRF,D,20071022,000000,10.09,10.418,10.067,10.229,3234,0
PRF,D,20071023,000000,10.229,10.229,10.183,10.229,486,0
PRF,D,20071024,000000,10.464,10.697,10.137,10.558,7859,0
PRF,D,20071025,000000,10.558,10.604,10.333,10.511,7788,0
PRF,D,20071026,000000,10.402,10.402,10.067,10.371,6643,0
PRF,D,20071029,000000,10.183,10.3,10.183,10.3,3276,0
PRF,D,20071030,000000,10.277,10.277,10.095,10.277,4450,0
PRF,D,20071031,000000,10.18,10.347,10.18,10.347,3856,0
PRF,D,20071102,000000,10.137,10.229,10.137,10.229,965,0
PRF,D,20071105,000000,10.137,10.137,9.814,10.02,2487,0
PRF,D,20071106,000000,9.809,9.968,9.623,9.968,3781,0
PRF,D,20071107,000000,9.623,9.623,9.571,9.576,1494,0
PRF,D,20071108,000000,9.2018,9.4836,8.9225,9.4836,2385,0
PRF,D,20071109,000000,9.3427,9.809,9.1554,9.763,5725,0
PRF,D,20071112,000000,9.1786,9.3427,8.9689,9.3427,61238,0
PRF,D,20071113,000000,8.9311,9.109,8.9225,9.0291,25622,0
PRF,D,20071114,000000,9.1322,9.1984,8.8804,9.1984,9398,0
PRF,D,20071115,000000,8.8804,8.9268,8.5067,8.8753,6191,0
PRF,D,20071116,000000,8.8753,9.0807,7.9925,8.871,17096,0
PRF,D,20071119,000000,8.596,8.9689,8.596,8.9647,790,0
PRF,D,20071120,000000,8.59,8.8289,8.4603,8.4637,15257,0
PRF,D,20071121,000000,8.4087,8.4087,8.1707,8.3615,3733,0
PRF,D,20071122,000000,8.175,8.4087,7.5959,8.4087,9848,0
PRF,D,20071123,000000,8.0444,8.3615,8.0444,8.3615,649,0
PRF,D,20071126,000000,8.7816,8.7816,8.0351,8.2446,9221,0
PRF,D,20071127,000000,7.9414,8.2446,7.9414,8.2446,976,0
PRF,D,20071128,000000,7.9925,8.0815,7.9925,8.0815,1142,0
PRF,D,20071129,000000,8.2446,8.4036,8.2076,8.2446,6585,0
PRF,D,20071130,000000,8.2738,8.5024,8.2738,8.4319,9757,0
PRF,D,20071203,000000,8.2678,8.4319,8.2214,8.4319,535,0
PRF,D,20071204,000000,8.3151,8.3151,8.0815,8.0955,1424,0
PRF,D,20071205,000000,8.152,8.7782,8.152,8.7782,15103,0
PRF,D,20071206,000000,8.5625,8.9647,8.5625,8.9647,5672,0
PRF,D,20071207,000000,8.7816,9.109,8.7352,9.109,2251,0
PRF,D,20071210,000000,9.1554,9.39,9.1554,9.2955,10854,0
PRF,D,20071211,000000,8.8753,9.0162,8.8753,9.0162,1023,0
PRF,D,20071212,000000,9.1374,9.1374,8.4233,8.5488,5235,0
PRF,D,20071213,000000,8.572,8.572,8.456,8.456,2602,0
PRF,D,20071214,000000,8.4268,8.4268,8.128,8.128,2786,0
PRF,D,20071217,000000,7.8012,7.9414,7.7594,7.8941,4087,0
PRF,D,20071218,000000,8.0815,8.0815,7.7075,7.8902,35817,0
PRF,D,20071219,000000,7.9886,7.9886,7.4744,7.9274,51361,0
PRF,D,20071220,000000,7.8902,7.8902,7.4697,7.7075,38743,0
PRF,D,20071221,000000,7.7826,7.8476,7.5959,7.6191,32431,0
PRF,D,20071227,000000,7.6285,7.9088,7.6239,7.9088,8772,0
