<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWXA,D,20201020,000000,2.3,2.65,2.3,2.58,552236,0
PWXA,D,20201021,000000,2.58,2.63,2.53,2.6,58589,0
PWXA,D,20201022,000000,2.57,2.63,2.53,2.63,79172,0
PWXA,D,20201023,000000,2.64,2.72,2.63,2.7,359344,0
PWXA,D,20201026,000000,2.71,2.71,2.61,2.7,3610,0
PWXA,D,20201027,000000,2.69,2.73,2.66,2.73,35688,0
PWXA,D,20201028,000000,2.73,2.73,2.55,2.6,60486,0
PWXA,D,20201029,000000,2.65,2.65,2.55,2.57,20748,0
PWXA,D,20201030,000000,2.56,2.65,2.5,2.57,53031,0
PWXA,D,20201102,000000,2.57,2.65,2.57,2.57,19633,0
PWXA,D,20201103,000000,2.63,2.65,2.63,2.65,26150,0
