<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2015-06-15,16.573,16.573,16.271,16.271
2015-06-16,16.256,16.271,15.97,16.15
2015-06-17,16.121,16.498,15.819,16.339
2015-06-18,16.271,16.339,16.196,16.309
2015-06-19,16.339,16.339,16.045,16.121
2015-06-22,16.241,16.241,16.136,16.144
2015-06-23,16.144,16.234,15.932,16.196
2015-06-24,16.196,16.196,15.126,16.098
2015-06-25,16.092,16.188,15.819,16.188
2015-06-26,15.819,16.15,15.451,16.106
2015-06-29,15.481,15.819,15.481,15.819
2015-06-30,15.744,15.744,15.443,15.744
2015-07-01,15.819,16.083,15.819,16.083
2015-07-02,16.068,16.083,16.068,16.083
2015-07-03,16.092,16.226,16.083,16.083
2015-07-06,16.18,16.234,16.18,16.234
2015-07-07,16.234,16.724,16.234,16.234
2015-07-08,16.573,16.573,16.234,16.573
2015-07-09,16.573,16.611,16.564,16.564
2015-07-10,16.573,16.573,16.271,16.564
2015-07-13,16.611,16.611,16.423,16.564
2015-07-14,16.46,16.564,16.196,16.564
2015-07-15,16.564,16.564,15.992,16.564
2015-07-16,16.564,16.611,16.271,16.573
2015-07-17,16.611,16.611,16.557,16.564
2015-07-20,16.564,16.573,16.498,16.498
2015-07-21,16.498,16.564,16.49,16.564
2015-07-22,16.573,16.573,16.423,16.423
2015-07-23,16.55,16.573,16.55,16.573
2015-07-24,16.196,16.784,16.196,16.784
2015-07-27,16.656,16.656,16.573,16.573
2015-07-28,16.573,16.573,16.573,16.573
2015-07-29,16.557,16.557,16.557,16.557
2015-07-30,16.271,16.557,16.271,16.557
2015-07-31,16.55,16.55,16.55,16.55
2015-08-03,16.309,16.309,15.217,16.128
2015-08-04,16.045,16.045,15.894,16.045
2015-08-05,16.121,16.468,16.121,16.468
2015-08-06,16.468,16.468,16.468,16.468
2015-08-07,16.347,16.46,16.347,16.407
2015-08-10,16.468,16.468,16.407,16.407
2015-08-11,16.347,16.468,16.347,16.423
2015-08-12,16.423,16.423,15.97,16.414
2015-08-13,16.414,16.414,16.196,16.196
2015-08-14,16.196,16.423,16.196,16.423
