<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2010-11-30,12.249,12.249,11.044,11.356
2010-12-01,11.397,11.397,10.222,10.684
2010-12-02,10.364,10.862,10.307,10.442
2010-12-03,10.684,10.684,10.293,10.606
2010-12-06,10.35,10.364,10.307,10.329
2010-12-07,10.307,10.329,10.258,10.329
2010-12-08,10.258,10.435,9.987,10.329
2010-12-09,10.108,10.279,10.043,10.279
2010-12-10,10.043,10.079,10.029,10.079
2010-12-13,10.144,10.507,10.144,10.507
2010-12-14,10.613,10.663,10.613,10.642
2010-12-15,10.214,10.642,10.214,10.642
2010-12-16,10.592,10.642,10.592,10.642
2010-12-17,10.642,11.703,10.642,11.695
2010-12-20,12.045,12.045,10.913,10.913
2010-12-21,11.817,11.817,10.642,10.913
2010-12-22,10.934,10.934,10.4,10.891
2010-12-23,10.392,10.671,10.165,10.549
2010-12-27,10.478,10.756,10.478,10.549
2010-12-28,10.542,10.542,10.542,10.542
2010-12-29,10.542,10.853,10.542,10.685
2010-12-30,10.861,10.891,10.685,10.891
2010-12-31,10.899,10.899,10.823,10.899
2011-01-03,11.525,11.525,10.684,10.692
2011-01-04,10.826,10.826,10.549,10.549
2011-01-05,10.821,10.821,10.435,10.635
2011-01-07,10.642,10.642,10.364,10.635
2011-01-10,10.642,10.642,10.279,10.542
2011-01-11,10.642,10.677,10.329,10.642
2011-01-12,10.613,10.613,10.606,10.606
2011-01-13,10.635,10.635,10.635,10.635
2011-01-14,10.542,10.649,10.378,10.613
2011-01-17,10.663,10.898,10.613,10.741
2011-01-18,10.884,10.884,10.884,10.884
2011-01-19,10.884,10.884,10.621,10.621
2011-01-20,10.884,10.898,10.649,10.884
2011-01-21,10.884,11.312,10.329,11.312
2011-01-24,11.297,11.297,10.826,11.233
2011-01-25,11.219,11.219,10.442,10.556
2011-01-26,10.406,10.984,10.122,10.122
2011-01-27,10.613,10.613,10.222,10.222
2011-01-28,10.898,10.898,10.157,10.891
2011-01-31,10.777,10.777,10.685,10.685
2011-02-01,10.684,10.684,10.684,10.684
2011-02-02,10.677,10.684,10.535,10.671
2011-02-03,10.684,10.756,10.471,10.756
2011-02-04,10.72,10.72,10.471,10.471
2011-02-07,10.684,10.684,10.684,10.684
2011-02-08,10.671,10.826,10.471,10.684
2011-02-09,10.684,10.684,10.684,10.684
2011-02-10,10.677,10.712,10.329,10.677
2011-02-11,10.677,10.677,10.671,10.671
2011-02-14,10.677,10.969,10.649,10.649
2011-02-15,10.756,10.969,10.756,10.898
2011-02-16,10.898,11.112,10.898,10.969
2011-02-17,11.098,11.233,10.969,10.969
2011-02-18,11.212,11.233,10.969,10.969
2011-02-21,11.041,11.354,11.012,11.255
2011-02-22,11.354,11.389,11.348,11.389
2011-02-23,11.255,11.532,11.255,11.397
2011-02-24,11.397,11.731,11.389,11.69
2011-02-25,11.731,11.81,11.731,11.81
2011-02-28,11.41,12.088,11.41,12.034
2011-03-01,11.967,12.088,11.718,11.718
2011-03-02,11.682,12.088,11.682,12.038
2011-03-03,12.066,12.088,12.031,12.066
2011-03-04,12.059,12.088,12.053,12.088
2011-03-07,12.251,12.251,11.824,12.002
2011-03-08,11.967,12.251,11.967,12.251
