<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1999-01-20,2.7946,2.7946,2.7946,2.7946
1999-01-21,2.5162,2.5162,2.5162,2.5162
1999-01-22,2.2663,2.2663,2.2663,2.2663
1999-01-25,2.0358,2.0358,2.0358,2.0358
1999-01-26,1.8438,1.8438,1.8438,1.8438
1999-01-27,2.0166,2.0166,2.0166,2.0166
1999-01-28,2.2185,2.2185,2.2185,2.2185
1999-01-29,2.4202,2.4202,2.4202,2.4202
1999-02-01,2.6121,2.6121,2.6121,2.6121
1999-02-02,2.4202,2.4202,2.4202,2.4202
1999-02-03,2.4681,2.4681,2.4681,2.4681
1999-02-04,2.5162,2.5162,2.5162,2.5162
1999-02-05,2.4681,2.4681,2.4681,2.4681
1999-02-08,2.4202,2.4202,2.4202,2.4202
1999-02-09,2.324,2.324,2.324,2.324
1999-02-10,2.2376,2.2376,2.2376,2.2376
1999-02-11,2.372,2.372,2.372,2.372
1999-02-12,2.4202,2.4202,2.4202,2.4202
1999-02-15,2.4202,2.4202,2.4202,2.4202
1999-02-16,2.2376,2.2376,2.2376,2.2376
1999-02-17,2.2376,2.2376,2.2376,2.2376
1999-02-18,2.2376,2.2376,2.2376,2.2376
1999-02-19,2.2376,2.2376,2.2376,2.2376
1999-02-22,2.4202,2.4202,2.4202,2.4202
1999-02-23,2.2376,2.2376,2.2376,2.2376
1999-02-24,2.2376,2.2376,2.2376,2.2376
1999-02-25,2.3049,2.3049,2.3049,2.3049
1999-02-26,2.2376,2.2376,2.2376,2.2376
1999-03-01,2.2376,2.2376,2.2376,2.2376
1999-03-02,2.1416,2.1416,2.1416,2.1416
1999-03-03,2.1416,2.1416,2.1416,2.1416
1999-03-04,2.0071,2.0071,2.0071,2.0071
1999-03-05,2.2087,2.2087,2.2087,2.2087
1999-03-08,2.4202,2.4202,2.4202,2.4202
1999-03-09,2.4202,2.4202,2.4202,2.4202
1999-03-10,2.324,2.324,2.324,2.324
1999-03-11,2.2857,2.2857,2.2857,2.2857
1999-03-12,2.324,2.324,2.324,2.324
1999-03-15,2.1224,2.1224,2.1224,2.1224
1999-03-16,2.324,2.324,2.324,2.324
1999-03-17,2.2376,2.2376,2.2376,2.2376
1999-03-18,2.324,2.324,2.324,2.324
1999-03-19,2.4202,2.4202,2.4202,2.4202
1999-03-22,2.2376,2.2376,2.2376,2.2376
1999-03-23,2.2376,2.2376,2.2376,2.2376
1999-03-24,2.2376,2.2376,2.2376,2.2376
1999-03-25,2.324,2.324,2.324,2.324
1999-03-26,2.324,2.324,2.324,2.324
1999-03-29,2.2376,2.2376,2.2376,2.2376
1999-03-30,2.1416,2.1416,2.1416,2.1416
1999-03-31,2.2376,2.2376,2.2376,2.2376
1999-04-01,2.1896,2.1896,2.1896,2.1896
1999-04-06,1.9782,1.9782,1.9782,1.9782
1999-04-07,2.0935,2.0935,2.0935,2.0935
1999-04-08,2.132,2.132,2.132,2.132
1999-04-09,2.0935,2.0935,2.0935,2.0935
1999-04-12,2.0935,2.0935,2.0935,2.0935
1999-04-13,2.0455,2.0455,2.0455,2.0455
1999-04-14,2.0455,2.0455,2.0455,2.0455
1999-04-15,2.0455,2.0455,2.0455,2.0455
1999-04-16,1.9975,1.9975,1.9975,1.9975
