<DATE>,<CLOSE>
2006-09-21,10.862
2006-09-22,10.77
2006-09-25,10.983
2006-09-26,11.179
2006-09-27,11.096
2006-09-28,11.141
2006-09-29,11.141
2006-10-02,11.141
2006-10-03,11.133
2006-10-04,11.16
2006-10-05,11.188
2006-10-06,11.559
2006-10-09,11.633
2006-10-10,11.653
2006-10-11,11.699
2006-10-12,11.987
2006-10-13,11.996
2006-10-16,11.977
2006-10-17,11.522
2006-10-18,11.559
2006-10-19,11.559
2006-10-20,11.374
2006-10-23,11.512
2006-10-24,11.605
2006-10-25,11.467
2006-10-26,11.327
2006-10-27,11.281
2006-10-30,11.188
2006-10-31,11.188
2006-11-02,11.188
2006-11-03,11.151
2006-11-06,11.327
2006-11-07,12.535
2006-11-08,12.905
2006-11-09,12.766
2006-11-10,12.58
2006-11-13,12.349
2006-11-14,12.58
2006-11-15,12.201
2006-11-16,12.33
2006-11-17,12.08
2006-11-20,12.301
2006-11-21,12.813
2006-11-22,12.998
2006-11-23,13.185
2006-11-24,13.463
2006-11-27,13.602
2006-11-28,13.556
2006-11-29,13.973
2006-11-30,13.928
2006-12-01,14.159
2006-12-04,14.132
2006-12-05,15.04
2006-12-06,14.855
2006-12-07,15.598
2006-12-08,16.248
2006-12-11,17.911
2006-12-12,17.52
2006-12-13,16.805
2006-12-14,16.341
2006-12-15,16.248
2006-12-18,16.248
2006-12-19,15.783
2006-12-20,15.783
2006-12-21,15.283
2006-12-22,15.691
2006-12-27,15.877
2006-12-28,15.877
2006-12-29,15.877
2007-01-02,15.737
2007-01-03,15.691
2007-01-04,15.737
2007-01-05,15.32
2007-01-08,15.32
2007-01-09,15.719
2007-01-10,15.877
2007-01-11,16.517
2007-01-12,16.433
2007-01-15,16.564
2007-01-16,16.433
2007-01-17,16.526
2007-01-18,17.084
2007-01-19,16.713
2007-01-22,16.713
2007-01-23,17.149
2007-01-24,17.641
2007-01-25,17.641
2007-01-26,17.641
2007-01-29,17.641
2007-01-30,17.641
2007-01-31,17.919
2007-02-01,18.848
2007-02-02,19.033
2007-02-05,19.387
2007-02-06,19.405
2007-02-07,18.94
2007-02-08,18.383
2007-02-09,18.106
2007-02-12,18.106
2007-02-13,19.219
2007-02-14,19.311
2007-02-15,18.625
2007-02-16,18.568
2007-02-19,19.219
2007-02-20,19.228
2007-02-21,18.848
2007-02-22,18.94
