<DATE>,<CLOSE>
2011-08-11,10.306
2011-08-12,10.306
2011-08-16,10.306
2011-08-17,10.254
2011-08-18,10.24
2011-08-19,10.204
2011-08-22,10.099
2011-08-23,10.093
2011-08-24,10.155
2011-08-25,10.155
2011-08-26,10.178
2011-08-29,10.617
2011-08-30,10.617
2011-08-31,10.979
2011-09-01,11.238
2011-09-02,11.238
2011-09-05,11.186
2011-09-06,11.238
2011-09-09,11.186
2011-09-12,11.233
2011-09-13,11.16
2011-09-14,11.16
2011-09-15,11.16
2011-09-19,11.16
2011-09-20,11.344
2011-09-21,11.238
2011-09-22,10.746
2011-09-23,10.441
2011-09-26,10.514
2011-09-27,10.359
2011-09-28,10.746
2011-09-29,10.617
2011-09-30,10.333
2011-10-03,10.306
2011-10-04,10.311
2011-10-05,10.354
2011-10-06,10.354
2011-10-07,10.876
2011-10-11,10.87
2011-10-12,10.851
2011-10-13,10.746
2011-10-14,10.772
2011-10-17,10.799
2011-10-18,10.799
2011-10-19,10.824
2011-10-20,10.669
2011-10-21,10.876
2011-10-24,10.767
2011-10-25,10.876
2011-10-26,10.876
2011-10-27,11.233
2011-10-28,11.13
2011-10-31,11.369
2011-11-02,10.824
2011-11-03,10.907
2011-11-04,11.108
2011-11-07,11.289
2011-11-08,11.289
2011-11-09,11.13
2011-11-14,11.125
2011-11-15,11.134
2011-11-16,11.119
2011-11-18,11.134
2011-11-21,11.134
2011-11-22,11.208
2011-11-25,11.182
2011-11-30,11.288
2011-12-01,11.344
2011-12-05,11.286
2011-12-08,10.927
2011-12-09,11.098
2011-12-14,11.186
2011-12-15,11.125
2011-12-16,11.125
2011-12-19,10.772
2011-12-20,10.617
2011-12-21,10.565
2011-12-22,10.565
2011-12-23,11.497
2011-12-27,10.565
2011-12-28,10.461
2011-12-29,10.359
2011-12-30,10.356
2012-01-02,11.394
2012-01-03,10.876
2012-01-04,11.114
2012-01-13,11.114
2012-01-16,11.114
2012-01-17,11.394
2012-01-18,11.166
2012-01-19,11.289
2012-01-20,11.394
2012-01-26,11.108
2012-01-27,11.125
2012-01-30,11.134
2012-01-31,11.11
2012-02-02,11.134
2012-02-03,11.134
2012-02-07,10.881
2012-02-08,10.876
2012-02-10,11.076
2012-02-13,11.083
2012-02-14,11.021
2012-02-15,10.876
2012-02-17,11.344
