<TICKER>,<DATE>,<CLOSE>
AGO,1999-04-20,32.544
AGO,1999-04-21,32.269
AGO,1999-04-22,33.929
AGO,1999-04-23,34.342
AGO,1999-04-26,33.863
AGO,1999-04-27,33.03
AGO,1999-04-28,31.928
AGO,1999-04-29,31.789
AGO,1999-04-30,32.064
AGO,1999-05-04,32.405
AGO,1999-05-05,31.789
AGO,1999-05-06,31.442
AGO,1999-05-07,31.37
AGO,1999-05-10,30.753
AGO,1999-05-11,29.991
AGO,1999-05-12,29.716
AGO,1999-05-13,30.404
AGO,1999-05-14,30.129
AGO,1999-05-17,29.854
AGO,1999-05-18,30.195
AGO,1999-05-19,30.129
AGO,1999-05-20,30.057
AGO,1999-05-21,30.956
AGO,1999-05-24,30.89
AGO,1999-05-25,30.404
AGO,1999-05-26,30.404
AGO,1999-05-27,30.057
AGO,1999-05-28,29.991
AGO,1999-05-31,29.782
AGO,1999-06-01,30.195
AGO,1999-06-02,30.542
AGO,1999-06-07,31.442
AGO,1999-06-08,31.304
AGO,1999-06-09,32.405
AGO,1999-06-10,31.992
AGO,1999-06-11,32.617
AGO,1999-06-14,32.13
AGO,1999-06-15,32.064
AGO,1999-06-16,31.789
AGO,1999-06-17,31.992
AGO,1999-06-18,31.928
AGO,1999-06-21,32.13
AGO,1999-06-22,33.167
AGO,1999-06-23,32.964
AGO,1999-06-24,33.03
AGO,1999-06-25,32.341
AGO,1999-06-28,32.269
AGO,1999-06-29,31.579
AGO,1999-06-30,31.304
AGO,1999-07-01,32.064
AGO,1999-07-02,32.617
AGO,1999-07-05,32.341
AGO,1999-07-06,32.405
AGO,1999-07-07,32.478
AGO,1999-07-08,32.13
AGO,1999-07-09,32.13
AGO,1999-07-12,32.341
AGO,1999-07-13,31.442
AGO,1999-07-14,31.992
AGO,1999-07-15,32.892
AGO,1999-07-16,32.828
AGO,1999-07-19,32.828
AGO,1999-07-20,31.855
AGO,1999-07-21,32.405
AGO,1999-07-22,31.855
AGO,1999-07-23,31.992
AGO,1999-07-26,30.956
AGO,1999-07-27,31.028
AGO,1999-07-28,30.956
AGO,1999-07-29,30.477
AGO,1999-07-30,31.231
AGO,1999-08-02,30.956
AGO,1999-08-03,31.093
AGO,1999-08-04,31.093
AGO,1999-08-05,31.093
AGO,1999-08-06,31.166
AGO,1999-08-09,31.093
AGO,1999-08-10,30.542
AGO,1999-08-11,31.028
AGO,1999-08-12,31.093
AGO,1999-08-13,31.093
AGO,1999-08-16,30.817
AGO,1999-08-17,31.093
AGO,1999-08-18,30.956
AGO,1999-08-19,31.37
AGO,1999-08-20,30.68
AGO,1999-08-23,30.615
AGO,1999-08-24,31.093
AGO,1999-08-25,30.956
AGO,1999-08-26,31.093
AGO,1999-08-27,30.817
AGO,1999-08-30,30.68
AGO,1999-08-31,30.404
AGO,1999-09-01,30.542
AGO,1999-09-02,30.404
AGO,1999-09-03,30.404
AGO,1999-09-06,30.477
AGO,1999-09-07,30.753
AGO,1999-09-08,30.817
AGO,1999-09-09,30.753
AGO,1999-09-10,31.028
AGO,1999-09-13,30.753
AGO,1999-09-14,29.991
AGO,1999-09-15,29.578
AGO,1999-09-16,29.092
AGO,1999-09-17,29.368
AGO,1999-09-20,28.331
AGO,1999-09-21,27.018
AGO,1999-09-22,27.228
AGO,1999-09-23,26.605
AGO,1999-09-24,24.879
AGO,1999-09-27,25.495
AGO,1999-09-28,24.879
AGO,1999-09-29,24.742
AGO,1999-09-30,25.221
AGO,1999-10-01,25.495
AGO,1999-10-04,25.981
AGO,1999-10-05,26.743
AGO,1999-10-06,26.953
AGO,1999-10-07,26.953
AGO,1999-10-08,26.953
AGO,1999-10-11,26.467
AGO,1999-10-12,26.12
AGO,1999-10-13,26.054
AGO,1999-10-14,26.395
AGO,1999-10-15,25.843
AGO,1999-10-18,25.495
AGO,1999-10-19,26.256
AGO,1999-10-20,26.605
AGO,1999-10-21,27.09
AGO,1999-10-22,27.983
AGO,1999-10-25,27.642
AGO,1999-10-26,27.642
AGO,1999-10-27,27.294
AGO,1999-10-28,28.331
AGO,1999-10-29,29.092
AGO,1999-11-02,29.716
AGO,1999-11-03,29.368
AGO,1999-11-04,28.469
AGO,1999-11-05,28.128
AGO,1999-11-08,27.917
AGO,1999-11-09,28.469
AGO,1999-11-10,27.983
AGO,1999-11-15,28.266
AGO,1999-11-16,28.403
AGO,1999-11-17,29.019
AGO,1999-11-18,29.782
AGO,1999-11-19,30.542
AGO,1999-11-22,30.404
AGO,1999-11-23,29.716
AGO,1999-11-24,30.057
AGO,1999-11-25,30.34
AGO,1999-11-26,29.782
AGO,1999-11-29,29.441
AGO,1999-11-30,30.404
AGO,1999-12-01,30.404
AGO,1999-12-02,30.404
AGO,1999-12-03,32.13
AGO,1999-12-06,32.13
AGO,1999-12-07,33.515
AGO,1999-12-08,33.515
AGO,1999-12-09,33.581
AGO,1999-12-10,33.581
AGO,1999-12-13,34.893
AGO,1999-12-14,36.902
AGO,1999-12-15,37.314
AGO,1999-12-16,39.041
AGO,1999-12-17,41.462
AGO,1999-12-20,42.151
AGO,1999-12-21,39.737
AGO,1999-12-22,41.803
AGO,1999-12-23,42.775
AGO,1999-12-27,41.803
AGO,1999-12-28,41.187
AGO,1999-12-29,41.739
AGO,2000-01-03,45.262
AGO,2000-01-04,44.915
AGO,2000-01-05,47.126
AGO,2000-01-06,54.522
AGO,2000-01-07,53.55
AGO,2000-01-10,55.625
AGO,2000-01-11,53.485
AGO,2000-01-12,53.275
AGO,2000-01-13,53.696
AGO,2000-01-14,52.238
AGO,2000-01-17,51.76
AGO,2000-01-18,50.447
AGO,2000-01-19,51.825
AGO,2000-01-20,54.87
AGO,2000-01-21,56.248
AGO,2000-01-24,54.247
AGO,2000-01-25,54.037
AGO,2000-01-26,55.283
AGO,2000-01-27,56.799
AGO,2000-01-28,58.111
AGO,2000-01-31,60.121
AGO,2000-02-01,62.882
AGO,2000-02-02,64.957
AGO,2000-02-03,74.282
AGO,2000-02-04,72.556
AGO,2000-02-07,79.467
AGO,2000-02-08,87.067
AGO,2000-02-09,86.377
AGO,2000-02-10,82.23
AGO,2000-02-11,81.541
AGO,2000-02-14,81.541
AGO,2000-02-15,81.541
AGO,2000-02-16,79.467
AGO,2000-02-17,82.23
AGO,2000-02-18,80.155
AGO,2000-02-21,79.467
AGO,2000-02-22,85.34
AGO,2000-02-23,86.377
AGO,2000-02-24,97.78
AGO,2000-02-25,96.731
AGO,2000-02-28,102.61
AGO,2000-02-29,99.51
AGO,2000-03-01,98.81
AGO,2000-03-02,107.11
AGO,2000-03-03,120.94
AGO,2000-03-06,125.77
AGO,2000-03-07,120.94
AGO,2000-03-08,113.33
AGO,2000-03-09,117.47
AGO,2000-03-10,119.54
AGO,2000-03-13,106.08
AGO,2000-03-14,111.6
AGO,2000-03-15,101.92
AGO,2000-03-16,95.015
AGO,2000-03-17,99.51
AGO,2000-03-20,100.2
AGO,2000-03-21,90.524
AGO,2000-03-22,92.254
AGO,2000-03-23,91.211
AGO,2000-03-24,94.664
AGO,2000-03-27,99.84
AGO,2000-03-28,100.54
AGO,2000-03-29,95.015
AGO,2000-03-30,81.192
AGO,2000-03-31,81.889
AGO,2000-04-03,76.704
AGO,2000-04-04,76.704
AGO,2000-04-05,74.63
AGO,2000-04-06,81.192
AGO,2000-04-07,80.851
AGO,2000-04-10,77.052
AGO,2000-04-11,71.179
AGO,2000-04-12,73.942
AGO,2000-04-13,74.282
AGO,2000-04-14,75.319
AGO,2000-04-17,67.031
AGO,2000-04-18,70.483
AGO,2000-04-19,68.409
AGO,2000-04-20,69.794
AGO,2000-04-25,68.134
AGO,2000-04-26,70.142
AGO,2000-04-27,68.481
AGO,2000-04-28,74.282
AGO,2000-05-04,72.904
AGO,2000-05-05,73.942
AGO,2000-05-08,74.282
AGO,2000-05-09,76.016
AGO,2000-05-10,84.302
AGO,2000-05-11,90.524
AGO,2000-05-12,87.762
AGO,2000-05-15,80.155
AGO,2000-05-16,84.302
AGO,2000-05-17,81.192
AGO,2000-05-18,83.615
AGO,2000-05-19,78.779
AGO,2000-05-22,74.63
AGO,2000-05-23,72.556
AGO,2000-05-24,70.83
AGO,2000-05-25,73.942
AGO,2000-05-26,72.904
AGO,2000-05-29,73.942
AGO,2000-05-30,77.74
AGO,2000-05-31,78.779
AGO,2000-06-01,80.851
AGO,2000-06-02,82.577
AGO,2000-06-05,81.889
AGO,2000-06-06,81.192
AGO,2000-06-07,84.302
AGO,2000-06-08,83.266
AGO,2000-06-09,85.688
AGO,2000-06-12,83.615
AGO,2000-06-13,81.889
AGO,2000-06-14,82.926
AGO,2000-06-15,81.192
AGO,2000-06-16,81.889
AGO,2000-06-19,79.467
AGO,2000-06-20,80.851
AGO,2000-06-21,79.467
AGO,2000-06-23,79.467
AGO,2000-06-26,79.467
AGO,2000-06-27,79.467
AGO,2000-06-28,80.155
AGO,2000-06-29,79.814
AGO,2000-06-30,77.74
AGO,2000-07-03,75.666
AGO,2000-07-04,79.119
AGO,2000-07-05,77.052
AGO,2000-07-06,76.704
AGO,2000-07-07,74.978
AGO,2000-07-10,75.319
AGO,2000-07-11,74.282
AGO,2000-07-12,77.052
AGO,2000-07-13,78.089
AGO,2000-07-14,77.393
AGO,2000-07-17,78.089
AGO,2000-07-18,78.779
AGO,2000-07-19,81.889
AGO,2000-07-20,83.962
AGO,2000-07-21,83.615
AGO,2000-07-24,81.541
AGO,2000-07-25,80.851
AGO,2000-07-26,78.779
AGO,2000-07-27,78.43
AGO,2000-07-28,77.052
AGO,2000-07-31,77.052
AGO,2000-08-01,75.319
AGO,2000-08-02,76.356
AGO,2000-08-03,74.978
AGO,2000-08-04,78.089
AGO,2000-08-07,76.704
AGO,2000-08-08,78.089
AGO,2000-08-09,81.192
AGO,2000-08-10,79.119
AGO,2000-08-11,77.052
AGO,2000-08-14,78.089
AGO,2000-08-16,78.779
AGO,2000-08-17,74.978
AGO,2000-08-18,77.052
AGO,2000-08-21,76.704
AGO,2000-08-22,76.016
AGO,2000-08-23,76.356
AGO,2000-08-24,78.779
AGO,2000-08-25,78.43
AGO,2000-08-28,77.393
AGO,2000-08-29,76.704
AGO,2000-08-30,77.393
AGO,2000-08-31,78.43
AGO,2000-09-01,81.192
AGO,2000-09-04,79.814
AGO,2000-09-05,79.467
AGO,2000-09-06,79.814
AGO,2000-09-07,79.119
AGO,2000-09-08,78.43
AGO,2000-09-11,77.393
AGO,2000-09-12,78.779
AGO,2000-09-13,79.119
AGO,2000-09-14,78.43
AGO,2000-09-15,78.43
AGO,2000-09-18,76.704
AGO,2000-09-19,75.319
AGO,2000-09-20,72.556
AGO,2000-09-21,68.967
AGO,2000-09-22,62.882
AGO,2000-09-25,66.335
AGO,2000-09-26,63.573
AGO,2000-09-27,62.745
AGO,2000-09-28,60.121
AGO,2000-09-29,60.882
AGO,2000-10-02,62.195
AGO,2000-10-03,60.809
AGO,2000-10-04,60.461
AGO,2000-10-05,61.918
AGO,2000-10-06,60.121
AGO,2000-10-09,57.77
AGO,2000-10-10,56.182
AGO,2000-10-11,51.825
AGO,2000-10-12,51.484
AGO,2000-10-13,49.41
AGO,2000-10-16,53.21
AGO,2000-10-17,55.146
AGO,2000-10-18,52.311
AGO,2000-10-19,56.661
AGO,2000-10-20,60.882
AGO,2000-10-23,61.157
AGO,2000-10-24,63.434
AGO,2000-10-25,61.36
AGO,2000-10-26,58.533
AGO,2000-10-27,58.808
AGO,2000-10-30,56.799
AGO,2000-10-31,58.873
AGO,2000-11-02,62.81
AGO,2000-11-03,61.432
AGO,2000-11-06,64.747
AGO,2000-11-07,62.956
AGO,2000-11-08,61.846
AGO,2000-11-09,58.735
AGO,2000-11-10,57.357
AGO,2000-11-13,55.559
AGO,2000-11-14,58.67
AGO,2000-11-15,57.699
AGO,2000-11-16,57.699
AGO,2000-11-17,57.77
AGO,2000-11-20,58.046
AGO,2000-11-21,58.533
AGO,2000-11-22,57.837
AGO,2000-11-23,57.496
AGO,2000-11-24,59.222
AGO,2000-11-27,59.497
AGO,2000-11-28,58.735
AGO,2000-11-29,57.496
AGO,2000-11-30,55.973
AGO,2000-12-01,56.321
AGO,2000-12-04,56.182
AGO,2000-12-05,57.909
AGO,2000-12-06,58.67
AGO,2000-12-07,58.395
AGO,2000-12-08,61.018
