<DATE>,<CLOSE>
2013-01-08,9
2013-01-09,9
2013-01-10,9
2013-01-11,10
2013-01-15,10
2013-02-18,9.5
2013-02-22,9
2013-02-25,9
2013-02-26,9.5
2013-02-27,9.45
2013-03-06,9.5
2013-03-07,9
2013-03-08,9.5
2013-03-11,9.5
2013-03-14,9.99
2013-03-15,10
2013-03-19,9.86
2013-03-20,10
2013-03-21,9.9
2013-03-22,10
2013-03-25,10.1
2013-03-26,10.14
2013-03-28,10.2
2013-04-05,10.4
2013-04-11,10.9
2013-04-12,10.7
2013-04-19,10.99
2013-04-26,10.99
2013-04-29,11.19
2013-04-30,11.15
2013-05-02,11.19
2013-05-07,11.2
2013-05-08,11.45
2013-05-09,11.49
2013-05-10,11.6
2013-05-13,11.6
2013-05-14,11.95
2013-05-15,12
2013-05-16,11.85
2013-05-17,12.05
2013-05-20,12
2013-05-21,12.04
2013-05-23,12
2013-05-24,11.8
2013-05-27,11.5
2013-05-28,11.8
2013-05-29,12.01
2013-05-31,12.05
2013-06-03,11.22
2013-06-04,11.95
2013-06-05,12.05
2013-06-06,12.04
2013-06-07,12.1
2013-06-10,12.1
2013-06-11,12.09
2013-06-12,12.09
2013-06-13,12.09
2013-06-14,12.09
2013-06-17,12.14
2013-06-19,12.14
2013-06-20,12.15
2013-06-21,12.19
2013-06-24,12.2
2013-06-25,12
2013-06-27,12.1
2013-06-28,12.2
2013-07-02,12.15
2013-07-03,12.15
2013-07-04,12.2
2013-07-08,11.55
2013-07-09,11.65
2013-07-10,10.8
2013-07-11,10.8
2013-07-16,10.1
2013-07-17,10.2
2013-07-25,10.09
2013-08-05,9.5
2013-08-06,9.45
2013-08-08,9.45
2013-08-13,9.45
2013-08-19,9.4
2013-08-20,9.4
2013-08-21,9.4
2013-08-22,9.4
2013-08-23,9.44
2013-08-26,9.44
2013-08-27,9.44
2013-08-29,9
2013-08-30,9
2013-09-02,8.38
2013-09-06,7.65
2013-09-09,7.2
2013-09-10,6.53
2013-09-11,6.55
2013-09-12,6.56
2013-09-13,6.59
2013-09-16,6.6
2013-09-17,7.1
2013-09-18,6.6
2013-09-19,6.62
2013-09-20,6.7
2013-09-23,6.72
2013-09-24,6.5
2013-09-27,6.5
2013-09-30,6.5
2013-10-04,6.5
2013-10-16,6.5
2013-10-21,6.7
2013-10-22,6.5
2013-10-23,7
2013-10-25,7
2013-10-28,7
2013-10-30,7
2013-11-19,7
2013-11-20,7.5
2013-11-21,7.5
2013-11-26,7.5
2013-11-27,7.5
2013-12-03,7.5
2013-12-04,7.5
2013-12-05,7.5
2013-12-06,7.5
2013-12-09,8.5
2013-12-11,8
2013-12-12,8
2013-12-16,8
2014-01-08,7.5
2014-01-09,6.85
2014-01-10,6.85
2014-01-24,6.5
2014-01-30,7.5
2014-02-03,6.8
2014-02-04,6.8
2014-02-12,7.5
2014-02-21,8
2014-02-28,7.74
2014-03-03,7.63
2014-03-04,7.8
2014-03-06,7.79
2014-03-07,7.63
2014-03-10,7.3
2014-03-12,7
2014-03-13,7
2014-03-17,7
2014-03-25,7
2014-03-28,7
2014-03-31,7
2014-04-01,7
2014-04-02,7.3
2014-04-03,7.4
2014-04-04,7.4
2014-04-08,7.4
2014-04-09,7.45
2014-04-15,7.52
2014-04-16,7.65
2014-04-17,7.8
2014-04-24,7.8
2014-04-25,8.13
2014-04-28,9.42
2014-04-29,10.25
2014-04-30,11.25
2014-05-02,12.25
2014-05-05,12.85
2014-05-06,13.2
2014-05-09,13
2014-05-14,13.8
2014-05-15,14
2014-05-21,14
2014-05-22,14
2014-05-23,14
2014-05-27,14
2014-05-28,14
2014-05-29,14
2014-05-30,14
2014-06-02,14.3
2014-06-06,14.5
2014-06-09,14.75
2014-06-13,15.25
2014-06-18,15.4
2014-06-23,15.75
2014-06-25,15.9
2014-06-27,15.9
2014-07-01,15.5
2014-07-14,15.9
2014-07-15,15.9
2014-07-17,15.9
2014-07-18,16
2014-08-05,15.9
2014-08-18,15.5
2014-08-29,15
2014-09-02,15.1
2014-09-03,15.1
2014-09-04,15.2
2014-09-08,14.8
2014-09-09,15.2
2014-09-10,15.2
2014-09-11,15.2
2014-09-12,15.2
2014-09-15,15.25
2014-09-26,15.9
2014-09-29,15.95
2014-10-07,15
2014-10-08,15
2014-10-10,15.4
