<TICKER>,<DATE>,<CLOSE>
ALI,2014-07-11,7.5251
ALI,2014-07-14,7.4776
ALI,2014-07-15,7.129
ALI,2014-07-16,6.9152
ALI,2014-07-17,7.3984
ALI,2014-07-18,7.3984
ALI,2014-07-21,7.2874
ALI,2014-07-22,7.3984
ALI,2014-07-23,7.3667
ALI,2014-07-24,7.3667
ALI,2014-07-25,7.4142
ALI,2014-07-28,7.2637
ALI,2014-07-29,7.3667
ALI,2014-07-30,7.2874
ALI,2014-07-31,7.1924
ALI,2014-08-01,7.2082
ALI,2014-08-04,7.1053
ALI,2014-08-05,7.1924
ALI,2014-08-06,7.1053
ALI,2014-08-07,6.8122
ALI,2014-08-08,6.9311
ALI,2014-08-11,7.0894
ALI,2014-08-12,6.8518
ALI,2014-08-13,6.7885
ALI,2014-08-14,6.6855
ALI,2014-08-18,6.733
ALI,2014-08-19,6.8914
ALI,2014-08-20,7.1924
ALI,2014-08-21,7.1211
ALI,2014-08-22,7.1132
ALI,2014-08-25,7.0894
ALI,2014-08-26,7.0736
ALI,2014-08-27,6.8835
ALI,2014-08-28,7.0103
ALI,2014-08-29,6.9944
ALI,2014-09-01,6.7726
ALI,2014-09-02,6.7251
ALI,2014-09-03,6.7964
ALI,2014-09-04,7.0419
ALI,2014-09-05,6.9231
ALI,2014-09-08,6.9707
ALI,2014-09-09,6.9707
ALI,2014-09-10,7.0894
ALI,2014-09-11,7.0498
ALI,2014-09-12,7.0419
ALI,2014-09-15,7.0182
ALI,2014-09-16,7.0103
ALI,2014-09-17,7.0498
ALI,2014-09-18,7.2003
ALI,2014-09-19,7.2241
ALI,2014-09-22,7.2796
ALI,2014-09-23,7.2796
ALI,2014-09-24,7.2716
ALI,2014-09-25,7.2716
ALI,2014-09-26,7.2874
ALI,2014-09-29,7.3192
ALI,2014-09-30,7.2796
ALI,2014-10-01,7.2716
ALI,2014-10-02,7.3508
ALI,2014-10-03,7.3508
ALI,2014-10-06,7.3588
ALI,2014-10-07,7.3508
ALI,2014-10-08,7.3508
ALI,2014-10-09,7.3429
ALI,2014-10-10,7.335
ALI,2014-10-13,7.2874
ALI,2014-10-14,7.2716
ALI,2014-10-15,7.2478
ALI,2014-10-16,7.2478
ALI,2014-10-17,7.24
ALI,2014-10-20,7.2637
ALI,2014-10-21,7.2796
ALI,2014-10-22,7.3271
ALI,2014-10-23,7.335
ALI,2014-10-24,7.3271
ALI,2014-10-27,7.2874
ALI,2014-10-28,7.335
ALI,2014-10-29,7.2003
ALI,2014-10-30,7.137
ALI,2014-10-31,7.2478
ALI,2014-11-03,7.232
ALI,2014-11-04,7.3112
ALI,2014-11-05,7.3192
ALI,2014-11-06,7.4855
ALI,2014-11-07,7.5092
ALI,2014-11-10,7.4776
ALI,2014-11-12,7.4459
ALI,2014-11-13,7.438
ALI,2014-11-14,7.3271
ALI,2014-11-17,7.2874
ALI,2014-11-18,7.4221
ALI,2014-11-19,7.4063
ALI,2014-11-20,7.3588
ALI,2014-11-21,7.1845
ALI,2014-11-24,7.3667
ALI,2014-11-25,7.2874
ALI,2014-11-26,7.129
ALI,2014-11-27,7.4142
ALI,2014-11-28,7.4142
ALI,2014-12-01,7.2874
ALI,2014-12-02,7.4063
ALI,2014-12-03,7.3588
ALI,2014-12-04,7.2874
ALI,2014-12-05,7.3667
ALI,2014-12-08,7.3588
ALI,2014-12-09,7.3508
ALI,2014-12-10,7.3508
ALI,2014-12-11,7.3508
ALI,2014-12-12,7.3429
ALI,2014-12-15,7.2874
ALI,2014-12-16,7.2637
ALI,2014-12-17,7.335
ALI,2014-12-18,7.3033
ALI,2014-12-19,7.2716
ALI,2014-12-22,7.2558
ALI,2014-12-23,7.24
ALI,2014-12-29,7.3112
