<TICKER>,<DATE>,<CLOSE>
ALR,2012-12-14,49.662
ALR,2012-12-17,49.948
ALR,2012-12-18,50.763
ALR,2012-12-19,50.926
ALR,2012-12-20,50.763
ALR,2012-12-21,50.763
ALR,2012-12-27,51.579
ALR,2012-12-28,51.09
ALR,2013-01-02,52.19
ALR,2013-01-03,52.924
ALR,2013-01-04,53.454
ALR,2013-01-07,53.74
ALR,2013-01-08,52.19
ALR,2013-01-09,52.598
ALR,2013-01-10,52.557
ALR,2013-01-11,52.272
ALR,2013-01-14,51.457
ALR,2013-01-15,50.967
ALR,2013-01-16,51.375
ALR,2013-01-17,52.354
ALR,2013-01-18,53.332
ALR,2013-01-21,56.676
ALR,2013-01-22,59.367
ALR,2013-01-23,61.038
ALR,2013-01-24,60.345
ALR,2013-01-25,60.753
ALR,2013-01-28,61.568
ALR,2013-01-29,61.487
ALR,2013-01-30,60.06
ALR,2013-01-31,58.47
ALR,2013-02-01,58.918
ALR,2013-02-04,59.611
ALR,2013-02-05,59.937
ALR,2013-02-06,59.326
ALR,2013-02-07,59.04
ALR,2013-02-08,59.489
ALR,2013-02-11,59.53
ALR,2013-02-12,59.367
ALR,2013-02-13,59.285
ALR,2013-02-14,59.937
ALR,2013-02-15,59.53
ALR,2013-02-18,57.736
ALR,2013-02-19,57.083
ALR,2013-02-20,58.021
ALR,2013-02-21,57.083
ALR,2013-02-22,57.083
ALR,2013-02-25,57.899
ALR,2013-02-26,57.491
ALR,2013-02-27,57.083
ALR,2013-02-28,57.654
ALR,2013-03-01,57.083
ALR,2013-03-04,57.246
ALR,2013-03-05,57.899
ALR,2013-03-06,57.776
ALR,2013-03-07,55.452
ALR,2013-03-08,57.043
ALR,2013-03-11,56.92
ALR,2013-03-12,56.512
ALR,2013-03-13,56.227
ALR,2013-03-14,56.798
ALR,2013-03-15,57.246
ALR,2013-03-18,57.002
ALR,2013-03-19,54.515
ALR,2013-03-20,55.779
ALR,2013-03-21,55.371
ALR,2013-03-22,54.637
ALR,2013-03-25,54.311
ALR,2013-03-26,54.229
ALR,2013-03-27,56.268
ALR,2013-03-28,56.676
ALR,2013-04-02,56.064
ALR,2013-04-03,56.594
ALR,2013-04-04,56.268
ALR,2013-04-05,56.879
ALR,2013-04-08,56.676
ALR,2013-04-09,55.86
ALR,2013-04-10,55.452
ALR,2013-04-11,55.86
ALR,2013-04-12,55.656
ALR,2013-04-15,55.461
ALR,2013-04-17,55.452
ALR,2013-04-18,54.392
ALR,2013-04-19,54.637
ALR,2013-04-22,54.637
ALR,2013-04-23,54.433
ALR,2013-04-24,54.718
ALR,2013-04-25,54.637
ALR,2013-04-26,55.289
ALR,2013-04-29,56.553
ALR,2013-04-30,57.899
