<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1997-09-08,46.773,46.773,46.773,46.773
1997-09-09,48.233,48.233,48.233,48.233
1997-09-10,49.694,49.694,49.694,49.694
1997-09-11,48.601,48.601,48.601,48.601
1997-09-12,47.869,47.869,47.869,47.869
1997-09-15,47.869,47.869,47.869,47.869
1997-09-16,50.061,50.061,50.061,50.061
1997-09-17,50.061,50.061,50.061,50.061
1997-09-18,50.427,50.427,50.427,50.427
1997-09-19,50.427,50.427,50.427,50.427
1997-09-22,51.158,51.158,51.158,51.158
1997-09-23,51.158,51.158,51.158,51.158
1997-09-24,49.694,49.694,49.694,49.694
1997-09-25,49.694,49.694,49.694,49.694
1997-09-26,50.061,50.061,50.061,50.061
1997-09-29,49.694,49.694,49.694,49.694
1997-09-30,50.427,50.427,50.427,50.427
1997-10-01,50.427,50.427,50.427,50.427
1997-10-02,51.158,51.158,51.158,51.158
1997-10-03,48.601,48.601,48.601,48.601
1997-10-06,48.964,48.964,48.964,48.964
1997-10-07,49.694,49.694,49.694,49.694
1997-10-08,50.791,50.791,50.791,50.791
1997-10-09,51.158,51.158,51.158,51.158
1997-10-10,51.522,51.522,51.522,51.522
1997-10-13,52.984,52.984,52.984,52.984
1997-10-14,55.542,55.542,55.542,55.542
1997-10-15,56.274,56.274,56.274,56.274
1997-10-16,56.274,56.274,56.274,56.274
1997-10-17,55.177,55.177,55.177,55.177
1997-10-20,55.542,55.542,55.542,55.542
1997-10-21,55.542,55.542,55.542,55.542
1997-10-22,56.274,56.274,56.274,56.274
1997-10-23,55.542,55.542,55.542,55.542
1997-10-24,53.349,53.349,53.349,53.349
1997-10-27,50.791,50.791,50.791,50.791
1997-10-28,46.043,46.043,46.043,46.043
1997-10-29,50.427,50.427,50.427,50.427
1997-10-30,48.964,48.964,48.964,48.964
1997-10-31,47.869,47.869,47.869,47.869
1997-11-03,49.33,49.33,49.33,49.33
1997-11-04,50.427,50.427,50.427,50.427
1997-11-05,51.158,51.158,51.158,51.158
1997-11-06,50.061,50.061,50.061,50.061
1997-11-07,50.427,50.427,50.427,50.427
1997-11-12,49.694,49.694,49.694,49.694
1997-11-13,48.964,48.964,48.964,48.964
1997-11-14,48.233,48.233,48.233,48.233
1997-11-17,49.33,49.33,49.33,49.33
1997-11-18,50.061,50.061,50.061,50.061
1997-11-19,49.694,49.694,49.694,49.694
1997-11-20,49.694,49.694,49.694,49.694
1997-11-21,49.33,49.33,49.33,49.33
1997-11-24,48.233,48.233,48.233,48.233
1997-11-25,46.773,46.773,46.773,46.773
1997-11-26,47.136,47.136,47.136,47.136
1997-11-27,46.043,46.043,46.043,46.043
1997-11-28,45.311,45.311,45.311,45.311
1997-12-01,46.406,46.406,46.406,46.406
1997-12-02,46.406,46.406,46.406,46.406
1997-12-03,46.406,46.406,46.406,46.406
1997-12-04,44.947,44.947,44.947,44.947
1997-12-05,46.043,46.043,46.043,46.043
1997-12-08,45.676,45.676,45.676,45.676
1997-12-09,45.311,45.311,45.311,45.311
1997-12-10,44.947,44.947,44.947,44.947
1997-12-11,44.214,44.214,44.214,44.214
1997-12-12,44.214,44.214,44.214,44.214
1997-12-15,45.311,45.311,45.311,45.311
1997-12-16,45.676,45.676,45.676,45.676
1997-12-17,44.947,44.947,44.947,44.947
1997-12-18,44.947,44.947,44.947,44.947
1997-12-19,43.485,43.485,43.485,43.485
1997-12-22,41.658,41.658,41.658,41.658
1997-12-23,41.658,41.658,41.658,41.658
1997-12-29,40.927,40.927,40.927,40.927
1997-12-30,42.022,42.022,42.022,42.022
1997-12-31,43.848,43.848,43.848,43.848
1998-01-05,46.043,46.043,46.043,46.043
1998-01-06,46.043,46.043,46.043,46.043
1998-01-07,46.043,46.043,46.043,46.043
1998-01-08,45.676,45.676,45.676,45.676
1998-01-09,44.578,44.578,44.578,44.578
1998-01-12,41.291,41.291,41.291,41.291
1998-01-13,43.118,43.118,43.118,43.118
1998-01-14,42.751,42.751,42.751,42.751
1998-01-15,42.388,42.388,42.388,42.388
1998-01-16,42.388,42.751,41.658,41.658
1998-01-19,42.022,42.022,41.658,41.658
1998-01-20,42.751,42.751,41.658,41.658
1998-01-21,41.658,41.658,41.658,41.658
1998-01-22,40.927,41.291,40.927,41.291
1998-01-23,40.194,41.658,40.194,41.658
1998-01-26,42.022,42.022,40.56,40.56
1998-01-27,42.022,42.022,42.022,42.022
1998-01-28,42.388,43.848,42.388,43.848
