<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1997-04-24,1.5698,1.5698,1.5698,1.5698
1997-04-25,1.5053,1.5053,1.5053,1.5053
1997-04-28,1.3688,1.3688,1.3688,1.3688
1997-04-29,1.2585,1.2585,1.2585,1.2585
1997-04-30,1.3298,1.3298,1.3298,1.3298
1997-05-05,1.3169,1.3169,1.3169,1.3169
1997-05-06,1.4015,1.4015,1.4015,1.4015
1997-05-07,1.3949,1.3949,1.3949,1.3949
1997-05-08,1.4402,1.4402,1.4402,1.4402
1997-05-09,1.5179,1.5179,1.5179,1.5179
1997-05-12,1.557,1.557,1.557,1.557
1997-05-13,1.5635,1.5635,1.5635,1.5635
1997-05-14,1.4662,1.4662,1.4662,1.4662
1997-05-15,1.5179,1.5179,1.5179,1.5179
1997-05-16,1.5053,1.5053,1.5053,1.5053
1997-05-19,1.5312,1.5312,1.5312,1.5312
1997-05-20,1.5312,1.5312,1.5312,1.5312
1997-05-21,1.4857,1.4857,1.4857,1.4857
1997-05-22,1.4662,1.4662,1.4662,1.4662
1997-05-23,1.3169,1.3169,1.3169,1.3169
1997-05-26,1.3298,1.3298,1.3298,1.3298
1997-05-27,1.2976,1.2976,1.2976,1.2976
1997-05-28,1.2976,1.2976,1.2976,1.2976
1997-05-30,1.3622,1.3622,1.3622,1.3622
1997-06-02,1.3169,1.3169,1.3169,1.3169
1997-06-03,1.3429,1.3429,1.3429,1.3429
1997-06-04,1.3169,1.3169,1.3169,1.3169
1997-06-05,1.3039,1.3039,1.3039,1.3039
1997-06-06,1.3298,1.3298,1.3298,1.3298
1997-06-09,1.3559,1.3559,1.3559,1.3559
1997-06-10,1.3235,1.3235,1.3235,1.3235
1997-06-11,1.3039,1.3039,1.3039,1.3039
1997-06-12,1.4142,1.4142,1.4142,1.4142
1997-06-13,1.4467,1.4467,1.4467,1.4467
1997-06-16,1.4207,1.4207,1.4207,1.4207
1997-06-17,1.4015,1.4015,1.4015,1.4015
1997-06-18,1.4015,1.4015,1.4015,1.4015
1997-06-19,1.4207,1.4207,1.4207,1.4207
1997-06-20,1.4662,1.4662,1.4662,1.4662
1997-06-23,1.4207,1.4207,1.4207,1.4207
1997-06-24,1.4207,1.4207,1.4207,1.4207
1997-06-25,1.4857,1.4857,1.4857,1.4857
1997-06-26,1.4662,1.4662,1.4662,1.4662
1997-06-27,1.4857,1.4857,1.4857,1.4857
1997-06-30,1.4857,1.4857,1.4857,1.4857
1997-07-01,1.4596,1.4596,1.4596,1.4596
1997-07-02,1.4596,1.4596,1.4596,1.4596
1997-07-03,1.4727,1.4727,1.4727,1.4727
1997-07-04,1.5312,1.5312,1.5312,1.5312
1997-07-07,1.5312,1.5312,1.5312,1.5312
1997-07-08,1.5376,1.5376,1.5376,1.5376
1997-07-09,1.596,1.596,1.596,1.596
1997-07-10,1.596,1.596,1.596,1.596
1997-07-11,1.5895,1.5895,1.5895,1.5895
1997-07-14,1.5312,1.5312,1.5312,1.5312
1997-07-15,1.4142,1.4142,1.4142,1.4142
1997-07-16,1.4596,1.4596,1.4596,1.4596
1997-07-17,1.4662,1.4662,1.4662,1.4662
1997-07-18,1.5053,1.5053,1.5053,1.5053
1997-07-21,1.4857,1.4857,1.4857,1.4857
1997-07-22,1.4857,1.4857,1.4857,1.4857
1997-07-23,1.4921,1.4921,1.4921,1.4921
1997-07-24,1.4921,1.4921,1.4921,1.4921
1997-07-25,1.4921,1.4921,1.4921,1.4921
1997-07-28,1.4596,1.4596,1.4596,1.4596
1997-07-29,1.4207,1.4207,1.4207,1.4207
1997-07-30,1.4662,1.4662,1.4662,1.4662
1997-07-31,1.5118,1.5118,1.5118,1.5118
1997-08-01,1.5053,1.5053,1.5053,1.5053
1997-08-04,1.5505,1.5505,1.5505,1.5505
1997-08-05,1.5895,1.5895,1.5895,1.5895
1997-08-06,1.6218,1.6218,1.6218,1.6218
1997-08-07,1.6153,1.6153,1.6153,1.6153
1997-08-08,1.6607,1.6607,1.6607,1.6607
1997-08-11,1.8229,1.8229,1.8229,1.8229
1997-08-12,1.8036,1.8036,1.8036,1.8036
1997-08-13,1.7646,1.7646,1.7646,1.7646
1997-08-14,1.7581,1.7581,1.7581,1.7581
1997-08-18,1.7646,1.7646,1.7646,1.7646
1997-08-19,1.7193,1.7193,1.7193,1.7193
1997-08-20,1.6996,1.6996,1.6996,1.6996
1997-08-21,1.6348,1.6348,1.6348,1.6348
1997-08-22,1.5895,1.5895,1.5895,1.5895
1997-08-25,1.5895,1.5895,1.5895,1.5895
1997-08-26,1.5698,1.5698,1.5698,1.5698
1997-08-27,1.6153,1.6153,1.6153,1.6153
1997-08-28,1.6607,1.6607,1.6607,1.6607
1997-08-29,1.6414,1.6414,1.6414,1.6414
1997-09-01,1.5895,1.5895,1.5895,1.5895
1997-09-02,1.6283,1.6283,1.6283,1.6283
1997-09-03,1.6934,1.6934,1.6934,1.6934
1997-09-04,1.7193,1.7193,1.7193,1.7193
1997-09-05,1.6737,1.6737,1.6737,1.6737
1997-09-08,1.7385,1.7385,1.7385,1.7385
1997-09-09,1.7581,1.7581,1.7581,1.7581
1997-09-10,1.7385,1.7385,1.7385,1.7385
1997-09-11,1.6737,1.6737,1.6737,1.6737
1997-09-12,1.6674,1.6674,1.6674,1.6674
1997-09-15,1.6867,1.6867,1.6867,1.6867
1997-09-16,1.6414,1.6414,1.6414,1.6414
1997-09-17,1.6674,1.6674,1.6674,1.6674
1997-09-18,1.6153,1.6153,1.6153,1.6153
1997-09-19,1.6543,1.6543,1.6543,1.6543
1997-09-22,1.7128,1.7128,1.7128,1.7128
1997-09-23,1.544,1.544,1.544,1.544
1997-09-24,1.6218,1.6218,1.6218,1.6218
1997-09-25,1.5895,1.5895,1.5895,1.5895
1997-09-26,1.5505,1.5505,1.5505,1.5505
1997-09-29,1.5635,1.5635,1.5635,1.5635
1997-09-30,1.5698,1.5698,1.5698,1.5698
1997-10-01,1.5698,1.5698,1.5698,1.5698
1997-10-02,1.5895,1.5895,1.5895,1.5895
1997-10-03,1.5895,1.5895,1.5895,1.5895
1997-10-06,1.5895,1.5895,1.5895,1.5895
1997-10-07,1.5829,1.5829,1.5829,1.5829
1997-10-08,1.596,1.596,1.596,1.596
1997-10-09,1.6348,1.6348,1.6348,1.6348
1997-10-10,1.6737,1.6737,1.6737,1.6737
1997-10-13,1.6867,1.6867,1.6867,1.6867
1997-10-14,1.7193,1.7193,1.7193,1.7193
1997-10-15,1.7515,1.7515,1.7515,1.7515
1997-10-16,1.7321,1.7321,1.7321,1.7321
1997-10-17,1.7193,1.7193,1.7193,1.7193
1997-10-20,1.7128,1.7128,1.7128,1.7128
1997-10-21,1.7581,1.7581,1.7581,1.7581
1997-10-22,1.7581,1.7581,1.7581,1.7581
1997-10-23,1.7128,1.7128,1.7128,1.7128
1997-10-24,1.6934,1.6934,1.6934,1.6934
1997-10-27,1.6153,1.6153,1.6153,1.6153
1997-10-28,1.4533,1.4533,1.4533,1.4533
1997-10-29,1.596,1.596,1.596,1.596
1997-10-30,1.5698,1.5698,1.5698,1.5698
1997-10-31,1.5764,1.5764,1.5764,1.5764
1997-11-03,1.5895,1.5895,1.5895,1.5895
1997-11-04,1.5895,1.5895,1.5895,1.5895
1997-11-05,1.6089,1.6089,1.6089,1.6089
1997-11-06,1.4987,1.4987,1.4987,1.4987
1997-11-07,1.4987,1.4987,1.4987,1.4987
1997-11-12,1.4662,1.4662,1.4662,1.4662
1997-11-13,1.4596,1.4596,1.4596,1.4596
1997-11-14,1.4727,1.4727,1.4727,1.4727
1997-11-17,1.4857,1.4857,1.4857,1.4857
1997-11-18,1.4662,1.4662,1.4662,1.4662
1997-11-19,1.4467,1.4467,1.4467,1.4467
1997-11-20,1.4467,1.4467,1.4467,1.4467
1997-11-21,1.4533,1.4533,1.4533,1.4533
1997-11-24,1.4402,1.4402,1.4402,1.4402
1997-11-25,1.4207,1.4207,1.4207,1.4207
1997-11-26,1.4402,1.4402,1.4402,1.4402
1997-11-27,1.3106,1.3106,1.3106,1.3106
1997-11-28,1.3688,1.3688,1.3688,1.3688
1997-12-01,1.4015,1.4015,1.4015,1.4015
1997-12-02,1.4273,1.4273,1.4273,1.4273
1997-12-03,1.4273,1.4273,1.4273,1.4273
