<TICKER>,<DATE>,<CLOSE>
ARH,2016-03-22,10.964
ARH,2016-03-23,10.823
ARH,2016-03-24,10.893
ARH,2016-03-29,10.688
ARH,2016-03-30,10.957
ARH,2016-03-31,10.915
ARH,2016-04-01,10.859
ARH,2016-04-04,10.859
ARH,2016-04-05,10.787
ARH,2016-04-06,10.681
ARH,2016-04-07,10.645
ARH,2016-04-08,10.653
ARH,2016-04-11,10.951
ARH,2016-04-12,10.872
ARH,2016-04-13,10.851
ARH,2016-04-14,10.823
ARH,2016-04-15,10.795
ARH,2016-04-18,10.604
ARH,2016-04-19,10.527
ARH,2016-04-20,10.059
ARH,2016-04-21,10.257
ARH,2016-04-22,10.54
ARH,2016-04-25,10.053
ARH,2016-04-26,10.753
ARH,2016-04-27,10.759
ARH,2016-04-28,10.766
ARH,2016-05-02,10.823
ARH,2016-05-04,10.349
ARH,2016-05-06,10.54
ARH,2016-05-09,10.61
ARH,2016-05-10,10.66
ARH,2016-05-11,10.964
ARH,2016-05-12,10.915
ARH,2016-05-13,10.893
ARH,2016-05-16,10.957
ARH,2016-05-17,10.93
ARH,2016-05-18,10.893
ARH,2016-05-19,10.964
ARH,2016-05-20,11.035
ARH,2016-05-23,10.823
ARH,2016-05-24,10.971
ARH,2016-05-25,11.035
ARH,2016-05-30,10.964
ARH,2016-05-31,10.964
ARH,2016-06-01,10.639
ARH,2016-06-02,11.035
ARH,2016-06-03,11.035
ARH,2016-06-06,10.753
ARH,2016-06-07,11.021
ARH,2016-06-08,10.823
ARH,2016-06-09,10.823
ARH,2016-06-10,10.753
ARH,2016-06-14,10.618
ARH,2016-06-15,10.61
ARH,2016-06-16,10.398
ARH,2016-06-20,10.398
ARH,2016-06-21,10.123
ARH,2016-06-22,10.527
ARH,2016-06-24,10.215
ARH,2016-06-27,10.577
ARH,2016-06-28,10.577
ARH,2016-06-29,10.947
ARH,2016-06-30,10.729
ARH,2016-07-01,10.66
ARH,2016-07-04,10.426
ARH,2016-07-05,10.085
ARH,2016-07-06,10.049
ARH,2016-07-07,10.124
ARH,2016-07-12,10.199
ARH,2016-07-13,10.124
ARH,2016-07-14,9.98
ARH,2016-07-15,10.238
ARH,2016-07-18,10.064
ARH,2016-07-19,10.018
ARH,2016-07-20,10.267
ARH,2016-07-21,10.004
ARH,2016-07-22,10.426
ARH,2016-07-25,10.954
ARH,2016-07-26,11.084
ARH,2016-07-27,11.084
ARH,2016-07-28,10.954
ARH,2016-07-29,11.295
ARH,2016-08-01,10.909
ARH,2016-08-04,11.219
ARH,2016-08-08,10.917
ARH,2016-08-09,10.947
ARH,2016-08-10,10.909
ARH,2016-08-11,10.954
ARH,2016-08-12,11.324
ARH,2016-08-16,11.324
ARH,2016-08-17,11.324
ARH,2016-08-18,11.324
ARH,2016-08-24,11.144
ARH,2016-08-29,11.106
ARH,2016-08-30,10.88
ARH,2016-08-31,11.295
ARH,2016-09-01,11.318
ARH,2016-09-02,11.257
ARH,2016-09-05,11.106
ARH,2016-09-06,11.219
ARH,2016-09-07,11.334
ARH,2016-09-08,11.484
ARH,2016-09-09,11.484
ARH,2016-09-12,11.106
ARH,2016-09-13,11.106
ARH,2016-09-14,11.001
ARH,2016-09-15,11.552
ARH,2016-09-16,11.574
ARH,2016-09-19,11.597
ARH,2016-09-20,11.408
ARH,2016-09-21,11.597
ARH,2016-09-23,11.634
ARH,2016-09-26,11.688
ARH,2016-09-27,11.688
ARH,2016-09-28,11.68
