<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2016-11-17,21.22,22,20.11,22
2016-11-18,22,22.23,21.48,21.93
2016-11-21,21.54,22.59,21.54,22.55
2016-11-22,22.69,22.69,22.3,22.55
2016-11-23,22.53,22.53,21.92,22.5
2016-11-24,22.02,23.61,22.02,23.49
2016-11-25,23.6,23.6,22.71,22.73
2016-11-28,22.59,22.6,22.5,22.5
2016-11-29,22.85,22.85,21.31,21.95
2016-11-30,22.45,22.5,21.95,22.5
2016-12-01,22.6,22.6,22.4,22.55
2016-12-02,22.6,22.6,22,22.49
2016-12-05,22.49,22.49,21.11,22.2
2016-12-06,22.47,22.47,21.21,21.21
2016-12-07,21.31,21.58,21,21.01
2016-12-08,21.01,21.85,19.77,21.85
2016-12-09,21.85,21.85,21.11,21.5
2016-12-12,21.4,21.87,20.43,21.87
2016-12-13,21.86,22.37,21.5,22.3
2016-12-14,22.34,22.36,22,22.3
2016-12-15,22.1,22.36,22,22.25
2016-12-16,22.3,22.3,21,22
2016-12-19,22.15,22.15,21.98,22.15
2016-12-20,22.15,22.15,21.74,21.99
2016-12-21,22,22,21.52,22
2016-12-22,21.51,22.84,21.51,22
2016-12-23,22,22,21.99,21.99
2016-12-27,21.99,22,21.79,22
2016-12-28,22,22.49,21.5,22.01
2016-12-29,22.01,22.49,21.99,22.41
2016-12-30,22.48,22.5,21.9,22.5
2017-01-02,22.5,22.5,22.03,22.47
2017-01-03,22.47,22.47,22.25,22.25
2017-01-04,22.44,22.5,20.67,22.5
2017-01-05,22.5,22.5,21.89,21.89
2017-01-09,21.89,21.99,21.89,21.99
2017-01-10,21.9,21.9,21.32,21.4
2017-01-11,21.9,21.9,21.77,21.8
2017-01-12,21.8,21.9,21.33,21.4
2017-01-13,21.8,21.8,21.77,21.77
2017-01-16,21.7,21.7,21.6,21.6
2017-01-17,21.7,21.7,21.5,21.5
2017-01-18,21.1,21.25,21.1,21.25
2017-01-19,21.5,21.5,20.6,21.1
2017-01-20,21.2,21.5,19.3,20.5
2017-01-23,20.5,21,20.5,20.99
2017-01-24,20.51,20.99,20.49,20.99
2017-01-25,20.99,22,20.41,22
2017-01-26,21.2,21.8,21.2,21.8
2017-01-27,22,22,20.99,20.99
2017-01-30,21.84,21.84,20.43,21.6
2017-01-31,21.6,21.88,20.42,20.62
2017-02-01,20.5,21.4,20.5,21.39
2017-02-02,21.89,21.89,20.63,21
2017-02-03,21.7,21.7,20.8,20.8
2017-02-06,21.65,21.65,21.1,21.3
2017-02-07,21.1,21.1,20.53,21
2017-02-08,21.7,21.7,20.53,20.89
2017-02-09,20.89,20.89,20.5,20.79
2017-02-10,20.79,20.98,20.5,20.93
2017-02-13,20.93,20.93,20.5,20.89
2017-02-14,20.89,21,20.55,20.98
2017-02-15,20.98,21.5,20.65,21.48
2017-02-16,21.4,21.4,21.05,21.3
2017-02-17,21.29,21.29,20.63,20.7
2017-02-20,20.52,21.29,20.52,21
2017-02-21,21.29,22.69,21,22.5
2017-02-22,22,23.5,22,23.5
2017-02-23,23.59,23.84,23.13,23.78
2017-02-24,23.74,23.75,22.6,23
2017-02-27,22.99,23.1,22.63,22.9
2017-02-28,22.89,22.89,22.51,22.65
2017-03-01,22.64,22.7,22.31,22.55
2017-03-02,22.85,22.85,22.55,22.55
2017-03-03,22.65,22.8,22.65,22.67
2017-03-06,22.7,22.7,21.99,22.7
2017-03-07,22.5,22.5,21.62,22
2017-03-08,22,22,21.67,22
2017-03-09,21.67,22,21.67,22
2017-03-10,22,22,21.4,21.98
2017-03-13,21.98,21.98,20.87,20.87
2017-03-14,20.87,20.87,19.95,19.95
2017-03-15,19.95,20.2,19.41,19.81
2017-03-16,21.19,21.19,19.9,20.7
2017-03-17,20.68,20.68,20,20.24
2017-03-20,20.69,20.69,20,20.25
2017-03-21,20.54,20.54,19.7,19.74
2017-03-22,19.8,19.8,19.8,19.8
2017-03-23,20.4,20.4,19.7,20
2017-03-24,20.25,20.25,19.73,20.19
2017-03-27,20.19,20.19,20.15,20.15
2017-03-28,20.15,20.3,19.75,20
2017-03-29,20.3,20.43,20,20
2017-03-30,20.55,20.55,19.9,20
2017-03-31,20.5,20.5,19.72,20.4
2017-04-03,20.4,20.55,19.9,20.55
2017-04-04,20.55,20.55,20.49,20.5
2017-04-05,20.5,20.5,20.45,20.5
2017-04-06,20,20,18.55,19
2017-04-07,19.5,19.5,19,19.43
2017-04-10,19.65,19.65,18.73,19
2017-04-11,19,19,17.56,18
2017-04-12,18.95,18.95,17.2,17.85
2017-04-13,17.85,18,17.85,18
2017-04-18,18,18,17.65,18
2017-04-19,18,18,17.16,17.48
2017-04-20,17.18,17.5,17.01,17.5
2017-04-21,18.28,18.28,17.02,17.18
2017-04-24,17.05,18,17.05,18
2017-04-25,18,18.35,17.56,17.7
2017-04-26,18,18,16.82,17.13
2017-04-27,17.2,17.3,16.91,17.15
2017-04-28,17.4,17.65,16.05,16.3
2017-05-02,16.3,16.5,16,16.5
2017-05-04,16.6,17,16.35,17
2017-05-05,17,17,16.3,16.89
2017-05-08,16.89,16.89,16.78,16.78
2017-05-09,16.78,16.78,15.42,15.5
2017-05-10,16.5,16.5,14.85,15
2017-05-11,16.5,16.5,14.95,14.95
2017-05-12,15.2,15.2,14.45,15.2
2017-05-15,15.52,15.52,14.75,15.48
2017-05-16,15.48,15.48,14.56,15
2017-05-17,15,15,14.56,14.98
2017-05-18,14.58,14.99,14.58,14.58
2017-05-19,15.48,15.48,14.56,15.48
2017-05-22,15.48,15.48,14.99,15.35
2017-05-23,15.48,15.8,15.35,15.8
2017-05-24,15.8,16,15.8,16
2017-05-25,16.5,16.5,15.99,15.99
2017-05-26,15.57,15.99,15.57,15.99
2017-05-29,15.99,15.99,15.42,15.43
2017-05-30,15.99,15.99,15.43,15.43
2017-05-31,15.99,15.99,15.35,15.98
2017-06-01,15.98,15.98,15.35,15.5
2017-06-02,15.5,15.5,15.1,15.35
2017-06-05,15.5,15.5,14.78,15.09
2017-06-06,15.4,15.4,15.4,15.4
2017-06-07,15.5,15.5,15.5,15.5
2017-06-08,15.5,15.5,15.5,15.5
2017-06-09,15.5,15.5,15,15.5
2017-06-12,15.5,15.5,15.4,15.4
2017-06-13,14.82,14.83,14,14.35
2017-06-14,13.65,14.1,12.92,13.07
2017-06-16,13.99,14.9,13.67,14.5
2017-06-19,13.61,14.49,13.61,14.49
2017-06-20,14.8,14.8,13.71,14
2017-06-21,14.8,14.8,14,14.11
2017-06-22,14.11,14.11,14,14.11
2017-06-23,14.6,14.6,13.9,14.5
2017-06-26,14.8,14.8,14,14.3
2017-06-27,14.65,14.65,13.71,14.47
2017-06-28,14.4,14.4,13.71,14
2017-06-29,14.47,14.47,13.75,14.39
2017-06-30,14.39,14.39,14,14
2017-07-03,13.9,13.9,13.5,13.5
2017-07-04,14,14,13.14,13.14
2017-07-05,13,13.2,12.99,13
2017-07-06,13.18,13.18,13,13
2017-07-07,12.98,12.98,12.7,12.98
2017-07-10,12.8,13.2,12.8,13.2
2017-07-11,13.62,13.62,13.15,13.15
2017-07-12,13.62,13.62,13.6,13.6
2017-07-13,13.6,13.6,13.5,13.5
2017-07-14,13.5,13.5,12.82,13
2017-07-17,12.82,12.82,12.81,12.82
2017-07-18,12.9,13.1,12.85,13
2017-07-19,13.49,13.49,13.34,13.34
2017-07-20,13.49,13.49,13.34,13.45
2017-07-21,13.49,13.49,13.45,13.45
2017-07-24,13.49,13.49,13.2,13.48
2017-07-25,13.49,13.49,13.2,13.4
2017-07-26,13.49,13.49,12.92,13.49
2017-07-27,13.49,13.49,12.92,13.4
2017-07-28,13.45,13.45,12.95,13.42
2017-07-31,13.4,13.4,12.7,12.7
2017-08-01,13.4,13.4,12.64,13
2017-08-02,13.4,13.4,13.19,13.19
2017-08-03,13.19,13.19,12.98,12.98
2017-08-04,13,13.19,12.64,13.17
2017-08-07,13.17,13.17,13,13.17
2017-08-08,13.17,13.17,12.64,13.1
2017-08-09,13,13.17,12.65,13.17
2017-08-10,13.17,13.17,13.06,13.06
2017-08-11,13.17,13.17,12.7,13.05
2017-08-14,13.17,13.5,13.15,13.5
2017-08-16,13.5,14.3,13.5,14.3
2017-08-17,14.78,14.78,14,14.3
2017-08-18,14.49,14.49,13.6,14
2017-08-21,13.98,13.98,13.53,13.98
2017-08-22,13.98,13.98,13.56,13.89
2017-08-23,13.98,13.98,13.5,13.5
2017-08-24,13.98,13.98,13.8,13.95
2017-08-25,13.98,13.98,13.11,13.68
2017-08-28,13.68,13.68,13.12,13.4
2017-08-29,13.4,13.4,13.4,13.4
2017-08-30,13.17,13.17,13.12,13.15
2017-08-31,13.27,13.72,13.27,13.72
2017-09-01,13.98,13.98,13.27,13.49
2017-09-04,13.7,13.7,13.65,13.65
2017-09-05,13.68,13.68,13.1,13.5
2017-09-06,13.95,13.95,13.48,13.48
2017-09-07,13.45,13.45,13,13.25
2017-09-08,13,13.01,13,13.01
2017-09-11,13.5,13.5,12.96,12.96
2017-09-12,12.7,13,12.7,12.98
2017-09-13,13.15,13.15,12.5,12.5
2017-09-14,12.6,12.6,12.03,12.3
2017-09-15,12.05,12.2,11.51,11.99
2017-09-18,11.7,11.7,10.62,11.5
2017-09-19,11.5,11.5,10.35,10.35
2017-09-20,10.2,10.2,9.2,9.47
2017-09-21,9.47,9.5,9.25,9.49
2017-09-22,9.4,10,9.4,9.5
2017-09-25,9.58,9.93,9.1,9.5
2017-09-26,9.4,9.4,9,9
2017-09-27,9.06,9.2,9.05,9.2
2017-09-28,9.45,9.45,9.08,9.45
2017-09-29,9.47,9.47,9.4,9.4
2017-10-02,9.46,9.5,9.45,9.49
2017-10-03,9.49,9.55,9.1,9.1
2017-10-04,8.7,9.5,8.1,9.5
2017-10-05,9.75,9.75,9.15,9.5
2017-10-06,9.2,9.65,9.2,9.5
2017-10-09,9.49,9.49,9.45,9.45
2017-10-10,9.48,9.48,8.72,9.25
2017-10-11,9.25,9.48,8.97,9.15
2017-10-12,9.01,9.1,8.87,9.1
2017-10-13,8.86,9.15,8.86,9.09
2017-10-16,9,9.1,9,9.02
2017-10-17,9,9,8.82,8.99
2017-10-18,8.99,8.99,8.99,8.99
2017-10-19,8.99,8.99,8.9,8.9
2017-10-20,8.9,9.24,8.8,9.24
2017-10-23,9.44,9.44,9.17,9.17
2017-10-24,9.16,9.16,9,9
2017-10-25,9,9.1,9,9.05
2017-10-26,9,9.1,8.73,9.1
2017-10-27,9.17,9.17,9.14,9.15
2017-10-30,9.17,9.17,9.1,9.17
2017-10-31,9.17,9.17,8.94,8.98
2017-11-02,9,9,8.71,8.71
2017-11-03,8.99,8.99,8.73,8.98
2017-11-06,9.14,9.14,8.9,8.9
2017-11-07,8.9,8.9,8.86,8.86
2017-11-08,8.86,9.44,8.86,8.95
2017-11-09,9.2,9.3,8.5,8.5
2017-11-10,8.51,8.67,8.17,8.35
2017-11-13,8.2,8.99,7.42,8
2017-11-14,7.7,8.4,7.7,8.2
2017-11-15,8.2,9,8.2,8.77
2017-11-16,9,9,8.61,9
2017-11-17,9.13,9.88,8.9,9.8
2017-11-20,10.85,10.85,9.82,10.3
2017-11-21,10.25,10.25,9.83,10.09
2017-11-22,9.99,9.99,9.54,9.89
2017-11-23,9.96,10.15,9.8,9.9
2017-11-24,9.58,9.58,8.75,8.99
2017-11-27,9.4,9.4,8.46,9.1
2017-11-28,9.1,9.1,8.46,8.6
2017-11-29,8.69,8.87,7.84,8.01
2017-11-30,7.9,8.19,7.85,7.85
2017-12-01,8,8.18,8,8.18
2017-12-04,8.18,8.6,8.18,8.3
2017-12-05,8.6,8.6,8.45,8.45
2017-12-06,8.55,8.55,8.21,8.4
2017-12-07,8.55,8.8,8.5,8.8
2017-12-08,8.88,8.89,8.55,8.84
2017-12-11,8.84,8.84,8.48,8.48
2017-12-12,8.48,8.48,8.46,8.46
2017-12-13,8.48,8.48,8.2,8.48
2017-12-14,8.48,8.48,8,8.39
2017-12-15,8.45,8.45,8.2,8.21
2017-12-18,8.2,8.39,8.2,8.21
2017-12-19,8.2,8.39,8.2,8.21
2017-12-20,8.21,8.3,8.17,8.3
2017-12-21,8.3,8.49,8.2,8.49
2017-12-22,8.46,8.47,8.3,8.47
2017-12-27,8.49,8.49,8.2,8.36
2017-12-28,8.36,8.5,8.36,8.4
2017-12-29,8.4,8.46,8.12,8.12
2018-01-03,8.4,8.4,8.06,8.12
2018-01-04,8.12,8.12,8,8.1
2018-01-05,7.9,8.1,7.9,8.1
2018-01-08,8.58,8.58,8.3,8.3
2018-01-09,8.3,8.58,8.3,8.58
2018-01-10,8.58,8.8,8.4,8.8
2018-01-11,8.8,9.12,8.8,9.12
2018-01-12,9.16,10.25,9.16,9.9
2018-01-15,10.4,11,9.56,9.66
2018-01-16,9.66,9.66,9.56,9.6
2018-01-17,9.6,9.66,9.6,9.66
2018-01-18,9.66,9.8,9.66,9.7
2018-01-19,9.7,9.8,9.66,9.8
2018-01-22,9.78,9.78,9.7,9.76
2018-01-23,9.8,9.8,9.56,9.7
2018-01-24,9.76,9.76,9.5,9.6
2018-01-25,9.8,9.8,9.5,9.5
2018-01-26,9.52,9.52,9.5,9.5
2018-01-29,9.8,9.8,9.08,9.3
2018-01-30,9.34,9.36,9.3,9.3
2018-01-31,9.46,9.6,9.34,9.34
2018-02-01,9.26,9.48,9.26,9.48
2018-02-02,9.22,9.98,9.2,9.8
2018-02-05,9.8,9.8,9.52,9.52
2018-02-06,9.5,9.86,9.18,9.2
2018-02-07,9.2,9.6,9.2,9.6
2018-02-08,9.58,9.58,9.58,9.58
2018-02-09,9.4,9.4,9.22,9.24
2018-02-12,9.22,9.54,9.1,9.5
2018-02-13,9.48,9.48,8.86,9.18
2018-02-14,9.44,9.44,8.82,9.2
2018-02-15,9.44,9.44,9,9.1
2018-02-16,9.06,9.06,8.9,8.98
2018-02-19,8.98,9.1,8.98,9.1
2018-02-20,9.1,9.1,9.1,9.1
2018-02-21,9.4,9.4,8.82,8.82
2018-02-22,8.82,9.02,8.82,9.02
2018-02-23,9.44,9.44,9.02,9.4
2018-02-26,9.44,9.44,8.56,8.56
2018-02-27,8.58,8.6,8.58,8.6
2018-02-28,8.56,8.94,8.56,8.9
2018-03-01,8.68,8.8,8.68,8.74
2018-03-02,8.92,8.92,8.92,8.92
