<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2007-10-30,3.7149,3.951,3.543,3.6986
2007-10-31,3.6932,3.6932,3.5698,3.5698
2007-11-02,3.5966,3.677,3.5698,3.6234
2007-11-05,3.6932,3.6932,3.5698,3.5698
2007-11-06,3.6234,3.6234,3.5966,3.6234
2007-11-07,3.6234,3.6288,3.4356,3.4356
2007-11-08,3.4626,3.5375,3.1189,3.5375
2007-11-09,3.3014,3.543,3.3014,3.5375
2007-11-12,3.6986,3.6986,3.3283,3.4893
2007-11-13,3.543,3.5591,3.4893,3.4893
2007-11-14,3.704,3.704,3.4893,3.6181
2007-11-15,3.4893,3.5591,3.2316,3.5591
2007-11-16,3.4838,3.4893,3.4838,3.4893
2007-11-19,3.543,3.5591,3.543,3.5591
2007-11-20,3.543,3.543,3.3497,3.3497
2007-11-21,3.1833,3.1833,2.9524,2.9524
2007-11-22,2.9524,2.9524,2.9524,2.9524
2007-11-23,2.6894,3.3229,2.6894,3.3229
2007-11-26,3.5375,3.5591,3.2209,3.2209
2007-11-27,3.2209,3.3764,3.2209,3.3014
2007-11-28,3.1135,3.4893,3.1135,3.4893
2007-11-30,3.194,3.5966,3.194,3.5966
2007-12-03,3.5966,3.704,3.4893,3.704
2007-12-05,3.5913,3.6503,3.4141,3.5966
2007-12-06,3.5966,3.6986,3.5966,3.6986
2007-12-10,3.4838,3.5913,3.4838,3.4947
2007-12-11,3.4893,3.8918,3.4893,3.8918
2007-12-12,3.9026,3.9026,3.7683,3.865
2007-12-13,3.7683,3.8597,3.7683,3.8597
2007-12-14,3.7149,3.865,3.4893,3.865
2007-12-17,3.8597,3.8597,3.7952,3.7952
2007-12-18,3.7577,3.7577,3.7577,3.7577
2007-12-19,3.865,3.865,3.865,3.865
2007-12-20,3.865,4.2408,3.865,4.2408
2007-12-21,4.2408,4.5629,4.2408,4.4018
2007-12-27,4.4072,4.7776,4.4018,4.5629
2007-12-28,4.7508,4.8313,4.5897,4.7238
2008-01-02,4.9118,4.9118,4.7238,4.8313
2008-01-03,4.7776,4.8313,4.5629,4.5629
2008-01-04,4.5629,4.5629,4.5629,4.5629
2008-01-07,4.4663,4.4663,4.128,4.2944
2008-01-08,4.1333,4.1387,4.1333,4.1387
2008-01-09,3.9187,4.0798,3.8114,4.0798
2008-01-10,3.9187,3.967,3.8114,3.967
2008-01-11,3.9187,3.9187,3.7629,3.8918
2008-01-14,3.908,3.908,3.543,3.7577
2008-01-15,3.7577,4.026,3.7577,3.865
2008-01-16,3.6503,3.7577,3.3283,3.6503
2008-01-17,3.543,3.9187,3.543,3.5966
2008-01-18,3.7577,3.7577,3.6503,3.6611
2008-01-21,3.7577,3.7577,3.3067,3.5698
2008-01-22,3.677,3.677,3.4893,3.4893
2008-01-23,3.6611,3.677,3.4893,3.4893
2008-01-24,3.543,3.8381,3.4893,3.8381
2008-01-25,4.2408,4.2408,3.7846,3.8381
2008-01-28,3.865,3.865,3.543,3.5805
2008-01-29,3.6342,4.0154,3.5966,3.5966
2008-01-30,3.6503,3.908,3.5161,3.908
2008-01-31,3.9723,3.9723,3.7577,3.7577
2008-02-01,3.8168,3.8168,3.6558,3.8168
2008-02-04,3.8918,3.8918,3.7577,3.7577
2008-02-05,3.7577,3.7577,3.6503,3.6503
2008-02-06,3.543,3.6503,3.4893,3.6503
2008-02-07,3.5966,3.7577,3.5536,3.7577
2008-02-11,3.747,3.9455,3.747,3.9455
2008-02-12,3.9187,3.9187,3.8168,3.8918
2008-02-13,3.865,3.865,3.865,3.865
2008-02-14,3.9187,3.9187,3.704,3.865
2008-02-15,3.704,3.8381,3.704,3.8381
2008-02-18,3.7577,3.8381,3.543,3.8381
2008-02-19,3.5698,3.7846,3.5698,3.7846
2008-02-20,3.5966,3.747,3.543,3.747
2008-02-21,3.5751,3.747,3.543,3.7416
2008-02-22,3.5966,3.704,3.5966,3.704
2008-02-25,3.7416,3.7416,3.543,3.704
2008-02-26,3.704,3.7362,3.704,3.7362
2008-02-27,3.704,3.7149,3.704,3.704
2008-02-28,3.704,3.704,3.5161,3.6932
2008-02-29,3.7524,3.8381,3.6664,3.8273
2008-03-03,3.8114,3.8114,3.7524,3.7577
2008-03-04,3.7792,3.7792,3.6503,3.704
2008-03-05,3.6503,3.8114,3.6503,3.8114
2008-03-06,3.9134,4.2944,3.8114,4.1067
2008-03-07,3.8114,4.2836,3.8114,4.1871
2008-03-10,4.2408,4.3749,4.1871,4.3749
2008-03-11,4.2944,4.5362,4.2944,4.5362
2008-03-12,4.5629,4.6703,4.5629,4.6703
2008-03-13,4.3106,4.6166,4.3106,4.6166
2008-03-14,4.348,4.6972,4.348,4.52
2008-03-17,4.7238,4.7238,4.3749,4.3749
2008-03-18,4.6972,4.6972,4.2998,4.6703
2008-03-19,4.5092,4.6112,4.4555,4.6112
2008-03-20,4.3911,4.6112,4.1871,4.6058
2008-03-25,4.4555,4.665,4.4555,4.6434
2008-03-26,4.6166,4.6919,4.5092,4.5092
2008-03-27,4.5147,4.7238,4.5147,4.7238
2008-03-28,4.7238,4.7669,4.5684,4.7238
2008-03-31,4.7238,4.7566,4.566,4.7238
2008-04-01,4.7238,4.8313,4.5897,4.6166
2008-04-02,4.5897,4.8205,4.5147,4.8205
2008-04-03,4.8313,4.8313,4.7776,4.7776
2008-04-04,4.7293,4.8152,4.7293,4.8152
2008-04-07,4.8098,4.8098,4.5736,4.6166
2008-04-08,4.6703,4.6703,4.6166,4.6166
2008-04-09,4.5629,4.5629,4.4125,4.4125
2008-04-10,4.3749,4.5092,4.3749,4.5092
2008-04-11,4.4769,4.6058,4.3053,4.5629
2008-04-14,4.3374,4.5521,4.3374,4.5521
2008-04-16,4.3749,4.5467,4.3749,4.3749
2008-04-17,4.2944,4.2944,4.2944,4.2944
2008-04-18,3.9992,4.3696,3.9992,4.3696
2008-04-21,4.5414,4.5414,4.2461,4.2676
2008-04-22,4.1333,4.2891,4.1333,4.2891
2008-04-25,4.2783,4.2944,4.2783,4.2944
2008-04-28,4.2944,4.2944,4.2944,4.2944
2008-05-05,4.2944,4.2998,4.2944,4.2998
2008-05-07,4.2944,4.5629,4.2944,4.4072
2008-05-08,4.4018,4.5629,4.3374,4.5629
2008-05-09,4.5629,4.5629,4.3696,4.5629
2008-05-12,4.6693,4.762,4.5768,4.762
2008-05-13,4.7238,4.7238,4.7238,4.7238
2008-05-14,4.7186,4.7186,4.5167,4.6639
2008-05-15,4.3803,4.665,4.3803,4.665
2008-05-16,4.7238,4.7238,4.7238,4.7238
2008-05-19,4.7675,4.8328,4.3805,4.8328
2008-05-20,4.8273,4.8273,4.5932,4.7238
2008-05-21,4.8928,4.8928,4.8928,4.8928
2008-05-23,4.6586,4.6586,4.5222,4.6313
2008-05-27,4.6313,4.8384,4.4788,4.4788
2008-05-28,4.4788,4.8219,4.4788,4.8219
2008-05-29,4.7948,4.7948,4.5495,4.7892
2008-05-30,4.7403,4.7892,4.7403,4.7892
2008-06-02,4.5605,4.7892,4.5605,4.7892
2008-06-03,4.6041,4.8219,4.6041,4.8219
2008-06-05,4.7675,4.7675,4.6313,4.6313
2008-06-06,4.5387,4.8328,4.5387,4.8328
2008-06-09,4.566,4.7131,4.566,4.7131
2008-06-11,4.566,4.566,4.566,4.566
2008-06-12,4.566,4.6858,4.3589,4.6858
2008-06-13,4.7131,4.7131,4.7131,4.7131
2008-06-16,4.3969,4.7131,4.3969,4.7131
2008-06-20,4.4951,4.6313,4.4951,4.6313
2008-06-23,4.7131,4.7131,4.7131,4.7131
2008-06-30,4.4134,4.7131,4.4134,4.7131
2008-07-01,4.4134,4.6258,4.3861,4.6258
2008-07-03,4.3589,4.4679,4.0864,4.4679
2008-07-08,4.6204,4.6204,4.6204,4.6204
2008-07-11,4.6313,4.6313,4.2498,4.4134
2008-07-14,4.2498,4.3534,4.2498,4.3534
2008-07-21,4.2498,4.3534,4.2498,4.3534
2008-07-23,4.5768,4.5768,4.0974,4.3589
2008-07-24,4.4353,4.4353,4.4353,4.4353
2008-07-25,4.5768,4.5768,4.0864,4.3589
2008-07-30,4.1464,4.3534,4.141,4.3534
2008-07-31,4.0864,4.2498,4.0864,4.2498
2008-08-04,4.2498,4.6313,4.2498,4.6313
2008-08-08,4.3426,4.3426,4.3426,4.3426
2008-08-11,4.0864,4.0864,3.9829,4.021
2008-08-12,4.0864,4.0864,4.0864,4.0864
2008-08-19,4.0048,4.0048,4.0048,4.0048
2008-08-20,3.8685,3.8685,3.814,3.814
2008-08-21,3.814,3.814,3.705,3.705
2008-08-22,3.705,3.9502,3.705,3.705
2008-08-25,3.8086,3.8086,3.2746,3.2746
2008-08-26,3.4108,3.5416,3.3891,3.5416
2008-08-27,3.5416,3.5416,3.5416,3.5416
2008-08-28,3.6342,3.6342,3.6342,3.6342
2008-08-29,3.5416,3.6507,3.5416,3.6507
2008-09-01,3.6507,3.705,3.5687,3.6507
2008-09-02,3.6507,3.6507,3.6452,3.6452
2008-09-03,3.6507,3.6507,3.5687,3.5687
2008-09-04,3.6507,3.6507,3.6507,3.6507
2008-09-05,3.4381,3.4381,3.4381,3.4381
2008-09-08,3.3836,3.3836,3.3836,3.3836
2008-09-09,3.4054,3.4108,3.3891,3.4054
2008-09-10,3.3891,3.3891,3.3018,3.3018
2008-09-11,3.3018,3.3018,3.3018,3.3018
2008-09-15,3.16,3.16,3.16,3.16
2008-09-17,3.1874,3.1874,3.1874,3.1874
2008-09-18,3.2146,3.2146,3.2146,3.2146
2008-09-22,3.1874,3.1874,3.16,3.16
2008-09-23,3.1331,3.1331,3.1331,3.1331
2008-09-24,3.1874,3.1874,3.1874,3.1874
2008-09-26,3.0239,3.1711,3.0239,3.1711
2008-09-29,3.8086,3.8086,3.3891,3.5362
2008-09-30,3.3783,3.3783,3.2692,3.3783
2008-10-01,3.3783,3.6995,3.2692,3.6995
2008-10-02,3.754,3.7595,3.5961,3.6995
2008-10-03,3.3891,3.5416,3.28,3.3783
2008-10-06,3.3727,3.3727,3.0511,3.3236
2008-10-07,3.242,3.2964,3.0511,3.2964
2008-10-08,2.9969,3.2692,2.9695,3.2692
2008-10-09,3.0075,3.2637,3.0075,3.2582
2008-10-10,2.9914,3.2637,2.9422,3.2637
2008-10-13,3.2692,3.2692,2.9969,3.2692
2008-10-14,3.2692,3.2692,3.2692,3.2692
2008-10-15,3.122,3.122,2.9204,2.9969
2008-10-16,2.7516,2.9969,2.7516,2.9969
2008-10-17,3.2637,3.2637,2.8877,2.8877
2008-10-20,3.2527,3.2527,2.9969,2.9969
2008-10-21,3.242,3.242,2.7244,2.8223
2008-10-22,3.1547,3.1547,2.6425,2.6425
2008-10-23,2.6425,2.6425,2.1794,2.6425
2008-10-29,2.6372,2.6425,2.3811,2.6425
2008-10-30,2.6425,2.6425,2.4029,2.6425
2008-10-31,2.9422,2.9422,2.6697,2.6862
2008-11-03,2.5335,2.6697,2.3701,2.392
2008-11-04,2.3974,2.4029,2.2013,2.3701
2008-11-05,2.3375,2.3375,2.1141,2.1959
2008-11-06,2.3537,2.3537,2.0705,2.1248
2008-11-07,2.2284,2.2284,2.1087,2.1141
2008-11-10,2.2121,2.2121,1.9071,1.9071
2008-11-12,2.0978,2.0978,1.8797,1.8797
2008-11-13,2.0433,2.0433,1.8361,1.9833
2008-11-14,2.0705,2.0705,2.0158,2.0595
2008-11-17,2.0705,2.0705,1.9777,1.9777
2008-11-18,2.0433,2.0433,1.7981,1.9887
2008-11-20,1.7818,1.8689,1.7818,1.8689
2008-11-21,1.9887,1.9887,1.9887,1.9887
2008-11-24,1.9833,1.9833,1.8526,1.9669
2008-11-25,1.9777,1.9777,1.9669,1.9669
2008-11-28,1.7707,1.8252,1.6346,1.7707
2008-12-01,1.7434,1.7653,1.7434,1.7653
2008-12-03,1.5909,1.6564,1.5909,1.6455
2008-12-04,1.6455,1.6564,1.5745,1.6292
2008-12-09,1.4712,1.4712,1.335,1.4657
2008-12-10,1.4983,1.4983,1.335,1.3621
2008-12-11,1.3621,1.3894,1.2259,1.2259
2008-12-12,1.2205,1.2205,1.1987,1.1987
2008-12-15,1.2259,1.2259,1.0789,1.0842
2008-12-16,1.1169,1.1169,0.9807,0.9807
2008-12-17,0.9863,1.0297,0.8881,0.9263
2008-12-18,0.9535,0.9535,0.9263,0.9263
2008-12-19,0.8664,0.9044,0.861,0.9044
2008-12-22,0.85,0.85,0.7956,0.8173
2008-12-23,0.8173,0.861,0.7627,0.861
2008-12-29,0.9098,0.9807,0.9098,0.9263
2008-12-30,0.9317,0.9317,0.9153,0.9153
2009-01-05,0.8338,0.9371,0.8338,0.8718
2009-01-06,0.899,0.9263,0.899,0.9263
2009-01-07,0.8826,0.9153,0.8119,0.8173
2009-01-08,0.861,0.861,0.7083,0.7083
2009-01-09,0.7083,0.7083,0.6428,0.6483
2009-01-12,0.6812,0.6865,0.6594,0.6647
2009-01-13,0.6812,0.6812,0.6539,0.6756
2009-01-14,0.7083,0.7083,0.6647,0.6812
2009-01-15,0.6975,0.6975,0.6483,0.692
2009-01-16,0.692,0.7083,0.6812,0.6975
2009-01-19,0.6975,0.6975,0.6701,0.692
2009-01-20,0.692,0.692,0.6594,0.6756
2009-01-21,0.6594,0.6756,0.6428,0.6701
2009-01-22,0.6647,0.6701,0.6266,0.6539
2009-01-23,0.6701,0.6701,0.6156,0.6594
2009-01-26,0.6483,0.6812,0.6375,0.6594
2009-01-27,0.6647,0.6701,0.6101,0.6266
2009-01-28,0.6594,0.6594,0.6047,0.6266
2009-01-29,0.6483,0.6483,0.6156,0.6322
2009-01-30,0.6428,0.6428,0.5886,0.6047
2009-02-02,0.6047,0.6322,0.5722,0.5722
2009-02-03,0.5667,0.583,0.5667,0.5667
2009-02-04,0.5722,0.621,0.5556,0.5667
2009-02-05,0.5503,0.5503,0.545,0.545
2009-02-06,0.545,0.545,0.5285,0.545
2009-02-09,0.545,0.545,0.5339,0.545
2009-02-10,0.545,0.545,0.5339,0.545
2009-02-11,0.5394,0.5394,0.48494,0.49034
2009-02-12,0.49034,0.49034,0.47404,0.47963
2009-02-13,0.48494,0.48494,0.47963,0.47963
2009-02-16,0.49034,0.49034,0.47404,0.47404
2009-02-17,0.46301,0.46301,0.39232,0.39232
2009-02-18,0.39232,0.39764,0.37052,0.39764
2009-02-19,0.41944,0.43049,0.39764,0.41944
2009-02-20,0.40309,0.43049,0.40309,0.41944
2009-02-23,0.43049,0.49034,0.37052,0.37052
2009-02-24,0.38148,0.40864,0.32693,0.33782
2009-02-25,0.35419,0.36508,0.35419,0.35964
2009-02-26,0.34331,0.34331,0.32693,0.32693
2009-02-27,0.33237,0.35419,0.31056,0.31598
2009-03-02,0.32693,0.32693,0.31056,0.31598
2009-03-03,0.32141,0.32693,0.31056,0.32141
2009-03-04,0.31598,0.32141,0.31056,0.32141
2009-03-05,0.32693,0.32693,0.31056,0.31056
2009-03-06,0.31598,0.32693,0.31598,0.32693
2009-03-09,0.32693,0.35964,0.32693,0.35419
2009-03-10,0.35964,0.40864,0.35419,0.40864
2009-03-11,0.45771,0.45771,0.42493,0.44676
2009-03-12,0.46301,0.48494,0.45232,0.48494
2009-03-13,0.49034,0.5285,0.49034,0.5232
2009-03-16,0.5339,0.5394,0.5121,0.5121
2009-03-17,0.5176,0.5176,0.47404,0.47404
2009-03-18,0.47963,0.49034,0.46849,0.48494
2009-03-19,0.48494,0.5176,0.48494,0.5013
2009-03-20,0.5285,0.5776,0.5232,0.545
2009-03-23,0.5722,0.5993,0.5611,0.5722
2009-03-24,0.6266,0.6756,0.5993,0.6701
2009-03-25,0.7572,0.8226,0.6975,0.7956
2009-03-26,0.8173,0.8664,0.7791,0.7956
2009-03-27,0.8173,0.8173,0.7355,0.7737
2009-03-30,0.7737,0.7737,0.6375,0.6539
2009-03-31,0.6539,0.6647,0.6322,0.6539
2009-04-01,0.6812,0.6812,0.6322,0.6483
2009-04-02,0.6483,0.6539,0.6428,0.6483
2009-04-03,0.6701,0.6701,0.6156,0.6266
2009-04-06,0.6375,0.6594,0.6266,0.6375
2009-04-07,0.6483,0.6483,0.621,0.6266
2009-04-08,0.6428,0.6701,0.6101,0.6266
