<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2009-10-28,10.45,12.573,10.45,11.164
2009-10-29,11.035,12.332,11.035,11.262
2009-10-30,12.008,12.008,11.359,11.418
2009-11-02,11.444,11.488,11.027,11.158
2009-11-03,11.027,11.164,10.678,11.027
2009-11-04,10.678,11.359,10.678,11.359
2009-11-05,11.359,11.359,11.359,11.359
2009-11-06,11.359,12.332,11.359,11.359
2009-11-09,11.359,11.618,11.359,11.359
2009-11-10,11.359,11.488,11.359,11.359
2009-11-12,11.359,11.359,11.295,11.295
2009-11-16,11.295,11.295,11.295,11.295
2009-11-18,11.23,11.295,11.23,11.23
2009-11-19,11.178,11.178,11.041,11.041
2009-11-23,11.359,11.359,11.359,11.359
2009-11-24,11.359,11.359,11.359,11.359
2009-11-25,11.359,11.359,11.327,11.327
2009-11-26,10.198,11.23,10.198,11.23
2009-12-03,10.127,11.027,10.127,11.027
2009-12-04,10.333,11.027,10.333,11.027
2009-12-17,10.776,11.035,10.776,11.035
2009-12-18,10.159,11.035,10.159,11.035
2009-12-21,11.035,11.035,11.035,11.035
2009-12-28,11.035,11.035,11.035,11.035
2009-12-29,11.035,11.035,11.035,11.035
2009-12-31,11.035,11.035,11.035,11.035
2010-01-04,10.069,11.027,10.069,11.027
2010-01-05,10.392,10.516,10.385,10.516
2010-01-06,10.516,10.516,10.516,10.516
2010-01-07,10.71,10.71,10.516,10.704
2010-01-08,10.385,10.483,10.385,10.483
2010-01-12,10.069,10.378,10.061,10.367
2010-01-13,10.509,10.509,10.502,10.502
2010-01-14,10.061,10.496,10.061,10.496
2010-01-15,10.385,10.385,10.385,10.385
2010-01-22,9.71,10.385,9.71,10.385
2010-01-26,10.378,10.378,10.378,10.378
2010-02-02,9.612,10.372,9.612,10.372
2010-02-05,9.633,9.633,9.625,9.625
2010-02-16,9.612,9.612,9.612,9.612
2010-02-22,9.0862,9.2822,9.0862,9.2822
2010-02-26,9.606,9.62,9.606,9.62
2010-03-02,9.672,9.672,9.672,9.672
2010-03-04,9.737,9.737,9.737,9.737
2010-03-10,9.737,9.737,9.737,9.737
2010-03-11,9.4119,9.4119,9.4119,9.4119
2010-03-12,9.737,10.314,9.737,10.314
2010-03-15,10.385,10.385,10.385,10.385
2010-03-17,10.906,11.027,10.84,10.84
2010-03-18,11.027,11.035,11.002,11.002
2010-03-29,10.061,11.002,10.061,11.002
2010-03-30,11.002,11.027,11.002,11.027
2010-03-31,11.036,11.036,10.937,10.937
2010-04-01,10.964,10.969,10.964,10.969
2010-04-06,10.937,10.937,10.645,10.71
2010-04-12,10.385,10.678,10.288,10.516
2010-04-13,9.744,10.127,9.737,9.814
2010-04-14,10.71,10.71,10.71,10.71
2010-04-15,10.36,10.385,9.744,10.314
2010-04-16,9.93,10.516,9.93,10.061
2010-04-19,10.217,10.217,10.061,10.061
2010-04-20,10.061,10.314,10.061,10.092
2010-04-21,10.099,10.25,10.061,10.061
2010-04-23,10.065,10.065,9.4404,9.867
2010-04-26,9.867,9.867,9.867,9.867
2010-04-27,9.867,9.867,9.737,9.737
2010-04-28,9.678,9.678,9.672,9.672
2010-04-29,9.737,9.737,9.672,9.672
2010-04-30,9.801,9.801,9.669,9.669
2010-05-04,9.672,9.672,9.606,9.606
2010-05-05,9.827,9.827,9.827,9.827
2010-05-06,9.827,9.827,9.827,9.827
2010-05-07,9.51,9.73,9.51,9.73
2010-05-10,9.793,9.793,9.4767,9.575
2010-05-11,9.4767,9.4767,8.9567,8.9567
2010-05-12,8.8267,8.8267,8.4384,8.4384
2010-05-13,8.4384,8.4384,7.6589,8.1145
2010-05-14,8.5678,8.5678,7.7111,7.7111
2010-05-17,7.8216,7.8216,7.4646,7.6855
2010-05-18,7.8479,7.8479,7.114,7.166
2010-05-19,7.166,7.166,6.5364,6.5364
2010-05-20,6.6207,6.6207,6.3937,6.491
2010-05-21,6.491,6.6078,6.491,6.6078
2010-05-24,6.6078,6.6078,6.4197,6.6014
2010-05-25,6.5494,6.5494,6.1016,6.4456
2010-05-26,6.4846,6.6663,6.3611,6.6663
2010-05-27,6.6792,6.6792,6.5299,6.6727
2010-05-28,6.6792,6.6792,6.5364,6.6207
2010-05-31,6.6213,6.9695,6.6213,6.8578
2010-06-01,6.9065,6.9065,6.6856,6.8156
2010-06-02,6.8156,6.8156,6.7831,6.7831
2010-06-04,6.7831,6.8156,6.7508,6.7508
2010-06-07,6.6792,6.6856,6.5558,6.5558
2010-06-08,6.4846,6.4846,6.4261,6.4261
2010-06-09,6.4197,6.4261,6.3611,6.4261
2010-06-10,6.4261,6.6856,6.4261,6.6856
2010-06-11,6.6856,6.6856,6.4974,6.5558
2010-06-14,6.6663,6.8156,6.5558,6.6856
2010-06-15,6.7508,6.7508,6.6856,6.6856
2010-06-16,6.7527,6.7527,6.6213,6.7199
2010-06-17,6.6673,6.6673,6.5886,6.6673
2010-06-18,6.5886,6.5886,6.4769,6.5886
2010-06-21,6.5884,6.5884,6.491,6.5884
2010-06-22,6.5886,6.5886,6.2338,6.3784
2010-06-23,6.3454,6.4245,6.0433,6.1945
2010-06-24,6.1945,6.1945,5.9185,6.1483
2010-06-25,6.1417,6.2536,6.0631,6.2536
2010-06-28,5.9381,6.0367,5.8988,6.0237
2010-06-29,6.2273,6.2273,5.958,5.9645
2010-06-30,6.0831,6.1103,6.0293,6.1103
2010-07-01,6.0433,6.1091,5.9776,6.1091
2010-07-02,6.1091,6.1615,6.1091,6.1615
2010-07-05,5.9776,6.2011,5.9776,6.2011
2010-07-06,5.9843,6.1747,5.9252,6.1747
2010-07-07,6.1747,6.1747,6.1747,6.1747
2010-07-08,6.1747,6.4309,6.1747,6.3717
2010-07-09,6.3717,6.4309,6.3717,6.4309
2010-07-12,6.4309,6.4309,6.4309,6.4309
2010-07-13,6.4309,6.4309,6.2469,6.4309
2010-07-14,6.4376,6.4376,6.4047,6.4376
2010-07-15,6.4376,6.5033,6.3717,6.3717
2010-07-16,6.3717,6.3915,6.26,6.3915
2010-07-19,6.1814,6.398,6.1747,6.398
2010-07-20,6.398,6.398,6.1747,6.1747
2010-07-21,6.4245,6.4245,6.3061,6.3061
2010-07-22,6.3061,6.4178,6.2403,6.4178
2010-07-23,6.4178,6.4438,6.2141,6.4438
2010-07-26,6.4309,7.0287,6.2403,6.7002
2010-07-27,6.7659,7.2651,6.6673,6.6673
2010-07-28,7.0287,7.0287,6.7659,6.7659
2010-07-29,6.9629,6.9629,6.8972,6.9564
2010-07-30,6.9629,6.9629,6.7331,6.9236
2010-08-02,6.9959,7.0287,6.8316,7.0287
2010-08-03,7.0945,7.0945,6.9236,7.0287
2010-08-04,7.0287,7.0287,6.8184,6.8972
2010-08-05,6.8184,6.8184,6.5555,6.6477
2010-08-06,6.6412,6.7527,6.6412,6.7527
2010-08-09,6.6477,6.7988,6.6412,6.7856
2010-08-10,6.7922,6.7922,6.5033,6.6937
2010-08-11,6.7594,6.7594,6.4901,6.628
2010-08-12,6.5362,6.7461,6.5362,6.6673
2010-08-13,6.628,6.7002,6.628,6.7002
2010-08-16,6.7331,6.7331,6.7266,6.7331
2010-08-17,6.7331,6.7331,6.7002,6.7002
2010-08-18,6.5294,6.5555,6.385,6.5555
2010-08-19,6.4572,6.7331,6.4572,6.7331
2010-08-20,6.5754,6.7002,6.4703,6.6346
2010-08-23,6.628,6.6937,6.4639,6.5689
2010-08-24,6.5689,6.5689,6.4572,6.5689
2010-08-25,6.6673,6.6673,6.6673,6.6673
2010-08-26,6.6346,6.6346,6.6346,6.6346
2010-08-27,6.4572,6.5689,6.3061,6.5689
2010-08-30,6.628,6.7266,6.5033,6.7002
2010-08-31,6.7002,6.7002,6.4112,6.6872
2010-09-01,6.7002,6.7002,6.5689,6.6346
2010-09-02,6.6346,6.8972,6.6346,6.8184
2010-09-03,6.8316,6.9629,6.8184,6.8907
2010-09-06,6.8972,6.9301,6.7397,6.8972
2010-09-07,7.0222,7.0222,6.9301,6.9301
2010-09-08,6.7331,6.9695,6.7331,6.9695
2010-09-09,6.9762,7.0945,6.9762,7.0945
2010-09-10,7.0945,7.2257,6.9892,6.9892
2010-09-13,7.1534,7.291,7.0353,7.291
2010-09-14,7.357,7.5542,7.291,7.5542
2010-09-15,7.5673,7.784,7.5673,7.6663
2010-09-16,7.7447,7.8823,7.6199,7.8367
2010-09-17,7.8823,7.8823,7.6199,7.7384
2010-09-20,7.7183,7.8823,7.6855,7.8103
2010-09-21,7.7384,7.7384,7.1338,7.298
2010-09-22,7.5081,7.5081,7.2324,7.4821
2010-09-23,7.5342,7.5934,7.331,7.5151
2010-09-24,7.5872,7.6528,7.5212,7.5673
2010-09-27,7.5673,7.6528,7.5673,7.6464
2010-09-28,7.403,7.6391,7.403,7.5151
2010-09-29,7.5081,7.5934,7.5081,7.5742
2010-09-30,7.5742,7.5804,7.5542,7.5542
2010-10-01,7.5542,7.5872,7.5542,7.5542
2010-10-04,7.5542,7.6391,7.5542,7.6391
2010-10-05,7.6391,7.6855,7.5542,7.6391
2010-10-06,7.6855,7.6855,7.5934,7.6855
2010-10-07,7.6791,7.6791,7.5542,7.5542
2010-10-08,7.6855,7.6855,7.5542,7.5542
2010-10-11,7.561,7.6791,7.561,7.6791
2010-10-12,7.6855,7.712,7.5282,7.712
2010-10-13,7.712,7.712,7.5282,7.5282
2010-10-14,7.5412,7.6464,7.5412,7.6464
2010-10-15,7.561,7.6199,7.5282,7.6199
2010-10-18,7.561,7.6726,7.561,7.6199
2010-10-19,7.6135,7.6135,7.5282,7.5804
2010-10-20,7.5021,7.5742,7.5021,7.5742
2010-10-21,7.5742,7.5872,7.5412,7.5542
2010-10-22,7.5542,7.5872,7.4951,7.4951
2010-10-25,7.5872,7.5872,7.5151,7.5151
2010-10-26,7.4291,7.5542,7.4291,7.5542
2010-10-27,7.5934,7.5934,7.5481,7.5542
2010-10-28,7.6199,7.6199,7.6135,7.6135
2010-10-29,7.5535,7.6207,7.4929,7.6207
2010-11-02,7.8823,8.0409,7.8823,7.9942
2010-11-03,8.0075,8.0075,7.9942,7.9942
2010-11-04,8.0008,8.0008,8.0008,8.0008
2010-11-05,7.8823,7.8823,7.7183,7.7183
2010-11-08,7.8767,7.8767,7.7384,7.7384
