<TICKER>,<DATE>,<CLOSE>
ASM,2013-03-18,1.9791
ASM,2013-03-19,1.5635
ASM,2013-03-20,1.237
ASM,2013-03-21,1.5635
ASM,2013-03-26,1.0786
ASM,2013-03-27,1.0786
ASM,2013-03-28,0.9797
ASM,2013-04-08,0.9797
ASM,2013-06-06,1.0588
ASM,2013-06-11,1.138
ASM,2013-06-19,1.1578
ASM,2013-07-10,1.2864
ASM,2013-08-19,1.2864
ASM,2013-09-02,1.1875
ASM,2013-09-17,1.2864
ASM,2013-09-18,1.5833
ASM,2013-09-19,2.1078
ASM,2013-09-20,2.1078
ASM,2013-09-25,1.9791
ASM,2013-10-14,2.0484
ASM,2014-01-07,1.989
ASM,2014-01-08,2.0682
ASM,2014-09-30,2.0781
ASM,2014-10-01,2.4739
ASM,2014-10-10,2.1276
ASM,2014-10-13,2.1276
ASM,2014-10-16,1.9791
ASM,2014-10-27,1.9791
ASM,2014-12-23,2.1276
ASM,2015-01-07,1.9989
ASM,2015-01-28,2.1474
ASM,2015-02-04,1.9989
ASM,2015-03-30,2.1474
ASM,2015-04-27,2.177
ASM,2015-04-30,2.0286
ASM,2015-05-07,2.0286
ASM,2015-08-26,2.0286
ASM,2015-10-05,2.0781
ASM,2015-10-06,2.1375
ASM,2015-10-07,2.1869
ASM,2015-10-08,2.2166
ASM,2015-10-09,2.2562
ASM,2015-10-12,2.2364
ASM,2015-10-13,2.2364
ASM,2015-10-14,2.2166
ASM,2015-10-15,2.276
ASM,2015-10-16,2.276
ASM,2015-10-19,2.2562
ASM,2015-10-21,2.2364
ASM,2015-10-22,2.2364
ASM,2015-10-23,2.2562
ASM,2015-10-26,2.2364
ASM,2015-10-28,2.2463
ASM,2015-10-29,2.2364
ASM,2015-10-30,2.2562
ASM,2015-11-03,2.276
ASM,2015-11-04,2.276
ASM,2015-11-05,2.2958
ASM,2015-11-06,2.375
ASM,2015-11-09,2.3255
ASM,2015-11-10,2.3552
ASM,2015-11-12,2.3453
ASM,2015-11-13,2.3255
ASM,2015-11-17,2.3453
ASM,2015-11-18,2.3453
ASM,2015-11-19,2.3552
ASM,2015-11-20,2.3651
ASM,2015-11-23,2.3156
ASM,2015-11-24,2.4244
ASM,2015-11-25,2.3849
ASM,2015-11-26,2.3156
ASM,2015-11-27,2.3453
ASM,2015-11-30,2.3156
ASM,2015-12-01,2.2958
ASM,2015-12-02,2.3255
ASM,2015-12-03,2.3255
ASM,2015-12-07,2.3453
ASM,2015-12-08,2.3651
