<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2006-08-17,19.05,19.15,18.8,19
2006-08-18,19,19.1,18.9,19.05
2006-08-21,19.1,19.1,18,18.5
2006-08-22,18,18.1,17.7,17.7
2006-08-23,18,18.5,17.9,18.4
2006-08-24,18.6,18.6,18,18.2
2006-08-25,17.9,18.2,17.9,18
2006-08-28,17.6,18.2,17.6,17.8
2006-08-29,18,18.2,17.9,18.2
2006-08-30,17.9,18.1,17.7,18.1
2006-08-31,18.1,18.4,18,18
2006-09-01,17.95,18.15,17.9,18.15
2006-09-04,18.1,18.8,18,18.01
2006-09-05,18.15,18.5,18.01,18.2
2006-09-06,18.2,18.5,17.71,18
2006-09-07,18.39,18.4,18.15,18.3
2006-09-08,18.3,18.3,18.1,18.2
2006-09-11,18.22,18.29,17.6,18.29
2006-09-12,18.29,18.4,18.05,18.1
2006-09-13,17.9,18.5,17.9,18.3
2006-09-14,18.35,18.35,18.21,18.21
2006-09-15,18.05,18.19,17.95,18.05
2006-09-18,18.05,18.05,17.9,17.9
2006-09-19,17.91,17.91,17.61,17.75
2006-09-20,17.6,18.3,17.6,18
2006-09-21,18,18.3,18,18.1
2006-09-22,18.3,18.3,18.09,18.1
2006-09-25,18.2,18.29,17.87,18.2
2006-09-26,18.18,18.7,18.18,18.69
2006-09-27,18.8,19.1,18.54,18.8
2006-09-28,18.95,19.4,18.82,19.1
2006-09-29,19.2,19.21,19,19
2006-10-02,18.9,19.2,18.9,19
2006-10-03,19,19,18.6,19
2006-10-04,19,19,18.62,18.62
2006-10-05,18.94,18.94,18.5,18.76
2006-10-06,18.99,19.18,18.98,19.18
2006-10-09,19.2,19.2,18.71,19
2006-10-10,19,19.11,18.81,18.81
2006-10-11,19,19,18,18
2006-10-12,18.2,18.99,18.01,18.25
2006-10-13,18.06,18.89,18.05,18.7
2006-10-16,18.7,18.9,18.37,18.79
2006-10-17,18.97,19.03,18.79,19
2006-10-18,19.05,19.35,19,19.24
2006-10-19,19.4,21.3,19.39,20.86
2006-10-20,20.83,21.5,20.83,21.3
2006-10-23,21.38,21.38,20.91,21
2006-10-24,21.11,21.25,21,21.19
2006-10-25,21.26,21.26,20.5,20.85
2006-10-26,21,21,20.78,20.98
2006-10-27,20.89,20.9,20.78,20.9
2006-10-30,20.05,20.52,19.99,20
2006-10-31,19.99,20,19.11,20
2006-11-02,19.13,19.95,19.13,19.9
2006-11-03,19.25,19.7,19.02,19.49
2006-11-06,19.45,19.45,18.9,18.9
2006-11-07,18.99,19.49,18.61,19.35
2006-11-08,19.3,19.3,17.86,18.27
2006-11-09,18.3,19,18.3,18.55
2006-11-10,18.11,18.95,18.05,18.93
2006-11-13,18.9,19.05,18.61,18.71
2006-11-14,18.6,18.87,18.05,18.05
2006-11-15,18.11,18.13,17.4,17.48
2006-11-16,17.8,18.5,17.2,17.5
2006-11-17,17.8,17.8,17.3,17.5
2006-11-20,17.8,17.88,17.5,17.5
2006-11-21,17.88,18.25,17.41,17.41
2006-11-22,17.34,17.6,17.34,17.5
2006-11-23,18,18,17.6,17.65
2006-11-24,17.94,17.94,17.51,17.88
2006-11-27,17.9,17.9,17.49,17.8
2006-11-28,17.58,17.58,17.3,17.3
2006-11-29,17.27,17.3,16,17.2
2006-11-30,17,17.87,17,17.75
2006-12-01,17.87,17.87,17.5,17.87
2006-12-04,17.99,18.3,17.91,18
2006-12-05,18.1,19.65,18,19
2006-12-06,19.38,19.75,19.38,19.73
2006-12-07,19.52,19.95,18.06,18.4
2006-12-08,19,19,18.4,18.4
2006-12-11,18.95,18.98,18.25,18.25
2006-12-12,18.26,18.9,17.7,18.79
2006-12-13,18.9,18.9,17.9,18.73
2006-12-14,18.71,18.75,18,18.5
2006-12-15,18.7,18.7,17.7,18.19
2006-12-18,18.47,18.47,17.91,18.18
2006-12-19,18.2,18.34,17.51,17.93
2006-12-20,17.89,17.9,16.6,17.38
2006-12-21,17.3,17.3,16.61,16.99
2006-12-22,17.2,17.2,16.61,17
2006-12-27,17.5,17.5,16.9,17
2006-12-28,17.14,17.14,16.9,17
2006-12-29,17.2,17.2,16.85,17.09
2007-01-02,17.15,17.39,17,17.15
