<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2009-10-23,13.449,13.666,13.102,13.363
2009-10-26,13.44,13.44,13.241,13.276
2009-10-27,13.276,13.519,13.102,13.519
2009-10-28,13.44,13.44,13.094,13.111
2009-10-29,13.12,13.12,12.668,12.851
2009-10-30,12.703,12.842,12.668,12.755
2009-11-02,12.842,12.842,12.712,12.755
2009-11-03,12.755,13.007,12.582,12.885
2009-11-04,12.972,12.972,12.755,12.755
2009-11-05,12.625,13.007,12.625,12.642
2009-11-06,12.668,12.902,12.538,12.894
2009-11-09,12.633,13.449,12.633,13.12
2009-11-10,13.319,13.319,13.033,13.189
2009-11-12,13.146,13.189,12.998,12.998
2009-11-13,13.058,13.102,13.058,13.102
2009-11-16,13.276,13.397,13.024,13.128
2009-11-17,13.033,13.102,13.015,13.015
2009-11-18,13.015,13.015,12.755,12.842
2009-11-19,12.798,12.877,12.694,12.712
2009-11-20,12.798,12.894,12.677,12.894
2009-11-23,12.668,12.755,12.668,12.721
2009-11-24,12.721,12.789,12.677,12.712
2009-11-25,12.712,12.746,12.59,12.59
2009-11-26,12.659,12.659,12.408,12.495
2009-11-27,12.147,12.477,12.061,12.46
2009-11-30,12.2,12.582,12.104,12.452
2009-12-01,12.321,12.356,12.165,12.313
2009-12-02,12.313,12.321,12.147,12.313
2009-12-03,12.156,12.885,12.147,12.885
2009-12-04,12.868,13.015,12.59,12.99
2009-12-07,12.99,12.99,12.755,12.92
2009-12-08,12.998,14.091,12.998,13.726
2009-12-09,13.901,14.447,13.839,14.317
2009-12-10,14.482,14.507,13.987,14.057
2009-12-11,14.144,14.221,13.926,14.082
2009-12-14,13.978,14.1,13.796,13.97
2009-12-15,13.918,14.057,13.918,14.022
2009-12-16,13.918,14.126,13.892,14.126
2009-12-17,14.1,14.221,13.926,14.048
2009-12-18,14.1,14.1,13.779,14.057
2009-12-21,14.057,14.1,14.014,14.014
2009-12-22,14.014,14.022,13.839,14.014
2009-12-23,14.039,14.039,13.848,14.031
2009-12-28,14.014,14.048,13.97,14.014
2009-12-29,13.987,14.126,13.935,14.014
2009-12-30,13.97,14.117,13.97,14.048
2009-12-31,14.022,14.057,13.926,14.014
