<DATE>,<CLOSE>
2012-05-28,1.3404
2012-05-29,1.2354
2012-05-30,1.1983
2012-05-31,1.0802
2012-06-01,1.0563
2012-06-04,1.0252
2012-06-05,0.9379
2012-06-06,0.9574
2012-06-08,0.8648
2012-06-11,0.8648
2012-06-12,0.8648
2012-06-13,0.8585
2012-06-14,0.8401
2012-06-15,0.8797
2012-06-18,0.8895
2012-06-19,0.9018
2012-06-20,0.9265
2012-06-21,0.9697
2012-06-22,0.9832
2012-06-25,0.9327
2012-06-26,0.9265
2012-06-27,0.8927
2012-06-28,0.9508
2012-06-29,0.9767
2012-07-03,0.925
2012-07-04,0.9574
2012-07-05,0.9703
2012-07-06,0.9574
2012-07-09,0.9703
2012-07-10,0.9055
2012-07-11,0.9313
2012-07-12,0.9121
2012-07-13,0.9121
2012-07-16,0.9121
2012-07-17,0.8668
2012-07-18,0.8797
2012-07-19,0.8539
2012-07-20,0.8603
2012-07-23,0.8539
2012-07-24,0.8862
2012-07-25,0.8732
2012-07-26,0.8732
2012-07-27,0.8927
2012-07-30,0.8927
2012-07-31,0.9055
2012-08-01,0.9185
2012-08-02,1.0091
2012-08-03,1.0155
2012-08-08,0.9703
2012-08-09,0.9703
2012-08-10,0.9638
2012-08-13,0.8991
2012-08-14,0.9638
2012-08-16,0.9574
2012-08-17,0.9508
2012-08-20,0.8603
2012-08-21,0.9379
2012-08-22,0.9185
2012-08-23,0.9313
2012-08-24,0.9313
2012-08-27,0.9379
2012-08-28,0.9379
2012-08-29,0.9313
2012-08-31,0.9055
2012-09-03,0.8991
2012-09-04,0.8732
2012-09-05,0.8732
2012-09-07,0.8668
2012-09-10,0.9055
2012-09-11,0.8603
2012-09-12,0.8409
2012-09-13,0.8409
2012-09-14,0.8732
2012-09-17,0.8603
2012-09-18,0.8409
2012-09-19,0.8409
2012-09-20,0.8344
2012-09-21,0.8603
2012-09-24,0.8085
2012-09-25,0.8344
2012-09-27,0.8279
2012-09-28,0.8279
2012-10-01,0.8021
2012-10-02,0.7568
2012-10-03,0.7439
2012-10-04,0.7633
2012-10-05,0.7503
2012-10-08,0.7503
2012-10-09,0.7503
2012-10-11,0.7503
2012-10-12,0.7503
2012-10-15,0.7568
2012-10-16,0.7568
2012-10-17,0.7698
2012-10-18,0.7698
2012-10-19,0.7698
2012-10-22,0.7698
2012-10-23,0.7503
2012-10-24,0.7375
2012-10-25,0.7503
2012-10-26,0.7568
2012-10-29,0.7503
2012-11-05,0.6985
2012-11-06,0.7309
2012-11-07,0.7375
2012-11-09,0.7309
2012-11-12,0.6921
2012-11-13,0.7309
2012-11-14,0.7115
2012-11-15,0.7051
2012-11-19,0.6985
2012-11-20,0.6985
2012-11-21,0.6985
2012-11-22,0.7115
2012-11-23,0.7503
2012-11-27,0.7115
2012-11-28,0.7439
2012-11-29,0.7568
2012-11-30,0.7633
2012-12-03,0.8085
2012-12-04,0.7762
2012-12-07,0.7439
2012-12-10,0.7439
2012-12-11,0.7439
2012-12-13,0.7309
2012-12-14,0.7309
2012-12-17,0.7439
2012-12-18,0.7633
2012-12-19,0.718
2012-12-20,0.7309
2012-12-21,0.7762
2012-12-27,0.7956
2012-12-28,0.7956
2013-01-02,0.8085
2013-01-03,0.8215
2013-01-04,0.8085
2013-01-07,0.8668
2013-01-08,0.8732
2013-01-09,0.8991
2013-01-10,0.9313
2013-01-11,0.9638
2013-01-14,1.0542
2013-01-15,1.0479
2013-01-16,1.0414
2013-01-17,1.0349
2013-01-18,1.0349
2013-01-21,1.0349
2013-01-22,1.022
2013-01-23,1.0027
2013-01-24,0.9896
2013-01-25,1.0284
2013-01-28,1.0349
2013-01-29,1.0349
2013-01-30,1.0349
2013-01-31,1.0349
2013-02-01,1.0284
2013-02-04,1.0284
2013-02-05,1.0867
2013-02-06,1.0155
2013-02-07,1.0608
2013-02-08,1.0608
2013-02-11,1.0349
2013-02-12,1.0091
2013-02-13,0.9832
2013-02-14,1.0027
2013-02-15,1.0091
2013-02-19,0.9444
2013-02-20,0.9767
2013-02-21,0.9444
2013-02-22,0.9767
2013-02-25,0.9767
2013-02-26,0.9638
2013-02-27,1.0091
2013-03-01,1.0673
2013-03-04,1.0673
2013-03-05,1.1255
2013-03-06,1.1126
2013-03-07,1.132
2013-03-08,1.2226
2013-03-11,1.2161
2013-03-12,1.1384
2013-03-13,1.1708
2013-03-14,1.1708
2013-03-15,1.2032
2013-03-18,1.1967
2013-03-19,1.1579
2013-03-20,1.0673
2013-03-21,1.0673
2013-03-22,1.0284
2013-03-25,1.0091
2013-03-26,1.0091
2013-03-27,0.925
2013-03-28,0.9703
2013-04-02,0.9703
2013-04-03,0.925
2013-04-04,0.9638
2013-04-05,0.925
2013-04-08,0.8991
2013-04-09,0.9379
2013-04-10,0.9379
2013-04-11,1.0349
2013-04-12,1.0284
2013-04-15,1.0027
2013-04-17,1.0155
2013-04-18,1.0027
2013-04-22,0.8539
2013-04-23,0.8539
2013-04-24,0.8732
2013-04-25,0.8732
2013-04-26,0.8409
2013-04-29,0.8409
2013-04-30,0.9358
2013-05-06,0.9185
2013-05-07,0.9379
2013-05-08,0.9703
2013-05-09,0.9379
2013-05-10,0.9574
2013-05-13,0.9638
2013-05-14,0.9638
2013-05-15,0.9574
2013-05-16,0.9313
2013-05-17,0.9574
2013-05-20,0.9703
2013-05-21,0.9703
2013-05-22,0.9638
2013-05-24,1.0027
2013-05-27,0.9767
2013-05-28,1.0091
2013-05-29,1.011
2013-05-31,1.0246
2013-06-03,1.0027
2013-06-04,1.0091
2013-06-05,1.0155
2013-06-06,0.9961
2013-06-07,1.0027
2013-06-10,0.9896
2013-06-11,1.0027
2013-06-12,1.0027
2013-06-13,0.9896
2013-06-14,0.9961
2013-06-18,0.9703
2013-06-19,0.9896
2013-06-20,0.9832
2013-06-25,0.9358
2013-06-26,0.9444
2013-06-27,0.9832
2013-07-02,0.9836
2013-07-03,1.0041
2013-07-04,1.0177
2013-07-05,1.0177
2013-07-09,1.0177
2013-07-11,1.0177
2013-07-12,0.9767
2013-07-15,0.9973
2013-07-16,0.9836
2013-07-17,0.9836
2013-07-18,0.97
2013-07-19,0.9836
2013-07-22,0.9426
2013-07-24,0.9905
2013-07-26,0.9905
2013-07-30,0.9221
2013-07-31,0.9017
2013-08-01,0.9767
2013-08-02,0.9905
2013-08-05,0.9836
2013-08-07,0.9564
2013-08-08,0.9836
2013-08-12,1.0246
2013-08-13,1.0246
2013-08-16,0.9905
2013-08-20,1.0315
2013-08-21,1.093
2013-08-22,1.1954
2013-08-23,1.2635
2013-08-26,1.1954
2013-08-27,1.1954
2013-08-28,1.1817
2013-08-29,1.1134
2013-08-30,1.1475
2013-09-02,1.1681
2013-09-03,1.1475
2013-09-04,1.093
