<TICKER>,<DATE>,<CLOSE>
ATT,2008-06-30,13.311
ATT,2008-07-01,12.271
ATT,2008-07-02,12.835
ATT,2008-07-03,12.653
ATT,2008-07-04,12.494
ATT,2008-07-07,12.603
ATT,2008-07-08,12.062
ATT,2008-07-09,12.328
ATT,2008-07-10,12.162
ATT,2008-07-11,12.153
ATT,2008-07-14,12.403
ATT,2008-07-15,11.437
ATT,2008-07-16,10.98
ATT,2008-07-17,11.263
ATT,2008-07-18,11.655
ATT,2008-07-21,12.461
ATT,2008-07-22,12.437
ATT,2008-07-23,13.644
ATT,2008-07-24,13.403
ATT,2008-07-25,13.319
ATT,2008-07-28,13.477
ATT,2008-07-29,13.394
ATT,2008-07-30,13.469
ATT,2008-07-31,13.586
ATT,2008-08-01,13.327
ATT,2008-08-04,13.319
ATT,2008-08-05,13.286
ATT,2008-08-06,13.394
ATT,2008-08-07,13.594
ATT,2008-08-08,13.568
ATT,2008-08-11,13.493
ATT,2008-08-12,13.543
ATT,2008-08-13,14.393
ATT,2008-08-14,14.334
ATT,2008-08-18,13.769
ATT,2008-08-19,13.403
ATT,2008-08-20,13.252
ATT,2008-08-21,13.111
ATT,2008-08-22,13.152
ATT,2008-08-25,13.152
ATT,2008-08-26,13.069
ATT,2008-08-27,13.111
ATT,2008-08-28,12.902
ATT,2008-08-29,12.902
ATT,2008-09-01,12.86
ATT,2008-09-02,12.986
ATT,2008-09-03,13.269
ATT,2008-09-04,13.069
ATT,2008-09-05,12.736
ATT,2008-09-08,12.578
ATT,2008-09-09,12.653
ATT,2008-09-10,12.486
ATT,2008-09-11,12.528
ATT,2008-09-12,12.346
ATT,2008-09-15,11.663
ATT,2008-09-16,11.629
ATT,2008-09-17,11.488
ATT,2008-09-18,11.604
ATT,2008-09-19,12.145
ATT,2008-09-22,11.737
ATT,2008-09-23,11.696
ATT,2008-09-24,11.579
ATT,2008-09-25,11.655
ATT,2008-09-26,11.638
ATT,2008-09-29,11.255
ATT,2008-09-30,10.821
ATT,2008-10-01,11.197
ATT,2008-10-02,10.697
ATT,2008-10-03,10.214
ATT,2008-10-06,8.9402
ATT,2008-10-07,8.0745
ATT,2008-10-08,7.8081
ATT,2008-10-09,7.8665
ATT,2008-10-10,7.4503
ATT,2008-10-13,7.7333
ATT,2008-10-14,8.4658
ATT,2008-10-15,8.1995
ATT,2008-10-16,8.0996
ATT,2008-10-17,8.3659
ATT,2008-10-20,8.6239
ATT,2008-10-21,8.6574
ATT,2008-10-22,8.4076
ATT,2008-10-23,8.4076
ATT,2008-10-24,8.3826
ATT,2008-10-27,8.1577
ATT,2008-10-28,8.2826
ATT,2008-10-29,8.4908
ATT,2008-10-30,8.7822
ATT,2008-10-31,8.9069
ATT,2008-11-03,8.9986
ATT,2008-11-04,9.2811
ATT,2008-11-05,9.0731
ATT,2008-11-06,8.799
ATT,2008-11-07,8.9402
ATT,2008-11-10,8.5407
ATT,2008-11-12,8.0163
ATT,2008-11-13,7.9913
ATT,2008-11-14,7.9081
ATT,2008-11-17,7.8998
ATT,2008-11-18,7.6583
ATT,2008-11-19,7.7082
ATT,2008-11-20,6.6596
ATT,2008-11-21,6.6178
ATT,2008-11-24,6.9092
ATT,2008-11-25,6.826
ATT,2008-11-26,6.7843
ATT,2008-11-27,6.8759
ATT,2008-11-28,6.8759
ATT,2008-12-01,6.7094
ATT,2008-12-02,6.7594
ATT,2008-12-03,6.751
ATT,2008-12-04,6.6344
ATT,2008-12-05,6.4264
ATT,2008-12-08,6.4929
ATT,2008-12-09,6.6095
ATT,2008-12-10,6.4513
ATT,2008-12-11,6.5263
ATT,2008-12-12,6.3514
ATT,2008-12-15,6.3265
ATT,2008-12-16,6.1267
ATT,2008-12-17,5.7854
ATT,2008-12-18,5.4856
ATT,2008-12-19,5.3609
ATT,2008-12-22,5.4107
ATT,2008-12-23,5.4441
ATT,2008-12-29,5.5772
ATT,2008-12-30,5.6606
ATT,2008-12-31,5.7605
ATT,2009-01-05,5.7854
ATT,2009-01-06,6.16
ATT,2009-01-07,6.1683
ATT,2009-01-08,6.2848
ATT,2009-01-09,6.2433
ATT,2009-01-12,6.0268
ATT,2009-01-13,6.1183
ATT,2009-01-14,5.8853
ATT,2009-01-15,6.1018
ATT,2009-01-16,6.0268
ATT,2009-01-19,5.8353
ATT,2009-01-20,5.6606
ATT,2009-01-21,5.5772
ATT,2009-01-22,5.3025
ATT,2009-01-23,5.0361
ATT,2009-01-26,5.1444
ATT,2009-01-27,5.0779
ATT,2009-01-28,5.2192
ATT,2009-01-29,5.1028
ATT,2009-01-30,5.286
ATT,2009-02-02,5.0779
ATT,2009-02-03,5.0611
ATT,2009-02-04,5.286
ATT,2009-02-05,5.4107
ATT,2009-02-06,5.5357
ATT,2009-02-09,5.8853
ATT,2009-02-10,6.0351
ATT,2009-02-11,6.2433
ATT,2009-02-12,6.2599
ATT,2009-02-13,6.5762
ATT,2009-02-16,6.4846
ATT,2009-02-17,6.3265
ATT,2009-02-18,6.5762
ATT,2009-02-19,7.0008
ATT,2009-02-20,6.8676
ATT,2009-02-23,7.1589
ATT,2009-02-24,6.9925
ATT,2009-02-25,7.1589
ATT,2009-02-26,7.2005
ATT,2009-02-27,7.0673
ATT,2009-03-02,6.9841
ATT,2009-03-03,6.8926
ATT,2009-03-04,7.0092
ATT,2009-03-05,6.9341
ATT,2009-03-06,6.8926
ATT,2009-03-09,6.7843
ATT,2009-03-10,6.8676
ATT,2009-03-11,6.9925
ATT,2009-03-12,7.1589
ATT,2009-03-13,7.1589
ATT,2009-03-16,7.3088
ATT,2009-03-17,7.2754
ATT,2009-03-18,7.1672
ATT,2009-03-19,7.2421
ATT,2009-03-20,7.3172
ATT,2009-03-23,7.9247
ATT,2009-03-24,7.9913
ATT,2009-03-25,8.5741
ATT,2009-03-26,9.2655
ATT,2009-03-27,9.3985
ATT,2009-03-30,9.4898
ATT,2009-03-31,9.848
ATT,2009-04-01,9.738
ATT,2009-04-02,9.806
ATT,2009-04-03,9.4063
ATT,2009-04-06,9.2811
ATT,2009-04-07,9.1981
ATT,2009-04-08,9.4898
ATT,2009-04-09,9.532
ATT,2009-04-14,9.1568
ATT,2009-04-15,8.9402
ATT,2009-04-16,9.2811
ATT,2009-04-17,9.4898
ATT,2009-04-20,9.1568
ATT,2009-04-21,9.2067
ATT,2009-04-22,9.3646
ATT,2009-04-23,9.4568
