<TICKER>,<DATE>,<CLOSE>
BBT,2019-05-14,21.8
BBT,2019-05-15,27.3
BBT,2019-05-16,25
BBT,2019-05-17,25.4
BBT,2019-05-20,23.42
BBT,2019-05-21,22.9
BBT,2019-05-22,20.67
BBT,2019-05-23,21.05
BBT,2019-05-24,24.7
BBT,2019-05-27,23.4
BBT,2019-05-28,23.2
BBT,2019-05-29,22.6
BBT,2019-05-30,22.11
BBT,2019-05-31,21.8
BBT,2019-06-03,21.4
BBT,2019-06-04,21.75
BBT,2019-06-05,21.8
BBT,2019-06-06,20.69
BBT,2019-06-07,20.3
BBT,2019-06-10,20
BBT,2019-06-11,19.1
BBT,2019-06-12,17.6
BBT,2019-06-13,17.4
BBT,2019-06-14,18.238
BBT,2019-06-17,18.1
BBT,2019-06-18,17.6
BBT,2019-06-19,16.32
BBT,2019-06-21,17.006
BBT,2019-06-24,16.58
BBT,2019-06-25,17.2
BBT,2019-06-26,17.25
BBT,2019-06-27,17.25
BBT,2019-06-28,17.70
BBT,2019-07-01,18.5
BBT,2019-07-02,20.2
BBT,2019-07-03,19.9
BBT,2019-07-04,19
BBT,2019-07-05,18.45
BBT,2019-07-08,18.6
BBT,2019-07-09,19
BBT,2019-07-10,19.08
BBT,2019-07-11,19.248
BBT,2019-07-12,19
BBT,2019-07-15,19.548
BBT,2019-07-16,19.7
BBT,2019-07-17,20.005
BBT,2019-07-18,20.145
BBT,2019-07-19,20.27
BBT,2019-07-22,20
BBT,2019-07-23,19.8
BBT,2019-07-24,19.5
BBT,2019-07-25,18.65
BBT,2019-07-26,18.666
BBT,2019-07-29,18.55
BBT,2019-07-30,18.5
BBT,2019-07-31,18.5
BBT,2019-08-01,18.5
BBT,2019-08-02,18.5
BBT,2019-08-05,17.798
BBT,2019-08-06,18.46
BBT,2019-08-07,19.95
BBT,2019-08-08,21.9
BBT,2019-08-09,21.885
BBT,2019-08-12,21.5
BBT,2019-08-13,21
BBT,2019-08-14,20.7
BBT,2019-08-16,21.18
BBT,2019-08-19,21.9
BBT,2019-08-20,21.99
BBT,2019-08-21,21.595
BBT,2019-08-22,21.14
BBT,2019-08-23,21.34
BBT,2019-08-26,23.6
BBT,2019-08-27,23.4
BBT,2019-08-28,22.8
BBT,2019-08-29,23.3
BBT,2019-08-30,23.47
BBT,2019-09-02,23.025
BBT,2019-09-03,22.84
BBT,2019-09-04,23.15
BBT,2019-09-05,22.555
BBT,2019-09-06,22.47
BBT,2019-09-09,21.65
BBT,2019-09-10,21.375
BBT,2019-09-11,21.8
BBT,2019-09-12,21.8
BBT,2019-09-13,22.29
BBT,2019-09-16,22
BBT,2019-09-17,21.6
BBT,2019-09-18,20.38
BBT,2019-09-19,20.7
BBT,2019-09-20,20.3
BBT,2019-09-23,20.205
BBT,2019-09-24,19.29
BBT,2019-09-25,20.69
BBT,2019-09-26,21.4
BBT,2019-09-27,17.9
BBT,2019-09-30,14.45
BBT,2019-10-01,14.3
BBT,2019-10-02,13.7
BBT,2019-10-03,13.92
BBT,2019-10-04,14.5
BBT,2019-10-07,13.86
BBT,2019-10-08,13.95
BBT,2019-10-09,12.9
BBT,2019-10-10,9.99
BBT,2019-10-11,10.302
BBT,2019-10-14,10.388
BBT,2019-10-15,10.37
BBT,2019-10-16,10.07
BBT,2019-10-17,10.154
BBT,2019-10-18,9.96
BBT,2019-10-21,10.22
BBT,2019-10-22,10.3
BBT,2019-10-23,10.38
BBT,2019-10-24,10.08
BBT,2019-10-25,10
BBT,2019-10-28,9.67
BBT,2019-10-29,8.67
BBT,2019-10-30,8.12
BBT,2019-10-31,7.938
BBT,2019-11-04,8.222
BBT,2019-11-05,8.24
BBT,2019-11-06,7.91
BBT,2019-11-07,7.9
BBT,2019-11-08,7.99
BBT,2019-11-12,7.85
BBT,2019-11-13,7.6
BBT,2019-11-14,7.68
BBT,2019-11-15,7.75
BBT,2019-11-18,7.84
BBT,2019-11-19,7.8
BBT,2019-11-20,7.75
BBT,2019-11-21,7.88
BBT,2019-11-22,7.6
BBT,2019-11-25,7.98
BBT,2019-11-26,7.999
BBT,2019-11-27,7.8
BBT,2019-11-28,6.24
BBT,2019-11-29,6.3
BBT,2019-12-02,6.199
BBT,2019-12-03,5.802
BBT,2019-12-04,5.65
BBT,2019-12-05,7.42
BBT,2019-12-06,7
BBT,2019-12-09,6.962
BBT,2019-12-10,6.851
BBT,2019-12-11,6.677
BBT,2019-12-12,6.62
BBT,2019-12-13,6.39
BBT,2019-12-16,6.2
BBT,2019-12-17,5.99
BBT,2019-12-18,5.86
BBT,2019-12-19,6.11
BBT,2019-12-20,5.989
BBT,2019-12-23,6.05
BBT,2019-12-27,6.348
BBT,2019-12-30,6.41
BBT,2020-01-02,6.8
BBT,2020-01-03,7.39
BBT,2020-01-07,7.8
BBT,2020-01-08,10.3
BBT,2020-01-09,12.66
BBT,2020-01-10,11.98
BBT,2020-01-13,10.852
BBT,2020-01-14,11.1
BBT,2020-01-15,10.512
BBT,2020-01-16,10.74
BBT,2020-01-17,10.16
BBT,2020-01-20,10.25
BBT,2020-01-21,10.2
BBT,2020-01-22,12.2
BBT,2020-01-23,11.2
BBT,2020-01-24,11.2
BBT,2020-01-27,10.85
BBT,2020-01-28,11.08
BBT,2020-01-29,11.15
BBT,2020-01-30,10.7
BBT,2020-01-31,10.8
BBT,2020-02-03,11.612
BBT,2020-02-04,16.4
BBT,2020-02-05,16.2
BBT,2020-02-06,16.66
BBT,2020-02-07,16.8
BBT,2020-02-10,16.88
BBT,2020-02-11,16.58
BBT,2020-02-12,16.85
BBT,2020-02-13,16.8
BBT,2020-02-14,17
BBT,2020-02-17,16.94
BBT,2020-02-18,16.98
BBT,2020-02-19,16.49
BBT,2020-02-20,16.656
BBT,2020-02-21,16.85
BBT,2020-02-24,16.7
BBT,2020-02-25,15.51
BBT,2020-02-26,15.898
BBT,2020-02-27,15
BBT,2020-02-28,14.4
BBT,2020-03-02,17
BBT,2020-03-03,17.2
BBT,2020-03-04,18
BBT,2020-03-05,17.7
BBT,2020-03-06,17.17
BBT,2020-03-09,14.71
BBT,2020-03-10,14.5
BBT,2020-03-11,12.9
BBT,2020-03-12,9.95
BBT,2020-03-13,10.54
BBT,2020-03-16,13.2
BBT,2020-03-17,15.946
BBT,2020-03-18,15.5
BBT,2020-03-19,15.95
BBT,2020-03-20,16.45
BBT,2020-03-23,16.76
BBT,2020-03-24,19
BBT,2020-03-25,18.14
BBT,2020-03-26,17.9
BBT,2020-03-27,19.19
BBT,2020-03-30,20.2
BBT,2020-03-31,20.2
BBT,2020-04-01,21.6
BBT,2020-04-02,24.5
BBT,2020-04-03,20.8
BBT,2020-04-06,20.3
BBT,2020-04-07,19.56
BBT,2020-04-08,19.3
BBT,2020-04-09,19.12
BBT,2020-04-14,19.18
BBT,2020-04-15,18.5
BBT,2020-04-16,19.5
BBT,2020-04-17,19.62
BBT,2020-04-20,20.2
BBT,2020-04-21,18.6
BBT,2020-04-22,18.4
BBT,2020-04-23,18.48
BBT,2020-04-24,19.8
BBT,2020-04-27,22
BBT,2020-04-28,21
BBT,2020-04-29,20.8
BBT,2020-04-30,19.82
BBT,2020-05-04,20.45
BBT,2020-05-05,20.4
BBT,2020-05-06,20.5
BBT,2020-05-07,20.6
BBT,2020-05-08,20.35
BBT,2020-05-11,20
BBT,2020-05-12,20.35
BBT,2020-05-13,20.25
BBT,2020-05-14,19.32
BBT,2020-05-15,19.56
BBT,2020-05-18,20.2
BBT,2020-05-19,20.85
BBT,2020-05-20,21.35
BBT,2020-05-21,21.2
BBT,2020-05-22,21.15
BBT,2020-05-25,22.25
BBT,2020-05-26,23.65
BBT,2020-05-27,21.5
BBT,2020-05-28,22.25
BBT,2020-05-29,23.2
BBT,2020-06-01,23
BBT,2020-06-02,23
BBT,2020-06-03,23
BBT,2020-06-04,22.15
BBT,2020-06-05,21.3
BBT,2020-06-08,21.4
BBT,2020-06-09,22.2
BBT,2020-06-10,21.4
BBT,2020-06-12,20.65
BBT,2020-06-15,20.2
BBT,2020-06-16,20.9
BBT,2020-06-17,20.8
BBT,2020-06-18,20.4
BBT,2020-06-19,20.8
BBT,2020-06-22,20.9
BBT,2020-06-23,22.3
BBT,2020-06-24,21.8
BBT,2020-06-25,21.5
BBT,2020-06-26,21.95
BBT,2020-06-29,22.05
BBT,2020-06-30,21.2
BBT,2020-07-01,21.75
BBT,2020-07-02,21.9
BBT,2020-07-03,22.75
BBT,2020-07-06,21.8
BBT,2020-07-07,21.45
BBT,2020-07-08,22.95
BBT,2020-07-09,22.5
BBT,2020-07-10,22.3
BBT,2020-07-13,22.2
BBT,2020-07-14,21.5
BBT,2020-07-15,22
BBT,2020-07-16,21.95
BBT,2020-07-17,22.2
BBT,2020-07-20,21.8
BBT,2020-07-21,21.6
BBT,2020-07-22,21.45
BBT,2020-07-23,21.35
BBT,2020-07-24,21.1
BBT,2020-07-27,20.7
BBT,2020-07-28,20.5
BBT,2020-07-29,20.75
BBT,2020-07-30,18.8
BBT,2020-07-31,20.5
BBT,2020-08-03,22.25
BBT,2020-08-04,21.8
BBT,2020-08-05,21.2
BBT,2020-08-06,20.5
BBT,2020-08-07,20.2
BBT,2020-08-10,20.4
BBT,2020-08-11,20.2
BBT,2020-08-12,19.9
BBT,2020-08-13,19.86
BBT,2020-08-14,19.9
BBT,2020-08-17,19.9
BBT,2020-08-18,19.82
BBT,2020-08-19,19.6
BBT,2020-08-20,19.3
BBT,2020-08-21,19.1
BBT,2020-08-24,19.2
BBT,2020-08-25,18.8
BBT,2020-08-26,18.8
BBT,2020-08-27,19.2
BBT,2020-08-28,19.86
BBT,2020-08-31,19.86
BBT,2020-09-01,19.8
BBT,2020-09-02,19.58
BBT,2020-09-03,20.1
BBT,2020-09-04,20.55
BBT,2020-09-07,20.9
BBT,2020-09-08,20.2
BBT,2020-09-09,20.3
BBT,2020-09-10,21.05
BBT,2020-09-11,21.3
BBT,2020-09-14,21.65
BBT,2020-09-15,21.55
BBT,2020-09-16,21.3
BBT,2020-09-17,20.95
BBT,2020-09-18,21.1
BBT,2020-09-21,21.25
