<DATE>,<CLOSE>
1995-05-25,4.1056
1995-05-26,4.1056
1995-05-29,4.1921
1995-05-30,3.7817
1995-05-31,3.8249
1995-06-01,3.5007
1995-06-02,3.5438
1995-06-05,3.7599
1995-06-06,3.7599
1995-06-07,3.8249
1995-06-08,3.8249
1995-06-09,3.8032
1995-06-12,3.6952
1995-06-13,3.7166
1995-06-14,3.8032
1995-06-16,3.7166
1995-06-19,3.5871
1995-06-20,3.6737
1995-06-21,3.6737
1995-06-22,3.6737
1995-06-23,3.7166
1995-06-26,3.8896
1995-06-27,4.0192
1995-06-28,3.8896
1995-06-29,3.976
1995-06-30,3.9977
1995-07-03,4.1056
1995-07-04,4.0624
1995-07-05,4.0192
1995-07-06,4.0407
1995-07-07,3.9977
1995-07-10,3.9977
1995-07-11,3.976
1995-07-12,3.9328
1995-07-13,4.0192
1995-07-14,4.0624
1995-07-17,4.149
1995-07-18,4.4083
1995-07-19,4.8404
1995-07-20,5.3157
1995-07-21,5.5752
1995-07-24,5.6183
1995-07-25,6.1802
1995-07-26,6.7852
1995-07-27,7.3466
1995-07-28,6.958
1995-07-31,6.2665
1995-08-01,6.2665
1995-08-02,6.2665
1995-08-03,6.1368
1995-08-04,6.2665
1995-08-07,6.3099
1995-08-08,6.1802
1995-08-09,6.0937
1995-08-10,6.3963
1995-08-11,6.7852
1995-08-16,6.9149
1995-08-17,6.9149
1995-08-18,6.6553
1995-08-22,7.1311
1995-08-23,7.1747
1995-08-24,7.3903
1995-08-25,8.1247
1995-08-28,8.5139
1995-08-29,8.4276
1995-08-30,8.211
1995-08-31,8.1679
1995-09-01,8.9455
1995-09-04,9.81
1995-09-05,10.761
1995-09-06,10.37
1995-09-07,11.022
1995-09-08,11.712
1995-09-11,12.187
1995-09-12,11.41
1995-09-13,11.193
1995-09-14,11.279
1995-09-15,10.718
1995-09-18,10.2
1995-09-19,9.2051
1995-09-20,9.682
1995-09-21,9.682
1995-09-22,9.379
1995-09-25,9.379
1995-09-26,9.939
1995-09-27,10.416
1995-09-28,10.37
1995-09-29,10.416
1995-10-02,10.805
1995-10-03,10.761
1995-10-04,9.984
1995-10-05,9.984
1995-10-06,9.81
1995-10-09,8.8592
1995-10-10,8.4707
1995-10-11,8.3404
1995-10-12,8.211
1995-10-13,7.9955
1995-10-16,8.1679
1995-10-17,8.3404
1995-10-18,8.3404
1995-10-19,7.5202
1995-10-20,7.0014
1995-10-23,7.2176
1995-10-24,7.1747
1995-10-25,7.563
1995-10-26,7.8229
1995-10-27,7.6927
1995-10-30,7.6927
1995-10-31,7.5202
1995-11-02,7.9093
1995-11-03,8.6874
1995-11-06,9.2481
1995-11-07,9.2921
1995-11-08,9.638
1995-11-09,9.2481
1995-11-10,8.816
1995-11-13,8.816
1995-11-14,9.2481
1995-11-15,9.0753
1995-11-16,9.2051
1995-11-17,9.939
1995-11-20,8.9455
1995-11-21,9.4221
1995-11-22,9.682
1995-11-23,9.507
1995-11-24,9.4221
1995-11-27,9.638
1995-11-28,10.589
1995-11-29,10.285
1995-11-30,10.243
1995-12-01,9.939
1995-12-04,9.898
1995-12-05,9.638
1995-12-06,9.1182
1995-12-07,8.816
1995-12-08,8.6874
1995-12-11,9.0753
1995-12-12,8.9455
1995-12-13,8.6443
1995-12-14,8.3845
1995-12-15,8.4276
1995-12-18,8.3845
1995-12-19,8.1247
1995-12-20,7.3466
1995-12-21,7.5202
1995-12-22,7.779
1995-12-27,8.1247
1995-12-28,8.1247
1995-12-29,8.0384
1996-01-02,8.4276
1996-01-03,8.7737
1996-01-04,8.7306
1996-01-05,9.2051
1996-01-08,9.2051
1996-01-09,9.4221
1996-01-10,9.1182
1996-01-11,9.2051
1996-01-12,8.4276
1996-01-15,8.4276
1996-01-16,8.4276
1996-01-17,8.816
1996-01-18,8.7306
1996-01-19,8.211
1996-01-22,8.5139
1996-01-23,8.1247
1996-01-24,8.211
1996-01-25,8.4276
1996-01-26,8.4276
1996-01-29,8.6443
1996-01-30,8.6443
1996-01-31,9.507
1996-02-01,9.507
1996-02-02,9.768
1996-02-05,9.768
1996-02-06,9.1621
1996-02-07,9.0753
1996-02-08,9.0753
1996-02-09,9.0753
1996-02-12,9.4221
1996-02-13,9.0753
1996-02-14,8.6874
1996-02-15,8.4707
1996-02-16,8.4707
1996-02-19,8.4707
1996-02-20,8.211
1996-02-21,8.2973
1996-02-22,8.4707
1996-02-23,8.4707
1996-02-26,8.8592
1996-02-27,9.2921
1996-02-28,8.816
1996-02-29,9.3358
1996-03-01,9.3358
1996-03-04,9.724
