<DATE>,<CLOSE>
2011-04-21,108.46
2011-04-26,108.46
2011-04-27,108.54
2011-04-28,113.34
2011-04-29,114.67
2011-05-02,114.67
2011-05-04,115.56
2011-05-05,119.03
2011-05-06,117.79
2011-05-09,119.92
2011-05-10,119.92
2011-05-11,119.2
2011-05-12,122.67
2011-05-13,133.34
2011-05-16,139.57
2011-05-17,137.8
2011-05-18,132.46
2011-05-19,126.41
2011-05-20,128.9
2011-05-23,128.01
2011-05-25,124.46
2011-05-26,126.23
2011-05-30,133.79
2011-06-01,135.12
2011-06-02,136.91
2011-06-03,139.12
2011-06-06,139.57
2011-06-07,137.8
2011-06-08,132.46
2011-06-10,133.34
2011-06-14,128.9
2011-06-16,133.34
2011-06-20,132.46
2011-06-21,131.57
2011-06-22,129.79
2011-06-24,133.34
2011-06-27,133.34
2011-06-28,134.23
2011-06-29,141.34
2011-06-30,141.34
2011-07-01,141.34
2011-07-04,141.34
2011-07-05,138.23
2011-07-06,138.23
2011-07-07,142.68
2011-07-08,144.9
2011-07-11,142.23
2011-07-12,142.23
2011-07-13,138.15
2011-07-18,138.15
2011-07-19,137.8
2011-07-20,137.8
2011-07-21,141.34
2011-07-25,133.87
2011-07-26,140.46
2011-07-27,142.23
2011-07-29,142.23
2011-08-02,140.46
2011-08-03,137.8
2011-08-04,137.7
2011-08-05,134.23
2011-08-08,133.34
2011-08-09,126.67
2011-08-10,124.1
2011-08-11,123.12
2011-08-12,128.9
2011-08-16,133.34
2011-08-17,128.01
2011-08-18,128.9
2011-08-19,125.97
2011-08-22,125.26
2011-08-23,120.01
2011-08-25,118.24
2011-08-26,120.01
2011-08-29,121.61
2011-08-30,123.12
2011-08-31,122.67
2011-09-01,118.15
2011-09-02,121.79
2011-09-05,120.37
2011-09-06,120.27
2011-09-07,124.54
2011-09-09,124.46
2011-09-12,120.01
2011-09-13,122.24
2011-09-14,121.35
2011-09-15,122.24
2011-09-19,124.36
2011-09-21,120.72
2011-09-22,120.72
2011-09-23,120.01
2011-09-26,119.13
2011-09-27,124.36
2011-09-28,122.24
2011-09-29,120.9
2011-09-30,125.34
2011-10-03,121.79
2011-10-04,120.45
2011-10-05,120.45
2011-10-06,120.9
2011-10-07,123.22
2011-10-10,124.1
2011-10-11,120.55
2011-10-12,127.92
2011-10-18,126.23
2011-10-19,122.67
2011-10-21,126.23
2011-10-24,122.67
2011-10-25,122.67
2011-10-27,125.34
2011-10-28,125.78
2011-10-31,125.78
2011-11-04,124.46
2011-11-07,122.77
2011-11-08,122.77
2011-11-10,120.01
2011-11-14,121.35
2011-11-16,121.35
2011-11-18,123.22
2011-11-21,121.79
2011-11-23,123.56
2011-11-24,116.01
2011-11-28,119.13
2011-11-29,118.24
2011-11-30,121.79
2011-12-02,122.67
2011-12-12,117.61
2011-12-13,115.56
2011-12-16,112.64
2011-12-19,106.67
2011-12-20,125.08
2011-12-21,125.34
2011-12-22,128.01
2011-12-23,129.79
2011-12-27,130.23
2011-12-28,132.36
2011-12-29,127.13
2011-12-30,122.32
2012-01-02,123.12
2012-01-11,123.12
2012-01-13,126.86
2012-01-17,126.86
2012-01-19,126.86
2012-01-20,126.86
2012-01-23,122.77
2012-01-24,131.57
2012-01-26,131.57
2012-01-27,130.68
2012-01-30,132.46
2012-01-31,136.91
2012-02-01,144.9
2012-02-02,144.01
2012-02-03,133.34
2012-02-06,136.82
2012-02-07,136.91
2012-02-08,138.41
2012-02-09,138.33
2012-02-10,136.91
2012-02-13,137.8
2012-02-14,136.91
2012-02-16,135.56
2012-02-17,135.12
2012-02-20,134.23
2012-02-21,135.12
2012-02-22,135.12
2012-02-23,134.23
2012-02-24,134.23
2012-02-27,142.23
2012-02-28,138.68
2012-02-29,142.23
2012-03-01,142.15
2012-03-02,138.68
2012-03-05,142.23
2012-03-06,142.23
2012-03-07,142.23
2012-03-09,142.23
2012-03-13,142.23
2012-03-14,142.23
2012-03-16,141.34
2012-03-20,139.57
2012-03-21,137.35
2012-03-26,142.15
2012-03-28,142.23
2012-03-29,142.15
2012-03-30,142.06
2012-04-03,142.06
