<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2005-03-16,25,26,25,25
2005-03-17,26,30,26,30
2005-03-18,32,34,31,32
2005-03-21,32,33,30,31
2005-03-22,31,31,30,30
2005-03-23,29,29,28,28
2005-03-24,29,31,29,30
2005-03-29,30,32,30,32
2005-03-30,32,32,32,32
2005-03-31,33,34,33,33
2005-04-01,33,34,32,33
2005-04-04,33,33,32,33
2005-04-05,33,33,33,33
2005-04-06,33,33,32,33
2005-04-07,33,33,33,33
2005-04-11,33,33,33,33
2005-04-12,33,33,33,33
2005-04-13,33,33,33,33
2005-04-14,33,33,32,32
2005-04-15,32,32,31,31
2005-04-18,31,31,30,30
2005-04-19,30,31,29,31
2005-04-20,31,31,30,31
2005-04-21,30,31,30,31
2005-04-22,32,32,31,31
2005-04-25,31,31,30,31
2005-04-26,31,31,30,31
2005-04-27,31,31,30,30
2005-04-28,30,31,30,31
2005-04-29,31,31,30,31
2005-05-02,31,31,31,31
2005-05-04,31,31,31,31
2005-05-05,31,31,30,31
2005-05-06,31,31,31,31
2005-05-09,31,31,31,31
2005-05-10,31,31,31,31
2005-05-11,31,31,31,31
2005-05-12,31,31,31,31
2005-05-13,31,31,31,31
2005-05-16,31,31,31,31
2005-05-17,31,31,29,30
2005-05-18,31,31,30,31
2005-05-19,31,31,31,31
2005-05-20,31,31,31,31
2005-05-23,31,34,31,32
2005-05-24,33,33,31,32
2005-05-25,32,33,32,32
2005-05-27,32,33,32,32
2005-05-30,32,33,32,32
2005-05-31,32,32,32,32
2005-06-01,32,32,32,32
2005-06-02,32,33,32,32
2005-06-03,33,33,32,33
2005-06-06,33,35,33,35
2005-06-07,36,36,35,36
2005-06-08,36,39,35,38
2005-06-09,38,38,37,38
2005-06-10,38,38,38,38
2005-06-13,38,38,37,38
2005-06-14,38,38,37,37
2005-06-15,40,45,38,45
2005-06-16,46,51,45,46
2005-06-17,45,46,44,44
2005-06-20,44,47,43,47
2005-06-21,48,50,47,48
2005-06-22,48,48,47,48
2005-06-23,48,48,46,47
2005-06-24,46,46,45,45
2005-06-27,45,45,45,45
2005-06-28,45,47,45,47
2005-06-29,47,48,47,48
2005-06-30,48,48,47,48
2005-07-01,47,48,46,47
