<DATE>,<CLOSE>
2016-04-29,49.187
2016-05-02,49.752
2016-05-04,48.718
2016-05-05,48.814
2016-05-06,49.369
2016-05-09,48.814
2016-05-10,47.569
2016-05-11,49.005
2016-05-12,48.517
2016-05-13,49.962
2016-05-16,49.962
2016-05-17,49.579
2016-05-18,49.579
2016-05-19,48.958
2016-05-20,48.958
2016-05-23,49.062
2016-05-24,49.062
2016-05-25,49.465
2016-05-27,49.465
2016-05-30,49.465
2016-05-31,49.196
2016-06-01,48.335
2016-06-02,48.814
2016-06-03,48.335
2016-06-06,47.857
2016-06-07,47.857
2016-06-08,47.866
2016-06-09,48.335
2016-06-10,48.795
2016-06-13,50.432
2016-06-14,49.771
2016-06-15,48.431
2016-06-16,48.804
2016-06-17,48.671
2016-06-20,48.431
2016-06-21,48.335
2016-06-22,47.474
2016-06-23,48.421
2016-06-24,48.325
2016-06-27,47.857
2016-06-28,47.857
2016-06-29,49.474
2016-06-30,48.239
2016-07-01,47.857
2016-07-04,47.857
2016-07-05,47.838
2016-07-06,47.838
2016-07-07,47.808
2016-07-08,46.134
2016-07-11,47.742
2016-07-12,47.712
2016-07-13,46.823
2016-07-14,46.421
2016-07-15,46.181
2016-07-18,47.378
2016-07-19,47.378
2016-07-20,47.474
2016-07-21,47.474
2016-07-22,47.474
2016-07-25,47.474
2016-07-26,47.704
2016-07-27,47.712
2016-07-28,47.704
2016-07-29,47.712
2016-08-01,47.712
2016-08-02,47.712
2016-08-03,47.378
2016-08-04,47.378
2016-08-05,47.712
2016-08-08,47.712
2016-08-09,47.712
2016-08-10,47.712
2016-08-11,47.712
2016-08-12,47.712
2016-08-16,47.588
2016-08-17,46.9
2016-08-18,47.33
2016-08-19,46.9
2016-08-22,47.34
2016-08-23,47.34
2016-08-24,47.857
2016-08-25,47.857
2016-08-26,48.718
2016-08-29,47.857
2016-08-30,48.526
2016-08-31,50.249
2016-09-01,49.771
2016-09-02,49.771
2016-09-05,50.728
2016-09-06,50.728
2016-09-07,51.302
2016-09-08,51.58
2016-09-09,51.187
2016-09-12,50.728
2016-09-13,52.642
2016-09-14,52.576
2016-09-15,52.01
2016-09-16,51.876
2016-09-19,51.685
2016-09-20,51.206
2016-09-21,54.461
2016-09-22,56.068
2016-09-23,55.418
2016-09-26,55.504
2016-09-27,55.504
2016-09-28,55.705
2016-09-29,54.748
2016-09-30,55.035
2016-10-03,55.035
2016-10-04,53.753
2016-10-05,53.6
2016-10-06,53.6
2016-10-07,53.6
2016-10-10,55.514
2016-10-11,55.131
2016-10-12,55.418
2016-10-13,55.322
2016-10-14,55.457
2016-10-17,55.408
2016-10-18,55.178
2016-10-19,55.227
2016-10-20,55.111
2016-10-21,55.398
2016-10-24,54.557
2016-10-25,54.557
2016-10-26,54.557
2016-10-27,54.557
2016-10-28,53.321
2016-10-31,54.557
2016-11-02,54.557
2016-11-03,54.365
2016-11-04,52.173
2016-11-07,52.642
2016-11-08,53.6
2016-11-09,54.03
2016-11-10,51.876
2016-11-14,52.499
2016-11-15,51.063
2016-11-16,49.771
2016-11-17,49.015
2016-11-18,48.814
2016-11-21,52.212
2016-11-22,52.355
2016-11-23,51.206
2016-11-24,53.6
2016-11-25,53.6
2016-11-28,53.6
2016-11-29,52.93
2016-11-30,51.685
2016-12-01,50.823
2016-12-02,50.929
2016-12-05,51.78
2016-12-06,52.642
2016-12-07,51.426
2016-12-08,52.546
2016-12-09,50.833
2016-12-12,50.881
2016-12-13,52.527
2016-12-14,52.537
2016-12-15,52.537
2016-12-16,51.685
2016-12-19,50.872
