<TICKER>,<DATE>,<CLOSE>
BMC,2009-01-14,207.79
BMC,2009-01-15,199.54
BMC,2009-01-16,190.3
BMC,2009-01-19,181.5
BMC,2009-01-20,172.7
BMC,2009-01-21,161.26
BMC,2009-01-22,171.82
BMC,2009-01-23,165.22
BMC,2009-01-26,151.58
BMC,2009-01-27,154.44
BMC,2009-01-28,156.42
BMC,2009-01-29,154
BMC,2009-01-30,164.89
BMC,2009-02-02,173.8
BMC,2009-02-03,177.1
BMC,2009-02-04,176.88
BMC,2009-02-05,165
BMC,2009-02-06,168.3
BMC,2009-02-09,166.1
BMC,2009-02-10,165
BMC,2009-02-11,147.4
BMC,2009-02-12,137.5
BMC,2009-02-13,134.2
BMC,2009-02-16,140.58
BMC,2009-02-17,149.6
BMC,2009-02-18,143
BMC,2009-02-19,149.27
BMC,2009-02-20,152.9
BMC,2009-02-23,131.45
BMC,2009-02-24,128.59
BMC,2009-02-25,125.95
BMC,2009-02-26,124.52
BMC,2009-02-27,118.8
BMC,2009-03-02,121.33
BMC,2009-03-03,114.73
BMC,2009-03-04,105.05
BMC,2009-03-05,104.5
BMC,2009-03-06,88
BMC,2009-03-09,95.59
BMC,2009-03-10,93.5
BMC,2009-03-11,93.06
BMC,2009-03-12,103.18
BMC,2009-03-13,101.2
BMC,2009-03-16,104.28
BMC,2009-03-17,110
BMC,2009-03-18,111.76
BMC,2009-03-19,137.5
BMC,2009-03-20,137.5
BMC,2009-03-23,148.5
BMC,2009-03-24,143
BMC,2009-03-25,134.2
BMC,2009-03-26,144.98
BMC,2009-03-27,142.01
BMC,2009-03-30,140.69
BMC,2009-03-31,144.43
BMC,2009-04-01,148.39
BMC,2009-04-02,130.9
BMC,2009-04-03,132
BMC,2009-04-06,139.04
BMC,2009-04-07,139.59
BMC,2009-04-08,133.1
BMC,2009-04-09,128.15
BMC,2009-04-14,128.7
BMC,2009-04-15,128.7
BMC,2009-04-16,140.8
BMC,2009-04-17,136.95
BMC,2009-04-20,141.79
BMC,2009-04-21,132
BMC,2009-04-22,153.56
BMC,2009-04-23,142.23
BMC,2009-04-24,144.65
BMC,2009-04-27,138.82
BMC,2009-04-28,137.5
BMC,2009-04-29,138.6
BMC,2009-04-30,130.57
BMC,2009-05-04,135.85
BMC,2009-05-05,135.63
BMC,2009-05-06,134.09
BMC,2009-05-07,137.5
BMC,2009-05-08,134.09
BMC,2009-05-11,134.2
BMC,2009-05-12,134.2
BMC,2009-05-13,133.1
BMC,2009-05-14,133.1
BMC,2009-05-15,133.98
BMC,2009-05-18,132.55
BMC,2009-05-19,134.2
BMC,2009-05-20,128.37
BMC,2009-05-21,121
BMC,2009-05-22,121
BMC,2009-05-25,121.33
BMC,2009-05-26,116.27
BMC,2009-05-27,115.72
BMC,2009-05-28,118.25
BMC,2009-05-29,116.6
BMC,2009-06-01,121
BMC,2009-06-02,113.19
BMC,2009-06-03,110
BMC,2009-06-04,112.2
BMC,2009-06-05,110
BMC,2009-06-08,104.5
BMC,2009-06-09,108.57
BMC,2009-06-10,107.8
BMC,2009-06-12,107.8
BMC,2009-06-15,108.13
BMC,2009-06-16,108.02
BMC,2009-06-17,103.07
BMC,2009-06-18,103.07
BMC,2009-06-19,107.47
BMC,2009-06-22,108.13
BMC,2009-06-23,106.59
BMC,2009-06-24,103.4
BMC,2009-06-25,105.6
BMC,2009-06-26,105.6
BMC,2009-06-29,103.73
BMC,2009-06-30,103.62
