<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1997-02-03,47.697,47.697,47.697,47.697
1997-02-04,45.713,45.713,45.713,45.713
1997-02-05,43.23,43.23,43.23,43.23
1997-02-06,42.731,42.731,42.731,42.731
1997-02-07,44.716,44.716,44.716,44.716
1997-02-10,46.511,46.511,46.511,46.511
1997-02-11,44.716,44.716,44.716,44.716
1997-02-12,44.716,44.716,44.716,44.716
1997-02-13,43.728,43.728,43.728,43.728
1997-02-14,44.716,44.716,44.716,44.716
1997-02-17,44.716,44.716,44.716,44.716
1997-02-18,44.716,44.716,44.716,44.716
1997-02-19,43.728,43.728,43.728,43.728
1997-02-20,42.931,42.931,42.931,42.931
1997-02-21,44.217,44.217,44.217,44.217
1997-02-24,43.329,43.329,43.329,43.329
1997-02-25,43.329,43.329,43.329,43.329
1997-02-26,43.728,43.728,43.728,43.728
1997-02-27,43.23,43.23,43.23,43.23
1997-02-28,42.731,42.731,42.731,42.731
1997-03-03,42.232,42.232,42.232,42.232
1997-03-04,42.232,42.232,42.232,42.232
1997-03-05,42.731,42.731,42.731,42.731
1997-03-06,43.728,43.728,43.728,43.728
1997-03-07,44.416,44.416,44.416,44.416
1997-03-10,43.728,43.728,43.728,43.728
1997-03-11,43.828,43.828,43.828,43.828
1997-03-12,44.716,44.716,44.716,44.716
1997-03-13,43.329,43.329,43.329,43.329
1997-03-14,41.235,41.235,41.235,41.235
1997-03-17,41.933,41.933,41.933,41.933
1997-03-18,43.03,43.03,43.03,43.03
1997-03-19,43.03,43.03,43.03,43.03
1997-03-20,42.731,42.731,42.731,42.731
1997-03-21,42.831,42.831,42.831,42.831
1997-03-24,43.03,43.03,43.03,43.03
1997-03-25,43.03,43.03,43.03,43.03
1997-03-26,43.728,43.728,43.728,43.728
1997-03-27,44.217,44.217,44.217,44.217
1997-04-01,43.728,43.728,43.728,43.728
1997-04-02,41.235,41.235,41.235,41.235
1997-04-03,42.033,42.033,42.033,42.033
1997-04-04,42.033,42.033,42.033,42.033
1997-04-07,43.329,43.329,43.329,43.329
1997-04-08,43.728,43.728,43.728,43.728
1997-04-09,43.23,43.23,43.23,43.23
1997-04-10,43.629,43.629,43.629,43.629
1997-04-11,43.529,43.529,43.529,43.529
1997-04-14,43.23,43.23,43.23,43.23
1997-04-15,43.728,43.728,43.728,43.728
1997-04-16,44.317,44.317,44.317,44.317
1997-04-17,43.23,43.23,43.23,43.23
1997-04-18,43.529,43.529,43.529,43.529
1997-04-21,43.728,43.728,43.728,43.728
1997-04-22,43.728,43.728,43.728,43.728
1997-04-23,44.027,44.027,44.027,44.027
1997-04-24,43.728,43.728,43.728,43.728
1997-04-25,43.629,43.629,43.629,43.629
1997-04-28,43.23,43.23,43.23,43.23
1997-04-29,42.731,42.731,42.731,42.731
1997-04-30,43.329,43.329,43.329,43.329
1997-05-05,43.23,43.23,43.23,43.23
1997-05-06,43.23,43.23,43.23,43.23
1997-05-07,43.03,43.03,43.03,43.03
1997-05-08,42.731,42.731,42.731,42.731
1997-05-09,42.931,42.931,42.931,42.931
1997-05-12,43.03,43.03,43.03,43.03
1997-05-13,42.931,42.931,42.931,42.931
1997-05-14,42.731,42.731,42.731,42.731
1997-05-15,43.728,43.728,43.728,43.728
1997-05-16,43.728,43.728,43.728,43.728
1997-05-19,42.931,42.931,42.931,42.931
1997-05-20,42.931,42.931,42.931,42.931
1997-05-21,42.731,42.731,42.731,42.731
1997-05-22,42.232,42.232,42.232,42.232
1997-05-23,41.734,41.734,41.734,41.734
1997-05-26,40.447,40.447,40.447,40.447
1997-05-27,37.964,37.964,37.964,37.964
1997-05-28,39.151,39.151,39.151,39.151
1997-05-30,39.749,39.749,39.749,39.749
1997-06-02,39.749,39.749,39.749,39.749
1997-06-03,39.749,39.749,39.749,39.749
1997-06-04,39.45,39.45,39.45,39.45
1997-06-05,37.865,37.865,37.865,37.865
1997-06-06,39.251,39.251,39.251,39.251
1997-06-09,39.749,39.749,39.749,39.749
1997-06-10,39.749,39.749,39.749,39.749
1997-06-11,39.749,39.749,39.749,39.749
1997-06-12,39.949,39.949,39.949,39.949
1997-06-13,39.849,39.849,39.849,39.849
1997-06-16,40.547,40.547,40.547,40.547
1997-06-17,40.547,40.547,40.547,40.547
1997-06-18,40.248,40.248,40.248,40.248
1997-06-19,40.248,40.248,40.248,40.248
1997-06-20,40.547,40.547,40.547,40.547
1997-06-23,40.248,40.248,40.248,40.248
1997-06-24,39.749,39.749,39.749,39.749
1997-06-25,39.749,39.749,39.749,39.749
1997-06-26,39.251,39.251,39.251,39.251
1997-06-27,39.749,39.749,39.749,39.749
1997-06-30,39.749,39.749,39.749,39.749
1997-07-01,39.251,39.251,39.251,39.251
1997-07-02,38.752,38.752,38.752,38.752
1997-07-03,38.164,38.164,38.164,38.164
1997-07-04,38.752,38.752,38.752,38.752
1997-07-07,38.264,38.264,38.264,38.264
1997-07-08,38.752,38.752,38.752,38.752
1997-07-09,39.251,39.251,39.251,39.251
1997-07-10,38.752,38.752,38.752,38.752
1997-07-11,39.151,39.151,39.151,39.151
1997-07-14,35.282,35.282,35.282,35.282
1997-07-15,35.77,35.77,35.77,35.77
