<TICKER>,<DATE>,<CLOSE>
BOW,2012-01-25,9.95
BOW,2012-01-26,9.95
BOW,2012-01-27,9.523
BOW,2012-01-30,9.713
BOW,2012-01-31,9.4766
BOW,2012-02-01,9.4766
BOW,2012-02-02,9.3246
BOW,2012-02-03,9.3623
BOW,2012-02-06,9.3053
BOW,2012-02-07,8.8035
BOW,2012-02-08,8.6709
BOW,2012-02-09,8.6992
BOW,2012-02-10,8.5287
BOW,2012-02-13,8.5287
BOW,2012-02-14,8.8035
BOW,2012-02-15,8.5287
BOW,2012-02-16,8.4339
BOW,2012-02-17,8.3866
BOW,2012-02-20,8.036
BOW,2012-02-21,7.7707
BOW,2012-02-22,7.7232
BOW,2012-02-23,7.7232
BOW,2012-02-24,7.6759
BOW,2012-02-27,7.6664
BOW,2012-02-28,7.6379
BOW,2012-02-29,7.6284
BOW,2012-03-01,7.5906
BOW,2012-03-02,7.7707
BOW,2012-03-05,7.6759
BOW,2012-03-06,7.619
BOW,2012-03-07,7.6759
BOW,2012-03-08,7.5811
BOW,2012-03-09,7.3916
BOW,2012-03-12,7.3916
BOW,2012-03-13,7.1263
BOW,2012-03-14,6.9367
BOW,2012-03-15,7.0125
BOW,2012-03-16,7.0125
BOW,2012-03-19,7.022
BOW,2012-03-20,7.1546
BOW,2012-03-21,7.1546
BOW,2012-03-22,7.1546
BOW,2012-03-23,7.1546
BOW,2012-03-26,7.2969
BOW,2012-03-27,7.1546
BOW,2012-03-28,7.022
BOW,2012-03-29,7.0125
BOW,2012-03-30,7.2778
BOW,2012-04-02,7.2778
BOW,2012-04-03,7.2969
BOW,2012-04-04,7.0125
BOW,2012-04-10,6.9177
BOW,2012-04-11,6.7567
BOW,2012-04-12,6.5387
BOW,2012-04-13,6.4439
BOW,2012-04-16,6.8229
BOW,2012-04-17,6.6714
BOW,2012-04-18,7.1073
BOW,2012-04-19,7.1452
BOW,2012-04-20,7.1452
BOW,2012-04-23,6.6334
BOW,2012-04-24,7.1452
BOW,2012-04-25,6.6334
BOW,2012-04-26,6.6809
BOW,2012-04-27,6.9651
BOW,2012-04-30,7.1452
BOW,2012-05-02,7.1452
BOW,2012-05-04,7.1073
BOW,2012-05-07,6.7471
BOW,2012-05-08,6.6429
BOW,2012-05-09,6.5103
BOW,2012-05-10,6.5008
BOW,2012-05-11,6.3491
BOW,2012-05-14,6.3491
BOW,2012-05-15,6.4439
BOW,2012-05-17,6.0365
BOW,2012-05-24,5.7332
BOW,2012-05-28,5.4489
BOW,2012-05-29,4.9277
BOW,2012-05-30,4.9088
BOW,2012-06-04,4.8898
BOW,2012-06-05,4.8898
BOW,2012-06-13,5.7237
BOW,2012-06-14,5.4963
BOW,2012-06-15,5.4868
BOW,2012-06-18,5.4868
BOW,2012-06-19,5.4868
BOW,2012-06-20,5.4868
BOW,2012-06-21,5.43
BOW,2012-06-22,5.6859
BOW,2012-06-25,5.6859
BOW,2012-06-26,5.6859
BOW,2012-06-27,5.4963
BOW,2012-06-28,5.4963
BOW,2012-06-29,6.0459
BOW,2012-07-03,6.5008
BOW,2012-07-04,6.5292
BOW,2012-07-05,6.8229
BOW,2012-07-06,6.8229
BOW,2012-07-09,6.7471
BOW,2012-07-10,6.8135
BOW,2012-07-11,6.7757
BOW,2012-07-12,6.7946
BOW,2012-07-13,6.7946
BOW,2012-07-16,6.7946
BOW,2012-07-17,6.7946
BOW,2012-07-18,6.7946
BOW,2012-07-19,6.804
BOW,2012-07-20,6.7946
BOW,2012-07-23,6.7946
BOW,2012-07-24,6.7946
BOW,2012-07-25,6.7282
BOW,2012-07-26,6.7946
BOW,2012-07-27,6.7282
BOW,2012-07-30,7.0599
BOW,2012-07-31,7.003
BOW,2012-08-01,6.9177
BOW,2012-08-02,6.9082
BOW,2012-08-03,6.9177
BOW,2012-08-06,6.9177
BOW,2012-08-07,6.9082
BOW,2012-08-08,6.8135
BOW,2012-08-09,6.8135
BOW,2012-08-10,6.7946
BOW,2012-08-13,6.9177
BOW,2012-08-14,6.1122
BOW,2012-08-16,6.8229
BOW,2012-08-17,6.9082
BOW,2012-08-20,6.8229
BOW,2012-08-21,6.6051
BOW,2012-08-22,6.5861
BOW,2012-08-23,6.3966
BOW,2012-08-24,6.5292
BOW,2012-08-27,6.5197
BOW,2012-08-28,6.5292
BOW,2012-08-29,6.2354
BOW,2012-08-30,6.1785
BOW,2012-08-31,6.0933
BOW,2012-09-03,5.9701
BOW,2012-09-04,5.9701
BOW,2012-09-05,6.1027
BOW,2012-09-06,6.1313
BOW,2012-09-07,6.1027
BOW,2012-09-10,6.1027
BOW,2012-09-11,6.1502
BOW,2012-09-12,6.1502
