<TICKER>,<DATE>,<CLOSE>
BRA,2012-12-20,14.87
BRA,2012-12-21,13.3
BRA,2012-12-27,11.59
BRA,2012-12-28,11
BRA,2013-01-02,10.7
BRA,2013-01-03,10.01
BRA,2013-01-04,10.6
BRA,2013-01-07,10.4
BRA,2013-01-08,11.4
BRA,2013-01-09,13
BRA,2013-01-10,10.51
BRA,2013-01-11,10.64
BRA,2013-01-14,10.75
BRA,2013-01-15,11.2
BRA,2013-01-16,11.1
BRA,2013-01-17,11.1
BRA,2013-01-18,10.4
BRA,2013-01-21,12
BRA,2013-01-22,10.7
BRA,2013-01-23,10.7
BRA,2013-01-24,10.8
BRA,2013-01-25,11.82
BRA,2013-01-28,10.8
BRA,2013-01-29,10.8
BRA,2013-01-30,10.65
BRA,2013-01-31,10.8
BRA,2013-02-01,10.8
BRA,2013-02-04,10.79
BRA,2013-02-05,11.61
BRA,2013-02-06,10.8
BRA,2013-02-07,10.8
BRA,2013-02-08,10.35
BRA,2013-02-11,10.4
BRA,2013-02-12,10.4
BRA,2013-02-13,10.75
BRA,2013-02-14,10.5
BRA,2013-02-15,10.4
BRA,2013-02-18,10.74
BRA,2013-02-19,10.3
BRA,2013-02-20,10.3
BRA,2013-02-21,10.47
BRA,2013-02-22,10.21
BRA,2013-02-25,10
BRA,2013-02-26,10.4
BRA,2013-02-27,10
BRA,2013-02-28,10
BRA,2013-03-01,9.84
BRA,2013-03-04,10.2
BRA,2013-03-05,10.2
BRA,2013-03-06,10.2
BRA,2013-03-07,10.2
BRA,2013-03-08,10.2
BRA,2013-03-11,10.1
BRA,2013-03-12,9.9
BRA,2013-03-13,9.9
BRA,2013-03-14,9.9
BRA,2013-03-15,9.9
BRA,2013-03-18,9.85
BRA,2013-03-19,10.4
BRA,2013-03-20,10.61
BRA,2013-03-21,10.2
BRA,2013-03-22,10.2
BRA,2013-03-26,10
BRA,2013-03-27,9.5
BRA,2013-03-28,10
BRA,2013-04-02,9.99
BRA,2013-04-03,10
BRA,2013-04-04,9.99
BRA,2013-04-05,10
BRA,2013-04-08,10.09
BRA,2013-04-09,10.1
BRA,2013-04-17,9.55
BRA,2013-04-18,9.62
BRA,2013-04-19,9.9
BRA,2013-04-22,10.49
BRA,2013-04-23,10.1
BRA,2013-04-29,9.61
BRA,2013-04-30,9.61
BRA,2013-05-06,10
BRA,2013-05-08,9.39
BRA,2013-05-09,10
BRA,2013-05-10,9.75
BRA,2013-05-13,10.17
BRA,2013-05-14,9.62
BRA,2013-05-15,9.9
BRA,2013-05-16,11.38
BRA,2013-05-17,11.5
BRA,2013-05-20,11
BRA,2013-05-23,11.5
BRA,2013-05-24,11.4
BRA,2013-05-27,11.65
BRA,2013-05-28,11.13
BRA,2013-05-29,11.58
BRA,2013-05-31,11.8
BRA,2013-06-03,11.88
BRA,2013-06-04,11.88
BRA,2013-06-05,11.88
BRA,2013-06-06,11.88
BRA,2013-06-07,11.88
BRA,2013-06-10,14
BRA,2013-06-11,14
BRA,2013-06-12,13.9
BRA,2013-06-13,11.45
BRA,2013-06-14,11.5
BRA,2013-06-17,10.5
BRA,2013-06-19,10.5
BRA,2013-06-20,10
BRA,2013-06-21,10
BRA,2013-06-24,10.2
BRA,2013-06-25,10
BRA,2013-06-26,10.1
BRA,2013-06-27,9.91
BRA,2013-07-03,10.2
BRA,2013-07-12,10.4
BRA,2013-07-15,10.09
BRA,2013-07-16,10.08
BRA,2013-07-17,9.58
BRA,2013-07-19,9
BRA,2013-07-22,8.8
BRA,2013-07-23,8.8
BRA,2013-07-24,8.8
BRA,2013-07-25,8.8
BRA,2013-07-26,8.8
BRA,2013-07-29,8.8
BRA,2013-07-30,8.36
BRA,2013-07-31,8.16
BRA,2013-08-01,8
BRA,2013-08-02,8.07
BRA,2013-08-05,8.07
BRA,2013-08-07,8.07
BRA,2013-08-08,8.07
BRA,2013-08-09,8
BRA,2013-08-14,7.92
BRA,2013-08-16,7.7
BRA,2013-08-19,7
BRA,2013-08-21,6.76
BRA,2013-08-22,6.76
BRA,2013-08-23,6.76
BRA,2013-08-26,6.3
BRA,2013-08-27,5.3
BRA,2013-08-28,5.46
BRA,2013-08-29,6.8
BRA,2013-08-30,6.8
BRA,2013-09-04,7
BRA,2013-09-05,8
BRA,2013-09-06,7.6
BRA,2013-09-10,8.4
BRA,2013-09-11,9.4
BRA,2013-09-12,9
BRA,2013-09-13,9.1
BRA,2013-09-16,9.04
BRA,2013-09-17,9.04
BRA,2013-09-18,8.59
BRA,2013-09-19,9.04
BRA,2013-09-20,8.9
BRA,2013-09-30,8.5
BRA,2013-10-01,8.5
BRA,2013-10-04,8.4
BRA,2013-10-07,8.4
BRA,2013-10-08,8.4
BRA,2013-10-09,8.4
BRA,2013-10-10,8.4
BRA,2013-10-11,8.4
BRA,2013-10-14,8.5
BRA,2013-10-15,8.5
BRA,2013-10-16,8.5
BRA,2013-10-18,8.5
BRA,2013-10-21,8.5
BRA,2013-10-22,8.5
BRA,2013-10-23,8.49
BRA,2013-10-24,8.49
BRA,2013-10-25,8.49
BRA,2013-10-28,8.49
BRA,2013-10-29,8.49
BRA,2013-10-30,8.49
BRA,2013-10-31,8.1
BRA,2013-11-04,8.9
BRA,2013-11-05,8.6
BRA,2013-11-06,8.6
BRA,2013-11-07,8.6
BRA,2013-11-08,8.59
BRA,2013-11-13,8
BRA,2013-11-14,8
BRA,2013-11-15,8
BRA,2013-11-18,8.05
BRA,2013-11-19,8.05
BRA,2013-11-20,8.05
BRA,2013-11-21,7.59
BRA,2013-11-25,7.4
BRA,2013-11-26,7
BRA,2013-12-02,6.6
BRA,2013-12-04,6
BRA,2013-12-05,6
BRA,2013-12-06,6
BRA,2013-12-09,6
BRA,2013-12-10,6
BRA,2013-12-11,6
BRA,2013-12-12,5
BRA,2013-12-13,4.71
BRA,2013-12-16,4.55
BRA,2013-12-17,4.48
BRA,2013-12-18,4
BRA,2013-12-19,4.02
BRA,2013-12-20,4
BRA,2013-12-27,3.88
BRA,2013-12-30,3.5
BRA,2014-01-02,3.1
BRA,2014-01-03,3.3
BRA,2014-01-07,3.11
BRA,2014-01-08,3.11
BRA,2014-01-09,2.9
BRA,2014-01-10,3.49
BRA,2014-01-13,4
BRA,2014-01-14,4
BRA,2014-01-15,4.1
BRA,2014-01-16,3.7
BRA,2014-01-17,4
BRA,2014-01-20,3.97
BRA,2014-01-21,4.4
BRA,2014-01-22,4.9
BRA,2014-01-23,7.2
BRA,2014-01-24,7.97
BRA,2014-01-27,6.5
BRA,2014-01-28,6
BRA,2014-01-29,5.8
BRA,2014-01-30,5.51
BRA,2014-01-31,6.19
BRA,2014-02-04,5.51
BRA,2014-02-05,5.41
BRA,2014-02-06,6.46
BRA,2014-02-07,9.3
BRA,2014-02-10,10.98
BRA,2014-02-11,11.71
BRA,2014-02-12,11.53
BRA,2014-02-13,9.65
BRA,2014-02-14,10.49
BRA,2014-02-17,10.61
BRA,2014-02-18,10.4
BRA,2014-02-19,10
BRA,2014-02-20,10.9
BRA,2014-02-21,10.79
BRA,2014-02-24,10.43
BRA,2014-02-25,10.5
BRA,2014-02-26,10.09
BRA,2014-02-27,9.5
BRA,2014-02-28,9.45
BRA,2014-03-03,8.1
BRA,2014-03-04,8.5
BRA,2014-03-05,9.5
BRA,2014-03-06,10.9
BRA,2014-03-07,13.2
BRA,2014-03-10,14.06
BRA,2014-03-11,14.8
BRA,2014-03-12,13.61
BRA,2014-03-13,12.86
BRA,2014-03-14,12.54
BRA,2014-03-17,13.11
BRA,2014-03-18,13.16
BRA,2014-03-19,13.2
BRA,2014-03-20,12.43
BRA,2014-03-21,13
BRA,2014-03-24,12.83
BRA,2014-03-25,13.4
BRA,2014-03-26,13.4
BRA,2014-03-27,13.5
BRA,2014-03-28,13.9
BRA,2014-03-31,16.7
BRA,2014-04-01,21
BRA,2014-04-02,20.6
BRA,2014-04-03,23.99
BRA,2014-04-04,24.5
BRA,2014-04-07,29.29
BRA,2014-04-08,28.98
BRA,2014-04-09,29.99
BRA,2014-04-10,26.5
BRA,2014-04-11,24.99
BRA,2014-04-14,21.3
BRA,2014-04-15,18.43
BRA,2014-04-16,16.99
BRA,2014-04-17,15.2
BRA,2014-04-22,15.12
BRA,2014-04-23,14.61
BRA,2014-04-24,15.5
BRA,2014-04-25,15.1
BRA,2014-04-28,14.48
BRA,2014-04-29,15.5
BRA,2014-04-30,18.38
BRA,2014-05-02,19.09
BRA,2014-05-05,17.9
BRA,2014-05-06,16.4
BRA,2014-05-07,15.59
BRA,2014-05-08,15.27
BRA,2014-05-09,15
BRA,2014-05-12,13.45
BRA,2014-05-13,13.9
BRA,2014-05-14,14.78
