<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1996-05-20,0.23886,0.23886,0.23886,0.23886
1996-05-21,0.2192,0.2192,0.2192,0.2192
1996-05-22,0.20937,0.20937,0.20937,0.20937
1996-05-23,0.19659,0.19659,0.19659,0.19659
1996-05-24,0.19364,0.19364,0.19364,0.19364
1996-05-27,0.19561,0.19561,0.19561,0.19561
1996-05-28,0.18971,0.18971,0.18971,0.18971
1996-05-29,0.18971,0.18971,0.18971,0.18971
1996-05-30,0.18676,0.18676,0.18676,0.18676
1996-05-31,0.19364,0.19364,0.19364,0.19364
1996-06-03,0.20642,0.20642,0.20642,0.20642
1996-06-04,0.2192,0.2192,0.2192,0.2192
1996-06-05,0.2133,0.2133,0.2133,0.2133
1996-06-07,0.2133,0.2133,0.2133,0.2133
1996-06-10,0.22412,0.22412,0.22412,0.22412
1996-06-11,0.22313,0.22313,0.22313,0.22313
1996-06-12,0.22608,0.22608,0.22608,0.22608
1996-06-13,0.21724,0.21724,0.21724,0.21724
1996-06-14,0.21134,0.21134,0.21134,0.21134
1996-06-17,0.2133,0.2133,0.2133,0.2133
1996-06-18,0.20937,0.20937,0.20937,0.20937
1996-06-19,0.20642,0.20642,0.20642,0.20642
1996-06-20,0.20446,0.20446,0.20446,0.20446
1996-06-21,0.20642,0.20642,0.20642,0.20642
1996-06-24,0.20839,0.20839,0.20839,0.20839
1996-06-25,0.20839,0.20839,0.20839,0.20839
1996-06-26,0.20937,0.20937,0.20937,0.20937
1996-06-27,0.2133,0.2133,0.2133,0.2133
1996-06-28,0.21429,0.21429,0.21429,0.21429
1996-07-01,0.21724,0.21724,0.21724,0.21724
1996-07-02,0.21625,0.21625,0.21625,0.21625
1996-07-03,0.21625,0.21625,0.21625,0.21625
1996-07-04,0.21429,0.21429,0.21429,0.21429
1996-07-05,0.2133,0.2133,0.2133,0.2133
1996-07-08,0.20937,0.20937,0.20937,0.20937
1996-07-09,0.20839,0.20839,0.20839,0.20839
1996-07-10,0.20642,0.20642,0.20642,0.20642
1996-07-11,0.20347,0.20347,0.20347,0.20347
1996-07-12,0.20347,0.20347,0.20347,0.20347
1996-07-15,0.20347,0.20347,0.20347,0.20347
1996-07-16,0.19954,0.19954,0.19954,0.19954
1996-07-17,0.19364,0.19364,0.19364,0.19364
1996-07-18,0.19364,0.19364,0.19364,0.19364
1996-07-19,0.18381,0.18381,0.18381,0.18381
1996-07-22,0.1789,0.1789,0.1789,0.1789
1996-07-23,0.17595,0.17595,0.17595,0.17595
1996-07-24,0.1789,0.1789,0.1789,0.1789
1996-07-25,0.18578,0.18578,0.18578,0.18578
1996-07-26,0.18381,0.18381,0.18381,0.18381
1996-07-29,0.18676,0.18676,0.18676,0.18676
1996-07-30,0.18381,0.18381,0.18381,0.18381
1996-07-31,0.1789,0.1789,0.1789,0.1789
1996-08-01,0.173,0.173,0.173,0.173
1996-08-02,0.16809,0.16809,0.16809,0.16809
1996-08-05,0.173,0.173,0.173,0.173
1996-08-06,0.17104,0.17104,0.17104,0.17104
1996-08-07,0.16907,0.16907,0.16907,0.16907
1996-08-08,0.17104,0.17104,0.17104,0.17104
1996-08-09,0.1789,0.1789,0.1789,0.1789
1996-08-12,0.18087,0.18087,0.18087,0.18087
1996-08-13,0.1789,0.1789,0.1789,0.1789
1996-08-14,0.18087,0.18087,0.18087,0.18087
1996-08-16,0.18578,0.18578,0.18578,0.18578
1996-08-19,0.19364,0.19364,0.19364,0.19364
1996-08-20,0.19364,0.19364,0.19364,0.19364
1996-08-21,0.19364,0.19364,0.19364,0.19364
1996-08-22,0.20642,0.20642,0.20642,0.20642
1996-08-23,0.20937,0.20937,0.20937,0.20937
1996-08-26,0.20446,0.20446,0.20446,0.20446
1996-08-27,0.20347,0.20347,0.20347,0.20347
1996-08-28,0.20642,0.20642,0.20642,0.20642
1996-08-29,0.20642,0.20642,0.20642,0.20642
1996-08-30,0.2133,0.2133,0.2133,0.2133
1996-09-02,0.21429,0.21429,0.21429,0.21429
1996-09-03,0.21625,0.21625,0.21625,0.21625
1996-09-04,0.21134,0.21134,0.21134,0.21134
1996-09-05,0.18971,0.18971,0.18971,0.18971
1996-09-06,0.19364,0.19364,0.19364,0.19364
1996-09-09,0.19561,0.19561,0.19561,0.19561
1996-09-10,0.19954,0.19954,0.19954,0.19954
1996-09-11,0.19659,0.19659,0.19659,0.19659
1996-09-12,0.19954,0.19954,0.19954,0.19954
1996-09-13,0.20642,0.20642,0.20642,0.20642
1996-09-16,0.20642,0.20642,0.20642,0.20642
1996-09-17,0.20446,0.20446,0.20446,0.20446
1996-09-18,0.20446,0.20446,0.20446,0.20446
1996-09-19,0.20151,0.20151,0.20151,0.20151
1996-09-20,0.19954,0.19954,0.19954,0.19954
1996-09-23,0.20347,0.20347,0.20347,0.20347
1996-09-24,0.19856,0.19856,0.19856,0.19856
1996-09-25,0.19364,0.19364,0.19364,0.19364
1996-09-26,0.19364,0.19364,0.19364,0.19364
1996-09-27,0.19954,0.19954,0.19954,0.19954
1996-09-30,0.20151,0.20151,0.20151,0.20151
1996-10-01,0.20446,0.20446,0.20446,0.20446
1996-10-02,0.19659,0.19659,0.19659,0.19659
1996-10-03,0.19659,0.19659,0.19659,0.19659
1996-10-04,0.19856,0.19856,0.19856,0.19856
1996-10-07,0.20642,0.20642,0.20642,0.20642
1996-10-08,0.21429,0.21429,0.21429,0.21429
1996-10-09,0.21724,0.21724,0.21724,0.21724
1996-10-10,0.21429,0.21429,0.21429,0.21429
1996-10-11,0.21134,0.21134,0.21134,0.21134
1996-10-14,0.20839,0.20839,0.20839,0.20839
1996-10-15,0.21134,0.21134,0.21134,0.21134
1996-10-16,0.20642,0.20642,0.20642,0.20642
1996-10-17,0.20642,0.20642,0.20642,0.20642
1996-10-18,0.19954,0.19954,0.19954,0.19954
1996-10-21,0.19954,0.19954,0.19954,0.19954
1996-10-22,0.19856,0.19856,0.19856,0.19856
1996-10-23,0.19856,0.19856,0.19856,0.19856
1996-10-24,0.19659,0.19659,0.19659,0.19659
1996-10-25,0.19659,0.19659,0.19659,0.19659
1996-10-28,0.19364,0.19364,0.19364,0.19364
1996-10-29,0.19266,0.19266,0.19266,0.19266
1996-10-30,0.19659,0.19659,0.19659,0.19659
1996-10-31,0.18873,0.18873,0.18873,0.18873
1996-11-04,0.18971,0.18971,0.18971,0.18971
1996-11-05,0.18971,0.18971,0.18971,0.18971
1996-11-06,0.19659,0.19659,0.19659,0.19659
1996-11-07,0.19856,0.19856,0.19856,0.19856
1996-11-08,0.19659,0.19659,0.19659,0.19659
1996-11-12,0.19659,0.19659,0.19659,0.19659
1996-11-13,0.19364,0.19364,0.19364,0.19364
1996-11-14,0.18971,0.18971,0.18971,0.18971
1996-11-15,0.19954,0.19954,0.19954,0.19954
1996-11-18,0.19954,0.19954,0.19954,0.19954
1996-11-19,0.19954,0.19954,0.19954,0.19954
1996-11-20,0.18971,0.18971,0.18971,0.18971
1996-11-21,0.19364,0.19364,0.19364,0.19364
1996-11-22,0.19364,0.19364,0.19364,0.19364
1996-11-25,0.19561,0.19561,0.19561,0.19561
1996-11-26,0.18971,0.18971,0.18971,0.18971
1996-11-27,0.18676,0.18676,0.18676,0.18676
1996-11-28,0.18381,0.18381,0.18381,0.18381
1996-11-29,0.18676,0.18676,0.18676,0.18676
1996-12-02,0.18873,0.18873,0.18873,0.18873
1996-12-03,0.18381,0.18381,0.18381,0.18381
1996-12-04,0.18087,0.18087,0.18087,0.18087
1996-12-05,0.18283,0.18283,0.18283,0.18283
1996-12-06,0.18087,0.18087,0.18087,0.18087
1996-12-09,0.16907,0.16907,0.16907,0.16907
1996-12-10,0.173,0.173,0.173,0.173
1996-12-11,0.173,0.173,0.173,0.173
1996-12-12,0.17693,0.17693,0.17693,0.17693
1996-12-13,0.17595,0.17595,0.17595,0.17595
1996-12-16,0.17398,0.17398,0.17398,0.17398
1996-12-17,0.17398,0.17398,0.17398,0.17398
1996-12-18,0.17693,0.17693,0.17693,0.17693
1996-12-19,0.17693,0.17693,0.17693,0.17693
1996-12-20,0.18381,0.18381,0.18381,0.18381
1996-12-23,0.19266,0.19266,0.19266,0.19266
1996-12-24,0.18578,0.18578,0.18578,0.18578
1996-12-30,0.18283,0.18283,0.18283,0.18283
1996-12-31,0.18676,0.18676,0.18676,0.18676
1997-01-02,0.18676,0.18676,0.18676,0.18676
1997-01-03,0.18971,0.18971,0.18971,0.18971
1997-01-06,0.18578,0.18578,0.18578,0.18578
1997-01-07,0.18873,0.18873,0.18873,0.18873
1997-01-08,0.19364,0.19364,0.19364,0.19364
1997-01-09,0.19659,0.19659,0.19659,0.19659
1997-01-10,0.19659,0.19659,0.19659,0.19659
1997-01-13,0.19364,0.19364,0.19364,0.19364
1997-01-14,0.19364,0.19364,0.19364,0.19364
1997-01-15,0.18971,0.18971,0.18971,0.18971
1997-01-16,0.19561,0.19561,0.19561,0.19561
1997-01-17,0.18676,0.18676,0.18676,0.18676
1997-01-20,0.18578,0.18578,0.18578,0.18578
1997-01-21,0.18381,0.18381,0.18381,0.18381
1997-01-22,0.18578,0.18578,0.18578,0.18578
1997-01-23,0.18971,0.18971,0.18971,0.18971
1997-01-24,0.19364,0.19364,0.19364,0.19364
1997-01-27,0.19266,0.19266,0.19266,0.19266
1997-01-28,0.18971,0.18971,0.18971,0.18971
1997-01-29,0.18381,0.18381,0.18381,0.18381
1997-01-30,0.18381,0.18381,0.18381,0.18381
1997-01-31,0.18087,0.18087,0.18087,0.18087
1997-02-03,0.18676,0.18676,0.18676,0.18676
1997-02-04,0.18873,0.18873,0.18873,0.18873
1997-02-05,0.18873,0.18873,0.18873,0.18873
1997-02-06,0.18873,0.18873,0.18873,0.18873
1997-02-07,0.19364,0.19364,0.19364,0.19364
1997-02-10,0.19856,0.19856,0.19856,0.19856
1997-02-11,0.20347,0.20347,0.20347,0.20347
1997-02-12,0.2133,0.2133,0.2133,0.2133
1997-02-13,0.21625,0.21625,0.21625,0.21625
1997-02-14,0.22313,0.22313,0.22313,0.22313
1997-02-17,0.22313,0.22313,0.22313,0.22313
1997-02-18,0.22412,0.22412,0.22412,0.22412
1997-02-19,0.22706,0.22706,0.22706,0.22706
1997-02-20,0.23198,0.23198,0.23198,0.23198
1997-02-21,0.24181,0.24181,0.24181,0.24181
1997-02-24,0.24181,0.24181,0.24181,0.24181
1997-02-25,0.24476,0.24476,0.24476,0.24476
1997-02-26,0.25164,0.25164,0.25164,0.25164
1997-02-27,0.23984,0.23984,0.23984,0.23984
1997-02-28,0.22706,0.22706,0.22706,0.22706
1997-03-03,0.22117,0.22117,0.22117,0.22117
1997-03-04,0.22117,0.22117,0.22117,0.22117
1997-03-05,0.22706,0.22706,0.22706,0.22706
1997-03-06,0.22313,0.22313,0.22313,0.22313
1997-03-07,0.231,0.231,0.231,0.231
1997-03-10,0.22903,0.22903,0.22903,0.22903
1997-03-11,0.23984,0.23984,0.23984,0.23984
1997-03-12,0.24181,0.24181,0.24181,0.24181
1997-03-13,0.22608,0.22608,0.22608,0.22608
1997-03-14,0.21625,0.21625,0.21625,0.21625
1997-03-17,0.21625,0.21625,0.21625,0.21625
1997-03-18,0.21625,0.21625,0.21625,0.21625
1997-03-19,0.2133,0.2133,0.2133,0.2133
1997-03-20,0.20937,0.20937,0.20937,0.20937
1997-03-21,0.21134,0.21134,0.21134,0.21134
1997-03-24,0.21625,0.21625,0.21625,0.21625
1997-03-25,0.2192,0.2192,0.2192,0.2192
1997-03-26,0.22412,0.22412,0.22412,0.22412
1997-03-27,0.22903,0.22903,0.22903,0.22903
1997-04-01,0.21134,0.21134,0.21134,0.21134
1997-04-02,0.20642,0.20642,0.20642,0.20642
1997-04-03,0.20839,0.20839,0.20839,0.20839
1997-04-04,0.20642,0.20642,0.20642,0.20642
1997-04-07,0.21429,0.21429,0.21429,0.21429
1997-04-08,0.21429,0.21429,0.21429,0.21429
1997-04-09,0.21724,0.21724,0.21724,0.21724
1997-04-10,0.21625,0.21625,0.21625,0.21625
1997-04-11,0.21429,0.21429,0.21429,0.21429
1997-04-14,0.20839,0.20839,0.20839,0.20839
1997-04-15,0.20937,0.20937,0.20937,0.20937
1997-04-16,0.21625,0.21625,0.21625,0.21625
1997-04-17,0.21724,0.21724,0.21724,0.21724
1997-04-18,0.21724,0.21724,0.21724,0.21724
1997-04-21,0.21724,0.21724,0.21724,0.21724
1997-04-22,0.22117,0.22117,0.22117,0.22117
1997-04-23,0.22608,0.22608,0.22608,0.22608
1997-04-24,0.22706,0.22706,0.22706,0.22706
1997-04-25,0.23198,0.23198,0.23198,0.23198
1997-04-28,0.22903,0.22903,0.22903,0.22903
1997-04-29,0.22903,0.22903,0.22903,0.22903
