<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2014-10-28,12.805,12.972,12.47,12.755
2014-10-29,12.762,12.881,12.721,12.871
2014-10-30,12.871,13.475,12.871,13.475
2014-10-31,13.592,14.06,13.592,14.052
2014-11-03,14.119,14.638,14.06,14.22
2014-11-04,14.462,14.462,13.743,13.743
2014-11-05,13.743,14.018,13.743,13.959
2014-11-06,13.935,13.935,13.726,13.935
2014-11-07,13.893,14.227,13.491,14.227
2014-11-10,14.186,14.588,13.86,14.479
2014-11-12,14.387,14.771,14.387,14.771
2014-11-13,14.881,15.475,14.881,15.399
2014-11-14,15.617,15.902,15.324,15.818
2014-11-17,15.985,16.738,15.985,16.32
2014-11-18,16.487,16.487,16.154,16.344
2014-11-19,15.909,16.01,15.566,15.902
2014-11-20,15.902,15.902,15.734,15.902
2014-11-21,15.742,15.902,15.742,15.902
2014-11-24,15.902,16.236,15.483,16.069
2014-11-25,15.893,15.893,15.483,15.734
2014-11-26,15.893,15.902,15.734,15.734
2014-11-27,16.32,16.32,16.069,16.228
2014-11-28,16.069,16.32,16.06,16.06
2014-12-01,15.902,15.902,15.902,15.902
2014-12-02,15.902,15.985,15.902,15.985
2014-12-03,15.483,15.902,15.399,15.885
2014-12-04,15.893,15.893,15.734,15.734
2014-12-05,15.734,15.818,14.52,14.939
2014-12-08,14.981,15.483,14.981,15.315
2014-12-09,15.358,15.566,15.065,15.566
2014-12-10,15.566,15.566,15.065,15.399
2014-12-11,15.399,15.399,14.645,15.114
2014-12-12,15.065,15.065,14.645,15.04
2014-12-15,15.223,15.223,15.223,15.223
2014-12-16,14.814,14.814,14.403,14.814
2014-12-17,14.805,14.805,13.75,14.645
2014-12-18,14.763,14.763,13.808,13.808
2014-12-19,13.825,15.39,13.825,15.39
2014-12-22,15.308,15.308,14.645,15.223
2014-12-23,15.181,15.181,14.645,15.048
2014-12-29,15.048,15.048,14.645,14.897
2014-12-30,14.889,14.889,14.889,14.889
2015-01-02,15.065,15.065,15.065,15.065
2015-01-05,15.056,15.308,14.645,14.971
2015-01-07,15.065,15.065,15.065,15.065
2015-01-08,15.048,15.274,14.981,15.065
2015-01-09,15.065,15.308,14.563,14.563
2015-01-12,14.563,14.897,14.52,14.897
2015-01-13,15.056,15.065,14.981,15.056
2015-01-14,14.931,14.931,14.645,14.645
2015-01-15,14.269,14.939,13.808,14.763
2015-01-16,14.763,14.889,14.763,14.889
2015-01-19,14.981,14.981,14.939,14.939
2015-01-20,14.881,14.897,14.881,14.897
2015-01-21,14.805,14.805,14.395,14.771
2015-01-22,14.73,14.73,14.227,14.227
2015-01-23,14.227,14.227,13.517,13.641
2015-01-26,13.935,13.935,13.223,13.626
2015-01-27,13.768,13.768,13.557,13.557
2015-01-28,13.684,13.808,13.517,13.792
2015-01-29,13.684,13.808,13.684,13.808
2015-01-30,13.85,14.06,13.641,13.893
2015-02-02,14.044,14.044,13.18,13.85
2015-02-03,13.867,13.867,13.39,13.733
2015-02-04,13.776,13.776,13.331,13.331
2015-02-05,13.39,13.641,13.256,13.256
2015-02-06,13.256,14.387,13.223,13.893
2015-02-09,14.73,14.73,13.567,14.06
2015-02-10,13.825,14.102,13.39,13.709
2015-02-11,13.4,13.55,13.265,13.265
2015-02-12,13.475,13.475,12.712,12.847
2015-02-13,12.972,13.223,12.972,13.223
2015-02-16,13.249,13.249,12.889,13.223
2015-02-17,13.223,13.223,12.822,12.822
2015-02-18,12.972,13.223,12.972,13.223
2015-02-19,13.249,14.086,13.249,13.808
2015-02-20,13.808,14.145,13.808,13.808
2015-02-23,13.407,13.776,13.4,13.768
