<DATE>,<CLOSE>
1994-08-02,8.2789
1994-08-03,9.0931
1994-08-04,9.995
1994-08-08,9.0931
1994-08-09,10.732
1994-08-10,10.123
1994-08-11,9.917
1994-08-16,10.536
1994-08-17,11.065
1994-08-18,9.956
1994-08-22,10.33
1994-08-23,9.505
1994-08-24,9.299
1994-08-25,8.3575
1994-08-29,9.0538
1994-08-30,9.0146
1994-08-31,8.4849
1994-09-01,8.2789
1994-09-05,7.8669
1994-09-06,7.0724
1994-09-07,6.3759
1994-09-08,6.9841
1994-09-12,7.661
1994-09-13,6.9056
1994-09-14,7.0233
1994-09-15,6.886
1994-09-19,6.8664
1994-09-20,6.1895
1994-09-21,5.6304
1994-09-22,5.856
1994-09-26,5.6991
1994-09-27,5.2872
1994-09-28,5.2872
1994-09-29,5.5912
1994-10-03,6.1503
1994-10-04,6.2092
1994-10-05,6.8272
1994-10-06,6.7193
1994-10-07,6.8468
1994-10-10,6.7193
1994-10-11,6.4152
1994-10-12,6.4152
1994-10-13,5.7776
1994-10-14,6.3269
1994-10-17,6.6212
1994-10-18,6.8272
1994-10-19,6.7193
1994-10-20,6.6016
1994-10-21,6.2681
1994-10-24,5.7972
1994-10-25,5.8756
1994-10-26,5.9051
1994-10-27,5.5912
1994-10-28,5.4735
1994-11-02,6.0228
1994-11-03,5.9639
1994-11-04,5.9443
1994-11-07,5.9051
1994-11-08,5.9051
1994-11-09,5.9247
1994-11-10,5.9247
1994-11-14,5.9051
1994-11-15,5.4735
1994-11-16,5.4735
1994-11-17,5.3656
1994-11-18,5.6795
1994-11-21,5.1008
1994-11-22,4.6103
1994-11-23,4.6691
1994-11-24,4.6495
1994-11-25,4.6691
1994-11-28,5.1008
1994-11-29,5.6108
1994-11-30,6.0817
1994-12-01,6.0424
1994-12-02,5.4245
1994-12-05,5.6991
1994-12-06,5.5716
1994-12-07,5.6991
1994-12-08,5.1204
1994-12-09,4.6691
1994-12-12,5.0615
1994-12-13,4.8751
1994-12-14,4.7771
1994-12-15,4.8751
1994-12-16,5.346
1994-12-19,5.2676
1994-12-20,5.2086
1994-12-21,5.1204
1994-12-22,5.2676
1994-12-23,5.2676
1994-12-27,5.2282
1994-12-28,5.0615
1994-12-29,5.1008
1995-01-02,5.6108
1995-01-03,5.3264
1995-01-04,5.4735
1995-01-05,5.5912
1995-01-06,5.3068
1995-01-09,5.4245
1995-01-10,5.4245
1995-01-11,5.4539
1995-01-12,5.5128
1995-01-13,5.5912
1995-01-16,5.5324
1995-01-17,5.4735
1995-01-18,5.3852
1995-01-19,5.4735
1995-01-20,5.4539
1995-01-23,5.2676
1995-01-24,4.983
1995-01-25,4.9537
1995-01-26,4.9537
1995-01-27,5.0026
1995-01-30,4.9537
1995-01-31,4.9537
1995-02-01,5.0615
1995-02-02,5.0615
