<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2009-12-22,4.18,4.38,4.1,4.24
2009-12-23,4.1,4.1,3.8,3.8
2009-12-28,3.6,3.6,3.26,3.32
2009-12-29,3.4,3.54,3.4,3.48
2009-12-30,3.54,3.86,3.5,3.86
2009-12-31,3.8,4,3.74,4
2010-01-04,4.06,4.1,3.68,3.98
2010-01-05,3.96,3.96,3.66,3.66
2010-01-06,3.92,3.92,3.88,3.9
2010-01-07,3.88,3.88,3.56,3.6
2010-01-08,3.8,3.84,3.74,3.82
2010-01-11,3.8,3.82,3.8,3.82
2010-01-12,3.9,3.9,3.64,3.64
2010-01-13,3.8,3.8,3.72,3.72
2010-01-14,3.64,3.7,3.64,3.7
2010-01-15,3.66,3.8,3.66,3.8
2010-01-18,3.94,3.94,3.7,3.7
2010-01-19,3.66,3.66,3.66,3.66
2010-01-21,3.6,3.6,3.5,3.5
2010-01-22,3.66,3.68,3.66,3.66
2010-01-25,3.46,3.6,3.44,3.6
2010-01-26,3.6,3.7,3.5,3.7
2010-01-27,3.58,3.78,3.58,3.7
2010-01-28,3.48,3.5,3.48,3.5
2010-01-29,3.52,3.52,3.52,3.52
2010-02-01,3.52,3.78,3.52,3.78
2010-02-02,3.78,3.78,3.52,3.52
2010-02-04,3.52,3.58,3.52,3.52
2010-02-05,3.46,3.46,3.36,3.4
2010-02-08,3.7,3.7,3.36,3.36
2010-02-09,3.44,3.44,3.42,3.42
2010-02-10,3.68,3.68,3.38,3.4
2010-02-11,3.38,3.42,3.38,3.42
2010-02-12,3.38,3.38,3.36,3.36
2010-02-15,3.36,3.4,3.16,3.2
2010-02-16,3.2,3.4,3.2,3.4
2010-02-17,3.38,3.4,3.2,3.2
2010-02-18,3.2,3.38,3.2,3.24
2010-02-19,3.38,3.5,3.36,3.5
2010-02-22,3.6,3.66,3.42,3.42
2010-02-23,3.6,4.14,3.6,4.1
2010-02-24,4.1,4.1,3.68,3.68
2010-02-25,3.68,3.96,3.68,3.86
2010-03-01,3.62,3.86,3.62,3.86
2010-03-02,3.8,3.98,3.8,3.96
2010-03-03,3.82,3.96,3.8,3.94
2010-03-04,3.96,4.14,3.96,4.14
2010-03-05,4.04,4.24,4.02,4.1
2010-03-08,4.2,4.2,4.1,4.1
2010-03-09,4.1,4.2,4.1,4.1
2010-03-10,4.2,4.2,4.1,4.1
2010-03-11,4.1,4.1,4.1,4.1
2010-03-12,3.84,4.12,3.84,4.1
2010-03-15,3.9,4.08,3.84,4
2010-03-16,3.98,4.06,3.98,4.06
2010-03-17,3.98,4,3.9,3.92
2010-03-18,4,4,4,4
2010-03-19,3.86,3.86,3.82,3.86
2010-03-23,3.96,3.96,3.72,3.72
2010-03-24,3.6,3.68,3.42,3.48
2010-03-25,3.8,3.8,3.42,3.56
2010-03-26,3.9,4,3.6,3.6
2010-03-29,3.92,3.92,3.6,3.6
2010-03-30,3.9,3.92,3.7,3.88
2010-03-31,3.88,3.88,3.74,3.82
2010-04-01,3.74,3.74,3.7,3.7
2010-04-06,3.76,3.9,3.76,3.82
2010-04-07,3.6,3.6,3.6,3.6
2010-04-08,3.9,3.9,3.62,3.62
2010-04-09,3.78,3.78,3.66,3.66
2010-04-12,3.88,3.88,3.88,3.88
2010-04-13,3.9,3.9,3.86,3.88
2010-04-14,3.92,3.92,3.7,3.9
2010-04-15,3.9,3.96,3.9,3.96
2010-04-16,3.8,3.8,3.8,3.8
2010-04-19,3.7,3.94,3.7,3.92
2010-04-20,3.7,3.9,3.7,3.7
2010-04-21,3.9,3.9,3.72,3.72
2010-04-22,3.7,3.8,3.7,3.7
2010-04-23,3.7,3.7,3.4,3.62
2010-04-26,3.64,3.7,3.6,3.7
2010-04-27,3.8,3.8,3.48,3.6
2010-04-28,3.5,3.5,3.5,3.5
2010-04-29,3.6,3.6,3.56,3.56
2010-05-04,3.56,3.56,3.24,3.32
2010-05-05,3.78,3.78,3.36,3.78
