<TICKER>,<DATE>,<CLOSE>
CIE,2005-02-10,17.85
CIE,2005-02-11,17.975
CIE,2005-02-14,18.101
CIE,2005-02-15,18.168
CIE,2005-02-16,18.36
CIE,2005-02-17,18.293
CIE,2005-02-18,18.293
CIE,2005-02-21,18.293
CIE,2005-02-22,18.486
CIE,2005-02-23,18.93
CIE,2005-02-24,19.751
CIE,2005-02-25,19.885
CIE,2005-02-28,19.692
CIE,2005-03-01,19.692
CIE,2005-03-02,19.692
CIE,2005-03-03,19.692
CIE,2005-03-04,19.374
CIE,2005-03-07,19.182
CIE,2005-03-08,19.182
CIE,2005-03-09,18.989
CIE,2005-03-10,18.737
CIE,2005-03-11,18.546
CIE,2005-03-14,18.486
CIE,2005-03-15,18.611
CIE,2005-03-16,18.611
CIE,2005-03-17,18.419
CIE,2005-03-18,18.419
CIE,2005-03-21,18.419
CIE,2005-03-22,18.293
CIE,2005-03-23,18.168
CIE,2005-03-24,18.168
CIE,2005-03-29,17.975
CIE,2005-03-30,18.36
CIE,2005-03-31,18.293
CIE,2005-04-01,18.293
CIE,2005-04-04,18.101
CIE,2005-04-05,18.36
CIE,2005-04-06,18.486
CIE,2005-04-07,18.419
CIE,2005-04-11,18.293
CIE,2005-04-12,18.101
CIE,2005-04-13,18.226
CIE,2005-04-14,18.419
CIE,2005-04-15,18.419
CIE,2005-04-18,18.36
CIE,2005-04-19,17.908
CIE,2005-04-20,17.723
CIE,2005-04-21,17.147
CIE,2005-04-22,16.836
CIE,2005-04-25,16.074
CIE,2005-04-26,15.815
CIE,2005-04-27,15.178
CIE,2005-04-28,15.244
CIE,2005-04-29,15.881
CIE,2005-05-02,16.325
CIE,2005-05-04,16.199
CIE,2005-05-05,16.074
CIE,2005-05-06,15.881
CIE,2005-05-09,16.007
CIE,2005-05-10,15.881
CIE,2005-05-11,15.881
CIE,2005-05-12,15.881
CIE,2005-05-13,15.881
CIE,2005-05-16,15.815
CIE,2005-05-17,15.941
CIE,2005-05-18,15.881
CIE,2005-05-19,16.007
CIE,2005-05-20,15.941
CIE,2005-05-23,15.881
CIE,2005-05-24,15.881
CIE,2005-05-25,16.199
CIE,2005-05-27,16.199
CIE,2005-05-30,15.941
CIE,2005-05-31,16.517
CIE,2005-06-01,16.836
CIE,2005-06-02,16.769
CIE,2005-06-03,16.769
CIE,2005-06-06,16.517
CIE,2005-06-07,16.703
CIE,2005-06-08,16.451
CIE,2005-06-09,16.517
CIE,2005-06-10,16.517
CIE,2005-06-13,16.517
CIE,2005-06-14,16.576
CIE,2005-06-15,17.147
CIE,2005-06-16,17.088
CIE,2005-06-17,17.213
CIE,2005-06-20,17.147
CIE,2005-06-21,17.34
CIE,2005-06-22,17.147
CIE,2005-06-23,17.28
CIE,2005-06-24,17.28
CIE,2005-06-27,17.147
CIE,2005-06-28,17.021
CIE,2005-06-29,16.895
CIE,2005-06-30,17.28
CIE,2005-07-01,17.28
CIE,2005-07-04,17.406
CIE,2005-07-05,17.28
CIE,2005-07-06,17.28
CIE,2005-07-07,17.213
CIE,2005-07-08,17.28
CIE,2005-07-11,17.088
CIE,2005-07-12,17.213
CIE,2005-07-13,17.34
CIE,2005-07-14,17.34
CIE,2005-07-15,17.28
CIE,2005-07-18,17.021
