<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2007-11-30,0.93,1.705,0.93,1.13
2007-12-03,1.23,1.23,1,1.015
2007-12-04,0.98,1.01,0.921,0.93
2007-12-05,0.95,1,0.93,0.964
2007-12-06,0.98,0.98,0.939,0.941
2007-12-07,0.95,0.96,0.934,0.955
2007-12-10,0.97,0.97,0.927,0.954
2007-12-11,0.93,0.93,0.871,0.901
2007-12-12,0.882,0.9,0.88,0.888
2007-12-13,0.89,0.89,0.836,0.889
2007-12-14,0.903,0.903,0.839,0.902
2007-12-17,0.827,0.888,0.815,0.825
2007-12-18,0.84,0.895,0.84,0.895
2007-12-19,0.91,0.925,0.89,0.918
2007-12-20,0.9,0.905,0.855,0.905
2007-12-21,0.92,0.92,0.878,0.905
2007-12-27,0.899,0.9,0.899,0.899
2007-12-28,0.85,0.94,0.85,0.9
2008-01-02,0.939,0.939,0.935,0.935
2008-01-03,0.91,0.915,0.903,0.903
2008-01-04,0.905,0.929,0.905,0.906
2008-01-07,0.909,0.909,0.901,0.901
2008-01-08,0.92,0.92,0.884,0.915
2008-01-09,0.905,0.905,0.871,0.871
2008-01-10,0.89,0.895,0.871,0.872
2008-01-11,0.851,0.851,0.851,0.851
2008-01-14,0.868,0.9,0.825,0.875
2008-01-15,0.883,0.883,0.87,0.87
2008-01-16,0.88,0.88,0.825,0.825
2008-01-17,0.85,0.85,0.85,0.85
2008-01-18,0.86,0.86,0.832,0.832
2008-01-21,0.825,0.825,0.79,0.79
2008-01-22,0.814,0.814,0.814,0.814
2008-01-23,0.814,0.865,0.783,0.865
2008-01-24,0.865,0.888,0.86,0.888
2008-01-25,0.905,0.905,0.905,0.905
2008-01-28,0.895,0.895,0.895,0.895
2008-01-29,0.929,0.929,0.92,0.92
2008-01-30,0.95,0.95,0.93,0.949
2008-01-31,0.95,0.95,0.914,0.914
2008-02-01,0.948,0.948,0.907,0.93
2008-02-04,0.948,0.95,0.862,0.949
2008-02-05,0.948,0.948,0.93,0.93
2008-02-06,0.93,0.93,0.93,0.93
2008-02-07,0.948,0.957,0.948,0.957
2008-02-08,0.952,0.99,0.95,0.989
2008-02-11,0.955,0.988,0.955,0.988
2008-02-12,0.98,0.98,0.959,0.971
2008-02-13,0.97,0.97,0.93,0.93
2008-02-14,0.955,0.955,0.955,0.955
2008-02-15,0.95,0.95,0.95,0.95
2008-02-18,0.95,0.954,0.95,0.95
2008-02-19,0.95,0.95,0.95,0.95
2008-02-20,0.935,0.935,0.909,0.935
2008-02-21,0.935,0.935,0.935,0.935
2008-02-22,0.935,0.935,0.933,0.933
2008-02-25,0.875,0.935,0.875,0.935
2008-02-26,0.935,0.935,0.935,0.935
2008-02-27,0.935,0.935,0.935,0.935
2008-02-28,0.935,0.935,0.935,0.935
2008-02-29,0.935,0.935,0.89,0.93
2008-03-03,0.92,0.92,0.875,0.9
2008-03-04,0.9,0.9,0.875,0.875
2008-03-05,0.88,0.922,0.88,0.922
2008-03-06,0.922,0.922,0.899,0.899
2008-03-07,0.87,0.895,0.822,0.895
2008-03-10,0.894,0.894,0.894,0.894
2008-03-11,0.893,0.92,0.851,0.92
2008-03-12,0.922,0.922,0.9,0.92
2008-03-13,0.9,0.92,0.9,0.92
2008-03-14,0.92,0.92,0.92,0.92
2008-03-17,0.92,0.92,0.9,0.918
2008-03-18,0.919,0.919,0.919,0.919
2008-03-19,0.919,0.919,0.919,0.919
2008-03-20,0.919,0.919,0.919,0.919
2008-03-25,0.92,0.921,0.92,0.921
