<DATE>,<CLOSE>
2016-10-17,19.073
2016-10-18,18.642
2016-10-19,18.583
2016-10-20,18.749
2016-10-21,19.132
2016-10-24,19.427
2016-10-25,19.201
2016-10-26,18.986
2016-10-27,18.986
2016-10-28,18.739
2016-10-31,18.739
2016-11-02,18.013
2016-11-03,17.366
2016-11-04,17.906
2016-11-07,18.465
2016-11-08,17.985
2016-11-09,18.328
2016-11-10,18.543
2016-11-14,18.445
2016-11-15,18.396
2016-11-16,18.347
2016-11-17,18.445
2016-11-18,18.828
2016-11-21,19.427
2016-11-22,19.995
2016-11-23,20.073
2016-11-24,20.408
2016-11-25,21.506
2016-11-28,21.977
2016-11-29,20.615
2016-11-30,21.094
2016-12-01,21.86
2016-12-02,21.87
2016-12-05,22.31
2016-12-06,23.067
2016-12-07,24.185
2016-12-08,24.136
2016-12-09,24.126
2016-12-12,23.499
2016-12-13,23.842
2016-12-14,23.744
2016-12-15,24.088
2016-12-16,24.224
2016-12-19,23.948
2016-12-20,23.948
2016-12-21,24.283
2016-12-22,24.116
2016-12-23,24.421
2016-12-27,24.48
2016-12-28,24.293
2016-12-29,24.332
2016-12-30,24.048
2017-01-02,24.008
2017-01-03,25.098
2017-01-04,24.939
2017-01-05,25.382
2017-01-09,25.412
2017-01-10,25.215
2017-01-11,25.392
2017-01-12,25.176
2017-01-13,24.959
2017-01-16,24.724
2017-01-17,24.716
2017-01-18,25.304
2017-01-19,26.54
2017-01-20,27.579
2017-01-23,28.442
2017-01-24,31.347
2017-01-25,30.955
2017-01-26,30.415
2017-01-27,30.808
2017-01-30,32.76
2017-01-31,33.064
2017-02-01,32.671
2017-02-02,32.25
2017-02-03,30.268
2017-02-06,29.925
2017-02-07,29.807
2017-02-08,30.856
2017-02-09,30.17
2017-02-10,29.836
2017-02-13,29.63
2017-02-14,29.915
2017-02-15,30.758
2017-02-16,31.671
2017-02-17,30.985
2017-02-20,30.661
2017-02-21,29.915
2017-02-22,29.895
2017-02-23,31.092
2017-02-24,30.415
2017-02-27,31.102
2017-02-28,31.024
2017-03-01,32.476
2017-03-02,33.162
2017-03-03,33.113
2017-03-06,33.652
2017-03-07,33.348
2017-03-08,33.348
2017-03-09,33.113
2017-03-10,33.252
2017-03-13,34.094
2017-03-14,34.242
2017-03-15,33.751
2017-03-16,33.898
2017-03-17,34.143
2017-03-20,35.577
2017-03-21,35.911
2017-03-22,35.605
2017-03-23,37.283
2017-03-24,37.381
2017-03-27,36.968
2017-03-28,38.657
2017-03-29,38.587
2017-03-30,37.586
2017-03-31,37.969
2017-04-03,38.264
2017-04-04,38.254
2017-04-05,38.461
2017-04-06,38.069
2017-04-07,37.538
2017-04-10,37.567
2017-04-11,36.155
2017-04-12,35.124
2017-04-13,33.408
2017-04-18,33.839
2017-04-19,34.633
2017-04-20,36.057
2017-04-21,34.782
2017-04-24,33.261
2017-04-25,31.495
2017-04-26,31.504
2017-04-27,32.367
2017-04-28,32.367
2017-05-02,32.27
2017-05-04,31.062
2017-05-05,31.593
2017-05-08,31.299
2017-05-09,30.661
2017-05-10,30.278
2017-05-11,30.228
2017-05-12,29.297
2017-05-15,31.709
2017-05-16,31.877
2017-05-17,30.778
2017-05-18,30.778
2017-05-19,33.475
2017-05-22,33.064
2017-05-23,32.544
2017-05-24,31.887
2017-05-25,32.28
2017-05-26,33.328
2017-05-29,33.358
2017-05-30,32.967
2017-05-31,33.528
2017-06-01,33.488
2017-06-02,34.711
2017-06-05,35.255
2017-06-06,36.782
2017-06-07,36.487
2017-06-08,36.388
2017-06-09,36.437
2017-06-12,35.007
2017-06-13,35.481
2017-06-14,36.191
2017-06-16,35.501
2017-06-19,35.747
2017-06-20,35.796
2017-06-21,35.688
2017-06-22,35.993
2017-06-23,36.634
2017-06-26,36.979
2017-06-27,37.177
2017-06-28,36.428
2017-06-29,36.585
2017-06-30,37.177
2017-07-03,36.398
2017-07-04,35.599
2017-07-05,34.514
2017-07-06,36.211
2017-07-07,36.103
2017-07-10,36.684
2017-07-11,35.658
2017-07-12,35.993
2017-07-13,36.487
2017-07-14,36.832
2017-07-17,36.882
2017-07-18,36.782
2017-07-19,36.782
2017-07-20,37.335
2017-07-21,36.585
2017-07-24,36.378
2017-07-25,34.948
2017-07-26,35.618
2017-07-27,36.191
2017-07-28,35.993
2017-07-31,35.993
2017-08-01,35.993
2017-08-02,34.494
2017-08-03,34.021
2017-08-04,35.245
2017-08-07,35.195
2017-08-08,34.86
2017-08-09,34.021
2017-08-10,35.106
2017-08-11,34.366
2017-08-14,34.189
2017-08-16,34.416
2017-08-17,34.604
2017-08-18,34.564
2017-08-21,35.806
2017-08-22,37.473
2017-08-23,37.374
2017-08-24,37.364
2017-08-25,37.62
2017-08-28,37.374
2017-08-29,37.167
2017-08-30,37.197
2017-08-31,37.137
2017-09-01,36.487
2017-09-04,35.826
2017-09-05,35.312
2017-09-06,36.043
2017-09-07,35.56
2017-09-08,36.487
2017-09-11,36.782
2017-09-12,35.983
2017-09-13,35.55
2017-09-14,35.708
2017-09-15,35.057
2017-09-18,34.987
2017-09-19,35.491
2017-09-20,35.896
2017-09-21,35.332
2017-09-22,35.51
2017-09-25,36.487
2017-09-26,36.378
2017-09-27,36.181
2017-09-28,34.761
2017-09-29,36.191
2017-10-02,34.396
2017-10-03,34.336
2017-10-04,33.685
2017-10-05,33.33
2017-10-06,33.035
2017-10-09,31.408
2017-10-10,31.851
2017-10-11,32.048
2017-10-12,33.36
2017-10-13,32.247
2017-10-16,32.424
2017-10-17,32.404
2017-10-18,31.941
2017-10-19,30.915
2017-10-20,30.807
2017-10-23,32.048
2017-10-24,32.542
2017-10-25,34.416
2017-10-26,33.035
2017-10-27,33.528
2017-10-30,32.344
2017-10-31,33.41
2017-11-02,33.233
2017-11-03,33.134
2017-11-06,32.335
2017-11-07,32.029
2017-11-08,31.3
2017-11-09,31.062
2017-11-10,30.471
2017-11-13,30.076
2017-11-14,29.584
2017-11-15,29.683
2017-11-16,28.4
2017-11-17,29.051
2017-11-20,30.57
2017-11-21,30.076
2017-11-22,29.485
2017-11-23,29.387
2017-11-24,29.574
2017-11-27,29.19
2017-11-28,30.56
2017-11-29,31.062
2017-11-30,29.584
2017-12-01,30.076
2017-12-04,28.597
2017-12-05,29.584
2017-12-06,28.252
2017-12-07,29.09
2017-12-08,29.859
2017-12-11,30.096
2017-12-12,30.224
2017-12-13,30.865
2017-12-14,31.626
2017-12-15,32.542
2017-12-18,31.546
2017-12-19,33.084
2017-12-20,33.874
2017-12-21,32.689
2017-12-22,34.219
2017-12-27,32.542
2017-12-28,34.514
2017-12-29,35.302
2018-01-03,34.416
2018-01-04,33.725
2018-01-05,33.725
2018-01-08,33.134
2018-01-09,33.528
2018-01-10,33.528
2018-01-11,33.183
2018-01-12,34.416
2018-01-15,35.352
2018-01-16,34.909
2018-01-17,34.12
2018-01-18,33.43
2018-01-19,34.219
2018-01-22,33.33
2018-01-23,33.33
2018-01-24,33.628
2018-01-25,33.775
2018-01-26,33.084
2018-01-29,33.528
2018-01-30,32.642
2018-01-31,32.344
2018-02-01,32.148
2018-02-02,31.359
2018-02-05,32.048
2018-02-06,31.31
2018-02-07,32.642
2018-02-08,31.556
2018-02-09,30.57
2018-02-12,30.421
2018-02-13,31.062
2018-02-14,31.506
2018-02-15,31.556
2018-02-16,31.951
2018-02-19,32.148
2018-02-20,32.838
2018-02-21,33.084
2018-02-22,32.642
2018-02-23,32.642
2018-02-26,31.703
2018-02-27,31.753
2018-02-28,30.865
2018-03-01,30.126
2018-03-02,29.979
