<DATE>,<CLOSE>
2005-01-14,42.317
2005-01-17,39.168
2005-01-18,39.365
2005-01-19,38.873
2005-01-20,38.873
2005-01-21,38.774
2005-01-24,38.578
2005-01-25,39.562
2005-01-26,38.873
2005-01-27,39.266
2005-01-28,38.381
2005-01-31,37.889
2005-02-01,39.365
2005-02-02,41.53
2005-02-03,40.841
2005-02-04,39.857
2005-02-07,39.955
2005-02-08,39.955
2005-02-09,39.365
2005-02-10,41.628
2005-02-11,42.022
2005-02-14,43.203
2005-02-15,42.711
2005-02-16,42.514
2005-02-17,42.514
2005-02-18,42.317
2005-02-21,42.711
2005-02-22,42.317
2005-02-23,42.908
2005-02-24,42.317
2005-02-25,41.333
2005-02-28,40.546
2005-03-01,40.546
2005-03-02,41.628
2005-03-03,40.939
2005-03-04,42.219
2005-03-07,41.825
2005-03-08,41.825
2005-03-09,41.825
2005-03-10,42.612
2005-03-11,42.317
2005-03-14,42.317
2005-03-15,42.317
2005-03-16,42.317
2005-03-17,42.219
2005-03-18,42.416
2005-03-21,42.612
2005-03-22,43.301
2005-03-24,43.301
2005-03-29,44.286
2005-03-30,43.99
2005-03-31,43.301
2005-04-01,43.597
2005-04-04,42.317
2005-04-05,42.612
2005-04-06,43.006
2005-04-07,43.006
2005-04-11,42.12
2005-04-12,41.136
2005-04-13,41.825
2005-04-14,42.317
2005-04-15,42.317
2005-04-18,41.924
2005-04-19,42.317
2005-04-21,42.12
2005-04-26,42.317
2005-04-27,42.317
2005-04-28,41.825
2005-04-29,42.514
2005-05-02,43.203
2005-05-04,42.612
2005-05-05,42.12
2005-05-06,42.12
2005-05-09,41.727
2005-05-10,41.333
2005-05-11,41.333
2005-05-12,43.203
2005-05-13,43.301
2005-05-16,44.187
2005-05-17,44.778
2005-05-18,45.27
2005-05-19,47.139
2005-05-20,47.828
2005-05-23,51.666
2005-05-24,52.651
2005-05-25,54.127
2005-05-27,54.127
2005-05-30,54.127
2005-05-31,53.635
2005-06-01,51.47
2005-06-02,49.206
2005-06-03,50.485
2005-06-06,54.127
2005-06-07,55.012
2005-06-08,55.012
2005-06-09,53.143
2005-06-10,54.914
2005-06-13,56.39
2005-06-14,56.981
2005-06-15,57.079
2005-06-16,57.079
2005-06-17,57.079
2005-06-20,57.079
