<TICKER>,<DATE>,<CLOSE>
CNT,1998-11-06,1.5905
CNT,1998-11-09,1.6677
CNT,1998-11-10,1.822
CNT,1998-11-12,1.9996
CNT,1998-11-13,2.1772
CNT,1998-11-16,1.9687
CNT,1998-11-17,1.8066
CNT,1998-11-18,1.907
CNT,1998-11-19,1.714
CNT,1998-11-20,1.6831
CNT,1998-11-23,1.6831
CNT,1998-11-24,1.5131
CNT,1998-11-25,1.4129
CNT,1998-11-26,1.544
CNT,1998-11-27,1.6367
CNT,1998-11-30,1.5905
CNT,1998-12-01,1.4283
CNT,1998-12-02,1.4437
CNT,1998-12-03,1.4361
CNT,1998-12-04,1.4514
CNT,1998-12-07,1.4283
CNT,1998-12-08,1.4283
CNT,1998-12-09,1.3819
CNT,1998-12-10,1.4283
CNT,1998-12-11,1.3819
CNT,1998-12-14,1.3665
CNT,1998-12-15,1.4283
CNT,1998-12-16,1.5749
CNT,1998-12-17,1.6677
CNT,1998-12-18,1.6058
CNT,1998-12-21,1.6677
CNT,1998-12-22,1.822
CNT,1998-12-23,1.8915
CNT,1998-12-28,2.0614
CNT,1998-12-29,2.0305
CNT,1998-12-30,2.015
CNT,1998-12-31,1.984
CNT,1999-01-04,1.9533
CNT,1999-01-05,1.8915
CNT,1999-01-06,1.714
CNT,1999-01-07,1.8606
CNT,1999-01-08,1.7603
CNT,1999-01-11,1.907
CNT,1999-01-12,1.822
CNT,1999-01-13,1.7448
CNT,1999-01-14,1.6367
CNT,1999-01-15,1.714
CNT,1999-01-18,1.7448
CNT,1999-01-19,1.7448
CNT,1999-01-20,1.822
CNT,1999-01-21,1.7757
CNT,1999-01-22,1.7294
CNT,1999-01-25,1.6213
CNT,1999-01-26,1.5055
CNT,1999-01-27,1.6522
CNT,1999-01-28,1.6985
CNT,1999-01-29,1.822
CNT,1999-02-01,1.8066
CNT,1999-02-02,1.7757
CNT,1999-02-03,1.6985
CNT,1999-02-04,1.7757
CNT,1999-02-05,1.7448
CNT,1999-02-08,1.822
CNT,1999-02-09,1.7757
CNT,1999-02-10,1.7448
CNT,1999-02-11,1.791
CNT,1999-02-12,1.6213
CNT,1999-02-15,1.6831
CNT,1999-02-16,1.7294
CNT,1999-02-17,1.7294
CNT,1999-02-18,1.714
CNT,1999-02-19,1.6985
CNT,1999-02-22,1.714
CNT,1999-02-23,1.6522
CNT,1999-02-24,1.6522
CNT,1999-02-25,1.6831
CNT,1999-02-26,1.6831
CNT,1999-03-01,1.6831
CNT,1999-03-02,1.7448
CNT,1999-03-03,1.7757
CNT,1999-03-04,1.822
CNT,1999-03-05,1.8376
CNT,1999-03-08,1.907
CNT,1999-03-09,1.9533
CNT,1999-03-10,1.907
CNT,1999-03-11,1.984
CNT,1999-03-12,2.1076
CNT,1999-03-15,2.3162
CNT,1999-03-16,2.2544
CNT,1999-03-17,2.0305
CNT,1999-03-18,1.8376
CNT,1999-03-19,1.8606
CNT,1999-03-22,1.8606
CNT,1999-03-23,1.8915
CNT,1999-03-24,1.714
CNT,1999-03-25,1.7603
CNT,1999-03-26,1.8376
CNT,1999-03-29,1.876
CNT,1999-03-30,1.876
CNT,1999-03-31,1.8915
CNT,1999-04-01,1.7448
CNT,1999-04-06,1.822
CNT,1999-04-07,1.876
CNT,1999-04-08,1.822
CNT,1999-04-09,1.8376
CNT,1999-04-12,1.7757
CNT,1999-04-13,1.822
CNT,1999-04-14,1.7448
CNT,1999-04-15,1.791
CNT,1999-04-16,1.8066
CNT,1999-04-19,1.791
CNT,1999-04-20,1.791
CNT,1999-04-21,1.7603
CNT,1999-04-22,1.7603
CNT,1999-04-23,1.8066
CNT,1999-04-26,1.822
CNT,1999-04-27,1.8606
CNT,1999-04-28,1.822
CNT,1999-04-29,1.822
CNT,1999-04-30,1.7757
CNT,1999-05-04,1.7757
CNT,1999-05-05,1.791
CNT,1999-05-06,1.822
