<TICKER>,<DATE>,<CLOSE>
CPA,2002-09-23,0.11
CPA,2002-11-08,0.17
CPA,2002-11-27,0.11
CPA,2002-12-05,0.18
CPA,2002-12-18,0.17
CPA,2003-01-16,0.17
CPA,2003-01-17,0.17
CPA,2003-02-06,0.18
CPA,2003-02-24,0.18
CPA,2003-02-25,0.12
CPA,2003-02-26,0.12
CPA,2003-02-27,0.12
CPA,2003-03-04,0.16
CPA,2003-03-07,0.13
CPA,2003-03-10,0.13
CPA,2003-04-10,0.16
CPA,2003-04-11,0.11
CPA,2003-04-14,0.06
CPA,2003-04-15,0.2
CPA,2003-04-17,0.2
CPA,2003-04-25,0.1
CPA,2003-05-12,0.08
CPA,2003-05-13,0.24
CPA,2003-05-15,0.12
CPA,2003-05-20,0.08
CPA,2003-05-21,0.08
CPA,2003-05-23,0.1
CPA,2003-05-27,0.1
CPA,2003-05-30,0.11
CPA,2003-06-11,0.14
CPA,2003-06-13,0.17
CPA,2003-09-04,0.1
CPA,2003-09-08,0.1
CPA,2003-09-09,0.1
CPA,2003-10-17,0.06
CPA,2003-10-24,0.06
CPA,2003-10-28,0.06
CPA,2003-11-14,0.11
CPA,2004-02-09,0.03
CPA,2004-02-20,0.07
CPA,2004-03-01,0.07
CPA,2004-03-15,0.08
CPA,2004-03-31,0.09
CPA,2004-04-02,0.16
CPA,2004-04-05,0.16
CPA,2004-04-06,0.1
CPA,2004-04-07,0.16
CPA,2004-04-08,0.18
CPA,2004-04-14,0.12
CPA,2004-04-16,0.18
CPA,2004-04-22,0.15
CPA,2004-04-23,0.13
CPA,2004-05-25,0.18
CPA,2004-06-02,0.24
CPA,2004-06-04,0.24
CPA,2004-06-16,0.48
CPA,2004-06-21,0.26
CPA,2004-06-23,0.45
CPA,2004-06-24,0.34
CPA,2004-07-01,0.28
CPA,2004-07-02,0.28
CPA,2004-07-13,0.28
CPA,2004-08-06,0.5
CPA,2004-08-20,2.47
CPA,2004-08-23,1.71
CPA,2004-08-24,1.27
CPA,2004-08-25,1.36
CPA,2004-08-26,1.12
CPA,2004-08-27,0.83
CPA,2004-08-30,0.86
CPA,2004-08-31,0.86
CPA,2004-09-01,0.85
CPA,2004-09-02,0.85
CPA,2004-09-03,0.84
CPA,2004-09-06,0.83
CPA,2004-09-07,0.91
CPA,2004-09-08,0.89
CPA,2004-09-09,0.92
CPA,2004-09-10,0.95
CPA,2004-09-13,0.94
CPA,2004-09-14,0.93
CPA,2004-09-15,0.94
CPA,2004-09-16,0.92
CPA,2004-09-17,0.92
CPA,2004-09-20,0.89
CPA,2004-09-21,0.91
CPA,2004-09-22,0.88
CPA,2004-09-23,0.88
CPA,2004-09-24,0.9
CPA,2004-09-27,0.88
CPA,2004-09-28,0.85
CPA,2004-09-29,0.88
CPA,2004-09-30,0.85
CPA,2004-10-01,0.84
CPA,2004-10-04,0.83
CPA,2004-10-05,0.82
CPA,2004-10-06,0.78
CPA,2004-10-07,0.71
CPA,2004-10-08,0.64
