<DATE>,<CLOSE>
2010-12-23,49.727
2010-12-27,60.231
2010-12-28,54.711
2010-12-29,39.79
2010-12-30,32.826
2010-12-31,30.24
2011-01-03,25.754
2011-01-04,25.067
2011-01-05,23.854
2011-01-07,24.371
2011-01-10,22.322
2011-01-11,21.884
2011-01-12,21.775
2011-01-13,21.367
2011-01-14,20.153
2011-01-17,19.785
2011-01-18,19.099
2011-01-19,19.397
2011-01-20,19.348
2011-01-21,19.189
2011-01-24,19.586
2011-01-25,19.198
2011-01-26,18.85
2011-01-27,18.502
2011-01-28,17.338
2011-01-31,17.86
2011-02-01,18.85
2011-02-02,18.83
2011-02-03,18.492
2011-02-04,18.602
2011-02-07,19.179
2011-02-08,18.9
2011-02-09,18.751
2011-02-10,18.701
2011-02-11,18.502
2011-02-14,19.696
2011-02-15,24.759
2011-02-16,22.76
2011-02-17,22.531
2011-02-18,21.984
2011-02-21,23.078
2011-02-22,22.74
2011-02-23,20.89
2011-02-24,20.691
2011-02-25,21.675
2011-02-28,22.461
2011-03-01,22.402
2011-03-02,22.262
2011-03-03,21.884
2011-03-04,21.785
2011-03-07,21.188
2011-03-08,21.088
2011-03-09,21.437
2011-03-10,21.536
2011-03-11,21.118
2011-03-14,21.118
2011-03-15,21.297
2011-03-16,21.506
2011-03-17,20.89
2011-03-18,20.541
2011-03-21,20.541
2011-03-22,20.89
2011-03-23,20.641
2011-03-24,20.442
2011-03-25,20.88
2011-03-28,20.392
2011-03-30,20.004
2011-03-31,19.94
2011-04-01,19.954
2011-04-04,19.895
2011-04-05,21.387
2011-04-06,20.392
2011-04-07,20.701
2011-04-08,20.969
2011-04-11,20.313
2011-04-12,21.069
2011-04-13,21.238
2011-04-14,19.895
2011-04-15,20.193
2011-04-18,19.895
2011-04-19,19.656
2011-04-20,19.656
2011-04-21,19.109
2011-04-26,19.109
2011-04-27,18.86
2011-04-28,18.403
2011-04-29,18.5
2011-05-02,18.9
2011-05-05,18.403
2011-05-06,18.651
2011-05-09,18.303
2011-05-12,18.602
2011-05-13,18.005
2011-05-17,16.911
2011-05-18,16.911
2011-05-19,20.89
2011-05-20,21.248
2011-05-23,19.397
2011-05-24,20.392
2011-05-25,19.905
2011-05-26,20.143
2011-05-27,20.392
2011-05-30,19.696
2011-05-31,20.094
2011-06-01,19.308
2011-06-07,19.845
2011-06-09,19.845
2011-06-10,19.895
