<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2013-12-13,4.8781,4.8781,4.1868,4.2789
2013-12-16,4.4172,4.4172,4.1637,4.1868
2013-12-17,4.1944,4.2252,3.8872,3.964
2013-12-18,3.9256,4.0715,3.9256,4.0485
2013-12-19,4.0485,4.0485,3.8103,3.8257
2013-12-20,3.7028,4.0715,3.5952,4.0715
2013-12-23,4.1868,4.2482,4.1023,4.2252
2013-12-27,4.2175,4.4095,4.2175,4.4095
2013-12-30,4.3481,4.5325,4.3097,4.4095
2014-01-02,4.4095,4.5325,4.4095,4.4556
2014-01-03,4.4249,4.4556,4.3404,4.4556
2014-01-07,4.1868,4.4787,4.1483,4.1483
2014-01-08,4.1868,4.2252,4.0715,4.0715
2014-01-09,4.0101,4.0101,3.9409,4.0101
2014-01-10,4.1253,4.1253,3.9409,3.9947
2014-01-13,3.9486,4.0715,3.9486,4.0715
2014-01-14,3.9947,3.9947,3.9947,3.9947
2014-01-15,3.9793,4.0715,3.964,4.0715
2014-01-16,4.0331,4.2943,4.0101,4.2943
2014-01-17,4.2252,4.2789,4.2252,4.2789
2014-01-20,4.0408,4.133,4.0408,4.0485
2014-01-21,4.1407,4.3097,4.1407,4.302
2014-01-22,4.3942,4.5094,4.3942,4.4172
2014-01-23,4.4326,4.4864,4.3097,4.3097
2014-01-24,4.3788,4.3788,4.302,4.302
2014-01-27,4.302,4.3865,4.2328,4.3865
2014-01-28,4.3865,4.4326,4.3404,4.3788
2014-01-29,4.3174,4.5478,4.3174,4.4172
2014-01-30,4.4172,4.4172,4.2405,4.302
2014-01-31,4.2175,4.3788,4.2175,4.302
2014-02-03,4.302,4.4479,4.302,4.3481
2014-02-04,4.3481,4.3481,4.3097,4.3481
2014-02-05,4.3558,4.4019,4.302,4.4019
2014-02-06,4.4172,4.4479,4.3558,4.4019
2014-02-07,4.4172,4.7552,4.3942,4.663
2014-02-10,4.663,4.8167,4.5709,4.6093
2014-02-11,4.6093,4.6323,4.5325,4.6093
2014-02-12,4.6093,4.8781,4.5325,4.8397
2014-02-13,4.8628,4.8628,4.6938,4.7629
2014-02-14,4.7629,4.8628,4.7168,4.7629
2014-02-17,4.9012,4.9012,4.494,4.5632
2014-02-18,4.617,4.6784,4.5555,4.64
2014-02-19,4.64,4.64,4.4556,4.4864
2014-02-20,4.4787,4.5478,4.3865,4.3865
2014-02-21,4.4556,4.6554,4.4556,4.617
2014-02-24,4.6093,4.6093,4.5094,4.5325
2014-02-25,4.5325,4.64,4.5325,4.6093
2014-02-26,4.5709,4.5709,4.3174,4.5248
2014-02-27,4.4556,4.5478,4.3404,4.4633
2014-02-28,4.4556,4.5325,4.4403,4.5248
2014-03-03,4.302,4.3097,4.1099,4.1483
2014-03-04,4.1714,4.302,4.0715,4.1407
2014-03-05,4.2636,4.2636,4.0946,4.1483
2014-03-06,4.1483,4.2098,4.1099,4.1099
2014-03-07,4.3711,4.3711,3.9486,4.0638
2014-03-10,3.9793,4.0562,3.7642,3.8718
2014-03-11,3.9102,4.0638,3.9102,4.0331
2014-03-12,3.9409,4.1176,3.8411,3.9563
2014-03-13,3.9947,4.1099,3.7642,3.9102
2014-03-14,3.8411,3.9793,3.6413,3.795
2014-03-17,3.8718,3.9717,3.8334,3.9102
2014-03-18,3.9793,4.0254,3.8026,3.9025
2014-03-19,3.7566,3.987,3.6951,3.7105
2014-03-20,3.7258,3.8411,3.7258,3.7642
2014-03-21,3.7642,3.8718,3.7642,3.8411
2014-03-24,3.8795,3.9179,3.7412,3.9179
