<TICKER>,<DATE>,<CLOSE>
CPL,2011-12-05,11.1
CPL,2011-12-06,13.9
CPL,2011-12-07,13.7
CPL,2011-12-08,13.7
CPL,2011-12-09,13.64
CPL,2011-12-12,13.5
CPL,2011-12-13,13
CPL,2011-12-14,12.4
CPL,2011-12-15,12.51
CPL,2011-12-16,12.51
CPL,2011-12-19,12.75
CPL,2011-12-20,12.7
CPL,2011-12-21,12.51
CPL,2011-12-22,15
CPL,2011-12-23,15.7
CPL,2011-12-27,15.7
CPL,2011-12-28,15.3
CPL,2011-12-29,15.6
CPL,2011-12-30,15.6
CPL,2012-01-02,15.7
CPL,2012-01-03,16
CPL,2012-01-10,15
CPL,2012-01-11,14.8
CPL,2012-01-24,17.6
CPL,2012-01-25,18.4
CPL,2012-01-26,18.4
CPL,2012-01-27,19.1
CPL,2012-01-30,19.1
CPL,2012-01-31,17.4
CPL,2012-02-02,16.8
CPL,2012-02-03,20.2
CPL,2012-02-06,20.17
CPL,2012-02-07,19.42
CPL,2012-02-08,19.99
CPL,2012-02-09,19.5
CPL,2012-02-10,19.8
CPL,2012-02-13,19.8
CPL,2012-02-14,20.09
CPL,2012-02-15,20.19
CPL,2012-02-16,22.9
CPL,2012-02-17,27.4
CPL,2012-02-20,30.2
CPL,2012-02-21,29
CPL,2012-02-22,29
CPL,2012-02-27,27.91
CPL,2012-02-28,26.7
CPL,2012-02-29,26.7
CPL,2012-03-01,26.7
CPL,2012-03-02,26.7
CPL,2012-03-09,26.88
CPL,2012-03-12,28.5
CPL,2012-03-19,29
CPL,2012-03-20,29
CPL,2012-03-28,28.7
CPL,2012-03-29,28.1
CPL,2012-03-30,26.95
CPL,2012-04-02,27.03
CPL,2012-04-12,26.8
CPL,2012-04-13,27
CPL,2012-04-16,27.14
CPL,2012-04-17,28.4
CPL,2012-04-19,27.8
CPL,2012-04-20,28
CPL,2012-04-24,28.87
CPL,2012-04-25,29.19
CPL,2012-04-26,29.7
CPL,2012-05-04,29.7
CPL,2012-05-07,29
CPL,2012-05-09,30
CPL,2012-05-11,30
CPL,2012-05-14,29
CPL,2012-05-15,27.8
CPL,2012-05-22,28.87
CPL,2012-05-23,29
CPL,2012-05-25,29
CPL,2012-05-30,28.7
CPL,2012-06-11,27.91
CPL,2012-06-21,26.6
CPL,2012-06-22,26.19
CPL,2012-07-09,26.5
CPL,2012-07-10,30
CPL,2012-07-11,27.8
CPL,2012-07-31,27
CPL,2012-08-03,27
CPL,2012-08-06,25.5
CPL,2012-08-14,25.67
