<TICKER>,<DATE>,<CLOSE>
CRM,2008-08-20,2.2404
CRM,2008-08-21,2.0999
CRM,2008-08-22,1.9314
CRM,2008-08-25,1.9314
CRM,2008-08-26,1.9735
CRM,2008-08-27,1.826
CRM,2008-08-28,1.9314
CRM,2008-08-29,1.9524
CRM,2008-09-01,1.6505
CRM,2008-09-02,1.8892
CRM,2008-09-04,1.7277
CRM,2008-09-05,1.6645
CRM,2008-09-08,1.6153
CRM,2008-09-09,1.6785
CRM,2008-09-10,1.6785
CRM,2008-09-11,1.6785
CRM,2008-09-12,1.5451
CRM,2008-09-15,1.6294
CRM,2008-09-17,1.7136
CRM,2008-09-19,1.7136
CRM,2008-09-22,1.6996
CRM,2008-09-24,1.6434
CRM,2008-10-01,1.6153
CRM,2008-10-06,1.4889
CRM,2008-10-07,1.6083
CRM,2008-10-08,1.6013
CRM,2008-10-09,1.6856
CRM,2008-10-10,1.7136
CRM,2008-10-14,1.7066
CRM,2008-10-15,1.6856
CRM,2008-10-16,1.6153
CRM,2008-10-17,1.503
CRM,2008-10-20,1.6153
CRM,2008-10-21,1.6505
CRM,2008-10-24,1.3625
CRM,2008-10-27,1.51
CRM,2008-10-28,1.4608
CRM,2008-10-29,1.5802
CRM,2008-10-31,1.538
CRM,2008-11-03,1.6083
CRM,2008-11-05,1.4046
CRM,2008-11-06,1.7558
CRM,2008-11-07,1.1939
CRM,2008-11-10,1.4397
CRM,2008-11-12,1.2361
CRM,2008-11-13,1.2642
CRM,2008-11-14,1.1799
CRM,2008-11-17,1.229
CRM,2008-11-21,1.201
CRM,2008-11-24,1.208
CRM,2008-11-26,1.1939
CRM,2008-11-28,1.201
CRM,2008-12-01,1.229
CRM,2008-12-02,1.229
CRM,2008-12-03,1.229
CRM,2008-12-08,1.1658
CRM,2008-12-10,1.1588
CRM,2008-12-12,1.1448
CRM,2008-12-15,1.1658
CRM,2008-12-16,1.1237
CRM,2008-12-17,1.1167
CRM,2008-12-18,1.0535
CRM,2008-12-19,1.1869
CRM,2008-12-22,1.1237
CRM,2008-12-23,0.8428
CRM,2008-12-29,0.8428
CRM,2008-12-30,0.8498
CRM,2008-12-31,0.8638
CRM,2009-01-05,0.899
CRM,2009-01-06,0.8779
CRM,2009-01-07,0.8217
CRM,2009-01-08,0.7726
CRM,2009-01-09,0.7375
CRM,2009-01-12,0.6672
CRM,2009-01-13,0.6602
CRM,2009-01-14,0.6461
CRM,2009-01-15,0.6321
CRM,2009-01-16,0.597
CRM,2009-01-19,0.5407
CRM,2009-01-20,0.5267
CRM,2009-01-21,0.6883
CRM,2009-01-22,0.6321
CRM,2009-01-23,0.5407
CRM,2009-01-26,0.5899
CRM,2009-01-27,0.5618
CRM,2009-01-28,0.5689
CRM,2009-01-30,0.5689
CRM,2009-02-03,0.5478
CRM,2009-02-04,0.6532
CRM,2009-02-05,0.7093
CRM,2009-02-06,0.6953
CRM,2009-02-09,0.7164
CRM,2009-02-10,0.8076
CRM,2009-02-11,0.7796
CRM,2009-02-12,0.7585
CRM,2009-02-13,0.7375
CRM,2009-02-16,0.8428
CRM,2009-02-17,0.8076
CRM,2009-02-18,0.7726
CRM,2009-02-19,0.7726
CRM,2009-02-20,0.7726
CRM,2009-02-23,0.7866
CRM,2009-02-24,0.8006
CRM,2009-02-25,0.8147
CRM,2009-02-26,0.8217
CRM,2009-02-27,0.8779
CRM,2009-03-02,0.8568
CRM,2009-03-03,0.8568
CRM,2009-03-04,0.8147
CRM,2009-03-05,0.7375
CRM,2009-03-06,0.7304
CRM,2009-03-09,0.7023
CRM,2009-03-10,0.7796
CRM,2009-03-11,0.7726
CRM,2009-03-12,0.7726
CRM,2009-03-13,0.7796
CRM,2009-03-16,0.7936
CRM,2009-03-17,0.7866
CRM,2009-03-18,0.7585
CRM,2009-03-23,0.8709
CRM,2009-03-24,0.7936
CRM,2009-03-25,0.9481
CRM,2009-03-26,0.913
CRM,2009-03-27,0.8919
CRM,2009-03-30,0.8849
CRM,2009-03-31,0.8428
CRM,2009-04-01,0.9059
CRM,2009-04-02,0.9692
CRM,2009-04-03,0.9762
CRM,2009-04-06,1.0745
CRM,2009-04-07,1.0675
CRM,2009-04-08,1.1096
CRM,2009-04-09,1.2642
CRM,2009-04-14,1.2501
CRM,2009-04-15,1.2642
CRM,2009-04-16,1.1869
CRM,2009-04-17,1.1728
CRM,2009-04-20,1.1518
CRM,2009-04-21,1.1518
CRM,2009-04-22,1.1518
CRM,2009-04-23,1.1448
CRM,2009-04-24,1.1237
CRM,2009-04-27,1.1096
CRM,2009-04-28,1.4257
CRM,2009-04-29,1.6574
CRM,2009-04-30,1.6083
CRM,2009-05-04,1.503
CRM,2009-05-05,1.524
CRM,2009-05-06,1.5591
CRM,2009-05-07,1.5521
CRM,2009-05-08,1.517
CRM,2009-05-11,1.517
CRM,2009-05-12,1.9665
CRM,2009-05-13,1.9524
CRM,2009-05-14,1.9946
CRM,2009-05-15,2.0297
