<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2012-07-20,3,3.6,2.9,3.6
2012-07-23,4.32,5.16,4.03,5.16
2012-07-24,5.99,7.18,4.8,7.18
2012-07-25,7.22,8.66,5.78,6.2
2012-07-26,6.89,7.7,6.19,6.19
2012-07-27,6.99,6.99,5.6,6.95
2012-07-30,7,7,5.16,5.16
2012-07-31,4.25,6,4.25,6
2012-08-01,6.1,7.15,6,7.14
2012-08-02,7.14,8,7,8
2012-08-03,8.88,8.88,7,7
2012-08-06,7.5,7.5,6,6
2012-08-07,5.05,5.5,4.8,4.8
2012-08-08,4.8,5.45,4.57,5.45
2012-08-09,5.5,5.5,4.8,4.8
2012-08-10,4.8,5.7,4.8,5.7
2012-08-14,5.5,5.5,5,5
2012-08-16,5.5,5.5,5.5,5.5
2012-08-17,5.3,5.5,5.3,5.5
2012-08-20,4.5,6.6,4.5,6.6
2012-08-22,7,7,7,7
2012-08-23,7.4,7.4,7.4,7.4
2012-08-24,7.95,8,7.95,8
2012-08-27,8.88,8.9,8.88,8.9
2012-08-28,9.3,9.5,9,9
2012-08-29,8.5,8.5,6.5,6.5
2012-08-30,6.5,6.5,5.9,5.9
2012-08-31,6.5,6.5,5.61,5.61
2012-09-04,5,5,5,5
2012-09-05,6,6,6,6
2012-09-06,6,6,6,6
2012-09-07,5.05,6,5.05,6
2012-09-10,6.06,6.06,6.05,6.05
2012-09-11,6.11,7,6.11,7
2012-09-12,7.5,8,7.3,7.3
2012-09-13,8,8.6,8,8.6
2012-09-18,8,8,6.9,6.9
2012-09-19,6.6,6.6,6,6
2012-09-24,6,6,5,5.9
2012-09-26,6,6,6,6
2012-09-27,6,6,5,5.11
2012-09-28,5.6,5.6,5.5,5.5
2012-10-01,5.5,5.5,5.5,5.5
2012-10-03,6,6,6,6
2012-10-04,5.35,5.35,5.35,5.35
2012-10-05,5.3,5.3,5.1,5.1
2012-10-08,5.15,5.4,5.15,5.4
2012-10-09,5.16,5.16,4.8,4.8
2012-10-10,4.2,4.2,4.2,4.2
2012-10-11,4.21,4.21,4.21,4.21
2012-10-15,4.9,4.9,4.9,4.9
2012-10-17,4.9,4.99,4.9,4.99
2012-10-19,5,5,5,5
2012-10-22,5,5.2,5,5.2
2012-10-24,5.01,5.01,5,5
2012-11-02,5.49,5.49,5.49,5.49
2012-11-06,4.6,4.6,4.41,4.41
2012-11-07,3.8,3.99,3.53,3.6
2012-11-09,3.8,4.3,3.01,4.3
2012-11-12,5,5,5,5
2012-11-14,5.8,5.8,5.8,5.8
2012-11-19,5.45,5.45,4.8,4.8
2012-11-20,4.01,4.01,4,4
2012-11-21,4.01,4.01,4,4
2012-11-22,4.01,4.3,4.01,4.3
2012-11-26,4.2,5,4.2,5
2012-11-27,5.41,5.65,4.9,5.4
2012-11-28,5.88,7,5.88,7
2012-11-29,7,7,5.6,5.6
2012-11-30,5.56,6.49,5.1,5.1
2012-12-03,6.12,6.12,6.12,6.12
2012-12-04,5.5,5.52,5.5,5.51
2012-12-06,5.41,5.5,5.41,5.5
2012-12-10,5.5,5.5,5.5,5.5
2012-12-11,5.5,5.9,5.5,5.9
2012-12-13,6.6,7.08,6.6,7.08
2012-12-14,6.8,8.15,6.8,8.15
2012-12-17,8.5,8.5,8.5,8.5
2012-12-18,9,9,9,9
2012-12-20,9.99,9.99,9,9
2012-12-21,8,8,7.2,7.2
2012-12-27,7.5,7.85,7.5,7.85
2012-12-28,8,9.4,8,9.4
2013-01-02,9,9,8.99,9
2013-01-03,8.6,8.99,8.6,8.99
2013-01-10,8.99,9.9,8.99,9
2013-01-11,9,9,8,8.2
2013-01-14,8.01,9.15,8.01,9.15
2013-01-15,8.21,8.21,8.21,8.21
2013-01-16,9.2,9.2,9.1,9.1
2013-01-17,9.69,10.92,9.69,10.92
2013-01-18,11.5,11.5,9.9,9.9
2013-01-21,10,10,10,10
2013-01-22,10.85,10.85,10.85,10.85
2013-01-28,9.9,9.9,9.9,9.9
2013-01-31,9.01,9.01,9.01,9.01
2013-02-06,9.01,9.01,9.01,9.01
2013-02-07,10,10,10,10
2013-02-08,10,10,9.21,9.21
2013-02-11,10,10.05,9.31,9.31
2013-02-12,10,10,10,10
2013-02-14,10.01,10.01,9.31,9.31
2013-02-15,10,10,10,10
2013-02-19,10.55,11.15,10.55,11.15
2013-02-20,11.4,11.4,10.55,10.55
2013-02-21,10.5,10.5,10.5,10.5
2013-02-22,10.9,10.9,9.22,9.22
2013-02-25,9.6,9.6,9.6,9.6
2013-02-26,9.55,9.6,9.55,9.6
2013-02-27,10,10,10,10
2013-02-28,10,10,9.5,9.5
2013-03-01,10,10,10,10
2013-03-06,10.3,10.3,10.3,10.3
2013-03-07,10,10,10,10
2013-03-13,10,10,10,10
2013-03-19,10,10,10,10
2013-03-25,10.3,10.3,9.33,9.33
2013-03-26,9.31,9.31,9.31,9.31
2013-03-27,9.99,9.99,9.2,9.2
2013-03-28,9,9.2,9,9.2
2013-04-02,9,9.5,8.5,9.3
2013-04-03,9.3,9.4,9,9
2013-04-04,8.9,9.3,8.9,8.9
2013-04-05,8.9,8.95,8.9,8.95
2013-04-08,9.3,9.3,9.3,9.3
2013-04-09,9.01,9.3,8.85,8.85
2013-04-10,8.8,9.22,8.6,8.6
2013-04-11,8.6,9.1,8.6,9.1
2013-04-12,8.6,8.8,8.6,8.6
2013-04-15,8.6,8.6,8.5,8.5
2013-04-17,8.5,8.5,8.5,8.5
2013-04-18,9.2,10.3,9.2,10.3
2013-04-19,9.2,9.2,9.2,9.2
2013-04-22,8.6,9.15,8.6,9.15
2013-04-23,8.6,9.15,8.5,9.15
2013-04-25,8.5,8.75,7.8,7.8
2013-04-26,8.2,9.15,8.2,9.15
2013-04-29,9.15,9.19,8.4,9.17
2013-04-30,9.18,9.18,9.18,9.18
2013-05-02,8.5,8.5,8.5,8.5
2013-05-06,8.35,8.35,8.3,8.3
2013-05-08,8.3,8.5,8.2,8.5
2013-05-09,8.2,8.8,8.2,8.8
2013-05-10,8.88,8.88,8.82,8.82
2013-05-13,8.4,8.5,8.3,8.5
2013-05-14,8.55,8.69,8.5,8.55
2013-05-15,8.69,8.69,8.35,8.35
2013-05-16,8.43,8.43,7.5,7.5
2013-05-17,8.39,8.39,8.38,8.39
2013-05-20,8.34,8.34,8,8
2013-05-21,8.01,8.01,7,7
2013-05-22,7.12,7.12,5.9,6.16
2013-05-23,6.2,6.9,6,6.73
2013-05-24,6.16,6.16,6,6
2013-05-27,6.2,6.7,5.8,5.8
2013-05-28,6,6,6,6
2013-05-29,6.59,6.7,6,6.7
2013-05-31,6.7,6.7,6.7,6.7
2013-06-03,6.01,6.01,6,6
2013-06-04,6,6.2,5.8,6.2
2013-06-05,5.2,6,5.2,6
2013-06-06,5.75,6.19,5.7,5.7
2013-06-07,5.16,5.99,5,5.99
2013-06-10,5.88,5.88,5,5
2013-06-11,5.2,6.1,4.9,6.1
2013-06-12,5.8,6.15,5.8,6.15
2013-06-13,6.15,7,6,7
2013-06-14,7,7,6,6.4
2013-06-17,5.25,5.9,5,5
2013-06-18,4.86,5.09,4.5,5.09
2013-06-19,5.09,5.18,5.09,5.17
2013-06-20,4.6,5.18,4.56,5.18
2013-06-24,4.35,5.12,4.35,5
2013-06-25,5.02,5.02,5.02,5.02
2013-06-26,5.02,5.02,4.9,5.02
2013-06-27,5.04,5.04,5.04,5.04
2013-06-28,5,5.12,5,5.12
2013-07-02,5,5,5,5
2013-07-03,5.19,5.19,4.9,5.19
2013-07-05,4.9,5.19,4.9,5.19
2013-07-08,5.19,5.68,5.19,5.68
2013-07-09,5.89,5.89,5.89,5.89
2013-07-16,5.88,5.88,5.88,5.88
2013-07-17,5.89,6.45,5.89,6.45
2013-07-18,5.7,5.7,5.6,5.7
2013-07-19,5.6,5.9,5.5,5.85
2013-07-22,5.6,5.6,4.9,5.4
2013-07-23,5.01,5.05,4.5,4.5
2013-07-24,5.09,5.09,4.9,4.9
2013-07-25,5.09,5.09,5.09,5.09
2013-07-26,5.09,5.09,5.09,5.09
2013-07-29,4.3,4.3,4.3,4.3
2013-07-30,5.04,5.04,5.04,5.04
2013-07-31,4.2,4.94,4.2,4.94
2013-08-02,4.45,4.45,4,4.44
2013-08-05,4.45,4.45,4.4,4.44
2013-08-06,4.02,4.44,4.02,4.44
2013-08-07,4.44,5,4.44,5
2013-08-08,4.5,5.9,4.5,5.9
2013-08-09,5.87,5.88,5.85,5.88
2013-08-12,5.5,5.5,5.5,5.5
2013-08-13,5.49,5.49,5.49,5.49
2013-08-14,5.5,5.5,5.5,5.5
2013-08-16,5,5,4.02,4.2
2013-08-19,4.6,5.07,3.75,4.4
2013-08-20,5,5,4.95,5
2013-08-21,4.95,4.95,4.5,4.9
2013-08-22,4.93,5.49,4.81,4.81
2013-08-23,4.67,4.98,4.55,4.98
2013-08-26,4.93,4.94,4.55,4.55
2013-08-27,4.52,4.76,4.41,4.76
2013-08-28,4.88,4.88,4.88,4.88
2013-08-29,4.88,5.55,4.88,5.55
2013-08-30,4.99,5.4,4.8,4.8
2013-09-02,5.6,5.6,5.6,5.6
2013-09-03,5.69,5.79,5.09,5.48
2013-09-04,5.62,5.62,5.62,5.62
2013-09-05,5.6,5.6,5.6,5.6
2013-09-06,5.6,5.6,5.6,5.6
2013-09-09,5.2,5.2,4.7,4.75
2013-09-10,5.07,5.41,4.7,5.41
2013-09-11,5.6,5.6,5.6,5.6
2013-09-16,5,5.43,5,5.43
2013-09-18,5.1,5.39,4.95,5.39
2013-09-19,5.55,5.55,5.05,5.05
2013-09-20,5.56,5.56,5.56,5.56
2013-09-23,5.55,6.3,5.55,6.3
2013-09-24,6.9,7.29,6.5,6.5
2013-09-25,6.9,6.9,6,6.3
2013-09-26,6.3,6.95,6.3,6.95
2013-09-27,6.3,6.35,6,6.35
2013-09-30,6.35,6.4,6,6.4
2013-10-01,6.4,6.9,6.4,6.9
2013-10-02,6.5,6.9,5.71,6.9
2013-10-03,6.9,6.9,6.9,6.9
2013-10-04,6.9,6.9,6.9,6.9
2013-10-07,6.9,6.9,6.9,6.9
2013-10-09,6.5,6.6,6,6.6
2013-10-10,6.69,6.8,6.69,6.8
2013-10-11,6.5,6.8,6,6.8
2013-10-14,6.8,6.8,6.5,6.8
2013-10-15,6.45,6.65,6.25,6.65
2013-10-17,6.74,6.74,6.74,6.74
2013-10-18,6.74,6.74,6.74,6.74
2013-10-21,6.11,6.5,5.7,6.49
2013-10-23,6.5,6.74,6.5,6.74
2013-10-24,6,6.55,6,6.55
2013-10-25,6.06,6.4,5.51,6.39
2013-10-28,6.2,6.25,6,6.25
2013-10-29,6.05,6.25,6.05,6.25
2013-10-31,6.25,6.28,6.25,6.28
2013-11-04,6.2,6.2,6,6
2013-11-05,5.72,6,5.7,5.97
2013-11-07,6.04,6.58,6,6.58
2013-11-08,6.58,6.58,6.3,6.3
2013-11-12,6.31,7.57,6.31,7.57
2013-11-13,7.98,7.98,7.43,7.43
2013-11-14,7.46,8.5,7.46,8.5
2013-11-15,10,10,8.7,9
2013-11-18,8.7,9,8.5,9
2013-11-19,8.51,8.7,8.5,8.7
2013-11-20,8.25,8.5,8.2,8.2
2013-11-21,8,8.1,8,8.1
2013-11-22,8.49,8.66,8.49,8.66
2013-11-26,8.14,8.39,7.5,8.35
2013-11-28,7.5,7.7,7.5,7.7
2013-12-02,7.7,7.7,7.22,7.7
2013-12-03,7.6,8.4,7.6,8
2013-12-04,8.5,9.25,8.35,8.35
2013-12-05,8.9,8.9,8.9,8.9
2013-12-06,9.1,9.5,9.1,9.5
2013-12-09,9.1,10.8,9.1,10.7
