<TICKER>,<DATE>,<CLOSE>
DBC,1994-11-24,6.3396
DBC,1994-11-25,6.3396
DBC,1994-11-28,6.9662
DBC,1994-11-29,7.6379
DBC,1994-11-30,8.3599
DBC,1994-12-01,9.1741
DBC,1994-12-02,9.3208
DBC,1994-12-05,8.6488
DBC,1994-12-06,8.885
DBC,1994-12-07,8.5018
DBC,1994-12-08,7.6887
DBC,1994-12-09,7.9256
DBC,1994-12-12,8.6948
DBC,1994-12-13,8.4052
DBC,1994-12-14,7.9772
DBC,1994-12-15,8.0734
DBC,1994-12-16,8.5982
DBC,1994-12-19,8.5982
DBC,1994-12-20,8.2649
DBC,1994-12-21,8.3599
DBC,1994-12-22,8.4052
DBC,1994-12-23,8.5523
DBC,1994-12-27,8.5523
DBC,1994-12-28,8.2136
DBC,1994-12-29,8.4052
DBC,1995-01-02,8.885
DBC,1995-01-03,9.1284
DBC,1995-01-04,8.885
DBC,1995-01-05,8.885
DBC,1995-01-06,8.4574
DBC,1995-01-09,8.6488
DBC,1995-01-10,8.6488
DBC,1995-01-11,8.5982
DBC,1995-01-12,8.3599
DBC,1995-01-13,8.6488
DBC,1995-01-16,8.8418
DBC,1995-01-17,8.6488
DBC,1995-01-18,8.5982
DBC,1995-01-19,8.5982
DBC,1995-01-20,8.5018
DBC,1995-01-23,8.2136
DBC,1995-01-24,8.1691
DBC,1995-01-25,8.1691
DBC,1995-01-26,7.8815
DBC,1995-01-27,7.4915
DBC,1995-01-30,7.4915
DBC,1995-01-31,7.1577
DBC,1995-02-01,7.6887
DBC,1995-02-02,7.4915
DBC,1995-02-03,7.2035
DBC,1995-02-06,7.7341
DBC,1995-02-07,8.1691
DBC,1995-02-08,8.1691
DBC,1995-02-09,8.2136
DBC,1995-02-10,8.1691
DBC,1995-02-13,7.9256
DBC,1995-02-14,8.1691
DBC,1995-02-15,8.1691
DBC,1995-02-16,8.1691
DBC,1995-02-17,8.5982
DBC,1995-02-20,8.5523
DBC,1995-02-21,8.6488
DBC,1995-02-22,8.3599
DBC,1995-02-23,8.6488
DBC,1995-02-24,9.1284
DBC,1995-02-27,8.5982
DBC,1995-02-28,8.4574
DBC,1995-03-01,8.4574
DBC,1995-03-02,8.6488
DBC,1995-03-03,8.885
DBC,1995-03-06,8.885
DBC,1995-03-07,8.885
DBC,1995-03-08,8.885
DBC,1995-03-09,8.9365
DBC,1995-03-10,8.885
DBC,1995-03-13,8.8418
DBC,1995-03-14,8.885
DBC,1995-03-15,8.885
DBC,1995-03-16,8.7904
DBC,1995-03-17,8.7904
DBC,1995-03-20,8.7904
DBC,1995-03-21,8.885
DBC,1995-03-22,8.7904
DBC,1995-03-23,8.7904
DBC,1995-03-24,8.7904
DBC,1995-03-27,8.9365
DBC,1995-03-28,8.885
DBC,1995-03-29,8.885
DBC,1995-03-30,8.9816
DBC,1995-03-31,9.033
DBC,1995-04-03,9.033
DBC,1995-04-04,9.2246
DBC,1995-04-05,9.3655
DBC,1995-04-06,10.281
DBC,1995-04-07,11.29
DBC,1995-04-10,12.392
DBC,1995-04-11,12.877
DBC,1995-04-12,12.731
DBC,1995-04-13,12.583
DBC,1995-04-14,13.594
DBC,1995-04-18,14.938
DBC,1995-04-19,16.428
DBC,1995-04-20,16.81
DBC,1995-04-21,15.129
DBC,1995-04-24,16.62
DBC,1995-04-25,15.851
DBC,1995-04-26,14.265
DBC,1995-04-27,14.938
DBC,1995-04-28,14.412
DBC,1995-05-04,14.412
DBC,1995-05-05,14.412
DBC,1995-05-09,14.412
DBC,1995-05-10,14.7
DBC,1995-05-11,15.614
DBC,1995-05-12,15.851
DBC,1995-05-15,15.851
DBC,1995-05-16,15.468
DBC,1995-05-17,14.412
DBC,1995-05-18,13.451
DBC,1995-05-19,13.931
DBC,1995-05-22,13.451
DBC,1995-05-23,13.451
DBC,1995-05-24,14.412
DBC,1995-05-25,15.614
DBC,1995-05-26,15.034
DBC,1995-05-29,15.755
DBC,1995-05-30,14.412
DBC,1995-05-31,15.084
DBC,1995-06-01,14.412
DBC,1995-06-02,15.277
DBC,1995-06-05,15.614
DBC,1995-06-06,15.807
DBC,1995-06-07,15.851
DBC,1995-06-08,16.331
DBC,1995-06-09,16.331
DBC,1995-06-12,16.331
DBC,1995-06-13,16.331
DBC,1995-06-14,15.755
DBC,1995-06-16,14.938
DBC,1995-06-19,14.938
DBC,1995-06-20,14.938
DBC,1995-06-21,15.371
DBC,1995-06-22,15.129
DBC,1995-06-23,15.371
DBC,1995-06-26,16.094
DBC,1995-06-27,16.138
DBC,1995-06-28,15.851
DBC,1995-06-29,15.903
DBC,1995-06-30,15.851
DBC,1995-07-03,15.851
DBC,1995-07-04,14.892
DBC,1995-07-05,14.892
DBC,1995-07-06,15.277
DBC,1995-07-07,15.423
DBC,1995-07-10,15.564
DBC,1995-07-11,15.371
DBC,1995-07-12,14.892
DBC,1995-07-13,14.892
DBC,1995-07-14,15.564
DBC,1995-07-17,15.851
DBC,1995-07-18,15.851
DBC,1995-07-19,14.987
DBC,1995-07-20,15.371
DBC,1995-07-21,14.892
DBC,1995-07-24,14.987
DBC,1995-07-25,14.892
DBC,1995-07-26,14.892
DBC,1995-07-27,15.371
DBC,1995-07-28,15.129
DBC,1995-07-31,14.892
DBC,1995-08-01,15.129
DBC,1995-08-02,15.129
DBC,1995-08-03,15.129
DBC,1995-08-04,15.129
DBC,1995-08-07,15.371
DBC,1995-08-08,15.371
DBC,1995-08-09,15.371
DBC,1995-08-10,15.371
DBC,1995-08-11,15.659
DBC,1995-08-16,15.755
DBC,1995-08-17,15.659
DBC,1995-08-18,15.659
DBC,1995-08-21,15.659
DBC,1995-08-22,15.659
DBC,1995-08-23,15.614
DBC,1995-08-24,15.614
DBC,1995-08-25,15.659
DBC,1995-08-28,15.32
DBC,1995-08-29,14.795
DBC,1995-08-30,14.412
DBC,1995-08-31,14.412
DBC,1995-09-01,14.265
DBC,1995-09-04,14.412
DBC,1995-09-05,15.034
DBC,1995-09-06,15.129
DBC,1995-09-07,15.034
DBC,1995-09-08,15.226
DBC,1995-09-11,15.371
DBC,1995-09-12,15.851
DBC,1995-09-13,15.851
DBC,1995-09-14,16.574
DBC,1995-09-15,17.054
DBC,1995-09-18,16.428
DBC,1995-09-19,16.383
DBC,1995-09-20,17.15
DBC,1995-09-21,17.15
DBC,1995-09-22,16.81
DBC,1995-09-25,16.428
DBC,1995-09-26,16.331
DBC,1995-09-27,16.331
DBC,1995-09-28,16.331
DBC,1995-09-29,16.81
DBC,1995-10-02,16.863
DBC,1995-10-03,16.574
DBC,1995-10-04,16.331
DBC,1995-10-05,15.851
DBC,1995-10-06,16.331
DBC,1995-10-09,16.094
DBC,1995-10-10,15.851
DBC,1995-10-11,15.659
DBC,1995-10-12,15.851
DBC,1995-10-13,15.659
DBC,1995-10-16,16.331
DBC,1995-10-17,16.477
DBC,1995-10-18,16.574
DBC,1995-10-19,16.574
DBC,1995-10-20,15.851
DBC,1995-10-23,16.331
DBC,1995-10-24,16.331
DBC,1995-10-25,16.477
DBC,1995-10-26,16.574
DBC,1995-10-27,16.477
DBC,1995-10-30,16.331
DBC,1995-10-31,16.288
DBC,1995-11-02,16.331
DBC,1995-11-03,16.716
DBC,1995-11-06,16.863
DBC,1995-11-07,17.291
DBC,1995-11-08,18.256
DBC,1995-11-09,18.256
DBC,1995-11-10,18.014
DBC,1995-11-13,17.77
DBC,1995-11-14,18.014
DBC,1995-11-15,18.014
DBC,1995-11-16,18.256
DBC,1995-11-17,18.641
DBC,1995-11-20,18.256
DBC,1995-11-21,18.256
DBC,1995-11-22,18.736
DBC,1995-11-23,19.408
DBC,1995-11-24,19.313
DBC,1995-11-27,19.793
DBC,1995-12-05,19.695
DBC,1995-12-06,19.215
DBC,1995-12-07,18.256
DBC,1995-12-08,17.77
DBC,1995-12-11,18.11
DBC,1995-12-12,18.11
DBC,1995-12-13,18.16
DBC,1995-12-14,18.014
DBC,1995-12-15,17.291
DBC,1995-12-18,16.768
DBC,1995-12-19,16.863
DBC,1995-12-20,16.768
DBC,1995-12-21,16.524
DBC,1995-12-22,16.81
DBC,1995-12-27,17.386
DBC,1995-12-28,17.386
DBC,1995-12-29,17.873
DBC,1996-01-02,18.59
DBC,1996-01-03,19.069
DBC,1996-01-04,19.069
DBC,1996-01-05,19.12
DBC,1996-01-08,19.12
DBC,1996-01-09,19.695
DBC,1996-01-10,19.215
DBC,1996-01-11,19.453
DBC,1996-01-12,19.839
DBC,1996-01-15,19.839
DBC,1996-01-16,19.695
DBC,1996-01-17,20.176
DBC,1996-01-18,20.176
DBC,1996-01-19,20.08
DBC,1996-01-22,19.793
DBC,1996-01-23,19.793
DBC,1996-01-24,21.762
DBC,1996-01-25,22.287
DBC,1996-01-26,24.5
DBC,1996-01-29,26.9
DBC,1996-01-30,27.379
DBC,1996-01-31,27.379
DBC,1996-02-01,27.142
DBC,1996-02-02,26.9
DBC,1996-02-05,26.42
DBC,1996-02-06,27.142
DBC,1996-02-07,27.379
DBC,1996-02-08,27.379
DBC,1996-02-09,27.379
DBC,1996-02-12,28.345
DBC,1996-02-13,28.345
DBC,1996-02-14,28.345
DBC,1996-02-15,28.345
DBC,1996-02-16,28.345
DBC,1996-02-19,28.345
DBC,1996-02-20,26.42
DBC,1996-02-21,25.939
DBC,1996-02-22,26.42
DBC,1996-02-23,25.939
DBC,1996-02-26,25.939
DBC,1996-02-27,26.42
DBC,1996-02-28,29.06
DBC,1996-02-29,29.06
DBC,1996-03-01,29.06
DBC,1996-03-04,28.581
DBC,1996-03-05,28.824
DBC,1996-03-06,31.703
DBC,1996-03-07,32.664
DBC,1996-03-08,31.703
DBC,1996-03-11,31.467
DBC,1996-03-12,31.223
DBC,1996-03-13,32.664
DBC,1996-03-14,32.183
DBC,1996-03-15,31.223
DBC,1996-03-18,32.183
DBC,1996-03-19,31.223
DBC,1996-03-20,31.223
DBC,1996-03-21,30.021
DBC,1996-03-22,29.304
DBC,1996-03-25,28.824
DBC,1996-03-26,29.541
DBC,1996-03-27,29.784
DBC,1996-03-28,29.784
DBC,1996-03-29,30.264
DBC,1996-04-01,31.223
DBC,1996-04-02,30.5
DBC,1996-04-03,28.824
DBC,1996-04-04,29.304
DBC,1996-04-05,29.304
DBC,1996-04-09,29.06
DBC,1996-04-10,29.541
DBC,1996-04-11,29.541
DBC,1996-04-12,30.264
DBC,1996-04-15,29.06
DBC,1996-04-16,30.264
DBC,1996-04-17,30.264
DBC,1996-04-18,28.824
DBC,1996-04-19,29.784
DBC,1996-04-22,29.304
DBC,1996-04-23,30.264
DBC,1996-04-24,31.223
DBC,1996-04-25,31.467
DBC,1996-04-26,31.223
DBC,1996-04-29,30.264
DBC,1996-04-30,30.264
DBC,1996-05-06,30.264
DBC,1996-05-07,30.264
DBC,1996-05-08,30.5
DBC,1996-05-09,31.467
DBC,1996-05-10,31.223
DBC,1996-05-13,30.743
DBC,1996-05-14,30.264
DBC,1996-05-15,29.06
DBC,1996-05-16,29.06
DBC,1996-05-17,29.541
DBC,1996-05-20,29.06
DBC,1996-05-21,29.06
DBC,1996-05-22,29.06
DBC,1996-05-23,28.824
DBC,1996-05-24,28.824
DBC,1996-05-27,26.184
DBC,1996-05-28,27.379
DBC,1996-05-29,28.101
DBC,1996-05-30,28.345
DBC,1996-05-31,28.824
DBC,1996-06-03,28.824
DBC,1996-06-04,29.784
DBC,1996-06-05,29.784
DBC,1996-06-07,29.784
DBC,1996-06-10,29.784
DBC,1996-06-11,29.784
DBC,1996-06-12,29.784
DBC,1996-06-13,29.304
DBC,1996-06-14,29.784
DBC,1996-06-17,29.784
DBC,1996-06-18,29.784
DBC,1996-06-19,29.304
DBC,1996-06-20,29.784
DBC,1996-06-21,29.784
DBC,1996-06-24,31.223
DBC,1996-06-25,31.703
DBC,1996-06-26,32.183
DBC,1996-06-27,31.703
DBC,1996-06-28,31.703
DBC,1996-07-01,31.703
DBC,1996-07-02,31.223
DBC,1996-07-03,32.426
DBC,1996-07-04,33.149
DBC,1996-07-05,34.108
DBC,1996-07-08,33.386
DBC,1996-07-09,33.149
DBC,1996-07-10,32.906
DBC,1996-07-11,32.183
DBC,1996-07-12,31.467
DBC,1996-07-15,30.743
DBC,1996-07-16,30.5
DBC,1996-07-17,30.264
DBC,1996-07-18,29.784
DBC,1996-07-19,29.304
DBC,1996-07-22,29.06
DBC,1996-07-23,29.304
DBC,1996-07-24,30.264
DBC,1996-07-25,30.987
DBC,1996-07-26,31.703
DBC,1996-07-29,30.987
DBC,1996-07-30,30.743
DBC,1996-07-31,30.021
DBC,1996-08-01,29.06
DBC,1996-08-02,28.345
DBC,1996-08-05,29.06
DBC,1996-08-06,28.824
DBC,1996-08-07,27.379
DBC,1996-08-08,27.379
DBC,1996-08-09,27.86
DBC,1996-08-12,27.86
DBC,1996-08-13,27.621
DBC,1996-08-14,26.9
DBC,1996-08-16,28.345
DBC,1996-08-19,26.42
DBC,1996-08-20,26.663
DBC,1996-08-21,28.824
DBC,1996-08-22,29.541
DBC,1996-08-23,30.021
DBC,1996-08-26,28.824
DBC,1996-08-27,28.345
DBC,1996-08-28,28.345
DBC,1996-08-29,29.304
DBC,1996-08-30,28.824
DBC,1996-09-02,28.345
DBC,1996-09-03,28.345
DBC,1996-09-04,28.101
DBC,1996-09-05,28.824
DBC,1996-09-06,28.101
DBC,1996-09-09,28.581
DBC,1996-09-10,28.101
DBC,1996-09-11,28.345
DBC,1996-09-12,28.345
DBC,1996-09-13,29.304
DBC,1996-09-16,29.304
DBC,1996-09-17,29.784
DBC,1996-09-18,29.784
DBC,1996-09-19,29.304
DBC,1996-09-20,28.345
DBC,1996-09-23,29.784
DBC,1996-09-24,29.784
DBC,1996-09-25,29.06
DBC,1996-09-26,28.824
DBC,1996-09-27,29.304
DBC,1996-09-30,29.304
DBC,1996-10-01,29.304
DBC,1996-10-02,29.304
DBC,1996-10-03,29.304
DBC,1996-10-04,29.784
DBC,1996-10-07,30.743
DBC,1996-10-08,30.743
DBC,1996-10-09,31.223
DBC,1996-10-10,30.5
DBC,1996-10-11,29.541
DBC,1996-10-14,29.784
DBC,1996-10-15,29.784
DBC,1996-10-16,29.784
DBC,1996-10-17,30.743
DBC,1996-10-18,30.743
DBC,1996-10-21,29.784
DBC,1996-10-22,29.304
DBC,1996-10-23,29.304
DBC,1996-10-24,29.304
DBC,1996-10-25,29.784
DBC,1996-10-28,28.581
DBC,1996-10-29,27.621
DBC,1996-10-30,27.142
DBC,1996-10-31,27.379
DBC,1996-11-04,27.142
DBC,1996-11-05,26.42
DBC,1996-11-06,26.42
DBC,1996-11-07,26.42
DBC,1996-11-08,26.663
DBC,1996-11-12,25.703
DBC,1996-11-13,25.703
DBC,1996-11-14,26.42
DBC,1996-11-15,25.939
DBC,1996-11-18,26.663
DBC,1996-11-19,26.9
DBC,1996-11-20,27.142
DBC,1996-11-21,28.101
DBC,1996-11-22,27.379
DBC,1996-11-25,27.621
DBC,1996-11-26,28.101
DBC,1996-11-27,28.345
DBC,1996-11-28,28.824
DBC,1996-11-29,29.304
DBC,1996-12-02,28.581
DBC,1996-12-03,28.345
DBC,1996-12-04,28.824
DBC,1996-12-05,28.581
DBC,1996-12-06,28.581
DBC,1996-12-09,28.581
DBC,1996-12-10,28.824
DBC,1996-12-11,28.581
DBC,1996-12-12,28.581
DBC,1996-12-13,29.06
DBC,1996-12-16,28.824
DBC,1996-12-17,28.581
DBC,1996-12-18,29.06
DBC,1996-12-19,29.784
DBC,1996-12-20,30.264
DBC,1996-12-23,30.264
DBC,1996-12-24,30.5
DBC,1996-12-30,30.743
DBC,1996-12-31,30.743
DBC,1997-01-02,31.223
DBC,1997-01-03,30.743
DBC,1997-01-06,31.467
DBC,1997-01-07,33.386
DBC,1997-01-08,33.149
DBC,1997-01-09,32.664
DBC,1997-01-10,32.183
DBC,1997-01-13,32.183
DBC,1997-01-14,32.906
DBC,1997-01-15,32.664
DBC,1997-01-16,33.149
DBC,1997-01-17,35.546
DBC,1997-01-20,36.027
DBC,1997-01-21,33.386
DBC,1997-01-22,33.865
DBC,1997-01-23,36.027
DBC,1997-01-24,38.433
DBC,1997-01-27,36.027
DBC,1997-01-28,34.587
DBC,1997-01-29,36.027
DBC,1997-01-30,36.027
DBC,1997-01-31,35.067
DBC,1997-02-03,37.466
DBC,1997-02-04,36.027
DBC,1997-02-05,36.507
DBC,1997-02-06,39.392
DBC,1997-02-07,39.63
DBC,1997-02-10,39.871
DBC,1997-02-11,40.351
DBC,1997-02-12,40.589
DBC,1997-02-13,40.831
DBC,1997-02-14,43.474
DBC,1997-02-17,43.718
DBC,1997-02-18,42.994
DBC,1997-02-19,42.271
DBC,1997-02-20,42.271
DBC,1997-02-21,42.515
DBC,1997-02-24,43.474
DBC,1997-02-25,44.434
DBC,1997-02-26,43.23
DBC,1997-02-27,44.197
DBC,1997-02-28,43.718
DBC,1997-03-03,42.994
DBC,1997-03-04,42.751
DBC,1997-03-05,43.23
DBC,1997-03-06,42.271
DBC,1997-03-07,41.31
DBC,1997-03-10,39.392
DBC,1997-03-11,38.913
DBC,1997-03-12,38.913
DBC,1997-03-13,39.871
DBC,1997-03-14,38.913
DBC,1997-03-17,39.871
DBC,1997-03-18,39.871
DBC,1997-03-19,40.109
DBC,1997-03-20,39.871
DBC,1997-03-21,38.433
DBC,1997-03-24,37.946
DBC,1997-03-25,37.946
DBC,1997-03-26,39.392
DBC,1997-03-27,39.15
DBC,1997-04-01,35.067
DBC,1997-04-02,37.466
DBC,1997-04-03,36.507
DBC,1997-04-04,37.466
DBC,1997-04-07,37.23
DBC,1997-04-08,38.433
DBC,1997-04-09,39.392
DBC,1997-04-10,38.913
DBC,1997-04-11,39.871
DBC,1997-04-14,38.433
DBC,1997-04-15,37.466
DBC,1997-04-16,38.433
DBC,1997-04-17,38.913
DBC,1997-04-18,39.392
DBC,1997-04-21,41.075
DBC,1997-04-22,39.871
DBC,1997-04-23,39.871
DBC,1997-04-24,38.19
DBC,1997-04-25,37.466
DBC,1997-04-28,37.466
DBC,1997-04-29,36.75
DBC,1997-04-30,37.946
DBC,1997-05-05,38.19
DBC,1997-05-06,38.433
DBC,1997-05-07,37.466
DBC,1997-05-08,37.466
DBC,1997-05-09,37.466
DBC,1997-05-12,36.987
DBC,1997-05-13,36.987
DBC,1997-05-14,38.433
DBC,1997-05-15,36.75
DBC,1997-05-16,36.987
DBC,1997-05-19,36.75
DBC,1997-05-20,36.75
