<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2009-09-18,8.2435,8.9427,7.9621,8.252
2009-09-21,8.354,8.7231,8.1101,8.2205
2009-09-22,8.1584,8.3072,7.9226,8.2366
2009-09-23,8.2289,8.2289,8.0487,8.2205
2009-09-24,8.0803,8.1269,7.9696,8.0718
2009-09-25,8.0718,8.0718,7.7268,7.8443
2009-09-28,7.8361,7.8361,7.6477,7.7268
2009-09-29,7.4912,7.6948,7.4912,7.6876
2009-09-30,7.5934,7.6717,7.4912,7.5304
2009-10-01,7.6406,7.6477,7.5383,7.6477
2009-10-02,7.6406,7.6406,7.3734,7.6406
2009-10-05,7.5697,7.6085,7.4285,7.6085
2009-10-06,7.4598,7.5854,7.4521,7.5854
2009-10-07,7.6085,7.6085,7.4598,7.6085
2009-10-08,7.6085,7.6085,7.4285,7.5148
2009-10-09,7.5148,7.6325,7.4912,7.4991
2009-10-12,7.5226,7.5618,7.3892,7.5304
2009-10-13,7.3656,7.4991,7.3656,7.4128
2009-10-14,7.4521,7.4521,7.3343,7.4128
2009-10-15,7.4128,7.5069,7.4128,7.4128
2009-10-16,7.4128,7.4442,7.2951,7.4442
2009-10-19,7.2325,7.4049,7.2325,7.2638
2009-10-20,7.3734,7.3734,7.1539,7.2558
2009-10-21,7.2168,7.2558,7.0675,7.2558
2009-10-22,7.0911,7.2481,7.0911,7.2481
2009-10-23,7.2558,7.4049,7.2168,7.4049
2009-10-26,7.2325,7.3971,7.2168,7.3892
2009-10-27,7.3578,7.3892,7.1382,7.1382
2009-10-28,7.4049,7.4049,7.2168,7.3656
2009-10-29,7.3656,7.3892,7.3578,7.3892
2009-10-30,7.3734,7.4128,7.2558,7.2558
2009-11-02,7.2246,7.4521,7.2246,7.4442
2009-11-03,7.4442,7.4442,7.2558,7.4049
2009-11-04,7.4049,7.4049,7.3421,7.3734
2009-11-05,7.4285,7.8361,7.3578,7.8279
2009-11-06,7.8279,7.8279,7.6245,7.6876
2009-11-09,7.7028,7.9852,7.7028,7.9621
2009-11-10,8.0017,8.1423,7.9226,8.1423
2009-11-12,8.1423,8.1423,8.0017,8.1269
2009-11-13,8.1423,8.1423,8.0165,8.0956
2009-11-16,8.1423,8.1423,7.8361,8.0803
2009-11-17,8.0803,8.1423,7.6085,7.6876
2009-11-18,7.805,7.9152,7.6477,7.7268
2009-11-19,7.7268,7.805,7.6085,7.6876
2009-11-20,7.9152,7.9152,7.6085,7.8443
2009-11-23,7.8443,8.0017,7.6085,8.0017
2009-11-24,7.9621,7.9621,7.6876,7.9621
2009-11-25,7.9539,7.9539,7.8443,7.9226
2009-11-26,7.9226,7.9226,7.6876,7.8756
2009-11-27,7.6085,7.907,7.6085,7.766
2009-11-30,7.8831,7.8831,7.6245,7.75
2009-12-01,7.8361,8.0017,7.4678,7.9696
2009-12-02,7.9621,7.9621,7.6085,7.6797
2009-12-03,7.6797,7.766,7.6014,7.7419
2009-12-04,7.5304,7.7419,7.5304,7.7189
2009-12-07,7.5462,7.6717,7.5304,7.5383
2009-12-08,7.5226,7.6014,7.3186,7.4834
2009-12-09,7.4756,7.4834,7.3343,7.3343
2009-12-10,7.4363,7.4521,7.4363,7.4442
2009-12-11,7.2168,7.4363,7.2168,7.4363
2009-12-15,7.6477,7.6477,7.2638,7.6085
2009-12-17,7.4442,7.4442,7.2951,7.4363
2009-12-18,7.2951,7.4285,7.2168,7.4285
2009-12-21,7.4285,8.1584,7.4285,7.6085
2009-12-22,7.4049,7.6085,7.1461,7.5148
2009-12-23,7.6085,7.6085,7.2168,7.4285
2009-12-28,7.4049,7.4128,7.3265,7.3734
2009-12-29,7.4521,7.4521,7.201,7.3734
2009-12-30,7.3734,7.4521,7.2951,7.4285
2009-12-31,7.4285,7.4285,7.4285,7.4285
2010-01-04,7.2951,7.4285,7.2951,7.4206
2010-01-05,7.4128,7.4128,7.2558,7.3892
2010-01-06,7.4442,7.4442,7.2168,7.3734
2010-01-07,7.4363,7.4363,7.0675,7.099
2010-01-08,7.4598,7.4598,7.2168,7.4285
2010-01-11,7.4521,7.4521,7.4442,7.4442
2010-01-12,7.1775,7.4521,7.1617,7.4285
2010-01-13,7.2246,7.4049,7.2168,7.3734
2010-01-14,7.4049,7.4049,7.2168,7.3578
2010-01-15,7.4049,7.4049,7.2246,7.3343
2010-01-18,7.3343,7.3343,7.3343,7.3343
2010-01-19,7.3265,7.3265,7.3265,7.3265
2010-01-20,7.3107,7.3107,7.3107,7.3107
2010-01-21,7.2246,7.3107,7.2168,7.3107
2010-01-22,7.2558,7.3343,7.1382,7.2168
2010-01-25,7.0598,7.3343,6.9658,7.1852
2010-01-26,7.0598,7.2872,6.9814,7.1775
2010-01-27,7.2794,7.6085,7.2716,7.4521
2010-01-28,7.5697,7.5934,7.3813,7.4521
2010-01-29,7.4521,7.7268,7.4521,7.5934
2010-02-01,7.7349,7.7349,7.4912,7.5697
2010-02-02,7.4912,7.6085,7.4912,7.6085
2010-02-03,7.6325,7.8831,7.6325,7.7028
2010-02-04,7.7107,7.9226,7.7107,7.8443
2010-02-05,7.7818,7.8443,7.4521,7.8443
2010-02-08,7.805,8.0718,7.805,7.9152
2010-02-09,7.9852,7.9935,7.7107,7.9226
2010-02-10,7.9778,7.9852,7.8443,7.8443
2010-02-11,7.7189,8.3156,7.5304,8.2986
2010-02-12,8.3072,8.3072,7.8913,8.189
2010-02-15,8.189,8.2758,8.1584,8.2435
2010-02-16,8.3072,8.3072,8.1967,8.2986
2010-02-17,8.2366,8.5494,8.2366,8.5494
2010-02-18,8.5494,8.5742,8.4331,8.5574
2010-02-19,8.5901,8.6041,8.4481,8.6041
2010-02-22,8.6279,8.8485,8.4711,8.7461
2010-02-23,8.7848,8.7848,8.5662,8.5662
2010-02-24,8.5901,8.8569,8.5901,8.8014
2010-02-25,8.8014,8.8014,8.6279,8.7775
2010-02-26,8.8014,9.0129,8.8014,9.0129
2010-03-01,9.3975,9.7659,9.3742,9.6321
2010-03-02,9.413,9.5623,9.2967,9.5313
2010-03-03,9.6011,9.6011,9.3587,9.413
2010-03-04,9.413,10.04,9.413,9.923
2010-03-05,9.923,10.119,9.923,10.103
2010-03-08,10.197,11.373,10.197,11.256
2010-03-09,11.336,11.61,10.464,11.138
2010-03-10,11.367,11.367,11.123,11.367
2010-03-11,11.296,11.359,10.99,11.28
2010-03-12,11.349,11.593,11.225,11.343
2010-03-15,11.414,11.515,10.723,10.808
2010-03-16,11.203,11.28,10.747,11.091
2010-03-17,11.288,11.326,11.138,11.311
2010-03-18,11.216,11.216,10.84,11.06
2010-03-19,11.216,11.216,10.801,11.076
2010-03-22,11.216,11.216,10.669,10.747
2010-03-23,10.863,11.021,10.628,10.628
2010-03-24,10.747,10.825,10.284,10.354
2010-03-25,10.354,10.511,10.284,10.511
2010-03-26,10.511,10.511,10.338,10.348
2010-03-29,10.292,10.495,10.159,10.473
2010-03-30,10.621,11.06,10.394,10.785
2010-03-31,11.06,11.069,10.684,10.902
2010-04-01,10.902,11.453,10.59,11.453
2010-04-06,11.453,11.531,11.083,11.216
2010-04-07,11.296,11.296,10.982,10.982
2010-04-08,10.982,10.982,10.785,10.85
2010-04-09,10.825,11.131,10.825,11.131
2010-04-12,10.488,11.336,10.488,11.336
2010-04-13,11.336,11.336,11.216,11.296
2010-04-14,11.06,11.1,11.06,11.1
2010-04-15,10.982,11.216,10.982,11.216
2010-04-16,11.138,11.138,10.59,11.138
2010-04-19,10.597,11.114,10.597,10.935
2010-04-20,10.935,10.982,10.84,10.974
2010-04-21,10.84,10.85,10.731,10.747
2010-04-22,10.982,10.982,10.825,10.825
