<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2004-04-20,53.597,56.448,53.597,55.579
2004-04-21,55.022,56.324,54.526,55.394
2004-04-22,55.394,55.394,53.783,53.783
2004-04-23,53.597,53.783,52.915,53.101
2004-04-26,52.915,52.915,52.172,52.358
2004-04-27,53.288,53.288,51.305,52.358
2004-04-28,52.172,52.172,51.305,51.676
2004-04-29,51.49,51.8,50.065,50.375
2004-04-30,49.508,50.065,49.136,50.065
2004-05-04,50.932,50.932,50.065,50.932
2004-05-05,50.065,50.065,49.322,50.065
2004-05-06,50.065,50.375,49.322,49.508
2004-05-07,49.693,50.19,49.693,50.19
2004-05-10,50.065,50.065,49.136,49.508
2004-05-11,49.508,50.065,49.508,50.065
2004-05-12,50.065,50.746,50.065,50.746
2004-05-13,50.375,50.375,49.322,49.322
2004-05-14,49.136,50.065,49.136,50.065
2004-05-17,49.693,49.693,49.136,49.693
2004-05-18,49.693,49.693,49.136,49.136
2004-05-19,49.693,49.693,49.508,49.508
2004-05-20,49.322,49.693,49.136,49.136
2004-05-21,48.64,48.64,47.339,48.64
2004-05-24,49.693,49.693,48.949,48.949
2004-05-25,48.949,49.508,47.71,47.71
2004-05-26,48.269,49.136,48.269,48.764
2004-05-27,47.71,49.322,47.71,49.322
2004-05-28,48.269,48.764,48.269,48.269
2004-05-31,47.71,48.453,47.339,47.339
2004-06-01,47.339,48.269,47.339,48.269
2004-06-02,48.64,48.64,48.269,48.269
2004-06-03,48.949,49.322,48.269,49.322
2004-06-04,49.508,49.508,49.508,49.508
2004-06-07,49.693,49.693,48.64,49.136
2004-06-08,48.64,49.322,48.64,49.322
2004-06-09,49.322,49.88,49.136,49.322
2004-06-11,49.322,50.19,49.322,50.065
2004-06-14,49.693,50.375,49.693,50.375
2004-06-15,50.375,52.172,50.375,51.305
2004-06-16,51.49,51.986,50.932,51.49
2004-06-17,50.932,51.118,50.932,51.118
2004-06-18,50.932,51.49,50.932,51.49
2004-06-21,51.8,51.986,51.676,51.986
2004-06-22,52.172,52.358,52.172,52.172
2004-06-23,50.375,52.729,50.375,52.544
2004-06-25,52.544,53.101,52.358,53.101
2004-06-28,53.101,53.101,53.101,53.101
2004-06-29,51.986,53.101,51.986,52.915
2004-06-30,52.915,52.915,52.172,52.915
2004-07-01,52.172,52.544,52.172,52.544
2004-07-02,52.172,52.358,52.172,52.358
2004-07-05,52.172,52.358,52.172,52.358
2004-07-06,52.172,52.544,51.676,52.544
2004-07-07,52.729,52.915,52.544,52.915
2004-07-08,52.915,55.394,52.729,54.155
2004-07-09,54.526,54.526,53.101,53.288
2004-07-12,53.597,54.526,53.41,53.41
2004-07-13,53.101,53.101,51.8,52.358
2004-07-14,52.729,52.729,51.676,52.729
2004-07-15,51.986,51.986,51.8,51.8
2004-07-16,51.8,52.544,51.8,52.544
2004-07-19,52.729,52.729,52.358,52.358
2004-07-20,51.8,53.288,51.8,53.288
2004-07-21,53.288,53.288,52.544,53.288
2004-07-22,52.544,52.544,52.544,52.544
2004-07-23,53.101,54.526,53.101,53.597
2004-07-26,53.101,54.342,53.101,54.342
2004-07-27,53.783,54.712,53.783,54.526
2004-07-28,54.526,55.394,54.526,55.394
2004-07-29,55.022,55.766,55.022,55.766
2004-07-30,55.766,57.377,55.766,57.377
2004-08-02,58.617,58.987,58.058,58.617
2004-08-03,58.617,58.617,57.563,58.058
2004-08-04,57.377,57.749,56.324,57.749
2004-08-05,57.19,58.058,57.19,58.058
2004-08-06,58.244,58.244,57.377,57.377
2004-08-09,57.19,57.377,52.172,57.19
2004-08-10,57.935,60.041,57.935,60.041
2004-08-11,60.227,60.227,58.058,58.617
2004-08-12,58.802,59.174,58.617,58.987
2004-08-13,58.802,58.987,58.802,58.987
2004-08-16,57.935,58.617,57.935,58.617
2004-08-17,58.617,58.617,56.819,56.819
2004-08-18,57.19,58.802,57.19,58.802
2004-08-19,58.802,59.359,58.802,58.987
2004-08-20,57.19,58.802,57.19,58.058
2004-08-23,58.058,58.058,56.324,56.324
2004-08-24,56.634,58.802,56.324,58.431
2004-08-25,58.802,58.802,57.377,57.377
2004-08-26,57.19,58.617,57.19,58.617
2004-08-27,57.935,58.802,57.935,58.802
2004-08-30,58.802,58.802,57.377,58.617
2004-08-31,58.617,58.617,57.563,57.749
2004-09-01,57.19,58.058,57.19,58.058
2004-09-02,58.058,58.987,57.19,58.058
2004-09-03,57.005,58.802,56.819,58.058
2004-09-06,57.935,58.617,57.005,58.617
2004-09-07,58.617,58.617,57.377,58.617
2004-09-08,58.617,60.413,58.617,60.227
2004-09-09,60.413,60.6,59.854,60.227
2004-09-10,60.6,60.784,59.483,59.854
2004-09-13,59.174,59.359,59.174,59.174
2004-09-14,59.854,59.854,58.617,59.669
2004-09-15,58.987,59.854,58.244,58.244
2004-09-16,58.244,58.244,58.244,58.244
2004-09-17,58.244,58.987,58.244,58.802
2004-09-20,58.431,59.483,58.058,58.058
2004-09-21,57.19,58.987,57.19,58.987
2004-09-22,57.563,57.563,57.19,57.563
2004-09-23,57.005,57.005,57.005,57.005
2004-09-24,56.448,57.005,56.448,56.448
2004-09-27,56.324,57.005,56.324,57.005
2004-09-28,55.766,57.749,55.766,56.448
2004-09-29,57.749,57.749,57.19,57.19
2004-10-01,55.952,57.005,55.952,56.324
2004-10-04,56.324,56.448,56.324,56.324
2004-10-05,56.324,56.324,54.526,54.712
2004-10-06,54.712,54.712,54.712,54.712
2004-10-07,53.783,53.783,53.597,53.597
2004-10-08,53.41,55.766,53.41,55.766
2004-10-11,56.138,56.819,54.712,54.712
2004-10-12,54.342,54.342,54.155,54.155
2004-10-13,55.207,55.207,51.118,51.305
2004-10-14,50.746,51.676,50.19,50.932
2004-10-15,50.562,50.562,50.562,50.562
2004-10-18,50.746,51.8,50.746,51.8
2004-10-19,51.8,51.8,50.375,50.932
2004-10-20,50.375,50.375,50.065,50.065
2004-10-21,48.453,50.562,48.453,50.562
2004-10-22,50.562,51.676,50.065,50.065
2004-10-25,50.19,50.562,48.764,50.065
2004-10-26,49.322,51.49,49.322,50.065
2004-10-27,51.8,51.8,50.065,50.065
2004-10-28,51.49,51.8,51.49,51.8
2004-10-29,51.8,52.172,50.065,50.562
2004-11-02,51.8,51.986,51.676,51.8
2004-11-03,51.305,53.288,51.305,52.729
2004-11-04,52.915,52.915,50.562,51.49
2004-11-05,51.305,51.305,50.065,50.065
2004-11-08,51.305,52.172,50.562,52.172
2004-11-09,52.172,52.172,50.562,51.676
2004-11-10,50.746,51.8,50.746,51.8
2004-11-12,51.49,51.49,51.49,51.49
2004-11-15,50.932,51.49,50.932,51.49
2004-11-16,51.676,51.8,50.19,51.49
2004-11-17,49.88,49.88,48.949,49.136
2004-11-18,49.136,49.136,48.453,49.136
2004-11-19,48.949,48.949,47.525,48.082
2004-11-22,48.764,48.949,48.082,48.269
2004-11-23,49.136,49.693,48.082,48.269
2004-11-24,48.269,49.322,47.339,49.322
2004-11-25,49.693,49.693,47.153,48.269
2004-11-29,47.339,49.508,47.029,49.508
2004-11-30,48.269,50.375,48.269,50.065
2004-12-01,49.508,50.065,49.508,50.065
2004-12-02,50.065,50.065,50.065,50.065
2004-12-03,50.065,50.746,50.065,50.065
2004-12-06,50.065,50.065,50.065,50.065
2004-12-07,50.065,50.065,50.065,50.065
2004-12-08,50.065,50.065,48.764,50.065
2004-12-09,50.065,50.065,50.065,50.065
2004-12-10,48.764,49.88,48.764,49.322
2004-12-13,48.453,48.453,48.453,48.453
2004-12-14,49.693,49.88,49.693,49.88
2004-12-15,50.065,50.19,50.065,50.065
2004-12-16,50.065,50.562,49.508,50.562
2004-12-17,50.746,51.8,50.746,51.8
2004-12-20,50.19,51.49,50.19,51.49
2004-12-21,51.8,51.8,50.065,50.746
2004-12-22,49.88,51.49,49.88,51.305
2004-12-23,50.932,51.49,49.136,51.305
2004-12-24,51.305,51.8,51.118,51.8
2004-12-27,51.118,52.358,51.118,52.358
2004-12-28,52.544,52.544,51.8,51.8
2004-12-29,52.544,52.544,52.544,52.544
2004-12-30,52.915,52.915,52.729,52.915
2004-12-31,53.288,54.342,52.172,54.342
