<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2011-03-25,5.43,5.43,4.17,4.59
2011-03-28,4.59,4.59,3.9,4.1
2011-03-29,4.1,4.1,3.5,3.9
2011-03-30,3.9,4.35,3.9,4.35
2011-03-31,4.35,4.41,4,4.27
2011-04-01,4.21,4.3,4.21,4.3
2011-04-04,4.22,4.39,4.22,4.35
2011-04-05,4.45,4.5,4.22,4.35
2011-04-06,4.44,4.44,4.26,4.4
2011-04-07,4.4,4.4,4.3,4.3
2011-04-08,4.39,4.65,4.39,4.65
2011-04-11,4.64,4.78,4.45,4.73
2011-04-12,4.76,4.76,4.72,4.72
2011-04-13,4.7,4.75,4.6,4.75
2011-04-14,4.75,4.75,4.6,4.74
2011-04-15,4.75,4.75,4.75,4.75
2011-04-18,4.75,4.75,4.75,4.75
2011-04-19,4.73,4.73,4.73,4.73
2011-04-20,4.73,4.73,4.73,4.73
2011-04-21,4.72,4.72,4.7,4.72
2011-04-26,4.72,4.72,4.45,4.6
2011-04-28,4.72,4.72,4.72,4.72
2011-04-29,4.72,4.72,4.65,4.72
2011-05-02,4.72,4.72,4.72,4.72
2011-05-04,4.72,4.72,4.72,4.72
2011-05-05,4.72,4.72,4.72,4.72
2011-05-06,4.72,4.72,4.72,4.72
2011-05-09,4.72,4.72,4.36,4.36
2011-05-10,4.65,4.75,4.45,4.73
2011-05-11,4.74,4.74,4.6,4.68
2011-05-12,4.68,4.74,4.68,4.72
2011-05-13,4.73,4.78,4.72,4.78
2011-05-16,4.78,4.9,4.78,4.9
2011-05-17,4.93,5.1,4.9,4.92
2011-05-18,4.92,5.1,4.82,5.09
2011-05-19,5.24,5.24,4.8,4.8
2011-05-20,4.91,5.15,4.7,5.15
2011-05-23,5.07,5.17,5.07,5.17
2011-05-24,5.17,5.17,5.17,5.17
2011-05-25,5.17,5.17,5.04,5.04
2011-05-26,5.04,5.09,5.04,5.09
2011-05-27,5.17,5.17,5.17,5.17
2011-05-30,5.17,5.17,4.95,5.15
2011-05-31,5.17,5.17,4.95,5.17
2011-06-01,5.17,5.17,5.05,5.17
2011-06-02,5.11,5.11,4.9,4.9
2011-06-03,5,5,4.85,4.85
2011-06-06,4.95,4.95,4.8,4.8
2011-06-07,4.8,4.8,4.8,4.8
2011-06-08,4.82,4.84,4.8,4.8
2011-06-09,4.8,4.81,4.8,4.8
2011-06-10,4.8,4.8,4.8,4.8
2011-06-14,4.71,4.84,4.7,4.7
2011-06-15,4.7,4.84,4.7,4.84
2011-06-16,4.9,4.9,4.9,4.9
2011-06-17,4.9,4.9,4.9,4.9
