<TICKER>,<DATE>,<CLOSE>
DVL,2007-06-29,4.1019
DVL,2007-07-02,3.9463
DVL,2007-07-03,4.0748
DVL,2007-07-04,4.129
DVL,2007-07-05,4.1019
DVL,2007-07-06,4.0546
DVL,2007-07-09,3.9191
DVL,2007-07-10,3.7771
DVL,2007-07-11,3.6619
DVL,2007-07-12,3.6484
DVL,2007-07-13,3.7567
DVL,2007-07-16,3.6552
DVL,2007-07-17,3.5672
DVL,2007-07-18,3.5063
DVL,2007-07-19,3.8041
DVL,2007-07-20,3.7026
DVL,2007-07-23,3.6552
DVL,2007-07-24,3.5131
DVL,2007-07-25,3.486
DVL,2007-07-26,3.3709
DVL,2007-07-27,3.2491
DVL,2007-07-30,3.3167
DVL,2007-07-31,3.4183
DVL,2007-08-01,3.3304
DVL,2007-08-02,3.2762
DVL,2007-08-03,3.2491
DVL,2007-08-06,3.1137
DVL,2007-08-07,2.8632
DVL,2007-08-08,2.8768
DVL,2007-08-09,2.7211
DVL,2007-08-10,2.4706
DVL,2007-08-13,2.7413
DVL,2007-08-14,2.7007
DVL,2007-08-16,2.4368
DVL,2007-08-17,2.6399
DVL,2007-08-20,2.6872
DVL,2007-08-21,2.6737
DVL,2007-08-22,2.7617
DVL,2007-08-23,2.7685
DVL,2007-08-24,2.8159
DVL,2007-08-27,2.9039
DVL,2007-08-28,2.9173
DVL,2007-08-29,2.9039
DVL,2007-08-30,2.7685
DVL,2007-08-31,2.843
DVL,2007-09-03,2.843
DVL,2007-09-04,2.7888
DVL,2007-09-05,2.6264
DVL,2007-09-06,2.6264
DVL,2007-09-07,2.5315
DVL,2007-09-10,2.4639
DVL,2007-09-11,2.5383
DVL,2007-09-12,2.518
DVL,2007-09-13,2.7007
DVL,2007-09-14,2.5857
DVL,2007-09-17,2.5654
DVL,2007-09-18,2.5586
DVL,2007-09-19,2.6128
DVL,2007-09-20,2.5586
DVL,2007-09-21,2.5722
DVL,2007-09-24,2.5519
DVL,2007-09-25,2.6602
DVL,2007-09-26,3.0392
DVL,2007-09-27,2.8971
DVL,2007-09-28,2.843
DVL,2007-10-01,2.8023
DVL,2007-10-02,2.7955
DVL,2007-10-03,2.7211
DVL,2007-10-04,2.7955
DVL,2007-10-05,2.8768
DVL,2007-10-08,2.8362
DVL,2007-10-09,2.8768
DVL,2007-10-10,2.843
DVL,2007-10-11,2.843
DVL,2007-10-12,2.8768
DVL,2007-10-15,2.9242
DVL,2007-10-16,2.8564
DVL,2007-10-17,2.9039
DVL,2007-10-18,2.8362
DVL,2007-10-19,2.8226
DVL,2007-10-22,2.7752
DVL,2007-10-23,2.7821
DVL,2007-10-24,2.7752
DVL,2007-10-25,2.7752
DVL,2007-10-26,2.7685
DVL,2007-10-29,2.8362
DVL,2007-10-30,2.7955
DVL,2007-10-31,2.7888
DVL,2007-11-02,2.7347
DVL,2007-11-05,2.7007
DVL,2007-11-06,2.6872
DVL,2007-11-07,2.4436
DVL,2007-11-08,2.5045
DVL,2007-11-09,2.5045
DVL,2007-11-12,2.5045
DVL,2007-11-13,2.4842
DVL,2007-11-14,2.5383
DVL,2007-11-15,2.3895
DVL,2007-11-16,2.2879
DVL,2007-11-19,2.2202
DVL,2007-11-20,2.0983
DVL,2007-11-21,1.9833
DVL,2007-11-22,2.0848
DVL,2007-11-23,2.0578
DVL,2007-11-26,1.9968
DVL,2007-11-27,2.0171
DVL,2007-11-28,2.0916
DVL,2007-11-29,2.078
DVL,2007-11-30,2.1458
DVL,2007-12-03,2.1389
DVL,2007-12-04,2.1458
DVL,2007-12-05,2.2675
DVL,2007-12-06,2.2202
DVL,2007-12-07,2.2338
DVL,2007-12-10,2.2066
DVL,2007-12-11,2.1525
DVL,2007-12-12,2.1187
DVL,2007-12-13,2.0578
DVL,2007-12-14,2.0306
DVL,2007-12-17,1.9292
DVL,2007-12-18,2.0036
DVL,2007-12-19,1.99
DVL,2007-12-20,1.9833
DVL,2007-12-21,1.99
DVL,2007-12-27,2.0374
DVL,2007-12-28,2.0509
DVL,2008-01-02,2.0509
DVL,2008-01-03,2.112
DVL,2008-01-04,2.1525
DVL,2008-01-07,2.0646
DVL,2008-01-08,2.0713
DVL,2008-01-09,2.0374
DVL,2008-01-10,1.9968
DVL,2008-01-11,2.0306
DVL,2008-01-14,2.0442
DVL,2008-01-15,2.0306
DVL,2008-01-16,1.963
DVL,2008-01-17,1.9426
DVL,2008-01-18,1.9426
DVL,2008-01-21,1.787
DVL,2008-01-22,1.7734
DVL,2008-01-23,1.7667
DVL,2008-01-24,1.8818
DVL,2008-01-25,1.8885
DVL,2008-01-28,1.8005
DVL,2008-01-29,1.848
DVL,2008-01-30,1.8953
DVL,2008-01-31,1.8885
DVL,2008-02-01,1.9563
DVL,2008-02-04,1.963
DVL,2008-02-05,1.8682
DVL,2008-02-06,1.848
DVL,2008-02-07,1.8141
DVL,2008-02-08,1.8682
DVL,2008-02-11,1.9359
DVL,2008-02-12,1.963
DVL,2008-02-13,1.9156
DVL,2008-02-14,1.9224
DVL,2008-02-15,1.875
DVL,2008-02-18,1.8546
DVL,2008-02-19,1.9088
DVL,2008-02-20,1.9088
DVL,2008-02-21,1.9156
DVL,2008-02-22,1.8885
DVL,2008-02-25,1.8885
DVL,2008-02-26,1.8682
DVL,2008-02-27,1.8953
DVL,2008-02-28,1.8276
DVL,2008-02-29,1.7939
DVL,2008-03-03,1.7126
DVL,2008-03-04,1.6922
DVL,2008-03-05,1.7126
DVL,2008-03-06,1.6855
DVL,2008-03-07,1.6719
DVL,2008-03-10,1.6178
DVL,2008-03-11,1.6516
DVL,2008-03-12,1.6516
DVL,2008-03-13,1.6043
DVL,2008-03-14,1.5839
DVL,2008-03-17,1.496
DVL,2008-03-18,1.5568
DVL,2008-03-19,1.5568
DVL,2008-03-20,1.6516
DVL,2008-03-25,1.7329
DVL,2008-03-26,1.753
DVL,2008-03-27,1.9224
DVL,2008-03-28,1.9833
DVL,2008-03-31,1.9359
DVL,2008-04-01,1.9292
DVL,2008-04-02,2.1321
DVL,2008-04-03,2.0578
DVL,2008-04-04,2.0983
DVL,2008-04-07,2.1661
DVL,2008-04-08,2.1458
DVL,2008-04-09,2.2066
DVL,2008-04-10,2.2066
DVL,2008-04-11,2.1796
DVL,2008-04-14,2.1661
DVL,2008-04-15,2.1187
DVL,2008-04-16,2.0509
DVL,2008-04-17,2.0306
DVL,2008-04-18,1.9765
DVL,2008-04-21,1.963
DVL,2008-04-22,1.8885
DVL,2008-04-23,1.8885
DVL,2008-04-24,1.9833
DVL,2008-04-25,2.0646
DVL,2008-04-28,2.1254
DVL,2008-04-29,2.1525
DVL,2008-04-30,2.1254
DVL,2008-05-05,2.1592
DVL,2008-05-06,2.0983
DVL,2008-05-07,2.0983
DVL,2008-05-08,2.0983
DVL,2008-05-09,2.0983
DVL,2008-05-12,2.112
DVL,2008-05-13,2.1458
DVL,2008-05-14,2.1796
DVL,2008-05-15,2.1999
DVL,2008-05-16,2.2134
DVL,2008-05-19,2.3421
DVL,2008-05-20,2.2947
DVL,2008-05-21,2.2675
DVL,2008-05-23,2.2812
DVL,2008-05-26,2.3014
DVL,2008-05-27,2.2812
DVL,2008-05-28,2.1999
DVL,2008-05-29,2.0983
DVL,2008-05-30,2.1254
DVL,2008-06-02,2.078
DVL,2008-06-03,2.1458
DVL,2008-06-04,2.0848
DVL,2008-06-05,2.0374
DVL,2008-06-06,1.9833
DVL,2008-06-09,2.0306
DVL,2008-06-10,1.9359
DVL,2008-06-11,1.9088
DVL,2008-06-12,1.9224
DVL,2008-06-13,1.9292
DVL,2008-06-16,1.9292
DVL,2008-06-17,1.9022
DVL,2008-06-18,1.8209
DVL,2008-06-19,1.7939
DVL,2008-06-20,1.8209
DVL,2008-06-23,1.7463
DVL,2008-06-24,1.638
DVL,2008-06-25,1.6109
DVL,2008-06-26,1.5975
DVL,2008-06-27,1.6584
DVL,2008-06-30,1.638
DVL,2008-07-01,1.4891
DVL,2008-07-02,1.4891
DVL,2008-07-03,1.4282
DVL,2008-07-04,1.347
DVL,2008-07-07,1.2928
DVL,2008-07-08,1.2726
DVL,2008-07-09,1.2319
DVL,2008-07-10,1.2048
DVL,2008-07-11,1.1169
DVL,2008-07-14,1.1237
DVL,2008-07-15,1.056
DVL,2008-07-16,1.0695
DVL,2008-07-17,1.1506
DVL,2008-07-18,1.1371
DVL,2008-07-21,1.1506
DVL,2008-07-22,1.2048
DVL,2008-07-23,1.2658
DVL,2008-07-24,1.1711
DVL,2008-07-25,1.2184
DVL,2008-07-28,1.2455
DVL,2008-07-29,1.2387
DVL,2008-07-30,1.2996
DVL,2008-07-31,1.2726
DVL,2008-08-01,1.2387
DVL,2008-08-04,1.1711
DVL,2008-08-05,1.2048
DVL,2008-08-06,1.1913
DVL,2008-08-07,1.1575
DVL,2008-08-08,1.1506
DVL,2008-08-11,1.1506
DVL,2008-08-12,1.3336
DVL,2008-08-13,1.2387
DVL,2008-08-14,1.2252
DVL,2008-08-18,1.1913
DVL,2008-08-19,1.1371
DVL,2008-08-20,1.1845
DVL,2008-08-21,1.1711
DVL,2008-08-22,1.2319
DVL,2008-08-25,1.1913
DVL,2008-08-26,1.2048
DVL,2008-08-27,1.1981
DVL,2008-08-28,1.1913
DVL,2008-08-29,1.2116
DVL,2008-09-01,1.2319
DVL,2008-09-02,1.2928
DVL,2008-09-03,1.2793
DVL,2008-09-04,1.2589
DVL,2008-09-05,1.1845
DVL,2008-09-08,1.1711
DVL,2008-09-09,1.1711
DVL,2008-09-10,1.1506
DVL,2008-09-11,1.144
DVL,2008-09-12,1.1371
DVL,2008-09-15,1.0695
DVL,2008-09-16,1.0491
DVL,2008-09-17,1.0357
DVL,2008-09-18,1.0153
DVL,2008-09-19,1.0763
DVL,2008-09-22,1.0491
DVL,2008-09-23,1.0423
DVL,2008-09-24,1.0357
DVL,2008-09-25,1.0628
DVL,2008-09-26,1.0288
DVL,2008-09-29,1.0018
DVL,2008-09-30,0.9882
DVL,2008-10-01,0.9816
DVL,2008-10-02,0.9545
DVL,2008-10-03,0.9341
DVL,2008-10-06,0.8394
DVL,2008-10-07,0.7784
DVL,2008-10-08,0.8462
DVL,2008-10-09,0.8122
DVL,2008-10-10,0.7446
DVL,2008-10-13,0.7581
DVL,2008-10-14,0.7921
DVL,2008-10-15,0.6701
DVL,2008-10-16,0.6363
DVL,2008-10-17,0.5957
DVL,2008-10-20,0.6092
DVL,2008-10-21,0.6025
DVL,2008-10-22,0.5415
DVL,2008-10-23,0.48742
DVL,2008-10-24,0.43322
DVL,2008-10-27,0.43997
DVL,2008-10-28,0.43997
DVL,2008-10-29,0.5686
DVL,2008-10-30,0.6363
DVL,2008-10-31,0.5755
DVL,2008-11-03,0.5686
DVL,2008-11-04,0.6227
DVL,2008-11-05,0.6159
DVL,2008-11-06,0.6025
DVL,2008-11-07,0.6159
DVL,2008-11-10,0.6227
DVL,2008-11-12,0.5755
DVL,2008-11-13,0.5346
DVL,2008-11-14,0.5415
DVL,2008-11-17,0.4942
DVL,2008-11-18,0.46027
DVL,2008-11-19,0.47375
DVL,2008-11-20,0.43322
DVL,2008-11-21,0.4535
DVL,2008-11-24,0.47375
DVL,2008-11-25,0.47375
DVL,2008-11-26,0.46703
DVL,2008-11-27,0.47375
DVL,2008-11-28,0.46027
DVL,2008-12-01,0.43322
DVL,2008-12-02,0.43997
DVL,2008-12-03,0.43322
DVL,2008-12-04,0.43997
DVL,2008-12-05,0.42636
DVL,2008-12-08,0.47375
DVL,2008-12-09,0.47375
DVL,2008-12-10,0.46703
DVL,2008-12-11,0.46703
DVL,2008-12-12,0.4535
DVL,2008-12-15,0.4535
DVL,2008-12-16,0.44674
DVL,2008-12-17,0.43322
DVL,2008-12-18,0.41295
DVL,2008-12-19,0.40615
DVL,2008-12-22,0.40615
DVL,2008-12-23,0.39936
DVL,2008-12-29,0.39936
DVL,2008-12-30,0.39257
DVL,2008-12-31,0.39257
DVL,2009-01-05,0.41295
DVL,2009-01-06,0.4535
DVL,2009-01-07,0.42636
DVL,2009-01-08,0.42636
DVL,2009-01-09,0.40615
DVL,2009-01-12,0.41295
DVL,2009-01-13,0.41295
DVL,2009-01-14,0.40615
DVL,2009-01-15,0.41295
DVL,2009-01-16,0.43322
DVL,2009-01-19,0.43997
DVL,2009-01-20,0.41295
DVL,2009-01-21,0.40615
DVL,2009-01-22,0.39936
DVL,2009-01-23,0.39936
DVL,2009-01-26,0.42636
DVL,2009-01-27,0.42636
DVL,2009-01-28,0.41967
DVL,2009-01-29,0.40615
DVL,2009-01-30,0.39936
DVL,2009-02-02,0.37906
DVL,2009-02-03,0.35875
DVL,2009-02-04,0.37229
DVL,2009-02-05,0.37229
DVL,2009-02-06,0.37906
DVL,2009-02-09,0.39936
DVL,2009-02-10,0.39936
DVL,2009-02-11,0.39257
DVL,2009-02-12,0.39257
DVL,2009-02-13,0.39936
DVL,2009-02-16,0.39257
DVL,2009-02-17,0.35875
DVL,2009-02-18,0.34522
DVL,2009-02-19,0.35875
DVL,2009-02-20,0.35875
DVL,2009-02-23,0.35875
DVL,2009-02-24,0.35198
DVL,2009-02-25,0.35875
DVL,2009-02-26,0.36552
DVL,2009-02-27,0.37906
DVL,2009-03-02,0.36552
DVL,2009-03-03,0.36552
DVL,2009-03-04,0.37229
DVL,2009-03-05,0.35875
DVL,2009-03-06,0.37229
DVL,2009-03-09,0.36552
DVL,2009-03-10,0.37906
DVL,2009-03-11,0.37906
DVL,2009-03-12,0.37906
DVL,2009-03-13,0.37229
DVL,2009-03-16,0.38585
DVL,2009-03-17,0.39257
DVL,2009-03-18,0.39257
DVL,2009-03-19,0.40615
DVL,2009-03-20,0.39936
DVL,2009-03-23,0.42636
DVL,2009-03-24,0.5077
DVL,2009-03-25,0.5213
DVL,2009-03-26,0.48742
DVL,2009-03-27,0.48742
DVL,2009-03-30,0.46703
DVL,2009-03-31,0.48053
DVL,2009-04-01,0.5009
DVL,2009-04-02,0.5077
DVL,2009-04-03,0.4942
DVL,2009-04-06,0.5077
DVL,2009-04-07,0.5145
DVL,2009-04-08,0.6159
DVL,2009-04-09,0.6498
DVL,2009-04-14,0.731
DVL,2009-04-15,0.7446
DVL,2009-04-16,0.7513
DVL,2009-04-17,0.731
DVL,2009-04-20,0.6701
DVL,2009-04-21,0.6838
DVL,2009-04-22,0.7107
DVL,2009-04-23,0.6838
DVL,2009-04-24,0.6838
DVL,2009-04-27,0.6701
DVL,2009-04-28,0.6701
DVL,2009-04-29,0.6904
DVL,2009-04-30,0.7107
DVL,2009-05-04,0.7107
DVL,2009-05-05,0.7107
DVL,2009-05-06,0.8122
DVL,2009-05-07,0.8732
DVL,2009-05-08,0.9138
DVL,2009-05-11,0.9341
