<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2005-04-27,2.45,2.45,2.31,2.4
2005-04-28,2.35,2.41,2.35,2.41
2005-04-29,2.4,2.41,2.39,2.41
2005-05-02,2.41,2.41,2.4,2.4
2005-05-04,2.4,2.44,2.4,2.43
2005-05-05,2.43,2.44,2.4,2.43
2005-05-06,2.43,2.43,2.4,2.43
2005-05-09,2.4,2.46,2.4,2.46
2005-05-10,2.46,2.46,2.44,2.46
2005-05-11,2.45,2.46,2.42,2.46
2005-05-12,2.45,2.5,2.45,2.47
2005-05-13,2.47,2.48,2.47,2.48
2005-05-16,2.47,2.48,2.46,2.46
2005-05-17,2.43,2.47,2.43,2.45
2005-05-18,2.44,2.46,2.44,2.46
2005-05-19,2.46,2.49,2.43,2.49
2005-05-20,2.48,2.54,2.48,2.52
2005-05-23,2.52,2.54,2.52,2.53
2005-05-24,2.53,2.54,2.49,2.52
2005-05-25,2.5,2.51,2.48,2.5
2005-05-27,2.5,2.5,2.47,2.47
2005-05-30,2.46,2.49,2.43,2.49
2005-05-31,2.49,2.51,2.46,2.5
2005-06-01,2.5,2.53,2.5,2.52
2005-06-02,2.53,2.58,2.53,2.58
2005-06-03,2.58,2.61,2.55,2.61
2005-06-06,2.6,2.61,2.6,2.61
2005-06-07,2.61,2.61,2.58,2.61
2005-06-08,2.59,2.6,2.59,2.6
2005-06-09,2.59,2.59,2.57,2.59
2005-06-10,2.6,2.61,2.59,2.61
2005-06-13,2.61,2.61,2.56,2.61
2005-06-14,2.6,2.6,2.54,2.59
2005-06-15,2.6,2.6,2.54,2.59
2005-06-16,2.59,2.59,2.59,2.59
2005-06-17,2.59,2.59,2.56,2.59
2005-06-20,2.59,2.59,2.52,2.55
2005-06-21,2.55,2.55,2.52,2.55
2005-06-22,2.53,2.53,2.45,2.52
2005-06-23,2.52,2.53,2.5,2.53
2005-06-24,2.53,2.53,2.5,2.5
2005-06-27,2.49,2.51,2.49,2.5
2005-06-28,2.49,2.5,2.44,2.5
2005-06-29,2.5,2.57,2.5,2.55
2005-06-30,2.58,2.58,2.51,2.57
2005-07-01,2.57,2.6,2.57,2.6
2005-07-04,2.63,2.65,2.57,2.6
2005-07-05,2.59,2.6,2.53,2.6
2005-07-06,2.6,2.6,2.55,2.6
2005-07-07,2.55,2.6,2.51,2.6
2005-07-08,2.56,2.65,2.53,2.65
2005-07-11,2.64,2.64,2.59,2.6
2005-07-12,2.63,2.63,2.6,2.6
2005-07-13,2.56,2.6,2.55,2.55
2005-07-14,2.53,2.59,2.53,2.59
2005-07-15,2.56,2.58,2.55,2.55
2005-07-18,2.51,2.6,2.51,2.6
2005-07-19,2.57,2.57,2.55,2.55
2005-07-20,2.53,2.55,2.52,2.52
2005-07-21,2.53,2.55,2.52,2.55
2005-07-22,2.54,2.63,2.54,2.61
2005-07-25,2.6,2.8,2.6,2.8
2005-07-26,2.77,2.85,2.77,2.85
2005-07-27,2.88,2.88,2.77,2.82
2005-07-28,2.8,2.82,2.78,2.8
2005-07-29,2.81,2.81,2.78,2.8
2005-08-01,2.8,2.88,2.7,2.88
2005-08-02,2.85,2.92,2.8,2.9
2005-08-03,2.9,2.9,2.86,2.89
2005-08-04,2.85,2.86,2.82,2.86
2005-08-05,2.86,2.86,2.81,2.86
2005-08-08,2.77,2.92,2.77,2.92
2005-08-09,2.92,2.92,2.88,2.92
2005-08-10,2.91,2.93,2.9,2.91
2005-08-11,2.92,2.92,2.9,2.92
2005-08-12,2.93,2.95,2.92,2.94
2005-08-16,2.94,2.95,2.94,2.95
2005-08-17,2.9,2.98,2.9,2.95
2005-08-18,2.94,2.94,2.91,2.91
2005-08-19,2.9,3,2.9,2.93
2005-08-22,3,3,2.95,2.95
2005-08-23,3,3,2.95,2.99
2005-08-24,2.99,2.99,2.92,2.92
2005-08-25,2.97,2.97,2.91,2.92
2005-08-26,2.95,2.95,2.92,2.92
2005-08-29,2.9,2.92,2.88,2.92
2005-08-30,2.95,2.95,2.92,2.92
2005-08-31,2.92,2.92,2.88,2.88
2005-09-01,2.89,2.9,2.85,2.87
2005-09-02,2.89,2.89,2.85,2.85
2005-09-05,2.89,2.9,2.8,2.85
2005-09-06,2.85,2.9,2.85,2.86
2005-09-07,2.9,2.9,2.85,2.89
2005-09-08,2.9,2.9,2.8,2.8
2005-09-09,2.77,2.81,2.77,2.81
2005-09-12,2.84,2.85,2.81,2.82
2005-09-13,2.8,2.8,2.7,2.8
2005-09-14,2.8,2.8,2.79,2.8
2005-09-15,2.8,2.84,2.78,2.84
2005-09-16,2.81,2.84,2.8,2.8
2005-09-19,2.8,2.98,2.8,2.94
2005-09-20,3,3.08,3,3.05
2005-09-21,3.08,3.17,3.08,3.11
2005-09-22,3.11,3.14,2.8,2.8
2005-09-23,3,3.03,2.95,2.95
2005-09-26,2.95,3.05,2.95,2.97
2005-09-27,2.97,3,2.95,2.96
2005-09-28,2.97,3.05,2.96,3
2005-09-29,3,3.04,3,3
2005-09-30,3.01,3.01,3,3
2005-10-03,3,3.05,3,3
2005-10-04,3,3.06,3,3
2005-10-05,3.04,3.05,3.01,3.04
2005-10-06,3,3.02,2.95,3
2005-10-07,2.92,3.05,2.92,3.04
2005-10-10,3.05,3.05,2.96,2.96
2005-10-11,2.97,2.97,2.92,2.97
2005-10-12,2.96,2.98,2.95,2.98
2005-10-13,2.99,2.99,2.9,2.95
2005-10-14,2.9,2.9,2.85,2.89
2005-10-17,2.9,2.9,2.82,2.85
2005-10-18,2.85,2.88,2.85,2.88
2005-10-19,2.82,2.82,2.8,2.82
2005-10-20,2.82,2.85,2.82,2.85
2005-10-21,2.85,2.85,2.79,2.8
2005-10-24,2.8,2.86,2.8,2.86
2005-10-25,2.84,2.85,2.82,2.84
2005-10-26,2.85,2.9,2.84,2.9
2005-10-27,2.9,2.95,2.9,2.95
2005-10-28,2.92,2.99,2.92,2.98
2005-10-31,2.98,3.01,2.95,3.01
2005-11-02,3.04,3.04,2.98,3.04
2005-11-03,3.03,3.03,2.99,3
2005-11-04,3,3.09,3,3.03
2005-11-07,2.98,3,2.98,3
2005-11-08,3,3,2.97,3
2005-11-09,2.95,3,2.95,3
2005-11-10,2.96,3,2.96,3
2005-11-14,3,3,2.95,3
2005-11-15,3,3.03,2.98,3
2005-11-16,3.07,3.08,3.05,3.06
2005-11-17,3.08,3.1,3.08,3.1
2005-11-18,3.1,3.25,3.07,3.21
2005-11-21,3.23,3.35,3.22,3.35
2005-11-22,3.35,3.35,3.26,3.31
2005-11-23,3.25,3.35,3.25,3.35
2005-11-24,3.34,3.35,3.25,3.3
2005-11-25,3.32,3.32,3.3,3.32
2005-11-28,3.31,3.35,3.3,3.32
2005-11-29,3.32,3.5,3.32,3.5
2005-11-30,3.6,3.6,3.55,3.55
2005-12-01,3.55,3.58,3.55,3.56
2005-12-02,3.58,3.58,3.45,3.5
2005-12-05,3.44,3.58,3.44,3.58
2005-12-06,3.6,3.6,3.58,3.6
2005-12-07,3.6,3.69,3.6,3.69
2005-12-08,3.69,3.69,3.63,3.68
2005-12-09,3.69,3.69,3.69,3.69
2005-12-12,3.7,3.7,3.65,3.7
2005-12-13,3.7,3.7,3.65,3.69
2005-12-14,3.65,3.74,3.47,3.74
2005-12-15,3.68,3.69,3.61,3.67
2005-12-16,3.6,3.67,3.59,3.63
2005-12-19,3.64,3.64,3.6,3.64
2005-12-20,3.62,3.66,3.59,3.64
2005-12-21,3.68,3.68,3.62,3.66
2005-12-22,3.68,3.69,3.63,3.69
2005-12-23,3.69,3.69,3.62,3.69
2005-12-27,3.65,3.7,3.63,3.7
2005-12-28,3.69,3.69,3.65,3.69
2005-12-29,3.65,3.69,3.65,3.69
2005-12-30,3.69,3.7,3.64,3.69
2006-01-02,3.64,3.7,3.64,3.69
2006-01-03,3.7,3.9,3.7,3.89
2006-01-04,3.89,3.9,3.87,3.89
2006-01-05,3.89,3.89,3.8,3.89
2006-01-06,3.89,3.99,3.89,3.93
2006-01-09,3.94,3.99,3.85,3.92
2006-01-10,3.86,3.95,3.86,3.9
2006-01-11,3.98,4,3.9,3.9
2006-01-12,3.97,4.18,3.97,4.1
2006-01-13,4.15,4.15,4.02,4.05
2006-01-16,4,4.13,4,4.1
2006-01-17,4.1,4.11,4,4.11
2006-01-18,4.06,4.25,4.06,4.25
2006-01-19,4.28,4.59,4.28,4.59
2006-01-20,4.6,4.95,4.6,4.8
2006-01-23,4.8,4.89,4.8,4.81
2006-01-24,4.95,5,4.85,4.85
2006-01-25,4.9,4.9,4.76,4.79
2006-01-26,4.8,4.8,4.59,4.65
2006-01-27,4.65,4.65,4.5,4.64
2006-01-30,4.64,4.8,4.59,4.67
2006-01-31,4.73,4.73,4.59,4.65
2006-02-01,4.6,4.74,4.6,4.66
2006-02-02,4.61,4.74,4.61,4.69
2006-02-03,4.75,4.75,4.59,4.59
2006-02-06,4.65,4.94,4.35,4.6
2006-02-07,4.64,4.75,4.6,4.69
2006-02-08,4.77,4.77,4.6,4.6
2006-02-09,4.7,4.7,4.6,4.65
2006-02-10,4.57,4.68,4.55,4.65
2006-02-13,4.67,4.67,4.6,4.64
2006-02-14,4.63,4.7,4.63,4.65
