<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2010-10-27,4.8808,4.8808,4.5718,4.707
2010-10-28,4.7135,4.7135,4.3144,4.3205
2010-10-29,4.322,4.3817,3.9309,4.375
2010-11-02,4.3785,4.3785,4.3013,4.3722
2010-11-03,4.2627,4.3465,4.1339,4.1339
2010-11-04,4.3465,4.3465,4.1853,4.34
2010-11-05,4.1853,4.34,4.1274,4.2819
2010-11-08,4.2239,4.2885,4.1853,4.2885
2010-11-09,4.2885,4.3144,4.0888,4.2434
2010-11-10,4.1853,4.2498,4.1211,4.2434
2010-11-12,4.1274,4.2434,4.1211,4.2434
2010-11-15,4.1274,4.2434,4.1274,4.2176
2010-11-16,4.1339,4.1467,4.0567,4.1211
2010-11-17,4.1211,4.1211,3.9923,3.9923
2010-11-18,3.9602,3.9602,3.7798,3.9472
2010-11-19,3.9472,4.0567,3.9472,4.0567
2010-11-22,3.915,4.0501,3.8893,3.8893
2010-11-23,3.9923,3.9923,3.8248,3.9858
2010-11-24,3.9923,4.0116,3.928,4.0116
2010-11-25,3.928,3.9794,3.8313,3.8571
2010-11-26,3.8571,3.928,3.8119,3.9085
2010-11-29,3.902,3.902,3.902,3.902
2010-11-30,3.8571,3.8957,3.767,3.8957
2010-12-01,3.8957,3.8957,3.8957,3.8957
2010-12-02,3.8634,3.8634,3.8571,3.8571
2010-12-03,3.8634,3.8634,3.6059,3.8634
2010-12-06,3.8634,3.8634,3.7411,3.7991
2010-12-07,3.8634,3.8634,3.8056,3.8634
2010-12-08,3.7798,3.9666,3.7477,3.9666
2010-12-09,3.9536,4.1211,3.9536,4.1211
2010-12-10,4.1211,4.1211,3.9858,3.9923
2010-12-13,3.928,3.9923,3.8764,3.9923
2010-12-14,3.9923,4.166,3.9602,4.166
2010-12-15,4.0631,4.1533,3.9923,4.1533
2010-12-16,4.1791,4.2756,4.1402,4.2756
2010-12-17,4.1918,4.3079,4.1533,4.3079
2010-12-20,4.0952,4.1211,3.928,4.0631
2010-12-21,4.0246,4.0246,3.9085,3.928
2010-12-22,3.8957,4.1211,3.8957,4.0567
2010-12-23,4.1211,4.1533,4.1211,4.1533
2010-12-27,4.0373,4.1339,3.9987,4.1274
2010-12-28,4.1211,4.1274,3.9407,3.9666
2010-12-29,4.1082,4.2434,3.9666,4.1725
2010-12-30,4.1211,4.2498,4.1211,4.2498
2010-12-31,4.2159,4.2558,4.1299,4.2491
2011-01-03,4.1274,4.1274,4.0567,4.0567
2011-01-04,4.0567,4.0567,4.0567,4.0567
2011-01-05,4.0567,4.0567,4.0309,4.0567
2011-01-07,4.1211,4.1211,4.0888,4.0888
2011-01-10,4.0888,4.0888,4.0373,4.0373
2011-01-12,4.1402,4.1533,4.0631,4.1533
2011-01-13,4.1791,4.2047,4.1533,4.1791
2011-01-14,4.1853,4.2047,4.0888,4.1533
2011-01-17,4.0888,4.1725,4.0888,4.1725
2011-01-18,4.166,4.1985,4.166,4.1985
2011-01-19,4.1985,4.2047,4.0631,4.0631
2011-01-20,4.1985,4.1985,4.0246,4.1467
2011-01-21,4.1402,4.1918,4.0567,4.1918
2011-01-24,4.1853,4.1853,4.1211,4.1853
2011-01-25,4.1853,4.1853,4.0888,4.1853
2011-01-26,4.166,4.166,4.0888,4.0888
2011-01-27,4.0888,4.1467,4.0888,4.1467
2011-01-28,4.1467,4.1467,4.0631,4.1147
2011-01-31,4.1165,4.1562,4.0569,4.1165
2011-02-01,4.0309,4.1533,4.0246,4.1533
2011-02-02,4.0309,4.1467,4.0309,4.1467
2011-02-03,4.1211,4.1211,4.0631,4.1211
2011-02-04,4.1211,4.1211,4.0567,4.1211
2011-02-07,4.1147,4.2176,4.1147,4.2176
2011-02-08,4.1853,4.1853,4.1147,4.1533
2011-02-09,4.1791,4.1791,4.1274,4.1533
2011-02-10,4.1533,4.1533,4.1017,4.1467
2011-02-11,4.1211,4.1467,4.1211,4.1467
2011-02-14,4.1533,4.1533,4.1017,4.1402
2011-02-15,4.1402,4.1402,4.1402,4.1402
2011-02-16,4.1211,4.1533,4.1211,4.1211
2011-02-17,4.1211,4.1211,4.0567,4.0567
2011-02-18,4.0567,4.1211,4.0567,4.1147
2011-02-21,4.0888,4.1533,4.0888,4.1402
2011-02-22,4.0888,4.1274,4.0567,4.0888
2011-02-23,4.1211,4.1211,4.0631,4.1211
2011-02-24,4.0631,4.1082,4.0631,4.1082
2011-02-25,4.0567,4.0888,4.0567,4.0888
2011-02-28,4.09,4.1562,4.09,4.1562
2011-03-01,4.1725,4.1725,4.0888,4.1725
2011-03-02,4.1211,4.1211,4.1211,4.1211
2011-03-03,4.1211,4.1211,4.0888,4.1211
2011-03-04,4.1211,4.1211,4.1211,4.1211
2011-03-07,4.1533,4.1533,4.1533,4.1533
2011-03-08,4.1533,4.1533,4.1533,4.1533
2011-03-09,4.1533,4.1598,4.1467,4.1533
2011-03-10,4.1725,4.1725,4.0761,4.0761
2011-03-11,4.1725,4.1725,4.0761,4.0761
2011-03-14,4.1274,4.1274,4.0761,4.0761
2011-03-15,4.1211,4.1211,4.0695,4.1147
2011-03-16,4.0695,4.1147,4.0695,4.1147
2011-03-17,4.1082,4.1082,4.1082,4.1082
2011-03-18,4.1017,4.1017,4.1017,4.1017
2011-03-21,4.0888,4.0888,4.0888,4.0888
2011-03-22,4.1082,4.1918,4.0695,4.1853
2011-03-23,4.1985,4.3785,4.1985,4.3465
2011-03-24,4.34,4.5138,4.34,4.4623
2011-03-25,4.5074,4.5074,4.3592,4.4302
2011-03-28,4.4236,4.4236,4.295,4.3785
2011-03-29,4.3785,4.3785,4.3144,4.3785
2011-03-30,4.3979,4.3979,4.2627,4.2627
2011-03-31,4.375,4.375,4.2624,4.2624
2011-04-01,4.2047,4.2498,4.1853,4.2498
2011-04-04,4.2498,4.2819,4.2498,4.2819
2011-04-05,4.2756,4.2756,4.2756,4.2756
2011-04-06,4.2498,4.2627,4.2047,4.2563
2011-04-07,4.2563,4.2563,4.2434,4.2434
2011-04-08,4.2434,4.2434,4.2434,4.2434
2011-04-11,4.2047,4.2047,4.1533,4.1533
2011-04-12,4.1533,4.1533,4.0888,4.0888
