<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1993-04-22,1.2979,1.2979,1.2979,1.2979
1993-04-29,1.4232,1.4232,1.4232,1.4232
1993-05-06,1.5585,1.5585,1.5585,1.5585
1993-05-13,1.6839,1.6839,1.6839,1.6839
1993-05-20,1.8214,1.8214,1.8214,1.8214
1993-05-27,1.6396,1.6396,1.6396,1.6396
1993-06-03,1.4798,1.4798,1.4798,1.4798
1993-06-09,1.3323,1.3323,1.3323,1.3323
1993-06-17,1.4577,1.4577,1.4577,1.4577
1993-06-24,1.32,1.32,1.32,1.32
1993-07-01,1.3643,1.3643,1.3643,1.3643
1993-07-08,1.5019,1.5019,1.5019,1.5019
1993-07-15,1.6494,1.6494,1.6494,1.6494
1993-07-22,1.8093,1.8093,1.8093,1.8093
1993-07-29,1.9788,1.9788,1.9788,1.9788
1993-08-05,3.1635,3.1635,3.1635,3.1635
1993-08-12,3.4584,3.4584,3.4584,3.4584
1993-08-19,3.8004,3.8004,3.8004,3.8004
1993-08-26,4.1643,4.1643,4.1643,4.1643
1993-09-02,4.5747,4.5747,4.5747,4.5747
1993-09-07,5.0293,5.0293,5.0293,5.0293
1993-09-09,5.5309,5.5309,5.5309,5.5309
1993-09-14,6.0766,6.0766,6.0766,6.0766
1993-09-16,9.1024,9.1024,9.1024,9.1024
1993-09-21,8.1928,8.1928,8.1928,8.1928
1993-09-23,7.374,7.374,7.374,7.374
1993-09-28,6.6439,6.6439,6.6439,6.6439
1993-09-30,7.2836,7.2836,7.2836,7.2836
1993-10-05,7.5786,7.5786,7.5786,7.5786
1993-10-07,7.487,7.487,7.487,7.487
1993-10-12,8.2155,8.2155,8.2155,8.2155
1993-10-14,8.6032,8.6032,8.6032,8.6032
1993-10-19,9.1024,9.1024,9.1024,9.1024
1993-10-21,8.739,8.739,8.739,8.739
1993-10-26,7.874,7.874,7.874,7.874
1993-10-28,8.6478,8.6478,8.6478,8.6478
1993-11-02,8.9894,8.9894,8.9894,8.9894
1993-11-04,9.1024,9.1024,9.1024,9.1024
1993-11-09,8.8763,8.8763,8.8763,8.8763
1993-11-10,9.1024,9.1024,9.1024,9.1024
1993-11-16,10.014,10.014,10.014,10.014
1993-11-18,9.3313,9.3313,9.3313,9.3313
1993-11-23,9.2179,9.2179,9.2179,9.2179
1993-11-25,8.3059,8.3059,8.3059,8.3059
1993-11-30,9.1267,9.1267,9.1267,9.1267
1993-12-02,9.3313,9.3313,9.3313,9.3313
1993-12-07,9.899,9.899,9.899,9.899
1993-12-09,9.786,9.786,9.786,9.786
1993-12-14,10.106,10.106,10.106,10.106
1993-12-16,10.902,10.902,10.902,10.902
