<DATE>,<CLOSE>
1997-11-28,0.9835
1997-12-02,0.686
1997-12-03,0.735
1997-12-04,0.637
1997-12-05,0.637
1997-12-08,0.602
1997-12-10,0.546
1997-12-12,0.511
1997-12-15,0.532
1997-12-22,0.497
1997-12-30,0.497
1997-12-31,0.497
1998-01-05,0.42
1998-01-06,0.49
1998-01-08,0.49
1998-01-09,0.518
1998-01-13,0.518
1998-01-14,0.56
1998-01-15,0.623
1998-01-16,0.588
1998-01-19,0.6615
1998-01-20,0.518
1998-01-27,0.483
1998-01-28,0.5495
1998-01-29,0.504
1998-01-30,0.5215
1998-02-02,0.483
1998-02-03,0.49
1998-02-04,0.462
1998-02-05,0.434
1998-02-06,0.448
1998-02-10,0.525
1998-02-13,0.462
1998-02-16,0.448
1998-02-18,0.518
1998-02-19,0.5775
1998-02-20,0.6055
1998-02-23,0.728
1998-02-24,0.77
1998-02-25,0.8365
1998-02-26,0.77
1998-02-27,0.8015
1998-03-02,0.9415
1998-03-03,0.8505
1998-03-04,0.8575
1998-03-05,0.8085
1998-03-06,0.8435
1998-03-09,0.8155
1998-03-10,0.8015
1998-03-11,0.756
1998-03-12,0.742
1998-03-13,0.756
1998-03-16,0.77
1998-03-17,0.707
1998-03-18,0.7
1998-03-19,0.728
1998-03-20,0.735
1998-03-23,0.7
1998-03-24,0.665
1998-03-25,0.798
1998-03-26,0.791
1998-03-27,0.8015
1998-03-30,0.9065
1998-03-31,0.749
1998-04-01,0.77
1998-04-02,0.721
1998-04-06,0.728
1998-04-07,0.714
1998-04-08,0.686
1998-04-09,0.728
1998-04-14,0.721
1998-04-15,0.7
1998-04-16,0.665
1998-04-17,0.63
1998-04-20,0.588
1998-04-21,0.56
1998-04-22,0.532
1998-04-23,0.5495
1998-04-24,0.609
1998-04-27,0.609
1998-04-29,0.567
1998-05-06,0.56
1998-05-08,0.567
1998-05-12,0.567
1998-05-14,0.5705
1998-05-15,0.567
1998-05-18,0.567
1998-05-19,0.553
1998-05-20,0.56
1998-05-21,0.56
1998-05-22,0.567
1998-05-27,0.56
1998-05-28,0.553
1998-06-01,0.539
1998-06-04,0.567
1998-06-05,0.56
1998-06-08,0.539
1998-06-09,0.546
1998-06-15,0.532
1998-06-16,0.504
1998-06-18,0.497
1998-06-19,0.49
1998-07-09,0.4935
1998-07-13,0.49
1998-07-20,0.42
1998-07-21,0.455
1998-07-22,0.56
1998-07-24,0.5495
1998-07-29,0.511
1998-07-31,0.525
1998-08-03,0.546
1998-08-04,0.49
1998-08-05,0.4865
1998-08-06,0.4865
1998-08-07,0.4935
1998-08-10,0.448
1998-08-11,0.441
1998-08-13,0.476
1998-08-18,0.441
1998-08-19,0.483
1998-08-20,0.4865
1998-08-21,0.476
1998-08-26,0.434
1998-08-27,0.4515
1998-08-28,0.406
1998-08-31,0.4165
1998-09-01,0.4165
1998-09-02,0.3815
1998-09-07,0.35
1998-09-14,0.3535
1998-09-21,0.3185
1998-09-22,0.329
1998-09-23,0.3535
1998-09-28,0.3535
1998-09-30,0.287
1998-10-09,0.3115
1998-10-20,0.252
1998-10-21,0.2695
1998-10-22,0.252
1998-10-23,0.266
1998-10-26,0.2485
1998-10-27,0.224
1998-10-29,0.217
1998-10-30,0.21
1998-11-02,0.217
1998-11-03,0.217
1998-11-05,0.231
1998-11-10,0.231
1998-11-12,0.224
1998-11-16,0.196
1998-11-17,0.217
1998-11-23,0.2485
1998-11-24,0.245
1998-11-25,0.245
1998-11-27,0.245
1998-11-30,0.245
1998-12-01,0.252
1998-12-02,0.2485
1998-12-08,0.21
1998-12-09,0.203
1998-12-10,0.2065
1998-12-11,0.1995
1998-12-15,0.2205
1998-12-17,0.2485
1998-12-18,0.252
1998-12-21,0.294
1998-12-29,0.2975
1999-01-04,0.252
1999-01-05,0.28
1999-01-11,0.287
1999-01-12,0.308
1999-01-13,0.294
1999-01-14,0.2975
1999-01-15,0.2975
1999-01-26,0.343
1999-01-27,0.3535
1999-01-29,0.3535
1999-02-01,0.3745
1999-02-02,0.42
1999-02-03,0.448
1999-02-04,0.448
1999-02-05,0.5075
1999-02-09,0.49
1999-02-11,0.5005
1999-02-17,0.504
1999-02-19,0.434
1999-02-24,0.476
1999-03-01,0.4095
1999-03-02,0.406
1999-03-04,0.406
1999-03-05,0.42
1999-03-08,0.441
1999-03-09,0.441
1999-03-10,0.448
1999-03-16,0.427
1999-03-17,0.49
1999-03-18,0.469
1999-03-19,0.49
1999-03-22,0.49
1999-03-23,0.504
1999-03-24,0.511
1999-03-25,0.504
1999-03-26,0.49
1999-03-29,0.483
1999-03-30,0.5215
1999-03-31,0.532
1999-04-01,0.574
1999-04-06,0.581
1999-04-07,0.5985
1999-04-08,0.574
1999-04-09,0.5845
1999-04-12,0.588
1999-04-13,0.637
1999-04-14,0.707
1999-04-15,0.791
1999-04-16,0.8715
1999-04-19,0.9135
1999-04-20,0.8505
1999-04-21,0.8645
1999-04-22,1.0255
1999-04-23,1.0605
1999-04-26,1.2495
1999-04-27,1.3195
1999-04-28,1.3965
1999-04-29,1.3965
1999-04-30,1.5225
1999-05-04,1.6065
1999-05-05,1.6065
1999-05-06,1.6065
1999-05-07,1.8165
1999-05-10,1.8305
1999-05-11,1.9915
1999-05-12,2.0965
1999-05-13,2.1665
1999-05-14,2.1665
1999-05-17,2.1945
1999-05-18,2.1665
1999-05-19,2.1665
1999-05-20,2.1665
1999-05-21,2.3065
1999-05-24,2.3065
1999-05-25,2.3065
1999-05-26,2.2995
1999-05-27,2.2925
1999-05-28,2.2925
1999-05-31,2.373
1999-06-01,2.373
1999-06-02,2.2785
1999-06-07,2.583
1999-06-08,2.583
1999-06-09,2.2505
1999-06-10,2.429
1999-06-11,2.478
1999-06-14,2.1315
1999-06-15,2.2295
1999-06-16,2.38
1999-06-17,2.3695
1999-06-18,2.478
1999-06-21,2.583
1999-06-22,2.555
1999-06-23,2.471
1999-06-24,2.3695
1999-06-25,2.3345
1999-06-28,2.646
1999-06-29,2.653
1999-06-30,2.737
1999-07-01,2.856
1999-07-02,2.933
1999-07-05,2.996
1999-07-06,3.108
1999-07-07,3.108
1999-07-08,3.108
1999-07-09,3.073
1999-07-12,3.143
1999-07-13,3.136
1999-07-14,3.108
1999-07-15,3.157
1999-07-16,3.15
1999-07-19,2.933
1999-07-20,3.136
1999-07-21,3.136
1999-07-22,3.143
1999-07-23,3.143
1999-07-26,3.143
1999-07-27,3.073
1999-07-28,3.178
1999-07-29,3.143
1999-07-30,3.108
1999-08-02,3.108
1999-08-03,3.08
1999-08-04,3.073
1999-08-05,3.066
1999-08-06,3.129
1999-08-09,3.157
1999-08-10,3.143
1999-08-11,3.143
1999-08-12,3.143
1999-08-13,3.136
1999-08-16,3.157
1999-08-17,3.143
1999-08-18,3.129
1999-08-19,3.143
1999-08-23,3.213
1999-08-24,3.178
1999-08-25,3.248
1999-08-26,3.227
1999-08-27,3.269
1999-08-30,3.283
1999-08-31,3.283
1999-09-02,3.248
1999-09-03,3.276
1999-09-06,3.283
1999-09-07,3.325
1999-09-08,3.346
1999-09-09,3.346
1999-09-13,3.143
1999-09-14,3.136
1999-09-15,3.143
1999-09-16,3.283
1999-09-17,3.297
1999-09-20,3.353
1999-09-21,3.353
1999-09-22,3.353
1999-09-23,3.353
1999-09-24,3.339
1999-09-29,3.241
1999-10-01,3.269
1999-10-05,3.311
1999-10-07,3.276
1999-10-08,3.633
1999-10-11,3.374
1999-10-12,3.409
1999-10-13,3.479
1999-10-14,3.458
1999-10-15,3.353
1999-10-18,3.339
1999-10-19,3.339
1999-10-20,3.325
1999-10-21,3.213
1999-10-22,3.325
1999-10-25,3.311
1999-10-26,3.311
1999-10-27,3.318
1999-10-28,3.493
1999-10-29,3.276
1999-11-02,3.304
1999-11-04,3.269
1999-11-08,3.213
1999-11-10,3.003
1999-11-15,2.933
1999-11-16,2.898
1999-11-17,3.353
1999-11-24,3.136
1999-11-29,3.108
1999-11-30,3.108
1999-12-01,3.108
1999-12-03,3.108
1999-12-06,3.101
1999-12-07,3.101
1999-12-08,3.073
1999-12-09,3.038
1999-12-10,3.038
1999-12-13,3.038
1999-12-14,3.143
1999-12-17,3.031
1999-12-20,3.633
1999-12-21,3.633
1999-12-23,3.213
1999-12-27,3.633
1999-12-28,3.633
1999-12-29,3.773
2000-01-04,3.913
2000-01-06,3.948
2000-01-07,3.843
2000-01-10,4.1895
2000-01-11,4.1895
2000-01-12,4.1895
2000-01-13,4.0495
2000-01-14,4.5045
2000-01-17,4.4695
2000-01-18,4.5395
2000-01-19,4.5395
2000-01-24,4.8195
2000-01-25,5.0295
2000-01-27,5.1345
2000-01-31,5.0995
2000-02-02,5.1695
2000-02-04,5.5195
2000-02-08,5.726
2000-02-09,6.986
2000-02-10,6.986
2000-02-11,7.056
2000-02-14,9.779
2000-02-15,9.149
2000-02-16,8.869
2000-02-17,9.779
2000-02-18,9.219
2000-02-21,9.429
2000-02-22,9.709
2000-02-23,9.219
2000-02-24,9.429
2000-02-25,9.079
2000-02-28,8.729
2000-02-29,9.779
2000-03-01,9.779
2000-03-02,9.779
2000-03-03,9.779
2000-03-07,9.779
2000-03-08,9.779
2000-03-09,9.779
2000-03-10,9.779
2000-03-13,10.336
2000-03-14,10.406
2000-03-15,9.709
2000-03-16,9.779
2000-03-17,9.779
2000-03-20,9.779
2000-03-21,9.779
2000-03-22,9.639
2000-03-23,9.779
2000-03-24,9.779
2000-03-27,9.779
2000-03-28,9.779
2000-03-29,9.779
2000-03-30,9.639
2000-03-31,9.639
2000-04-03,9.639
2000-04-04,9.744
2000-04-05,9.604
2000-04-06,9.569
2000-04-07,9.779
2000-04-10,9.744
2000-04-11,9.744
2000-04-12,9.779
2000-04-13,9.779
2000-04-14,9.849
2000-04-17,9.639
2000-04-18,9.639
2000-04-19,9.639
2000-04-20,9.849
2000-04-27,9.919
2000-05-05,9.989
2000-05-08,9.989
2000-05-09,9.989
2000-05-10,9.989
2000-05-11,9.989
2000-05-12,9.989
2000-05-15,9.989
2000-05-16,10.199
2000-05-17,10.336
2000-05-18,10.406
2000-05-19,10.406
2000-05-22,10.616
2000-05-23,10.686
2000-05-24,10.686
2000-05-25,10.826
2000-05-26,10.756
2000-05-29,10.896
2000-05-30,10.826
2000-05-31,10.896
2000-06-01,10.269
2000-06-02,11.176
2000-06-05,11.176
2000-06-06,11.036
2000-06-08,10.826
2000-06-09,11.316
2000-06-12,11.246
2000-06-13,11.386
2000-06-14,10.896
2000-06-15,11.386
2000-06-16,11.806
2000-06-20,11.806
2000-06-21,11.806
2000-06-23,11.806
2000-06-27,11.596
2000-06-30,11.876
2000-07-05,11.666
2000-07-06,11.876
2000-07-07,11.876
2000-07-10,12.012
2000-07-11,12.012
2000-07-12,12.082
2000-07-13,12.082
2000-07-14,9.079
2000-07-17,12.012
2000-07-18,12.152
2000-07-19,12.152
2000-07-20,12.292
2000-07-21,12.187
2000-07-24,12.222
2000-07-26,12.502
2000-07-28,12.432
2000-07-31,12.852
2000-08-01,12.852
2000-08-02,12.852
2000-08-03,12.852
2000-08-04,12.922
2000-08-07,12.922
2000-08-10,12.888
2000-08-11,12.922
2000-08-14,12.992
2000-08-16,12.992
2000-08-17,12.992
2000-08-18,13.062
2000-08-21,13.132
2000-08-22,13.342
2000-08-24,13.272
2000-08-29,13.308
2000-08-30,13.272
2000-08-31,13.272
2000-09-01,13.548
2000-09-04,13.272
2000-09-05,13.412
2000-09-06,13.548
2000-09-07,13.652
2000-09-08,13.652
2000-09-11,13.652
2000-09-12,13.688
2000-09-13,13.722
2000-09-14,14.038
2000-09-15,13.548
2000-09-18,13.758
2000-09-19,13.548
2000-09-21,13.618
2000-09-22,13.482
2000-09-25,13.482
2000-09-26,13.618
2000-09-27,13.758
2000-09-28,13.758
2000-09-29,13.828
2000-10-02,13.828
2000-10-03,13.828
2000-10-04,13.968
2000-10-05,13.932
2000-10-09,13.792
2000-10-10,13.898
2000-10-11,13.898
2000-10-12,13.828
