<TICKER>,<DATE>,<CLOSE>
ELB,1996-02-09,13.865
ELB,1996-02-12,15.245
ELB,1996-02-13,16.443
ELB,1996-02-14,15.963
ELB,1996-02-15,14.759
ELB,1996-02-16,14.464
ELB,1996-02-19,14.704
ELB,1996-02-20,14.704
ELB,1996-02-21,14.464
ELB,1996-02-22,14.759
ELB,1996-02-23,14.704
ELB,1996-02-26,14.64
ELB,1996-02-27,14.704
ELB,1996-02-28,14.042
ELB,1996-02-29,14.704
ELB,1996-03-01,14.759
ELB,1996-03-04,15.843
ELB,1996-03-05,16.146
ELB,1996-03-06,16.082
ELB,1996-03-07,16.265
ELB,1996-03-08,16.203
ELB,1996-03-11,15.724
ELB,1996-03-12,15.484
ELB,1996-03-13,14.943
ELB,1996-03-14,14.401
ELB,1996-03-15,14.344
ELB,1996-03-18,14.704
ELB,1996-03-19,15.364
ELB,1996-03-20,14.52
ELB,1996-03-21,14.704
ELB,1996-03-22,14.401
ELB,1996-03-25,13.865
ELB,1996-03-26,13.865
ELB,1996-03-27,14.224
ELB,1996-03-28,13.865
ELB,1996-03-29,13.865
ELB,1996-04-01,14.042
ELB,1996-04-02,13.984
ELB,1996-04-03,13.984
ELB,1996-04-04,14.162
ELB,1996-04-05,14.704
ELB,1996-04-09,15.005
ELB,1996-04-10,15.422
ELB,1996-04-11,15.484
ELB,1996-04-12,15.604
ELB,1996-04-15,15.901
ELB,1996-04-16,16.265
ELB,1996-04-17,16.864
ELB,1996-04-18,17.406
ELB,1996-04-19,18.307
ELB,1996-04-22,19.806
ELB,1996-04-23,20.404
ELB,1996-04-24,19.806
ELB,1996-04-25,20.404
ELB,1996-04-26,20.102
ELB,1996-04-29,20.102
ELB,1996-04-30,19.687
ELB,1996-05-06,19.503
ELB,1996-05-07,19.503
ELB,1996-05-08,19.383
ELB,1996-05-09,19.383
ELB,1996-05-10,19.503
ELB,1996-05-13,20.342
ELB,1996-05-14,20.404
ELB,1996-05-15,20.404
ELB,1996-05-16,20.946
ELB,1996-05-17,21.002
ELB,1996-05-20,23.107
ELB,1996-05-21,23.107
ELB,1996-05-22,22.804
ELB,1996-05-23,21.306
ELB,1996-05-24,20.764
ELB,1996-05-27,20.342
ELB,1996-05-28,19.862
ELB,1996-05-29,19.982
ELB,1996-05-30,19.806
ELB,1996-05-31,19.982
ELB,1996-06-03,19.982
ELB,1996-06-04,20.164
ELB,1996-06-05,19.982
ELB,1996-06-07,19.982
ELB,1996-06-10,21.002
ELB,1996-06-11,21.242
ELB,1996-06-12,21.242
ELB,1996-06-13,20.706
ELB,1996-06-14,20.284
ELB,1996-06-17,21.002
ELB,1996-06-18,21.002
ELB,1996-06-19,21.482
ELB,1996-06-20,21.602
ELB,1996-06-21,22.023
ELB,1996-06-24,23.107
ELB,1996-06-25,23.882
ELB,1996-06-26,23.882
ELB,1996-06-27,23.705
ELB,1996-06-28,23.404
ELB,1996-07-01,23.404
ELB,1996-07-02,23.283
ELB,1996-07-03,23.107
ELB,1996-07-04,23.761
ELB,1996-07-05,24.001
ELB,1996-07-08,23.761
ELB,1996-07-09,23.586
ELB,1996-07-10,23.107
ELB,1996-07-11,22.685
ELB,1996-07-12,22.502
ELB,1996-07-15,22.867
ELB,1996-07-16,22.206
ELB,1996-07-17,21.602
ELB,1996-07-18,21.306
ELB,1996-07-19,21.602
ELB,1996-07-22,21.482
ELB,1996-07-23,21.306
ELB,1996-07-24,21.482
ELB,1996-07-25,21.903
ELB,1996-07-26,22.383
ELB,1996-07-29,23.107
ELB,1996-07-30,23.404
ELB,1996-07-31,23.825
ELB,1996-08-01,23.107
ELB,1996-08-02,22.502
ELB,1996-08-05,24.606
ELB,1996-08-06,24.064
ELB,1996-08-07,23.586
ELB,1996-08-08,23.404
ELB,1996-08-09,24.064
ELB,1996-08-12,24.304
ELB,1996-08-13,24.001
ELB,1996-08-14,24.001
ELB,1996-08-16,24.367
ELB,1996-08-19,24.902
ELB,1996-08-20,25.205
ELB,1996-08-21,25.205
ELB,1996-08-22,26.345
ELB,1996-08-23,27.605
ELB,1996-08-26,26.408
ELB,1996-08-27,26.465
ELB,1996-08-28,27.006
ELB,1996-08-29,26.703
ELB,1996-08-30,27.246
ELB,1996-09-02,27.605
ELB,1996-09-03,27.302
ELB,1996-09-04,27.246
ELB,1996-09-05,26.288
ELB,1996-09-06,25.802
ELB,1996-09-09,25.802
ELB,1996-09-10,26.408
ELB,1996-09-11,26.225
ELB,1996-09-12,26.288
ELB,1996-09-13,27.605
ELB,1996-09-16,27.907
ELB,1996-09-17,27.907
ELB,1996-09-18,27.907
ELB,1996-09-19,27.605
ELB,1996-09-20,27.246
ELB,1996-09-23,27.725
ELB,1996-09-24,27.725
ELB,1996-09-25,27.246
ELB,1996-09-26,27.126
ELB,1996-09-27,28.203
ELB,1996-09-30,28.203
ELB,1996-10-01,27.963
ELB,1996-10-02,27.963
ELB,1996-10-03,27.605
ELB,1996-10-04,27.725
ELB,1996-10-07,27.907
ELB,1996-10-08,28.443
ELB,1996-10-09,28.808
ELB,1996-10-10,28.808
ELB,1996-10-11,28.808
ELB,1996-10-14,28.506
ELB,1996-10-15,28.808
ELB,1996-10-16,29.407
ELB,1996-10-17,29.407
ELB,1996-10-18,29.582
ELB,1996-10-21,29.224
ELB,1996-10-22,28.506
ELB,1996-10-23,28.506
ELB,1996-10-24,28.506
ELB,1996-10-25,28.203
ELB,1996-10-28,27.605
ELB,1996-10-29,24.902
ELB,1996-10-30,25.802
ELB,1996-10-31,26.106
ELB,1996-11-04,26.408
ELB,1996-11-05,26.106
ELB,1996-11-06,26.345
ELB,1996-11-07,26.408
ELB,1996-11-08,26.408
ELB,1996-11-12,25.922
ELB,1996-11-13,25.683
ELB,1996-11-14,25.388
ELB,1996-11-15,25.507
ELB,1996-11-18,25.802
ELB,1996-11-19,25.986
ELB,1996-11-20,25.683
ELB,1996-11-21,25.564
ELB,1996-11-22,25.683
ELB,1996-11-25,25.802
ELB,1996-11-26,25.866
ELB,1996-11-27,26.288
ELB,1996-11-28,26.106
ELB,1996-11-29,26.288
ELB,1996-12-02,25.922
ELB,1996-12-03,26.106
ELB,1996-12-04,26.106
ELB,1996-12-05,26.106
ELB,1996-12-06,25.802
ELB,1996-12-09,25.683
