<DATE>,<CLOSE>
2007-04-11,15.455
2007-04-12,14.087
2007-04-13,14.772
2007-04-16,14.696
2007-04-17,14.696
2007-04-18,14.696
2007-04-19,15
2007-04-20,17.99
2007-04-23,18.75
2007-04-24,18.734
2007-04-25,18.75
2007-04-26,18.491
2007-04-27,17.904
2007-04-30,17.695
2007-05-02,18.497
2007-05-04,18.572
2007-05-07,17.99
2007-05-08,17.726
2007-05-09,18.142
2007-05-10,17.002
2007-05-11,17.179
2007-05-14,17.918
2007-05-15,17.102
2007-05-16,18.598
2007-05-17,18.497
2007-05-18,19.256
2007-05-21,19.585
2007-05-22,19.94
2007-05-23,19.5
2007-05-24,19.5
2007-05-25,19.753
2007-05-28,19.966
2007-05-29,20.371
2007-05-30,20.396
2007-05-31,20.219
2007-06-01,20.271
2007-06-04,20.407
2007-06-05,20.264
2007-06-06,20.067
2007-06-08,20.271
2007-06-11,20.164
2007-06-12,20.067
2007-06-13,21.739
2007-06-14,24.273
2007-06-15,25.337
2007-06-18,25.592
2007-06-19,25.337
2007-06-20,26.857
2007-06-21,26.098
2007-06-22,27.364
2007-06-25,27.34
2007-06-26,27.06
2007-06-27,27.694
2007-06-28,28.327
2007-06-29,27.314
2007-07-02,27.872
2007-07-03,27.009
2007-07-04,27.264
2007-07-05,27.112
2007-07-06,27.744
2007-07-09,27.618
2007-07-10,26.351
2007-07-11,26.02
2007-07-12,25.843
2007-07-13,25.489
2007-07-16,27.34
2007-07-17,27.112
2007-07-18,26.351
2007-07-19,25.843
2007-07-20,26.047
2007-07-23,26.351
2007-07-24,26.554
2007-07-25,26.756
2007-07-26,25.084
2007-07-27,24.729
2007-07-30,24.932
2007-07-31,25.843
2007-08-01,24.324
2007-08-02,24.324
2007-08-03,24.015
2007-08-06,23.488
2007-08-07,22.803
2007-08-08,22.171
2007-08-09,21.765
2007-08-10,21.278
2007-08-13,20.671
2007-08-14,21.182
2007-08-16,19.763
2007-08-17,20.519
2007-08-20,21.283
2007-08-21,21.283
2007-08-22,22.753
2007-08-23,22.448
2007-08-24,22.297
2007-08-27,22.247
2007-08-28,22.551
2007-08-29,23.057
2007-08-30,22.601
2007-08-31,22.855
2007-09-03,23.052
2007-09-04,23.254
2007-09-05,22.595
2007-09-06,22.647
2007-09-07,22.595
2007-09-10,22.195
2007-09-11,22.5
2007-09-12,21.891
2007-09-13,22.5
