<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2005-07-29,7.8,8.6,7.8,8.15
2005-08-01,8.3,9.9,8,9.75
2005-08-02,10.2,10.3,9.25,9.35
2005-08-03,9.35,9.35,9.1,9.1
2005-08-04,8.8,9.1,8.6,8.85
2005-08-05,8.8,9.35,8.8,8.9
2005-08-08,9.1,9.2,9.05,9.05
2005-08-09,9.15,9.2,9.1,9.2
2005-08-10,9.05,9.05,8.8,8.85
2005-08-11,8.65,8.65,8.5,8.5
2005-08-12,8.5,8.85,8.5,8.6
2005-08-16,8.75,9.3,8.75,9.2
2005-08-17,9.25,9.6,8.75,9.2
2005-08-18,9.4,9.4,9.1,9.1
2005-08-19,8.9,9.4,8.9,9.3
2005-08-22,9.3,9.45,9.15,9.4
2005-08-23,9.45,9.45,9.45,9.45
2005-08-24,9.4,10.3,9.4,10.1
2005-08-25,10.1,10.1,9.45,9.6
2005-08-26,9.6,10,9.6,9.85
2005-08-29,9.65,9.8,9.55,9.55
2005-08-30,9.55,9.6,9.55,9.6
2005-08-31,9.55,9.55,9.55,9.55
2005-09-01,9.75,9.75,9.55,9.55
2005-09-02,9.55,9.6,8.8,9.6
2005-09-05,9.6,9.6,9.6,9.6
2005-09-06,9.55,9.55,9.55,9.55
2005-09-07,9.35,9.6,9.35,9.4
2005-09-08,9.35,9.35,9.35,9.35
2005-09-09,9.4,9.4,9.2,9.4
2005-09-12,9.2,9.4,9.2,9.4
2005-09-13,9.2,9.2,9.2,9.2
2005-09-14,9.2,9.2,9.2,9.2
2005-09-15,9.2,9.2,9.2,9.2
2005-09-19,9.4,9.4,9.2,9.2
2005-09-20,9.35,9.35,9.2,9.2
2005-09-21,9.2,9.25,9.2,9.2
2005-09-22,9.3,9.3,9.25,9.3
2005-09-23,9.3,9.3,9.3,9.3
2005-09-27,9.1,9.2,9.1,9.2
2005-09-28,9.3,9.4,9.25,9.25
2005-09-29,9.2,9.2,9.2,9.2
2005-09-30,9.2,9.2,9.2,9.2
2005-10-03,9.05,9.05,9.05,9.05
2005-10-04,9.05,9.25,9.05,9.1
2005-10-05,9.3,9.4,9.25,9.4
2005-10-06,9.4,9.5,9.2,9.5
2005-10-07,9.3,9.3,9.05,9.05
2005-10-10,9.05,9.25,9.05,9.25
2005-10-11,9.05,9.05,9.05,9.05
2005-10-13,9.1,9.3,9.1,9.3
2005-10-14,9.3,9.4,9.3,9.4
2005-10-17,9.4,9.4,9.35,9.4
2005-10-20,9.4,10,9.4,9.5
2005-10-21,9.7,9.95,9.4,9.95
2005-10-24,9.75,10.6,9.55,10
2005-10-25,9.8,10,9.8,10
2005-10-26,9.8,9.8,9.7,9.7
2005-10-27,9.9,10.5,9.6,9.6
2005-10-28,9.8,11.9,9.8,10.85
2005-10-31,11,12.2,10.6,10.85
2005-11-02,10.8,11.05,10.35,10.7
2005-11-03,10.6,10.9,10.05,10.85
2005-11-04,10.7,10.95,10,10.35
2005-11-07,10.6,10.85,10.2,10.2
2005-11-08,10.25,10.85,10.05,10.85
2005-11-09,10.6,10.85,10.35,10.6
2005-11-10,10.4,10.6,10.3,10.6
2005-11-14,10.8,10.8,10.4,10.4
2005-11-15,10.6,11.45,10.6,11
2005-11-16,11,11.2,10.45,10.45
2005-11-17,10.7,11.2,10.55,10.6
2005-11-18,10.5,11.3,10.35,10.9
2005-11-21,10.9,11.15,10.5,10.7
2005-11-22,10.75,10.75,10.5,10.7
2005-11-23,10.5,11,10.3,11
2005-11-24,10.8,10.9,10.35,10.8
2005-11-25,10.6,10.75,10.5,10.75
2005-11-28,10.75,11,10.3,10.7
2005-11-29,10.75,11.4,10.35,11.35
2005-11-30,11.35,12.4,11.2,11.8
2005-12-01,12.05,12.1,11.85,11.85
2005-12-02,11.8,12.05,11.8,11.85
2005-12-05,12.1,12.5,12,12
2005-12-06,11.8,11.95,11.2,11.65
2005-12-07,11.65,12,11.5,11.75
2005-12-08,11.75,11.75,11.2,11.45
2005-12-09,11.35,11.75,11.3,11.75
2005-12-12,11.75,12,11.1,11.2
2005-12-13,11.25,11.4,11.2,11.4
2005-12-14,11.4,11.7,11.4,11.55
2005-12-15,11.65,11.65,11.5,11.65
2005-12-16,11.45,11.65,11.4,11.4
2005-12-19,11.65,11.65,11.4,11.45
2005-12-20,11.4,11.6,11.4,11.6
2005-12-21,11.85,11.85,11.4,11.65
2005-12-22,11.65,11.65,11.45,11.45
2005-12-23,11.45,11.65,11.4,11.65
2005-12-27,11.8,11.85,11.6,11.6
2005-12-28,11.8,11.8,11.75,11.75
2005-12-29,11.55,11.55,11.55,11.55
2005-12-30,11.4,11.45,10.9,11.2
2006-01-02,11.1,11.9,10.5,11.5
2006-01-03,11.4,11.4,10.6,11.05
2006-01-04,11.3,11.7,11.25,11.55
2006-01-05,11.8,11.8,11.45,11.45
2006-01-06,11.6,11.6,11.35,11.35
2006-01-09,11.35,11.5,11,11.35
2006-01-10,11.4,11.45,11.4,11.45
2006-01-11,11.5,11.55,11.45,11.55
2006-01-12,11.45,11.75,11.45,11.55
2006-01-13,11.45,11.45,11.35,11.4
2006-01-16,11.4,11.4,11.35,11.4
2006-01-17,11.65,11.8,11.35,11.45
2006-01-18,11.3,11.7,10.85,11.4
2006-01-19,11.55,11.55,10.85,11.55
2006-01-20,11.8,13,11.8,12.5
2006-01-23,12.45,12.45,11.85,12.45
2006-01-24,12.5,13,12.45,12.5
2006-01-25,12.65,12.7,12.45,12.5
2006-01-26,12.3,12.7,12.2,12.7
2006-01-27,12.7,12.7,12.15,12.5
2006-01-30,12.3,12.55,12.2,12.35
2006-01-31,12.8,12.9,12.4,12.5
2006-02-01,13,18.3,13,17.5
2006-02-02,23,25,16.05,17.6
2006-02-03,17.25,17.25,14.2,15
2006-02-06,13.9,16.6,13.9,15.85
2006-02-07,16.1,16.35,14.4,15.2
2006-02-08,16.7,17.95,15.5,16.2
2006-02-09,16.9,17,15.6,15.8
2006-02-10,16,16.3,15.5,15.95
2006-02-13,15.85,15.85,15,15
2006-02-14,15.2,15.2,14.8,15.2
2006-02-15,15.2,15.2,14.5,14.5
2006-02-16,14.3,14.3,13.5,13.6
2006-02-17,13.5,15.35,13.2,14.8
2006-02-20,14.8,15.5,14.6,14.6
2006-02-21,14.6,14.6,14.2,14.35
2006-02-22,14.4,14.6,14.1,14.5
2006-02-23,14.75,14.75,14.2,14.55
2006-02-24,14.55,14.65,14.2,14.3
2006-02-27,14.6,15.45,14.25,15.45
2006-02-28,15.35,15.35,14.55,14.6
2006-03-01,14.2,15,14.2,14.4
2006-03-02,14.25,14.45,14.1,14.15
2006-03-03,14,14.35,13.55,14.1
2006-03-06,13.8,14.35,13.4,13.9
2006-03-07,14,14.4,13.5,13.85
2006-03-08,13.8,13.8,13.35,13.4
2006-03-09,13.35,13.85,12.85,13.1
2006-03-10,12.9,13.1,12.9,13.1
2006-03-13,13,13.45,13,13.3
2006-03-14,13.2,13.3,12.9,13.3
