<TICKER>,<DATE>,<CLOSE>
ENA,2008-11-17,12.358
ENA,2008-11-18,11.345
ENA,2008-11-19,11.378
ENA,2008-11-20,11.021
ENA,2008-11-21,11.345
ENA,2008-11-24,11.67
ENA,2008-11-25,11.75
ENA,2008-11-26,11.588
ENA,2008-11-27,11.629
ENA,2008-11-28,11.848
ENA,2008-12-01,11.897
ENA,2008-12-02,12.277
ENA,2008-12-03,12.375
ENA,2008-12-04,12.415
ENA,2008-12-05,12.358
ENA,2008-12-08,12.277
ENA,2008-12-09,12.236
ENA,2008-12-10,12.156
ENA,2008-12-11,12.156
ENA,2008-12-12,12.204
ENA,2008-12-15,12.156
ENA,2008-12-16,12.156
ENA,2008-12-17,11.548
ENA,2008-12-18,11.24
ENA,2008-12-19,11.265
ENA,2008-12-22,11.151
ENA,2008-12-23,11.183
ENA,2008-12-29,11.175
ENA,2008-12-30,11.256
ENA,2008-12-31,11.345
ENA,2009-01-05,11.41
ENA,2009-01-06,11.531
ENA,2009-01-07,11.337
ENA,2009-01-08,11.28
ENA,2009-01-09,11.183
ENA,2009-01-12,10.981
ENA,2009-01-13,10.859
ENA,2009-01-14,10.859
ENA,2009-01-15,10.616
ENA,2009-01-16,10.592
ENA,2009-01-19,10.259
ENA,2009-01-20,10.113
ENA,2009-01-21,9.968
ENA,2009-01-22,9.814
ENA,2009-01-23,9.603
ENA,2009-01-26,9.4003
ENA,2009-01-27,9.4003
ENA,2009-01-28,9.3196
ENA,2009-01-29,9.2377
ENA,2009-01-30,9.1406
ENA,2009-02-02,8.9299
ENA,2009-02-03,8.6874
ENA,2009-02-04,9.0766
ENA,2009-02-05,10.155
ENA,2009-02-06,11.256
ENA,2009-02-09,11.75
ENA,2009-02-10,11.75
ENA,2009-02-11,11.362
ENA,2009-02-12,11.426
ENA,2009-02-13,11.71
ENA,2009-02-16,11.913
ENA,2009-02-17,11.345
ENA,2009-02-18,11.265
ENA,2009-02-19,11.345
ENA,2009-02-20,11.345
ENA,2009-02-23,11.231
ENA,2009-02-24,11.345
ENA,2009-02-25,11.67
ENA,2009-02-26,11.75
ENA,2009-02-27,11.913
ENA,2009-03-02,11.622
ENA,2009-03-03,11.386
ENA,2009-03-04,11.531
ENA,2009-03-05,11.314
ENA,2009-03-06,11.702
ENA,2009-03-09,11.661
ENA,2009-03-10,11.913
ENA,2009-03-11,11.953
ENA,2009-03-12,11.945
ENA,2009-03-13,11.345
ENA,2009-03-16,11.588
ENA,2009-03-17,11.75
ENA,2009-03-18,11.791
ENA,2009-03-19,11.75
ENA,2009-03-20,11.743
ENA,2009-03-23,11.661
ENA,2009-03-24,11.508
ENA,2009-03-25,11.67
ENA,2009-03-26,11.67
ENA,2009-03-27,11.588
ENA,2009-03-30,11.5
ENA,2009-03-31,11.548
ENA,2009-04-01,11.5
ENA,2009-04-02,12.058
ENA,2009-04-03,12.156
ENA,2009-04-06,12.48
ENA,2009-04-07,12.156
ENA,2009-04-08,12.601
ENA,2009-04-09,12.852
ENA,2009-04-14,12.723
ENA,2009-04-15,12.561
ENA,2009-04-16,12.512
ENA,2009-04-17,12.398
ENA,2009-04-20,12.132
ENA,2009-04-21,12.156
ENA,2009-04-22,12.398
ENA,2009-04-23,12.561
ENA,2009-04-24,12.633
ENA,2009-04-27,12.48
ENA,2009-04-28,12.561
ENA,2009-04-29,12.683
ENA,2009-04-30,12.876
ENA,2009-05-04,12.804
ENA,2009-05-05,12.804
ENA,2009-05-06,12.804
ENA,2009-05-07,12.748
ENA,2009-05-08,12.731
ENA,2009-05-11,12.804
ENA,2009-05-12,12.675
ENA,2009-05-13,12.675
ENA,2009-05-14,12.723
ENA,2009-05-15,13.493
ENA,2009-05-18,14.101
ENA,2009-05-19,14.101
ENA,2009-05-20,14.173
ENA,2009-05-21,13.866
ENA,2009-05-22,13.776
ENA,2009-05-25,13.776
ENA,2009-05-26,13.939
ENA,2009-05-27,13.907
ENA,2009-05-28,13.776
ENA,2009-05-29,13.754
ENA,2009-06-01,14.101
ENA,2009-06-02,14.263
ENA,2009-06-03,14.182
ENA,2009-06-04,14.173
ENA,2009-06-05,14.101
