<TICKER>,<DATE>,<CLOSE>
ENI,2007-09-25,14.741
ENI,2007-09-26,15.42
ENI,2007-09-27,15.752
ENI,2007-09-28,15.921
ENI,2007-10-01,15.517
ENI,2007-10-02,15.517
ENI,2007-10-03,15.558
ENI,2007-10-04,15.574
ENI,2007-10-05,15.517
ENI,2007-10-08,15.598
ENI,2007-10-09,15.759
ENI,2007-10-10,15.759
ENI,2007-10-11,15.904
ENI,2007-10-12,15.897
ENI,2007-10-15,15.888
ENI,2007-10-16,15.759
ENI,2007-10-17,15.759
ENI,2007-10-18,15.841
ENI,2007-10-19,15.841
ENI,2007-10-22,15.371
ENI,2007-10-23,15.759
ENI,2007-10-24,15.832
ENI,2007-10-25,15.921
ENI,2007-10-26,15.881
ENI,2007-10-29,16.155
ENI,2007-10-30,15.841
ENI,2007-10-31,16.042
ENI,2007-11-02,15.841
ENI,2007-11-05,15.445
ENI,2007-11-06,15.598
ENI,2007-11-07,15.348
ENI,2007-11-08,15.194
ENI,2007-11-09,15.154
ENI,2007-11-12,14.564
ENI,2007-11-13,14.588
ENI,2007-11-14,15.671
ENI,2007-11-15,14.831
ENI,2007-11-16,15.355
ENI,2007-11-19,15.355
ENI,2007-11-20,14.789
ENI,2007-11-21,15.355
ENI,2007-11-22,15.759
ENI,2007-11-23,15.639
ENI,2007-11-26,15.671
ENI,2007-11-28,15.759
ENI,2007-11-29,15.759
ENI,2007-11-30,15.759
ENI,2007-12-03,15.678
ENI,2007-12-06,15.355
ENI,2007-12-07,15.113
ENI,2007-12-10,15.032
ENI,2007-12-11,14.789
ENI,2007-12-13,14.548
ENI,2007-12-14,14.466
ENI,2007-12-17,15.186
ENI,2007-12-18,15.194
ENI,2007-12-19,15.678
ENI,2007-12-20,15.678
ENI,2007-12-21,15.355
ENI,2007-12-27,15.355
ENI,2007-12-28,15.678
ENI,2008-01-02,14.871
ENI,2008-01-03,14.951
ENI,2008-01-04,14.951
ENI,2008-01-08,14.241
ENI,2008-01-09,13.456
ENI,2008-01-10,14.466
ENI,2008-01-11,14.661
ENI,2008-01-14,14.661
ENI,2008-01-15,14.548
ENI,2008-01-16,13.336
ENI,2008-01-17,13.472
ENI,2008-01-18,12.689
ENI,2008-01-21,11.719
ENI,2008-01-22,11.953
ENI,2008-01-23,11.316
ENI,2008-01-24,11.937
ENI,2008-01-25,12.689
ENI,2008-01-28,12.689
ENI,2008-01-29,12.793
ENI,2008-01-31,12.769
ENI,2008-02-01,14.531
ENI,2008-02-04,14.466
ENI,2008-02-05,14.466
ENI,2008-02-07,14.144
ENI,2008-02-08,14.144
ENI,2008-02-13,13.9
ENI,2008-02-14,14.458
ENI,2008-02-15,14.386
ENI,2008-02-18,14.386
ENI,2008-02-20,13.739
ENI,2008-02-21,14.507
ENI,2008-02-26,14.305
ENI,2008-02-27,14.548
ENI,2008-02-28,14.548
ENI,2008-03-03,14.458
ENI,2008-03-05,14.539
ENI,2008-03-06,13.336
ENI,2008-03-07,14.013
ENI,2008-03-10,13.739
ENI,2008-03-14,13.336
ENI,2008-03-18,12.769
ENI,2008-03-19,12.915
ENI,2008-03-20,12.518
ENI,2008-03-25,12.284
ENI,2008-03-27,12.123
ENI,2008-03-28,12.729
ENI,2008-03-31,12.648
ENI,2008-04-01,12.899
ENI,2008-04-02,12.89
ENI,2008-04-03,12.366
ENI,2008-04-04,12.729
ENI,2008-04-07,12.446
ENI,2008-04-08,12.486
ENI,2008-04-11,12.204
ENI,2008-04-15,12.196
ENI,2008-04-16,12.026
ENI,2008-04-17,11.316
ENI,2008-04-21,11.234
ENI,2008-04-23,10.425
ENI,2008-04-24,10.506
ENI,2008-04-25,10.749
ENI,2008-04-29,10.547
ENI,2008-05-05,9.585
ENI,2008-05-06,10.506
ENI,2008-05-07,10.417
ENI,2008-05-08,10.417
ENI,2008-05-09,10.498
ENI,2008-05-12,10.102
ENI,2008-05-13,9.682
ENI,2008-05-14,9.0513
ENI,2008-05-15,8.7204
ENI,2008-05-16,7.6777
ENI,2008-05-19,7.1847
ENI,2008-05-20,6.7079
ENI,2008-05-21,6.9908
ENI,2008-05-23,7.6777
ENI,2008-05-26,7.6777
ENI,2008-05-27,7.6859
ENI,2008-05-28,7.8393
ENI,2008-05-29,7.8393
ENI,2008-05-30,7.8393
ENI,2008-06-05,7.8393
ENI,2008-06-06,7.5484
ENI,2008-06-09,6.7079
ENI,2008-06-10,6.9504
ENI,2008-06-11,6.9908
ENI,2008-06-12,6.91
ENI,2008-06-13,6.9343
ENI,2008-06-16,7.015
ENI,2008-06-17,7.1039
ENI,2008-06-18,7.015
ENI,2008-06-19,7.0311
ENI,2008-06-20,6.9908
ENI,2008-06-23,6.9504
ENI,2008-06-24,6.9827
ENI,2008-06-25,6.7079
ENI,2008-06-26,6.1017
ENI,2008-06-27,6.425
ENI,2008-06-30,6.425
ENI,2008-07-01,6.3847
ENI,2008-07-02,6.3847
ENI,2008-07-03,6.1988
ENI,2008-07-04,5.8189
ENI,2008-07-07,5.3339
ENI,2008-07-08,5.2532
ENI,2008-07-09,5.6573
ENI,2008-07-10,5.4957
ENI,2008-07-11,5.2694
ENI,2008-07-14,4.9703
ENI,2008-07-15,4.9703
ENI,2008-07-16,4.9461
ENI,2008-07-17,5.3339
ENI,2008-07-18,4.8652
ENI,2008-07-21,4.93
ENI,2008-07-22,4.9461
ENI,2008-07-23,4.9623
ENI,2008-07-24,4.93
ENI,2008-07-25,4.9784
ENI,2008-07-28,4.9784
ENI,2008-07-29,4.9784
ENI,2008-07-30,5.1319
ENI,2008-07-31,4.9218
ENI,2008-08-01,5.0915
ENI,2008-08-05,5.1238
ENI,2008-08-06,5.1238
ENI,2008-08-07,5.1238
ENI,2008-08-08,5.0511
ENI,2008-08-12,5.1319
ENI,2008-08-13,5.1077
ENI,2008-08-14,4.93
ENI,2008-08-18,4.7683
ENI,2008-08-19,4.2834
ENI,2008-08-20,4.243
ENI,2008-08-21,4.154
ENI,2008-08-22,4.3238
ENI,2008-08-25,4.445
ENI,2008-08-26,4.2025
ENI,2008-08-27,4.1864
ENI,2008-08-28,4.041
ENI,2008-08-29,4.1622
ENI,2008-09-01,4.1622
ENI,2008-09-02,4.4045
ENI,2008-09-03,4.2834
ENI,2008-09-04,4.445
ENI,2008-09-05,4.6794
ENI,2008-09-08,4.9461
ENI,2008-09-09,5.3339
ENI,2008-09-10,5.2127
ENI,2008-09-11,5.0511
ENI,2008-09-12,5.1319
ENI,2008-09-15,4.8814
ENI,2008-09-16,4.8329
ENI,2008-09-17,5.3743
ENI,2008-09-18,5.0915
ENI,2008-09-19,5.2613
ENI,2008-09-22,5.4957
ENI,2008-09-23,5.2289
ENI,2008-09-24,4.9623
ENI,2008-09-25,5.0915
ENI,2008-09-26,5.1723
ENI,2008-09-29,4.9623
ENI,2008-09-30,4.7683
ENI,2008-10-01,4.8894
ENI,2008-10-02,5.0915
ENI,2008-10-03,4.8491
ENI,2008-10-06,4.6874
ENI,2008-10-07,4.6874
ENI,2008-10-08,4.4045
ENI,2008-10-09,4.445
ENI,2008-10-10,4.445
ENI,2008-10-13,4.1217
ENI,2008-10-14,4.041
ENI,2008-10-15,4.041
ENI,2008-10-16,4.041
ENI,2008-10-17,4.0329
ENI,2008-10-20,4.0813
ENI,2008-10-21,4.041
ENI,2008-10-22,3.9601
ENI,2008-10-23,3.9601
ENI,2008-10-24,3.9358
ENI,2008-10-27,3.4753
ENI,2008-10-28,3.556
ENI,2008-10-29,3.4753
ENI,2008-10-30,3.6286
ENI,2008-10-31,3.6367
ENI,2008-11-03,3.5964
ENI,2008-11-04,3.7338
ENI,2008-11-05,3.7338
ENI,2008-11-06,3.4753
ENI,2008-11-07,3.5156
ENI,2008-11-10,3.5156
ENI,2008-11-12,3.4186
ENI,2008-11-13,3.459
ENI,2008-11-14,3.4753
ENI,2008-11-17,3.2327
ENI,2008-11-18,3.2327
ENI,2008-11-19,3.2327
ENI,2008-11-20,3.16
ENI,2008-11-21,3.1762
ENI,2008-11-24,3.0711
ENI,2008-11-25,2.9256
ENI,2008-11-26,2.9903
ENI,2008-11-27,2.6913
ENI,2008-11-28,2.7478
ENI,2008-12-01,2.6913
ENI,2008-12-02,2.8044
ENI,2008-12-03,2.8044
ENI,2008-12-04,2.9498
ENI,2008-12-05,2.9498
ENI,2008-12-08,3.0873
ENI,2008-12-09,3.3055
ENI,2008-12-10,3.4186
ENI,2008-12-11,3.467
ENI,2008-12-12,3.459
ENI,2008-12-15,3.459
ENI,2008-12-16,3.3136
ENI,2008-12-17,3.3136
ENI,2008-12-18,3.0711
ENI,2008-12-19,3.0952
ENI,2008-12-22,3.0307
ENI,2008-12-23,3.0145
ENI,2008-12-29,3.1114
ENI,2008-12-30,3.0711
ENI,2008-12-31,3.1438
ENI,2009-01-05,3.0711
ENI,2009-01-06,2.7963
ENI,2009-01-07,2.6348
ENI,2009-01-08,2.6993
ENI,2009-01-09,2.7559
ENI,2009-01-12,2.7074
ENI,2009-01-13,2.6993
ENI,2009-01-14,2.6993
ENI,2009-01-15,2.6993
ENI,2009-01-16,2.6751
ENI,2009-01-19,2.5943
ENI,2009-01-20,2.5619
ENI,2009-01-21,2.5134
ENI,2009-01-22,2.5943
ENI,2009-01-23,2.5377
ENI,2009-01-26,2.5701
ENI,2009-01-27,2.5701
ENI,2009-01-28,2.5781
ENI,2009-01-29,2.5053
ENI,2009-01-30,2.5053
ENI,2009-02-02,2.6427
ENI,2009-02-03,2.667
ENI,2009-02-04,2.6025
ENI,2009-02-05,2.5538
ENI,2009-02-06,2.6509
ENI,2009-02-09,2.5538
ENI,2009-02-10,2.6105
ENI,2009-02-11,2.5863
ENI,2009-02-12,2.667
ENI,2009-02-13,2.7074
ENI,2009-02-16,2.7074
ENI,2009-02-17,2.5863
ENI,2009-02-18,2.5701
ENI,2009-02-23,2.5458
