<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1997-08-20,2.0413,2.0413,2.0413,2.0413
1997-08-21,2.2437,2.2437,2.2437,2.2437
1997-08-22,2.1172,2.1172,2.1172,2.1172
1997-08-25,2.0413,2.0413,2.0413,2.0413
1997-08-26,2.1003,2.1003,2.1003,2.1003
1997-08-27,2.2943,2.2943,2.2943,2.2943
1997-08-28,2.522,2.522,2.522,2.522
1997-08-29,2.6318,2.6318,2.6318,2.6318
1997-09-01,2.6318,2.6318,2.6318,2.6318
1997-09-02,2.8848,2.8848,2.8848,2.8848
1997-09-03,3.18,3.18,3.18,3.18
1997-09-04,3.1295,3.1295,3.1295,3.1295
1997-09-05,3.2475,3.2475,3.2475,3.2475
1997-09-08,3.4752,3.4752,3.4752,3.4752
1997-09-09,3.1295,3.1295,3.1295,3.1295
1997-09-10,2.8173,2.8173,2.8173,2.8173
1997-09-11,2.8005,2.8005,2.8005,2.8005
1997-09-12,2.7667,2.7667,2.7667,2.7667
1997-09-15,2.6908,2.6908,2.6908,2.6908
1997-09-16,2.7077,2.7077,2.7077,2.7077
1997-09-17,2.7077,2.7077,2.7077,2.7077
1997-09-18,2.6232,2.6232,2.6232,2.6232
1997-09-19,2.4714,2.4714,2.4714,2.4714
1997-09-22,2.4968,2.4968,2.4968,2.4968
1997-09-23,2.5138,2.5138,2.5138,2.5138
1997-09-24,2.4968,2.4968,2.4968,2.4968
1997-09-25,2.4124,2.4124,2.4124,2.4124
1997-09-26,2.269,2.269,2.269,2.269
1997-09-29,2.2605,2.2605,2.2605,2.2605
1997-09-30,2.1594,2.1594,2.1594,2.1594
1997-10-01,2.1172,2.1172,2.1172,2.1172
1997-10-02,2.1932,2.1932,2.1932,2.1932
1997-10-03,2.269,2.269,2.269,2.269
1997-10-06,2.345,2.345,2.345,2.345
1997-10-07,2.345,2.345,2.345,2.345
1997-10-08,2.3702,2.3702,2.3702,2.3702
1997-10-09,2.3702,2.3702,2.3702,2.3702
1997-10-10,2.345,2.345,2.345,2.345
1997-10-13,2.345,2.345,2.345,2.345
1997-10-14,2.4968,2.4968,2.4968,2.4968
1997-10-15,2.4883,2.4883,2.4883,2.4883
1997-10-16,2.4968,2.4968,2.4968,2.4968
1997-10-17,2.4462,2.4462,2.4462,2.4462
1997-10-20,2.5305,2.5305,2.5305,2.5305
1997-10-21,2.48,2.48,2.48,2.48
1997-10-22,2.4968,2.4968,2.4968,2.4968
1997-10-23,2.4968,2.4968,2.4968,2.4968
1997-10-24,2.2437,2.2437,2.2437,2.2437
1997-10-27,2.1678,2.1678,2.1678,2.1678
1997-10-28,1.9569,1.9569,1.9569,1.9569
1997-10-29,2.1003,2.1003,2.1003,2.1003
1997-10-30,1.9316,1.9316,1.9316,1.9316
1997-10-31,1.9992,1.9992,1.9992,1.9992
1997-11-03,1.9992,1.9992,1.9992,1.9992
1997-11-04,2.0413,2.0413,2.0413,2.0413
1997-11-05,2.0834,2.0834,2.0834,2.0834
1997-11-06,2.0834,2.0834,2.0834,2.0834
1997-11-07,2.0413,2.0413,2.0413,2.0413
1997-11-12,1.9654,1.9654,1.9654,1.9654
1997-11-13,1.9737,1.9737,1.9737,1.9737
1997-11-14,1.9737,1.9737,1.9737,1.9737
1997-11-17,2.0413,2.0413,2.0413,2.0413
1997-11-18,2.0075,2.0075,2.0075,2.0075
1997-11-19,1.8305,1.8305,1.8305,1.8305
1997-11-20,1.8725,1.8725,1.8725,1.8725
1997-11-21,1.9654,1.9654,1.9654,1.9654
1997-11-24,1.9654,1.9654,1.9654,1.9654
1997-11-25,1.9654,1.9654,1.9654,1.9654
1997-11-26,2.0413,2.0413,2.0413,2.0413
1997-11-27,2.0413,2.0413,2.0413,2.0413
1997-11-28,2.1256,2.1256,2.1256,2.1256
1997-12-01,2.0834,2.0834,2.0834,2.0834
1997-12-02,2.0834,2.0834,2.0834,2.0834
1997-12-03,2.1172,2.1172,2.1172,2.1172
1997-12-04,2.1594,2.1594,2.1594,2.1594
1997-12-05,2.1594,2.1594,2.1594,2.1594
1997-12-08,2.0075,2.0075,2.0075,2.0075
1997-12-09,2.0413,2.0413,2.0413,2.0413
1997-12-10,2.0075,2.0075,2.0075,2.0075
1997-12-11,1.8643,1.8643,1.8643,1.8643
1997-12-12,1.8643,1.8643,1.8643,1.8643
1997-12-15,1.8643,1.8643,1.8643,1.8643
1997-12-16,1.8895,1.8895,1.8895,1.8895
1997-12-17,1.8643,1.8643,1.8643,1.8643
1997-12-18,1.7797,1.7797,1.7797,1.7797
1997-12-19,1.6279,1.6279,1.6279,1.6279
1997-12-22,1.4677,1.4677,1.4677,1.4677
1997-12-23,1.5099,1.5099,1.5099,1.5099
1997-12-29,1.4761,1.4761,1.4761,1.4761
1997-12-30,1.5099,1.5099,1.5099,1.5099
1997-12-31,1.5268,1.5268,1.5268,1.5268
1998-01-05,1.6617,1.6617,1.6617,1.6617
1998-01-06,1.6448,1.6448,1.6448,1.6448
1998-01-07,1.5689,1.5689,1.5689,1.5689
1998-01-08,1.552,1.552,1.552,1.552
1998-01-09,1.4761,1.4761,1.4761,1.4761
1998-01-12,1.3328,1.3328,1.3328,1.3328
1998-01-13,1.358,1.358,1.358,1.358
1998-01-14,1.4087,1.4087,1.4087,1.4087
1998-01-15,1.4002,1.4002,1.4002,1.4002
1998-01-16,1.4677,1.4677,1.4677,1.4677
1998-01-19,1.5437,1.5437,1.5437,1.5437
1998-01-20,1.5099,1.5099,1.5099,1.5099
1998-01-21,1.5015,1.5015,1.5015,1.5015
1998-01-22,1.493,1.493,1.493,1.493
1998-01-23,1.5015,1.5015,1.5015,1.5015
1998-01-26,1.4846,1.4846,1.4846,1.4846
1998-01-27,1.4846,1.4846,1.4846,1.4846
1998-01-28,1.4508,1.4508,1.4508,1.4508
1998-01-29,1.434,1.434,1.434,1.434
1998-01-30,1.4677,1.4677,1.4677,1.4677
1998-02-02,1.5015,1.5015,1.5015,1.5015
1998-02-03,1.5858,1.5858,1.5858,1.5858
