<DATE>,<CLOSE>
2010-12-29,12.728
2010-12-30,12.72
2010-12-31,12.703
2011-01-03,12.742
2011-01-04,12.749
2011-01-05,12.736
2011-01-07,12.72
2011-01-10,12.693
2011-01-11,12.707
2011-01-12,12.869
2011-01-13,12.84
2011-01-14,12.84
2011-01-17,12.813
2011-01-18,12.819
2011-01-19,12.813
2011-01-20,12.813
2011-01-21,12.869
2011-01-24,12.862
2011-01-25,12.771
2011-01-26,12.771
2011-01-27,12.777
2011-01-28,12.806
2011-01-31,12.806
2011-02-01,12.777
2011-02-02,12.834
2011-02-03,12.834
2011-02-04,12.827
2011-02-07,12.813
2011-02-08,12.855
2011-02-09,12.953
2011-02-10,13.129
2011-02-11,13.227
2011-02-14,13.341
2011-02-15,13.306
2011-02-16,13.376
2011-02-17,13.692
2011-02-18,13.862
2011-02-21,13.862
2011-02-22,13.903
2011-02-23,13.925
2011-02-24,13.854
2011-02-25,13.784
2011-02-28,13.784
2011-03-01,13.791
2011-03-02,13.722
2011-03-03,13.227
2011-03-04,13.157
2011-03-07,13.157
2011-03-08,13.122
2011-03-09,13.086
2011-03-10,12.988
2011-03-11,12.982
2011-03-14,12.982
2011-03-15,12.707
2011-03-16,12.707
2011-03-17,12.685
2011-03-18,12.685
2011-03-21,12.685
2011-03-22,12.742
2011-03-23,12.946
2011-03-24,12.742
2011-03-25,12.7
2011-03-28,12.848
2011-03-29,12.884
2011-03-30,12.939
2011-03-31,12.937
2011-04-01,12.671
2011-04-04,12.671
2011-04-05,12.875
2011-04-06,12.953
2011-04-07,12.946
2011-04-08,12.946
2011-04-11,12.946
2011-04-12,12.884
2011-04-13,12.742
2011-04-14,12.813
2011-04-15,12.806
2011-04-18,12.806
2011-04-19,12.848
2011-04-20,12.84
2011-04-21,12.827
2011-04-26,12.84
2011-04-27,12.834
2011-04-28,12.671
2011-04-29,12.741
2011-05-02,12.785
2011-05-04,12.742
2011-05-05,12.736
2011-05-06,12.736
2011-05-09,12.707
2011-05-10,12.736
2011-05-11,12.736
2011-05-12,12.7
2011-05-13,12.595
2011-05-16,12.601
2011-05-17,12.636
2011-05-18,12.671
2011-05-19,12.707
2011-05-20,12.728
2011-05-23,12.736
2011-05-24,12.7
2011-05-25,12.693
2011-05-26,12.685
2011-05-27,12.671
2011-05-30,12.664
2011-05-31,12.661
2011-06-01,12.664
2011-06-02,12.664
2011-06-03,12.664
2011-06-06,12.671
2011-06-07,12.742
2011-06-08,12.736
2011-06-09,12.742
2011-06-10,12.671
2011-06-13,12.736
2011-06-14,12.728
2011-06-15,12.728
2011-06-16,12.719
2011-06-17,12.671
2011-06-20,12.419
2011-06-21,12.144
2011-06-22,12.109
2011-06-24,11.685
2011-06-27,11.545
2011-06-28,11.932
2011-06-29,11.996
2011-06-30,11.999
2011-07-01,12.319
2011-07-04,11.933
2011-07-05,11.933
2011-07-06,11.933
2011-07-07,11.933
2011-07-08,11.97
2011-07-11,11.792
2011-07-12,11.788
2011-07-13,11.685
2011-07-14,11.616
2011-07-15,11.33
2011-07-18,11.313
2011-07-19,10.902
2011-07-20,9.3243
2011-07-21,10.102
2011-07-22,9.507
2011-07-25,10.139
2011-07-26,10.559
2011-07-27,10.559
2011-07-28,10.902
2011-07-29,10.902
2011-08-01,10.974
2011-08-02,10.792
2011-08-03,10.502
2011-08-04,10.415
2011-08-05,10.174
2011-08-08,9.3022
2011-08-09,8.7787
2011-08-10,8.6489
2011-08-11,8.7143
2011-08-12,9.3454
2011-08-16,8.7717
2011-08-17,8.7787
2011-08-18,8.7566
2011-08-19,8.7928
2011-08-22,8.7928
2011-08-24,9.4472
2011-08-25,9.4405
2011-08-26,9.4405
2011-08-29,9.0631
2011-08-30,9.1572
2011-08-31,9.1572
2011-09-01,9.1572
2011-09-02,9.4472
2011-09-05,8.83
2011-09-06,9.0844
2011-09-08,8.7204
2011-09-09,8.7204
2011-09-12,7.1949
2011-09-13,7.6237
2011-09-14,8.314
2011-09-15,7.7765
2011-09-16,6.6425
2011-09-19,6.6425
2011-09-20,6.5335
2011-09-21,5.9957
2011-09-22,6.2865
2011-09-23,5.8867
2011-09-26,5.785
2011-09-27,4.8693
2011-09-28,4.9419
2011-09-29,5.1599
2011-09-30,5.0655
2011-10-03,5.0074
2011-10-04,5.0727
2011-10-05,5.1744
2011-10-06,5.1963
2011-10-07,5.2472
2011-10-10,5.1963
2011-10-11,5.1019
2011-10-12,5.08
2011-10-13,5.0945
2011-10-14,5.2617
2011-10-17,5.785
2011-10-18,5.7414
2011-10-19,5.7414
2011-10-20,5.7414
2011-10-21,5.7414
2011-10-24,6.0466
2011-10-25,6.5917
2011-10-26,6.7153
2011-10-27,7.0494
2011-10-28,7.173
2011-10-31,7.173
2011-11-02,6.9042
2011-11-03,6.9769
2011-11-04,7.1949
2011-11-07,6.9404
2011-11-08,7.1877
2011-11-09,7.6163
2011-11-10,7.522
2011-11-14,7.7765
2011-11-15,7.5582
2011-11-16,7.631
2011-11-17,7.5582
2011-11-18,7.631
2011-11-21,7.2676
2011-11-22,7.2676
2011-11-23,7.7403
2011-11-24,7.4857
2011-11-25,7.7033
2011-11-28,7.4857
2011-11-29,7.4494
2011-11-30,7.4129
2011-12-01,7.5582
2011-12-02,7.2676
2011-12-05,7.551
2011-12-06,7.5582
2011-12-07,7.4857
2011-12-08,7.9945
2011-12-09,8.2127
2011-12-12,8.2127
2011-12-13,8.357
2011-12-14,8.5677
2011-12-15,7.9213
2011-12-16,8.2853
2011-12-19,8.2777
2011-12-20,8.2491
2011-12-21,8.2777
2011-12-22,8.3503
2011-12-23,8.3503
2011-12-27,8.2777
2011-12-28,8.3503
2011-12-29,8.6409
2011-12-30,8.943
2012-01-02,8.9395
2012-01-03,9.0773
2012-01-04,9.0773
2012-01-05,8.9757
