<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2005-02-04,2.3117,2.4324,2.3117,2.3761
2005-02-07,2.3761,2.4244,2.3279,2.4244
2005-02-08,2.4244,2.4244,2.3841,2.4163
2005-02-09,2.4163,2.4405,2.4003,2.4324
2005-02-10,2.4405,2.4565,2.4244,2.4405
2005-02-11,2.4324,2.4647,2.4163,2.4324
2005-02-14,2.4003,2.4405,2.4003,2.4082
2005-02-15,2.4003,2.4163,2.4003,2.4163
2005-02-16,2.4082,2.4082,2.3358,2.4003
2005-02-17,2.36,2.4003,2.3279,2.4003
2005-02-18,2.368,2.3841,2.3358,2.3841
2005-02-21,2.3922,2.3922,2.2955,2.3279
2005-02-22,2.3279,2.3519,2.3196,2.3519
2005-02-23,2.3438,2.3519,2.3279,2.3358
2005-02-24,2.3279,2.368,2.3279,2.368
2005-02-25,2.368,2.4163,2.368,2.4003
2005-02-28,2.4003,2.4003,2.3519,2.3761
2005-03-01,2.3761,2.3761,2.3196,2.36
2005-03-02,2.36,2.368,2.3196,2.368
2005-03-03,2.368,2.3922,2.3438,2.36
2005-03-04,2.3519,2.36,2.3358,2.36
2005-03-07,2.36,2.368,2.36,2.368
2005-03-08,2.368,2.368,2.368,2.368
2005-03-09,2.368,2.3841,2.3438,2.368
2005-03-10,2.368,2.3841,2.368,2.368
2005-03-11,2.368,2.368,2.3279,2.368
2005-03-14,2.368,2.368,2.3358,2.3358
2005-03-15,2.3358,2.36,2.3279,2.3519
2005-03-16,2.3519,2.3519,2.3358,2.3358
2005-03-17,2.231,2.3279,2.231,2.3279
2005-03-18,2.3117,2.3519,2.2713,2.3438
2005-03-21,2.3438,2.3438,2.3196,2.3279
2005-03-22,2.3036,2.3196,2.2875,2.3036
2005-03-23,2.3036,2.3036,2.2632,2.2632
2005-03-24,2.231,2.36,2.231,2.3196
2005-03-29,2.3438,2.3438,2.3196,2.3279
2005-03-30,2.3279,2.3438,2.3279,2.3438
2005-03-31,2.3438,2.4003,2.3438,2.3922
2005-04-01,2.3922,2.3922,2.368,2.368
2005-04-04,2.3761,2.3922,2.3519,2.3922
2005-04-05,2.3922,2.4003,2.3922,2.4003
2005-04-06,2.3841,2.5855,2.3841,2.5132
2005-04-07,2.5132,2.5532,2.4887,2.5132
2005-04-11,2.5132,2.6257,2.4808,2.5613
2005-04-12,2.5371,2.5613,2.5371,2.5532
2005-04-13,2.5532,2.5532,2.529,2.529
2005-04-14,2.529,2.5532,2.521,2.5532
2005-04-15,2.5452,2.5532,2.529,2.5532
2005-04-18,2.4887,2.529,2.4483,2.4969
2005-04-19,2.5452,2.5532,2.4887,2.5532
2005-04-20,2.5613,2.5613,2.529,2.5532
2005-04-21,2.521,2.7305,2.521,2.6821
2005-04-22,2.7063,2.7305,2.6581,2.6581
2005-04-25,2.6497,2.6497,2.5855,2.5936
2005-04-26,2.6016,2.6016,2.5695,2.5855
2005-04-27,2.5532,2.5775,2.5532,2.5532
2005-04-28,2.5532,2.5775,2.5532,2.5695
2005-04-29,2.6096,2.6096,2.5855,2.5855
2005-05-02,2.5936,2.6257,2.5936,2.6096
2005-05-04,2.6016,2.6096,2.5855,2.6096
2005-05-05,2.6016,2.6257,2.5452,2.5532
2005-05-06,2.5532,2.5532,2.5371,2.5452
2005-05-09,2.5532,2.6418,2.521,2.5775
2005-05-10,2.5452,2.5775,2.5452,2.5775
2005-05-11,2.5532,2.6581,2.5532,2.5855
2005-05-12,2.6257,2.6257,2.5532,2.5936
2005-05-13,2.5532,2.5936,2.5371,2.5532
2005-05-16,2.5452,2.5695,2.5452,2.5532
